game,2019,13,20191202,201912020sea,min,"Minnesota Vikings",30,sea,"Seattle Seahawks",37
team,201912020sea,min,First Downs,17,,,,,,
team,201912020sea,sea,First Downs,24,,,,,,
team,201912020sea,min,Rush-Yds-TDs,14-78-1,,,,,,
team,201912020sea,sea,Rush-Yds-TDs,43-218-2,,,,,,
team,201912020sea,min,Cmp-Att-Yd-TD-INT,22-38-276-2-1,,,,,,
team,201912020sea,sea,Cmp-Att-Yd-TD-INT,21-31-240-2-1,,,,,,
team,201912020sea,min,Sacked-Yards,0-0,,,,,,
team,201912020sea,sea,Sacked-Yards,2-14,,,,,,
team,201912020sea,min,Net Pass Yards,276,,,,,,
team,201912020sea,sea,Net Pass Yards,226,,,,,,
team,201912020sea,min,Total Yards,354,,,,,,
team,201912020sea,sea,Total Yards,444,,,,,,
team,201912020sea,min,Fumbles-Lost,3-2,,,,,,
team,201912020sea,sea,Fumbles-Lost,1-1,,,,,,
team,201912020sea,min,Turnovers,3,,,,,,
team,201912020sea,sea,Turnovers,2,,,,,,
team,201912020sea,min,Penalties-Yards,3-30,,,,,,
team,201912020sea,sea,Penalties-Yards,1-30,,,,,,
team,201912020sea,min,Third Down Conv.,5-10,,,,,,
team,201912020sea,sea,Third Down Conv.,7-15,,,,,,
team,201912020sea,min,Fourth Down Conv.,0-1,,,,,,
team,201912020sea,sea,Fourth Down Conv.,1-1,,,,,,
team,201912020sea,min,Time of Possession,20:15,,,,,,
team,201912020sea,sea,Time of Possession,39:45,,,,,,
player,201912020sea,min,CousKi00,pass_cmp,22,,,,,
player,201912020sea,min,CousKi00,pass_att,38,,,,,
player,201912020sea,min,CousKi00,pass_yds,276,,,,,
player,201912020sea,min,CousKi00,pass_td,2,,,,,
player,201912020sea,min,CousKi00,pass_int,1,,,,,
player,201912020sea,min,CousKi00,pass_sacked,0,,,,,
player,201912020sea,min,CousKi00,pass_sacked_yds,0,,,,,
player,201912020sea,min,CousKi00,pass_long,58,,,,,
player,201912020sea,min,CousKi00,pass_rating,87.2,,,,,
player,201912020sea,min,CousKi00,rush_att,0,,,,,
player,201912020sea,min,CousKi00,rush_yds,0,,,,,
player,201912020sea,min,CousKi00,rush_td,0,,,,,
player,201912020sea,min,CousKi00,rush_long,0,,,,,
player,201912020sea,min,CousKi00,targets,0,,,,,
player,201912020sea,min,CousKi00,rec,0,,,,,
player,201912020sea,min,CousKi00,rec_yds,0,,,,,
player,201912020sea,min,CousKi00,rec_td,0,,,,,
player,201912020sea,min,CousKi00,rec_long,0,,,,,
player,201912020sea,min,CousKi00,fumbles,0,,,,,
player,201912020sea,min,CousKi00,fumbles_lost,0,,,,,
player,201912020sea,min,CookDa01,pass_cmp,0,,,,,
player,201912020sea,min,CookDa01,pass_att,0,,,,,
player,201912020sea,min,CookDa01,pass_yds,0,,,,,
player,201912020sea,min,CookDa01,pass_td,0,,,,,
player,201912020sea,min,CookDa01,pass_int,0,,,,,
player,201912020sea,min,CookDa01,pass_sacked,0,,,,,
player,201912020sea,min,CookDa01,pass_sacked_yds,0,,,,,
player,201912020sea,min,CookDa01,pass_long,0,,,,,
player,201912020sea,min,CookDa01,pass_rating,,,,,,
player,201912020sea,min,CookDa01,rush_att,9,,,,,
player,201912020sea,min,CookDa01,rush_yds,29,,,,,
player,201912020sea,min,CookDa01,rush_td,1,,,,,
player,201912020sea,min,CookDa01,rush_long,9,,,,,
player,201912020sea,min,CookDa01,targets,4,,,,,
player,201912020sea,min,CookDa01,rec,3,,,,,
player,201912020sea,min,CookDa01,rec_yds,35,,,,,
player,201912020sea,min,CookDa01,rec_td,0,,,,,
player,201912020sea,min,CookDa01,rec_long,15,,,,,
player,201912020sea,min,CookDa01,fumbles,2,,,,,
player,201912020sea,min,CookDa01,fumbles_lost,1,,,,,
player,201912020sea,min,DiggSt00,pass_cmp,0,,,,,
player,201912020sea,min,DiggSt00,pass_att,0,,,,,
player,201912020sea,min,DiggSt00,pass_yds,0,,,,,
player,201912020sea,min,DiggSt00,pass_td,0,,,,,
player,201912020sea,min,DiggSt00,pass_int,0,,,,,
player,201912020sea,min,DiggSt00,pass_sacked,0,,,,,
player,201912020sea,min,DiggSt00,pass_sacked_yds,0,,,,,
player,201912020sea,min,DiggSt00,pass_long,0,,,,,
player,201912020sea,min,DiggSt00,pass_rating,,,,,,
player,201912020sea,min,DiggSt00,rush_att,1,,,,,
player,201912020sea,min,DiggSt00,rush_yds,27,,,,,
player,201912020sea,min,DiggSt00,rush_td,0,,,,,
player,201912020sea,min,DiggSt00,rush_long,27,,,,,
player,201912020sea,min,DiggSt00,targets,9,,,,,
player,201912020sea,min,DiggSt00,rec,4,,,,,
player,201912020sea,min,DiggSt00,rec_yds,25,,,,,
player,201912020sea,min,DiggSt00,rec_td,0,,,,,
player,201912020sea,min,DiggSt00,rec_long,10,,,,,
player,201912020sea,min,DiggSt00,fumbles,0,,,,,
player,201912020sea,min,DiggSt00,fumbles_lost,0,,,,,
player,201912020sea,min,MattAl01,pass_cmp,0,,,,,
player,201912020sea,min,MattAl01,pass_att,0,,,,,
player,201912020sea,min,MattAl01,pass_yds,0,,,,,
player,201912020sea,min,MattAl01,pass_td,0,,,,,
player,201912020sea,min,MattAl01,pass_int,0,,,,,
player,201912020sea,min,MattAl01,pass_sacked,0,,,,,
player,201912020sea,min,MattAl01,pass_sacked_yds,0,,,,,
player,201912020sea,min,MattAl01,pass_long,0,,,,,
player,201912020sea,min,MattAl01,pass_rating,,,,,,
player,201912020sea,min,MattAl01,rush_att,4,,,,,
player,201912020sea,min,MattAl01,rush_yds,22,,,,,
player,201912020sea,min,MattAl01,rush_td,0,,,,,
player,201912020sea,min,MattAl01,rush_long,15,,,,,
player,201912020sea,min,MattAl01,targets,5,,,,,
player,201912020sea,min,MattAl01,rec,4,,,,,
player,201912020sea,min,MattAl01,rec_yds,51,,,,,
player,201912020sea,min,MattAl01,rec_td,0,,,,,
