game,2019,3,20190922,201909220clt,atl,"Atlanta Falcons",24,clt,"Indianapolis Colts",27
team,201909220clt,atl,First Downs,25,,,,,,
team,201909220clt,clt,First Downs,29,,,,,,
team,201909220clt,atl,Rush-Yds-TDs,20-93-0,,,,,,
team,201909220clt,clt,Rush-Yds-TDs,24-79-1,,,,,,
team,201909220clt,atl,Cmp-Att-Yd-TD-INT,29-34-304-3-1,,,,,,
team,201909220clt,clt,Cmp-Att-Yd-TD-INT,28-37-310-2-0,,,,,,
team,201909220clt,atl,Sacked-Yards,0-0,,,,,,
team,201909220clt,clt,Sacked-Yards,1-10,,,,,,
team,201909220clt,atl,Net Pass Yards,304,,,,,,
team,201909220clt,clt,Net Pass Yards,300,,,,,,
team,201909220clt,atl,Total Yards,397,,,,,,
team,201909220clt,clt,Total Yards,379,,,,,,
team,201909220clt,atl,Fumbles-Lost,0-0,,,,,,
team,201909220clt,clt,Fumbles-Lost,0-0,,,,,,
team,201909220clt,atl,Turnovers,1,,,,,,
team,201909220clt,clt,Turnovers,0,,,,,,
team,201909220clt,atl,Penalties-Yards,16-128,,,,,,
team,201909220clt,clt,Penalties-Yards,4-39,,,,,,
team,201909220clt,atl,Third Down Conv.,8-10,,,,,,
team,201909220clt,clt,Third Down Conv.,5-8,,,,,,
team,201909220clt,atl,Fourth Down Conv.,0-0,,,,,,
team,201909220clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201909220clt,atl,Time of Possession,28:37,,,,,,
team,201909220clt,clt,Time of Possession,31:23,,,,,,
player,201909220clt,atl,RyanMa00,pass_cmp,29,,,,,
player,201909220clt,atl,RyanMa00,pass_att,34,,,,,
player,201909220clt,atl,RyanMa00,pass_yds,304,,,,,
player,201909220clt,atl,RyanMa00,pass_td,3,,,,,
player,201909220clt,atl,RyanMa00,pass_int,1,,,,,
player,201909220clt,atl,RyanMa00,pass_sacked,0,,,,,
player,201909220clt,atl,RyanMa00,pass_sacked_yds,0,,,,,
player,201909220clt,atl,RyanMa00,pass_long,34,,,,,
player,201909220clt,atl,RyanMa00,pass_rating,121.1,,,,,
player,201909220clt,atl,RyanMa00,rush_att,2,,,,,
player,201909220clt,atl,RyanMa00,rush_yds,3,,,,,
player,201909220clt,atl,RyanMa00,rush_td,0,,,,,
player,201909220clt,atl,RyanMa00,rush_long,4,,,,,
player,201909220clt,atl,RyanMa00,targets,0,,,,,
player,201909220clt,atl,RyanMa00,rec,0,,,,,
player,201909220clt,atl,RyanMa00,rec_yds,0,,,,,
player,201909220clt,atl,RyanMa00,rec_td,0,,,,,
player,201909220clt,atl,RyanMa00,rec_long,0,,,,,
player,201909220clt,atl,RyanMa00,fumbles,0,,,,,
player,201909220clt,atl,RyanMa00,fumbles_lost,0,,,,,
player,201909220clt,atl,FreeDe00,pass_cmp,0,,,,,
player,201909220clt,atl,FreeDe00,pass_att,0,,,,,
player,201909220clt,atl,FreeDe00,pass_yds,0,,,,,
player,201909220clt,atl,FreeDe00,pass_td,0,,,,,
player,201909220clt,atl,FreeDe00,pass_int,0,,,,,
player,201909220clt,atl,FreeDe00,pass_sacked,0,,,,,
player,201909220clt,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201909220clt,atl,FreeDe00,pass_long,0,,,,,
player,201909220clt,atl,FreeDe00,pass_rating,,,,,,
player,201909220clt,atl,FreeDe00,rush_att,16,,,,,
player,201909220clt,atl,FreeDe00,rush_yds,88,,,,,
player,201909220clt,atl,FreeDe00,rush_td,0,,,,,
player,201909220clt,atl,FreeDe00,rush_long,28,,,,,
player,201909220clt,atl,FreeDe00,targets,4,,,,,
player,201909220clt,atl,FreeDe00,rec,3,,,,,
