game,2019,6,20191013,201910130kan,htx,"Houston Texans",31,kan,"Kansas City Chiefs",24
team,201910130kan,htx,First Downs,35,,,,,,
team,201910130kan,kan,First Downs,20,,,,,,
team,201910130kan,htx,Rush-Yds-TDs,41-192-3,,,,,,
team,201910130kan,kan,Rush-Yds-TDs,11-53-0,,,,,,
team,201910130kan,htx,Cmp-Att-Yd-TD-INT,30-42-280-1-2,,,,,,
team,201910130kan,kan,Cmp-Att-Yd-TD-INT,19-35-273-3-1,,,,,,
team,201910130kan,htx,Sacked-Yards,0-0,,,,,,
team,201910130kan,kan,Sacked-Yards,1-17,,,,,,
team,201910130kan,htx,Net Pass Yards,280,,,,,,
team,201910130kan,kan,Net Pass Yards,256,,,,,,
team,201910130kan,htx,Total Yards,472,,,,,,
team,201910130kan,kan,Total Yards,309,,,,,,
team,201910130kan,htx,Fumbles-Lost,1-1,,,,,,
team,201910130kan,kan,Fumbles-Lost,1-1,,,,,,
team,201910130kan,htx,Turnovers,3,,,,,,
team,201910130kan,kan,Turnovers,2,,,,,,
team,201910130kan,htx,Penalties-Yards,10-70,,,,,,
team,201910130kan,kan,Penalties-Yards,11-79,,,,,,
team,201910130kan,htx,Third Down Conv.,5-12,,,,,,
team,201910130kan,kan,Third Down Conv.,4-8,,,,,,
team,201910130kan,htx,Fourth Down Conv.,2-3,,,,,,
team,201910130kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201910130kan,htx,Time of Possession,39:48,,,,,,
team,201910130kan,kan,Time of Possession,20:12,,,,,,
player,201910130kan,htx,WatsDe00,pass_cmp,30,,,,,
player,201910130kan,htx,WatsDe00,pass_att,42,,,,,
player,201910130kan,htx,WatsDe00,pass_yds,280,,,,,
player,201910130kan,htx,WatsDe00,pass_td,1,,,,,
player,201910130kan,htx,WatsDe00,pass_int,2,,,,,
player,201910130kan,htx,WatsDe00,pass_sacked,0,,,,,
player,201910130kan,htx,WatsDe00,pass_sacked_yds,0,,,,,
player,201910130kan,htx,WatsDe00,pass_long,23,,,,,
player,201910130kan,htx,WatsDe00,pass_rating,77.5,,,,,
player,201910130kan,htx,WatsDe00,rush_att,10,,,,,
player,201910130kan,htx,WatsDe00,rush_yds,42,,,,,
player,201910130kan,htx,WatsDe00,rush_td,2,,,,,
player,201910130kan,htx,WatsDe00,rush_long,10,,,,,
player,201910130kan,htx,WatsDe00,targets,0,,,,,
player,201910130kan,htx,WatsDe00,rec,0,,,,,
player,201910130kan,htx,WatsDe00,rec_yds,0,,,,,
player,201910130kan,htx,WatsDe00,rec_td,0,,,,,
player,201910130kan,htx,WatsDe00,rec_long,0,,,,,
player,201910130kan,htx,WatsDe00,fumbles,0,,,,,
player,201910130kan,htx,WatsDe00,fumbles_lost,0,,,,,
player,201910130kan,htx,HydeCa00,pass_cmp,0,,,,,
player,201910130kan,htx,HydeCa00,pass_att,0,,,,,
player,201910130kan,htx,HydeCa00,pass_yds,0,,,,,
player,201910130kan,htx,HydeCa00,pass_td,0,,,,,
player,201910130kan,htx,HydeCa00,pass_int,0,,,,,
player,201910130kan,htx,HydeCa00,pass_sacked,0,,,,,
player,201910130kan,htx,HydeCa00,pass_sacked_yds,0,,,,,
player,201910130kan,htx,HydeCa00,pass_long,0,,,,,
player,201910130kan,htx,HydeCa00,pass_rating,,,,,,
player,201910130kan,htx,HydeCa00,rush_att,26,,,,,
player,201910130kan,htx,HydeCa00,rush_yds,116,,,,,
player,201910130kan,htx,HydeCa00,rush_td,1,,,,,
player,201910130kan,htx,HydeCa00,rush_long,26,,,,,
player,201910130kan,htx,HydeCa00,targets,1,,,,,
player,201910130kan,htx,HydeCa00,rec,1,,,,,
player,201910130kan,htx,HydeCa00,rec_yds,14,,,,,
player,201910130kan,htx,HydeCa00,rec_td,0,,,,,
