game,2019,5,20191006,201910060nor,tam,"Tampa Bay Buccaneers",24,nor,"New Orleans Saints",31
player,201910060nor,tam,MillSc01,pass_sacked_yds,0,,,,,
player,201910060nor,tam,MillSc01,pass_long,0,,,,,
player,201910060nor,tam,MillSc01,pass_rating,,,,,,
player,201910060nor,tam,MillSc01,rush_att,1,,,,,
player,201910060nor,tam,MillSc01,rush_yds,18,,,,,
player,201910060nor,tam,MillSc01,rush_td,0,,,,,
player,201910060nor,tam,MillSc01,rush_long,18,,,,,
player,201910060nor,tam,MillSc01,targets,2,,,,,
player,201910060nor,tam,MillSc01,rec,0,,,,,
player,201910060nor,tam,MillSc01,rec_yds,0,,,,,
player,201910060nor,tam,MillSc01,rec_td,0,,,,,
player,201910060nor,tam,MillSc01,rec_long,0,,,,,
player,201910060nor,tam,MillSc01,fumbles,0,,,,,
player,201910060nor,tam,MillSc01,fumbles_lost,0,,,,,
player,201910060nor,tam,GodwCh00,pass_cmp,0,,,,,
player,201910060nor,tam,GodwCh00,pass_att,0,,,,,
player,201910060nor,tam,GodwCh00,pass_yds,0,,,,,
player,201910060nor,tam,GodwCh00,pass_td,0,,,,,
player,201910060nor,tam,GodwCh00,pass_int,0,,,,,
player,201910060nor,tam,GodwCh00,pass_sacked,0,,,,,
player,201910060nor,tam,GodwCh00,pass_sacked_yds,0,,,,,
player,201910060nor,tam,GodwCh00,pass_long,0,,,,,
player,201910060nor,tam,GodwCh00,pass_rating,,,,,,
player,201910060nor,tam,GodwCh00,rush_att,0,,,,,
player,201910060nor,tam,GodwCh00,rush_yds,0,,,,,
player,201910060nor,tam,GodwCh00,rush_td,0,,,,,
player,201910060nor,tam,GodwCh00,rush_long,0,,,,,
player,201910060nor,tam,GodwCh00,targets,9,,,,,
player,201910060nor,tam,GodwCh00,rec,7,,,,,
player,201910060nor,tam,GodwCh00,rec_yds,125,,,,,
player,201910060nor,tam,GodwCh00,rec_td,2,,,,,
player,201910060nor,tam,GodwCh00,rec_long,26,,,,,
player,201910060nor,tam,GodwCh00,fumbles,0,,,,,
player,201910060nor,tam,GodwCh00,fumbles_lost,0,,,,,
player,201910060nor,tam,BratCa00,pass_cmp,0,,,,,
player,201910060nor,tam,BratCa00,pass_att,0,,,,,
player,201910060nor,tam,BratCa00,pass_yds,0,,,,,
player,201910060nor,tam,BratCa00,pass_td,0,,,,,
player,201910060nor,tam,BratCa00,pass_int,0,,,,,
player,201910060nor,tam,BratCa00,pass_sacked,0,,,,,
player,201910060nor,tam,BratCa00,pass_sacked_yds,0,,,,,
player,201910060nor,tam,BratCa00,pass_long,0,,,,,
player,201910060nor,tam,BratCa00,pass_rating,,,,,,
player,201910060nor,tam,BratCa00,rush_att,0,,,,,
player,201910060nor,tam,BratCa00,rush_yds,0,,,,,
player,201910060nor,tam,BratCa00,rush_td,0,,,,,
player,201910060nor,tam,BratCa00,rush_long,0,,,,,
player,201910060nor,tam,BratCa00,targets,1,,,,,
player,201910060nor,tam,BratCa00,rec,1,,,,,
player,201910060nor,tam,BratCa00,rec_yds,11,,,,,
player,201910060nor,tam,BratCa00,rec_td,0,,,,,
player,201910060nor,tam,BratCa00,rec_long,11,,,,,
player,201910060nor,tam,BratCa00,fumbles,0,,,,,
player,201910060nor,tam,BratCa00,fumbles_lost,0,,,,,
player,201910060nor,tam,WilsJe00,pass_cmp,0,,,,,
player,201910060nor,tam,WilsJe00,pass_att,0,,,,,
player,201910060nor,tam,WilsJe00,pass_yds,0,,,,,
player,201910060nor,tam,WilsJe00,pass_td,0,,,,,
player,201910060nor,tam,WilsJe00,pass_int,0,,,,,
player,201910060nor,tam,WilsJe00,pass_sacked,0,,,,,
player,201910060nor,tam,WilsJe00,pass_sacked_yds,0,,,,,
player,201910060nor,tam,WilsJe00,pass_long,0,,,,,
player,201910060nor,tam,WilsJe00,pass_rating,,,,,,
player,201910060nor,tam,WilsJe00,rush_att,0,,,,,
player,201910060nor,tam,WilsJe00,rush_yds,0,,,,,
player,201910060nor,tam,WilsJe00,rush_td,0,,,,,
player,201910060nor,tam,WilsJe00,rush_long,0,,,,,
