game,2019,16,20191222,201912220chi,kan,"Kansas City Chiefs",26,chi,"Chicago Bears",3
player,201912220chi,kan,KelcTr00,pass_cmp,0,,,,,
player,201912220chi,kan,KelcTr00,pass_att,0,,,,,
player,201912220chi,kan,KelcTr00,pass_yds,0,,,,,
player,201912220chi,kan,KelcTr00,pass_td,0,,,,,
player,201912220chi,kan,KelcTr00,pass_int,0,,,,,
player,201912220chi,kan,KelcTr00,pass_sacked,0,,,,,
player,201912220chi,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201912220chi,kan,KelcTr00,pass_long,0,,,,,
player,201912220chi,kan,KelcTr00,pass_rating,,,,,,
player,201912220chi,kan,KelcTr00,rush_att,0,,,,,
player,201912220chi,kan,KelcTr00,rush_yds,0,,,,,
player,201912220chi,kan,KelcTr00,rush_td,0,,,,,
player,201912220chi,kan,KelcTr00,rush_long,0,,,,,
player,201912220chi,kan,KelcTr00,targets,9,,,,,
player,201912220chi,kan,KelcTr00,rec,8,,,,,
player,201912220chi,kan,KelcTr00,rec_yds,74,,,,,
player,201912220chi,kan,KelcTr00,rec_td,1,,,,,
player,201912220chi,kan,KelcTr00,rec_long,13,,,,,
player,201912220chi,kan,KelcTr00,fumbles,0,,,,,
player,201912220chi,kan,KelcTr00,fumbles_lost,0,,,,,
player,201912220chi,kan,HillTy00,pass_cmp,0,,,,,
player,201912220chi,kan,HillTy00,pass_att,0,,,,,
player,201912220chi,kan,HillTy00,pass_yds,0,,,,,
player,201912220chi,kan,HillTy00,pass_td,0,,,,,
player,201912220chi,kan,HillTy00,pass_int,0,,,,,
player,201912220chi,kan,HillTy00,pass_sacked,0,,,,,
player,201912220chi,kan,HillTy00,pass_sacked_yds,0,,,,,
player,201912220chi,kan,HillTy00,pass_long,0,,,,,
player,201912220chi,kan,HillTy00,pass_rating,,,,,,
player,201912220chi,kan,HillTy00,rush_att,0,,,,,
player,201912220chi,kan,HillTy00,rush_yds,0,,,,,
player,201912220chi,kan,HillTy00,rush_td,0,,,,,
player,201912220chi,kan,HillTy00,rush_long,0,,,,,
player,201912220chi,kan,HillTy00,targets,5,,,,,
player,201912220chi,kan,HillTy00,rec,5,,,,,
player,201912220chi,kan,HillTy00,rec_yds,72,,,,,
player,201912220chi,kan,HillTy00,rec_td,0,,,,,
player,201912220chi,kan,HillTy00,rec_long,19,,,,,
player,201912220chi,kan,HillTy00,fumbles,0,,,,,
player,201912220chi,kan,HillTy00,fumbles_lost,0,,,,,
player,201912220chi,kan,WatkSa00,pass_cmp,0,,,,,
player,201912220chi,kan,WatkSa00,pass_att,0,,,,,
player,201912220chi,kan,WatkSa00,pass_yds,0,,,,,
player,201912220chi,kan,WatkSa00,pass_td,0,,,,,
player,201912220chi,kan,WatkSa00,pass_int,0,,,,,
player,201912220chi,kan,WatkSa00,pass_sacked,0,,,,,
player,201912220chi,kan,WatkSa00,pass_sacked_yds,0,,,,,
