game,2019,9,20191103,201911030rav,nwe,"New England Patriots",20,rav,"Baltimore Ravens",37
team,201911030rav,nwe,First Downs,22,,,,,,
team,201911030rav,rav,First Downs,26,,,,,,
team,201911030rav,nwe,Rush-Yds-TDs,17-74-1,,,,,,
team,201911030rav,rav,Rush-Yds-TDs,41-210-3,,,,,,
team,201911030rav,nwe,Cmp-Att-Yd-TD-INT,30-46-285-1-1,,,,,,
team,201911030rav,rav,Cmp-Att-Yd-TD-INT,17-23-163-1-0,,,,,,
team,201911030rav,nwe,Sacked-Yards,2-17,,,,,,
team,201911030rav,rav,Sacked-Yards,1-1,,,,,,
team,201911030rav,nwe,Net Pass Yards,268,,,,,,
team,201911030rav,rav,Net Pass Yards,162,,,,,,
team,201911030rav,nwe,Total Yards,342,,,,,,
team,201911030rav,rav,Total Yards,372,,,,,,
team,201911030rav,nwe,Fumbles-Lost,2-1,,,,,,
team,201911030rav,rav,Fumbles-Lost,2-2,,,,,,
team,201911030rav,nwe,Turnovers,2,,,,,,
team,201911030rav,rav,Turnovers,2,,,,,,
team,201911030rav,nwe,Penalties-Yards,7-48,,,,,,
team,201911030rav,rav,Penalties-Yards,4-34,,,,,,
team,201911030rav,nwe,Third Down Conv.,5-13,,,,,,
team,201911030rav,rav,Third Down Conv.,5-10,,,,,,
team,201911030rav,nwe,Fourth Down Conv.,0-0,,,,,,
team,201911030rav,rav,Fourth Down Conv.,1-1,,,,,,
team,201911030rav,nwe,Time of Possession,22:59,,,,,,
team,201911030rav,rav,Time of Possession,37:01,,,,,,
player,201911030rav,nwe,BradTo00,pass_cmp,30,,,,,
player,201911030rav,nwe,BradTo00,pass_att,46,,,,,
player,201911030rav,nwe,BradTo00,pass_yds,285,,,,,
player,201911030rav,nwe,BradTo00,pass_td,1,,,,,
player,201911030rav,nwe,BradTo00,pass_int,1,,,,,
player,201911030rav,nwe,BradTo00,pass_sacked,2,,,,,
player,201911030rav,nwe,BradTo00,pass_sacked_yds,17,,,,,
player,201911030rav,nwe,BradTo00,pass_long,30,,,,,
player,201911030rav,nwe,BradTo00,pass_rating,80.4,,,,,
player,201911030rav,nwe,BradTo00,rush_att,0,,,,,
player,201911030rav,nwe,BradTo00,rush_yds,0,,,,,
player,201911030rav,nwe,BradTo00,rush_td,0,,,,,
player,201911030rav,nwe,BradTo00,rush_long,0,,,,,
player,201911030rav,nwe,BradTo00,targets,0,,,,,
player,201911030rav,nwe,BradTo00,rec,0,,,,,
player,201911030rav,nwe,BradTo00,rec_yds,0,,,,,
player,201911030rav,nwe,BradTo00,rec_td,0,,,,,
player,201911030rav,nwe,BradTo00,rec_long,0,,,,,
player,201911030rav,nwe,BradTo00,fumbles,1,,,,,
player,201911030rav,nwe,BradTo00,fumbles_lost,0,,,,,
player,201911030rav,nwe,WhitJa02,pass_cmp,0,,,,,
player,201911030rav,nwe,WhitJa02,pass_att,0,,,,,
player,201911030rav,nwe,WhitJa02,pass_yds,0,,,,,
player,201911030rav,nwe,WhitJa02,pass_td,0,,,,,
player,201911030rav,nwe,WhitJa02,pass_int,0,,,,,
player,201911030rav,nwe,WhitJa02,pass_sacked,0,,,,,
player,201911030rav,nwe,WhitJa02,pass_sacked_yds,0,,,,,
player,201911030rav,nwe,WhitJa02,pass_long,0,,,,,
player,201911030rav,nwe,WhitJa02,pass_rating,,,,,,
player,201911030rav,nwe,WhitJa02,rush_att,9,,,,,
player,201911030rav,nwe,WhitJa02,rush_yds,38,,,,,
player,201911030rav,nwe,WhitJa02,rush_td,1,,,,,
player,201911030rav,nwe,WhitJa02,rush_long,8,,,,,
player,201911030rav,nwe,WhitJa02,targets,3,,,,,
player,201911030rav,nwe,WhitJa02,rec,2,,,,,
player,201911030rav,nwe,WhitJa02,rec_yds,46,,,,,
player,201911030rav,nwe,WhitJa02,rec_td,0,,,,,
player,201911030rav,nwe,WhitJa02,rec_long,30,,,,,
player,201911030rav,nwe,WhitJa02,fumbles,0,,,,,
player,201911030rav,nwe,WhitJa02,fumbles_lost,0,,,,,
player,201911030rav,nwe,BurkRe00,pass_cmp,0,,,,,
player,201911030rav,nwe,BurkRe00,pass_att,0,,,,,
player,201911030rav,nwe,BurkRe00,pass_yds,0,,,,,
player,201911030rav,nwe,BurkRe00,pass_td,0,,,,,
player,201911030rav,nwe,BurkRe00,pass_int,0,,,,,
player,201911030rav,nwe,BurkRe00,pass_sacked,0,,,,,
player,201911030rav,nwe,BurkRe00,pass_sacked_yds,0,,,,,
player,201911030rav,nwe,BurkRe00,pass_long,0,,,,,
player,201911030rav,nwe,BurkRe00,pass_rating,,,,,,
player,201911030rav,nwe,BurkRe00,rush_att,4,,,,,
player,201911030rav,nwe,BurkRe00,rush_yds,18,,,,,
player,201911030rav,nwe,BurkRe00,rush_td,0,,,,,
player,201911030rav,nwe,BurkRe00,rush_long,6,,,,,
player,201911030rav,nwe,BurkRe00,targets,2,,,,,
player,201911030rav,nwe,BurkRe00,rec,1,,,,,
