game,2019,6,20191013,201910130cle,sea,"Seattle Seahawks",32,cle,"Cleveland Browns",28
team,201910130cle,sea,First Downs,29,,,,,,
team,201910130cle,cle,First Downs,21,,,,,,
team,201910130cle,sea,Rush-Yds-TDs,38-170-2,,,,,,
team,201910130cle,cle,Rush-Yds-TDs,24-157-3,,,,,,
team,201910130cle,sea,Cmp-Att-Yd-TD-INT,23-33-295-2-0,,,,,,
team,201910130cle,cle,Cmp-Att-Yd-TD-INT,22-37-249-1-3,,,,,,
team,201910130cle,sea,Sacked-Yards,3-11,,,,,,
team,201910130cle,cle,Sacked-Yards,0-0,,,,,,
team,201910130cle,sea,Net Pass Yards,284,,,,,,
team,201910130cle,cle,Net Pass Yards,249,,,,,,
team,201910130cle,sea,Total Yards,454,,,,,,
team,201910130cle,cle,Total Yards,406,,,,,,
team,201910130cle,sea,Fumbles-Lost,1-1,,,,,,
team,201910130cle,cle,Fumbles-Lost,1-1,,,,,,
team,201910130cle,sea,Turnovers,1,,,,,,
team,201910130cle,cle,Turnovers,4,,,,,,
team,201910130cle,sea,Penalties-Yards,10-65,,,,,,
team,201910130cle,cle,Penalties-Yards,9-83,,,,,,
team,201910130cle,sea,Third Down Conv.,6-13,,,,,,
team,201910130cle,cle,Third Down Conv.,3-8,,,,,,
team,201910130cle,sea,Fourth Down Conv.,0-0,,,,,,
team,201910130cle,cle,Fourth Down Conv.,2-3,,,,,,
team,201910130cle,sea,Time of Possession,33:41,,,,,,
team,201910130cle,cle,Time of Possession,26:19,,,,,,
player,201910130cle,sea,WilsRu00,pass_cmp,23,,,,,
player,201910130cle,sea,WilsRu00,pass_att,33,,,,,
player,201910130cle,sea,WilsRu00,pass_yds,295,,,,,
player,201910130cle,sea,WilsRu00,pass_td,2,,,,,
player,201910130cle,sea,WilsRu00,pass_int,0,,,,,
player,201910130cle,sea,WilsRu00,pass_sacked,3,,,,,
player,201910130cle,sea,WilsRu00,pass_sacked_yds,11,,,,,
player,201910130cle,sea,WilsRu00,pass_long,30,,,,,
player,201910130cle,sea,WilsRu00,pass_rating,117.6,,,,,
player,201910130cle,sea,WilsRu00,rush_att,9,,,,,
player,201910130cle,sea,WilsRu00,rush_yds,31,,,,,
player,201910130cle,sea,WilsRu00,rush_td,1,,,,,
player,201910130cle,sea,WilsRu00,rush_long,16,,,,,
player,201910130cle,sea,WilsRu00,targets,0,,,,,
player,201910130cle,sea,WilsRu00,rec,0,,,,,
player,201910130cle,sea,WilsRu00,rec_yds,0,,,,,
player,201910130cle,sea,WilsRu00,rec_td,0,,,,,
player,201910130cle,sea,WilsRu00,rec_long,0,,,,,
player,201910130cle,sea,WilsRu00,fumbles,0,,,,,
player,201910130cle,sea,WilsRu00,fumbles_lost,0,,,,,
player,201910130cle,sea,CarsCh00,pass_cmp,0,,,,,
player,201910130cle,sea,CarsCh00,pass_att,0,,,,,
player,201910130cle,sea,CarsCh00,pass_yds,0,,,,,
player,201910130cle,sea,CarsCh00,pass_td,0,,,,,
player,201910130cle,sea,CarsCh00,pass_int,0,,,,,
player,201910130cle,sea,CarsCh00,pass_sacked,0,,,,,
player,201910130cle,sea,CarsCh00,pass_sacked_yds,0,,,,,
player,201910130cle,sea,CarsCh00,pass_long,0,,,,,
player,201910130cle,sea,CarsCh00,pass_rating,,,,,,
player,201910130cle,sea,CarsCh00,rush_att,24,,,,,
player,201910130cle,sea,CarsCh00,rush_yds,124,,,,,
player,201910130cle,sea,CarsCh00,rush_td,1,,,,,
player,201910130cle,sea,CarsCh00,rush_long,25,,,,,
player,201910130cle,sea,CarsCh00,targets,4,,,,,
player,201910130cle,sea,CarsCh00,rec,4,,,,,
player,201910130cle,sea,CarsCh00,rec_yds,35,,,,,
player,201910130cle,sea,CarsCh00,rec_td,0,,,,,
player,201910130cle,sea,CarsCh00,rec_long,21,,,,,
player,201910130cle,sea,CarsCh00,fumbles,0,,,,,
player,201910130cle,sea,CarsCh00,fumbles_lost,0,,,,,
player,201910130cle,sea,ProsC.00,pass_cmp,0,,,,,
player,201910130cle,sea,ProsC.00,pass_att,0,,,,,
player,201910130cle,sea,ProsC.00,pass_yds,0,,,,,
player,201910130cle,sea,ProsC.00,pass_td,0,,,,,
player,201910130cle,sea,ProsC.00,pass_int,0,,,,,
player,201910130cle,sea,ProsC.00,pass_sacked,0,,,,,
player,201910130cle,sea,ProsC.00,pass_sacked_yds,0,,,,,
player,201910130cle,sea,ProsC.00,pass_long,0,,,,,
player,201910130cle,sea,ProsC.00,pass_rating,,,,,,
player,201910130cle,sea,ProsC.00,rush_att,3,,,,,
player,201910130cle,sea,ProsC.00,rush_yds,8,,,,,
player,201910130cle,sea,ProsC.00,rush_td,0,,,,,
player,201910130cle,sea,ProsC.00,rush_long,5,,,,,
player,201910130cle,sea,ProsC.00,targets,3,,,,,
player,201910130cle,sea,ProsC.00,rec,1,,,,,
player,201910130cle,sea,ProsC.00,rec_yds,15,,,,,
player,201910130cle,sea,ProsC.00,rec_td,0,,,,,
player,201910130cle,sea,ProsC.00,rec_long,15,,,,,
player,201910130cle,sea,ProsC.00,fumbles,1,,,,,
player,201910130cle,sea,ProsC.00,fumbles_lost,1,,,,,
player,201910130cle,sea,MetcDK00,pass_cmp,0,,,,,
player,201910130cle,sea,MetcDK00,pass_att,0,,,,,
player,201910130cle,sea,MetcDK00,pass_yds,0,,,,,
player,201910130cle,sea,MetcDK00,pass_td,0,,,,,
player,201910130cle,sea,MetcDK00,pass_int,0,,,,,
player,201910130cle,sea,MetcDK00,pass_sacked,0,,,,,
