game,2019,4,20190929,201909290atl,oti,"Tennessee Titans",24,atl,"Atlanta Falcons",10
team,201909290atl,oti,First Downs,22,,,,,,
team,201909290atl,atl,First Downs,24,,,,,,
team,201909290atl,oti,Rush-Yds-TDs,34-138-0,,,,,,
team,201909290atl,atl,Rush-Yds-TDs,17-58-1,,,,,,
team,201909290atl,oti,Cmp-Att-Yd-TD-INT,18-27-227-3-0,,,,,,
team,201909290atl,atl,Cmp-Att-Yd-TD-INT,35-53-397-0-0,,,,,,
team,201909290atl,oti,Sacked-Yards,0-0,,,,,,
team,201909290atl,atl,Sacked-Yards,5-33,,,,,,
team,201909290atl,oti,Net Pass Yards,227,,,,,,
team,201909290atl,atl,Net Pass Yards,364,,,,,,
team,201909290atl,oti,Total Yards,365,,,,,,
team,201909290atl,atl,Total Yards,422,,,,,,
team,201909290atl,oti,Fumbles-Lost,3-0,,,,,,
team,201909290atl,atl,Fumbles-Lost,1-1,,,,,,
team,201909290atl,oti,Turnovers,0,,,,,,
team,201909290atl,atl,Turnovers,1,,,,,,
team,201909290atl,oti,Penalties-Yards,5-77,,,,,,
team,201909290atl,atl,Penalties-Yards,7-50,,,,,,
team,201909290atl,oti,Third Down Conv.,6-13,,,,,,
team,201909290atl,atl,Third Down Conv.,5-14,,,,,,
team,201909290atl,oti,Fourth Down Conv.,0-1,,,,,,
team,201909290atl,atl,Fourth Down Conv.,1-4,,,,,,
team,201909290atl,oti,Time of Possession,29:19,,,,,,
team,201909290atl,atl,Time of Possession,30:41,,,,,,
player,201909290atl,oti,MariMa01,pass_cmp,18,,,,,
player,201909290atl,oti,MariMa01,pass_att,27,,,,,
player,201909290atl,oti,MariMa01,pass_yds,227,,,,,
player,201909290atl,oti,MariMa01,pass_td,3,,,,,
player,201909290atl,oti,MariMa01,pass_int,0,,,,,
player,201909290atl,oti,MariMa01,pass_sacked,0,,,,,
player,201909290atl,oti,MariMa01,pass_sacked_yds,0,,,,,
player,201909290atl,oti,MariMa01,pass_long,55,,,,,
player,201909290atl,oti,MariMa01,pass_rating,129.7,,,,,
player,201909290atl,oti,MariMa01,rush_att,3,,,,,
player,201909290atl,oti,MariMa01,rush_yds,22,,,,,
player,201909290atl,oti,MariMa01,rush_td,0,,,,,
player,201909290atl,oti,MariMa01,rush_long,11,,,,,
player,201909290atl,oti,MariMa01,targets,0,,,,,
player,201909290atl,oti,MariMa01,rec,0,,,,,
player,201909290atl,oti,MariMa01,rec_yds,0,,,,,
player,201909290atl,oti,MariMa01,rec_td,0,,,,,
player,201909290atl,oti,MariMa01,rec_long,0,,,,,
player,201909290atl,oti,MariMa01,fumbles,1,,,,,
player,201909290atl,oti,MariMa01,fumbles_lost,0,,,,,
player,201909290atl,oti,HenrDe00,pass_cmp,0,,,,,
player,201909290atl,oti,HenrDe00,pass_att,0,,,,,
player,201909290atl,oti,HenrDe00,pass_yds,0,,,,,
player,201909290atl,oti,HenrDe00,pass_td,0,,,,,
player,201909290atl,oti,HenrDe00,pass_int,0,,,,,
player,201909290atl,oti,HenrDe00,pass_sacked,0,,,,,
player,201909290atl,oti,HenrDe00,pass_sacked_yds,0,,,,,
player,201909290atl,oti,HenrDe00,pass_long,0,,,,,
player,201909290atl,oti,HenrDe00,pass_rating,,,,,,
player,201909290atl,oti,HenrDe00,rush_att,27,,,,,
player,201909290atl,oti,HenrDe00,rush_yds,100,,,,,
player,201909290atl,oti,HenrDe00,rush_td,0,,,,,
player,201909290atl,oti,HenrDe00,rush_long,16,,,,,
player,201909290atl,oti,HenrDe00,targets,1,,,,,
player,201909290atl,oti,HenrDe00,rec,1,,,,,
player,201909290atl,oti,HenrDe00,rec_yds,8,,,,,
