game,2019,3,20190922,201909220min,rai,"Oakland Raiders",14,min,"Minnesota Vikings",34
team,201909220min,rai,First Downs,17,,,,,,
team,201909220min,min,First Downs,23,,,,,,
team,201909220min,rai,Rush-Yds-TDs,20-88-0,,,,,,
team,201909220min,min,Rush-Yds-TDs,38-211-3,,,,,,
team,201909220min,rai,Cmp-Att-Yd-TD-INT,27-34-242-2-1,,,,,,
team,201909220min,min,Cmp-Att-Yd-TD-INT,15-21-174-1-0,,,,,,
team,201909220min,rai,Sacked-Yards,4-28,,,,,,
team,201909220min,min,Sacked-Yards,0-0,,,,,,
team,201909220min,rai,Net Pass Yards,214,,,,,,
team,201909220min,min,Net Pass Yards,174,,,,,,
team,201909220min,rai,Total Yards,302,,,,,,
team,201909220min,min,Total Yards,385,,,,,,
team,201909220min,rai,Fumbles-Lost,1-0,,,,,,
team,201909220min,min,Fumbles-Lost,1-0,,,,,,
team,201909220min,rai,Turnovers,1,,,,,,
team,201909220min,min,Turnovers,0,,,,,,
team,201909220min,rai,Penalties-Yards,7-84,,,,,,
team,201909220min,min,Penalties-Yards,6-59,,,,,,
team,201909220min,rai,Third Down Conv.,3-11,,,,,,
team,201909220min,min,Third Down Conv.,5-9,,,,,,
team,201909220min,rai,Fourth Down Conv.,2-3,,,,,,
team,201909220min,min,Fourth Down Conv.,0-0,,,,,,
team,201909220min,rai,Time of Possession,28:28,,,,,,
team,201909220min,min,Time of Possession,31:32,,,,,,
player,201909220min,rai,CarrDe02,pass_cmp,27,,,,,
player,201909220min,rai,CarrDe02,pass_att,34,,,,,
player,201909220min,rai,CarrDe02,pass_yds,242,,,,,
player,201909220min,rai,CarrDe02,pass_td,2,,,,,
player,201909220min,rai,CarrDe02,pass_int,1,,,,,
player,201909220min,rai,CarrDe02,pass_sacked,4,,,,,
player,201909220min,rai,CarrDe02,pass_sacked_yds,28,,,,,
player,201909220min,rai,CarrDe02,pass_long,30,,,,,
player,201909220min,rai,CarrDe02,pass_rating,103.7,,,,,
player,201909220min,rai,CarrDe02,rush_att,1,,,,,
player,201909220min,rai,CarrDe02,rush_yds,0,,,,,
player,201909220min,rai,CarrDe02,rush_td,0,,,,,
player,201909220min,rai,CarrDe02,rush_long,0,,,,,
player,201909220min,rai,CarrDe02,targets,0,,,,,
player,201909220min,rai,CarrDe02,rec,0,,,,,
player,201909220min,rai,CarrDe02,rec_yds,0,,,,,
player,201909220min,rai,CarrDe02,rec_td,0,,,,,
player,201909220min,rai,CarrDe02,rec_long,0,,,,,
player,201909220min,rai,CarrDe02,fumbles,0,,,,,
player,201909220min,rai,CarrDe02,fumbles_lost,0,,,,,
player,201909220min,rai,JacoJo01,pass_cmp,0,,,,,
player,201909220min,rai,JacoJo01,pass_att,0,,,,,
player,201909220min,rai,JacoJo01,pass_yds,0,,,,,
player,201909220min,rai,JacoJo01,pass_td,0,,,,,
player,201909220min,rai,JacoJo01,pass_int,0,,,,,
player,201909220min,rai,JacoJo01,pass_sacked,0,,,,,
player,201909220min,rai,JacoJo01,pass_sacked_yds,0,,,,,
player,201909220min,rai,JacoJo01,pass_long,0,,,,,
player,201909220min,rai,JacoJo01,pass_rating,,,,,,
player,201909220min,rai,JacoJo01,rush_att,10,,,,,
player,201909220min,rai,JacoJo01,rush_yds,44,,,,,
player,201909220min,rai,JacoJo01,rush_td,0,,,,,
player,201909220min,rai,JacoJo01,rush_long,18,,,,,
player,201909220min,rai,JacoJo01,targets,2,,,,,
player,201909220min,rai,JacoJo01,rec,0,,,,,
player,201909220min,rai,JacoJo01,rec_yds,0,,,,,
player,201909220min,rai,JacoJo01,rec_td,0,,,,,
player,201909220min,rai,JacoJo01,rec_long,0,,,,,
player,201909220min,rai,JacoJo01,fumbles,0,,,,,
player,201909220min,rai,JacoJo01,fumbles_lost,0,,,,,
player,201909220min,rai,WashDe00,pass_cmp,0,,,,,
player,201909220min,rai,WashDe00,pass_att,0,,,,,
player,201909220min,rai,WashDe00,pass_yds,0,,,,,
player,201909220min,rai,WashDe00,pass_td,0,,,,,
player,201909220min,rai,WashDe00,pass_int,0,,,,,
player,201909220min,rai,WashDe00,pass_sacked,0,,,,,
player,201909220min,rai,WashDe00,pass_sacked_yds,0,,,,,
player,201909220min,rai,WashDe00,pass_long,0,,,,,
player,201909220min,rai,WashDe00,pass_rating,,,,,,
player,201909220min,rai,WashDe00,rush_att,6,,,,,
player,201909220min,rai,WashDe00,rush_yds,22,,,,,
player,201909220min,rai,WashDe00,rush_td,0,,,,,
player,201909220min,rai,WashDe00,rush_long,8,,,,,
player,201909220min,rai,WashDe00,targets,0,,,,,
player,201909220min,rai,WashDe00,rec,0,,,,,
player,201909220min,rai,WashDe00,rec_yds,0,,,,,
player,201909220min,rai,WashDe00,rec_td,0,,,,,
player,201909220min,rai,WashDe00,rec_long,0,,,,,
player,201909220min,rai,WashDe00,fumbles,0,,,,,
player,201909220min,rai,WashDe00,fumbles_lost,0,,,,,
player,201909220min,rai,RichJa01,pass_cmp,0,,,,,
player,201909220min,rai,RichJa01,pass_att,0,,,,,
player,201909220min,rai,RichJa01,pass_yds,0,,,,,
player,201909220min,rai,RichJa01,pass_td,0,,,,,
player,201909220min,rai,RichJa01,pass_int,0,,,,,
player,201909220min,rai,RichJa01,pass_sacked,0,,,,,
player,201909220min,rai,RichJa01,pass_sacked_yds,0,,,,,
player,201909220min,rai,RichJa01,pass_long,0,,,,,
player,201909220min,rai,RichJa01,pass_rating,,,,,,
player,201909220min,rai,RichJa01,rush_att,2,,,,,
player,201909220min,rai,RichJa01,rush_yds,15,,,,,
player,201909220min,rai,RichJa01,rush_td,0,,,,,
player,201909220min,rai,RichJa01,rush_long,11,,,,,
player,201909220min,rai,RichJa01,targets,3,,,,,
player,201909220min,rai,RichJa01,rec,3,,,,,
player,201909220min,rai,RichJa01,rec_yds,14,,,,,
player,201909220min,rai,RichJa01,rec_td,0,,,,,
player,201909220min,rai,RichJa01,rec_long,9,,,,,
player,201909220min,rai,RichJa01,fumbles,1,,,,,
player,201909220min,rai,RichJa01,fumbles_lost,0,,,,,
player,201909220min,rai,WallDa01,pass_cmp,0,,,,,
player,201909220min,rai,WallDa01,pass_att,0,,,,,
player,201909220min,rai,WallDa01,pass_yds,0,,,,,
player,201909220min,rai,WallDa01,pass_td,0,,,,,
player,201909220min,rai,WallDa01,pass_int,0,,,,,
player,201909220min,rai,WallDa01,pass_sacked,0,,,,,
player,201909220min,rai,WallDa01,pass_sacked_yds,0,,,,,
player,201909220min,rai,WallDa01,pass_long,0,,,,,
player,201909220min,rai,WallDa01,pass_rating,,,,,,
player,201909220min,rai,WallDa01,rush_att,1,,,,,
player,201909220min,rai,WallDa01,rush_yds,7,,,,,
player,201909220min,rai,WallDa01,rush_td,0,,,,,
player,201909220min,rai,WallDa01,rush_long,7,,,,,
player,201909220min,rai,WallDa01,targets,14,,,,,
player,201909220min,rai,WallDa01,rec,13,,,,,
player,201909220min,rai,WallDa01,rec_yds,134,,,,,
player,201909220min,rai,WallDa01,rec_td,0,,,,,
player,201909220min,rai,WallDa01,rec_long,30,,,,,
player,201909220min,rai,WallDa01,fumbles,0,,,,,
player,201909220min,rai,WallDa01,fumbles_lost,0,,,,,
player,201909220min,rai,NelsJJ00,pass_cmp,0,,,,,
player,201909220min,rai,NelsJJ00,pass_att,0,,,,,
player,201909220min,rai,NelsJJ00,pass_yds,0,,,,,
player,201909220min,rai,NelsJJ00,pass_td,0,,,,,
player,201909220min,rai,NelsJJ00,pass_int,0,,,,,
player,201909220min,rai,NelsJJ00,pass_sacked,0,,,,,
player,201909220min,rai,NelsJJ00,pass_sacked_yds,0,,,,,
player,201909220min,rai,NelsJJ00,pass_long,0,,,,,
player,201909220min,rai,NelsJJ00,pass_rating,,,,,,
player,201909220min,rai,NelsJJ00,rush_att,0,,,,,
player,201909220min,rai,NelsJJ00,rush_yds,0,,,,,
player,201909220min,rai,NelsJJ00,rush_td,0,,,,,
player,201909220min,rai,NelsJJ00,rush_long,0,,,,,
player,201909220min,rai,NelsJJ00,targets,5,,,,,
player,201909220min,rai,NelsJJ00,rec,4,,,,,
player,201909220min,rai,NelsJJ00,rec_yds,36,,,,,
player,201909220min,rai,NelsJJ00,rec_td,1,,,,,
player,201909220min,rai,NelsJJ00,rec_long,29,,,,,
player,201909220min,rai,NelsJJ00,fumbles,0,,,,,
player,201909220min,rai,NelsJJ00,fumbles_lost,0,,,,,
player,201909220min,rai,WillTy00,pass_cmp,0,,,,,
player,201909220min,rai,WillTy00,pass_att,0,,,,,
player,201909220min,rai,WillTy00,pass_yds,0,,,,,
player,201909220min,rai,WillTy00,pass_td,0,,,,,
player,201909220min,rai,WillTy00,pass_int,0,,,,,
player,201909220min,rai,WillTy00,pass_sacked,0,,,,,
player,201909220min,rai,WillTy00,pass_sacked_yds,0,,,,,
player,201909220min,rai,WillTy00,pass_long,0,,,,,
player,201909220min,rai,WillTy00,pass_rating,,,,,,
player,201909220min,rai,WillTy00,rush_att,0,,,,,
player,201909220min,rai,WillTy00,rush_yds,0,,,,,
player,201909220min,rai,WillTy00,rush_td,0,,,,,
player,201909220min,rai,WillTy00,rush_long,0,,,,,
player,201909220min,rai,WillTy00,targets,3,,,,,
player,201909220min,rai,WillTy00,rec,3,,,,,
player,201909220min,rai,WillTy00,rec_yds,29,,,,,
player,201909220min,rai,WillTy00,rec_td,1,,,,,
player,201909220min,rai,WillTy00,rec_long,15,,,,,
player,201909220min,rai,WillTy00,fumbles,0,,,,,
player,201909220min,rai,WillTy00,fumbles_lost,0,,,,,
player,201909220min,rai,RenfHu00,pass_cmp,0,,,,,
player,201909220min,rai,RenfHu00,pass_att,0,,,,,
player,201909220min,rai,RenfHu00,pass_yds,0,,,,,
player,201909220min,rai,RenfHu00,pass_td,0,,,,,
player,201909220min,rai,RenfHu00,pass_int,0,,,,,
player,201909220min,rai,RenfHu00,pass_sacked,0,,,,,
player,201909220min,rai,RenfHu00,pass_sacked_yds,0,,,,,
player,201909220min,rai,RenfHu00,pass_long,0,,,,,
player,201909220min,rai,RenfHu00,pass_rating,,,,,,
player,201909220min,rai,RenfHu00,rush_att,0,,,,,
player,201909220min,rai,RenfHu00,rush_yds,0,,,,,
player,201909220min,rai,RenfHu00,rush_td,0,,,,,
player,201909220min,rai,RenfHu00,rush_long,0,,,,,
player,201909220min,rai,RenfHu00,targets,4,,,,,
player,201909220min,rai,RenfHu00,rec,3,,,,,
player,201909220min,rai,RenfHu00,rec_yds,28,,,,,
player,201909220min,rai,RenfHu00,rec_td,0,,,,,
player,201909220min,rai,RenfHu00,rec_long,12,,,,,
player,201909220min,rai,RenfHu00,fumbles,0,,,,,
player,201909220min,rai,RenfHu00,fumbles_lost,0,,,,,
player,201909220min,rai,MoreFo00,pass_cmp,0,,,,,
player,201909220min,rai,MoreFo00,pass_att,0,,,,,
player,201909220min,rai,MoreFo00,pass_yds,0,,,,,
player,201909220min,rai,MoreFo00,pass_td,0,,,,,
player,201909220min,rai,MoreFo00,pass_int,0,,,,,
player,201909220min,rai,MoreFo00,pass_sacked,0,,,,,
player,201909220min,rai,MoreFo00,pass_sacked_yds,0,,,,,
player,201909220min,rai,MoreFo00,pass_long,0,,,,,
player,201909220min,rai,MoreFo00,pass_rating,,,,,,
player,201909220min,rai,MoreFo00,rush_att,0,,,,,
player,201909220min,rai,MoreFo00,rush_yds,0,,,,,
player,201909220min,rai,MoreFo00,rush_td,0,,,,,
