game,2019,6,20191013,201910130min,phi,"Philadelphia Eagles",20,min,"Minnesota Vikings",38
team,201910130min,phi,First Downs,19,,,,,,
team,201910130min,min,First Downs,26,,,,,,
team,201910130min,phi,Rush-Yds-TDs,22-108-0,,,,,,
team,201910130min,min,Rush-Yds-TDs,35-122-1,,,,,,
team,201910130min,phi,Cmp-Att-Yd-TD-INT,26-41-306-2-2,,,,,,
team,201910130min,min,Cmp-Att-Yd-TD-INT,22-29-333-4-1,,,,,,
team,201910130min,phi,Sacked-Yards,2-14,,,,,,
team,201910130min,min,Sacked-Yards,1-8,,,,,,
team,201910130min,phi,Net Pass Yards,292,,,,,,
team,201910130min,min,Net Pass Yards,325,,,,,,
team,201910130min,phi,Total Yards,400,,,,,,
team,201910130min,min,Total Yards,447,,,,,,
team,201910130min,phi,Fumbles-Lost,1-1,,,,,,
team,201910130min,min,Fumbles-Lost,1-1,,,,,,
team,201910130min,phi,Turnovers,3,,,,,,
team,201910130min,min,Turnovers,2,,,,,,
team,201910130min,phi,Penalties-Yards,7-49,,,,,,
team,201910130min,min,Penalties-Yards,4-30,,,,,,
team,201910130min,phi,Third Down Conv.,4-12,,,,,,
team,201910130min,min,Third Down Conv.,2-10,,,,,,
team,201910130min,phi,Fourth Down Conv.,1-3,,,,,,
team,201910130min,min,Fourth Down Conv.,1-1,,,,,,
team,201910130min,phi,Time of Possession,27:56,,,,,,
team,201910130min,min,Time of Possession,32:04,,,,,,
player,201910130min,phi,WentCa00,pass_cmp,26,,,,,
player,201910130min,phi,WentCa00,pass_att,40,,,,,
player,201910130min,phi,WentCa00,pass_yds,306,,,,,
player,201910130min,phi,WentCa00,pass_td,2,,,,,
player,201910130min,phi,WentCa00,pass_int,1,,,,,
player,201910130min,phi,WentCa00,pass_sacked,2,,,,,
player,201910130min,phi,WentCa00,pass_sacked_yds,14,,,,,
player,201910130min,phi,WentCa00,pass_long,45,,,,,
player,201910130min,phi,WentCa00,pass_rating,94.4,,,,,
player,201910130min,phi,WentCa00,rush_att,2,,,,,
player,201910130min,phi,WentCa00,rush_yds,23,,,,,
player,201910130min,phi,WentCa00,rush_td,0,,,,,
player,201910130min,phi,WentCa00,rush_long,16,,,,,
player,201910130min,phi,WentCa00,targets,0,,,,,
player,201910130min,phi,WentCa00,rec,0,,,,,
player,201910130min,phi,WentCa00,rec_yds,0,,,,,
player,201910130min,phi,WentCa00,rec_td,0,,,,,
player,201910130min,phi,WentCa00,rec_long,0,,,,,
player,201910130min,phi,WentCa00,fumbles,0,,,,,
player,201910130min,phi,WentCa00,fumbles_lost,0,,,,,
player,201910130min,phi,ElliJa03,pass_cmp,0,,,,,
player,201910130min,phi,ElliJa03,pass_att,1,,,,,
player,201910130min,phi,ElliJa03,pass_yds,0,,,,,
player,201910130min,phi,ElliJa03,pass_td,0,,,,,
player,201910130min,phi,ElliJa03,pass_int,1,,,,,
player,201910130min,phi,ElliJa03,pass_sacked,0,,,,,
player,201910130min,phi,ElliJa03,pass_sacked_yds,0,,,,,
player,201910130min,phi,ElliJa03,pass_long,0,,,,,
player,201910130min,phi,ElliJa03,pass_rating,0.0,,,,,
player,201910130min,phi,ElliJa03,rush_att,0,,,,,
player,201910130min,phi,ElliJa03,rush_yds,0,,,,,
player,201910130min,phi,ElliJa03,rush_td,0,,,,,
player,201910130min,phi,ElliJa03,rush_long,0,,,,,
player,201910130min,phi,ElliJa03,targets,0,,,,,
player,201910130min,phi,ElliJa03,rec,0,,,,,
player,201910130min,phi,ElliJa03,rec_yds,0,,,,,
player,201910130min,phi,ElliJa03,rec_td,0,,,,,
player,201910130min,phi,ElliJa03,rec_long,0,,,,,
player,201910130min,phi,ElliJa03,fumbles,0,,,,,
player,201910130min,phi,ElliJa03,fumbles_lost,0,,,,,
player,201910130min,phi,HowaJo00,pass_cmp,0,,,,,
player,201910130min,phi,HowaJo00,pass_att,0,,,,,
player,201910130min,phi,HowaJo00,pass_yds,0,,,,,
player,201910130min,phi,HowaJo00,pass_td,0,,,,,
player,201910130min,phi,HowaJo00,pass_int,0,,,,,
player,201910130min,phi,HowaJo00,pass_sacked,0,,,,,
player,201910130min,phi,HowaJo00,pass_sacked_yds,0,,,,,
player,201910130min,phi,HowaJo00,pass_long,0,,,,,
player,201910130min,phi,HowaJo00,pass_rating,,,,,,
player,201910130min,phi,HowaJo00,rush_att,13,,,,,
player,201910130min,phi,HowaJo00,rush_yds,49,,,,,
player,201910130min,phi,HowaJo00,rush_td,0,,,,,
player,201910130min,phi,HowaJo00,rush_long,12,,,,,
player,201910130min,phi,HowaJo00,targets,0,,,,,
player,201910130min,phi,HowaJo00,rec,0,,,,,
player,201910130min,phi,HowaJo00,rec_yds,0,,,,,
player,201910130min,phi,HowaJo00,rec_td,0,,,,,
player,201910130min,phi,HowaJo00,rec_long,0,,,,,
player,201910130min,phi,HowaJo00,fumbles,0,,,,,
player,201910130min,phi,HowaJo00,fumbles_lost,0,,,,,
player,201910130min,phi,ScotBo02,pass_cmp,0,,,,,
player,201910130min,phi,ScotBo02,pass_att,0,,,,,
player,201910130min,phi,ScotBo02,pass_yds,0,,,,,
player,201910130min,phi,ScotBo02,pass_td,0,,,,,
player,201910130min,phi,ScotBo02,pass_int,0,,,,,
player,201910130min,phi,ScotBo02,pass_sacked,0,,,,,
player,201910130min,phi,ScotBo02,pass_sacked_yds,0,,,,,
player,201910130min,phi,ScotBo02,pass_long,0,,,,,
player,201910130min,phi,ScotBo02,pass_rating,,,,,,
player,201910130min,phi,ScotBo02,rush_att,4,,,,,
player,201910130min,phi,ScotBo02,rush_yds,30,,,,,
player,201910130min,phi,ScotBo02,rush_td,0,,,,,
player,201910130min,phi,ScotBo02,rush_long,15,,,,,
player,201910130min,phi,ScotBo02,targets,0,,,,,
player,201910130min,phi,ScotBo02,rec,0,,,,,
player,201910130min,phi,ScotBo02,rec_yds,0,,,,,
player,201910130min,phi,ScotBo02,rec_td,0,,,,,
player,201910130min,phi,ScotBo02,rec_long,0,,,,,
player,201910130min,phi,ScotBo02,fumbles,0,,,,,
player,201910130min,phi,ScotBo02,fumbles_lost,0,,,,,
player,201910130min,phi,SandMi01,pass_cmp,0,,,,,
player,201910130min,phi,SandMi01,pass_att,0,,,,,
player,201910130min,phi,SandMi01,pass_yds,0,,,,,
player,201910130min,phi,SandMi01,pass_td,0,,,,,
player,201910130min,phi,SandMi01,pass_int,0,,,,,
player,201910130min,phi,SandMi01,pass_sacked,0,,,,,
player,201910130min,phi,SandMi01,pass_sacked_yds,0,,,,,
player,201910130min,phi,SandMi01,pass_long,0,,,,,
player,201910130min,phi,SandMi01,pass_rating,,,,,,
player,201910130min,phi,SandMi01,rush_att,3,,,,,
player,201910130min,phi,SandMi01,rush_yds,6,,,,,
player,201910130min,phi,SandMi01,rush_td,0,,,,,
player,201910130min,phi,SandMi01,rush_long,3,,,,,
player,201910130min,phi,SandMi01,targets,3,,,,,
player,201910130min,phi,SandMi01,rec,3,,,,,
player,201910130min,phi,SandMi01,rec_yds,86,,,,,
player,201910130min,phi,SandMi01,rec_td,1,,,,,
player,201910130min,phi,SandMi01,rec_long,45,,,,,
player,201910130min,phi,SandMi01,fumbles,0,,,,,
player,201910130min,phi,SandMi01,fumbles_lost,0,,,,,
player,201910130min,phi,JeffAl00,pass_cmp,0,,,,,
player,201910130min,phi,JeffAl00,pass_att,0,,,,,
player,201910130min,phi,JeffAl00,pass_yds,0,,,,,
player,201910130min,phi,JeffAl00,pass_td,0,,,,,
player,201910130min,phi,JeffAl00,pass_int,0,,,,,
player,201910130min,phi,JeffAl00,pass_sacked,0,,,,,
player,201910130min,phi,JeffAl00,pass_sacked_yds,0,,,,,
player,201910130min,phi,JeffAl00,pass_long,0,,,,,
player,201910130min,phi,JeffAl00,pass_rating,,,,,,
player,201910130min,phi,JeffAl00,rush_att,0,,,,,
player,201910130min,phi,JeffAl00,rush_yds,0,,,,,
player,201910130min,phi,JeffAl00,rush_td,0,,,,,
player,201910130min,phi,JeffAl00,rush_long,0,,,,,
player,201910130min,phi,JeffAl00,targets,12,,,,,
player,201910130min,phi,JeffAl00,rec,10,,,,,
player,201910130min,phi,JeffAl00,rec_yds,76,,,,,
player,201910130min,phi,JeffAl00,rec_td,1,,,,,
player,201910130min,phi,JeffAl00,rec_long,26,,,,,
player,201910130min,phi,JeffAl00,fumbles,0,,,,,
player,201910130min,phi,JeffAl00,fumbles_lost,0,,,,,
player,201910130min,phi,ErtzZa00,pass_cmp,0,,,,,
player,201910130min,phi,ErtzZa00,pass_att,0,,,,,
player,201910130min,phi,ErtzZa00,pass_yds,0,,,,,
player,201910130min,phi,ErtzZa00,pass_td,0,,,,,
player,201910130min,phi,ErtzZa00,pass_int,0,,,,,
player,201910130min,phi,ErtzZa00,pass_sacked,0,,,,,
player,201910130min,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201910130min,phi,ErtzZa00,pass_long,0,,,,,
player,201910130min,phi,ErtzZa00,pass_rating,,,,,,
player,201910130min,phi,ErtzZa00,rush_att,0,,,,,
player,201910130min,phi,ErtzZa00,rush_yds,0,,,,,
player,201910130min,phi,ErtzZa00,rush_td,0,,,,,
player,201910130min,phi,ErtzZa00,rush_long,0,,,,,
player,201910130min,phi,ErtzZa00,targets,9,,,,,
player,201910130min,phi,ErtzZa00,rec,4,,,,,
player,201910130min,phi,ErtzZa00,rec_yds,54,,,,,
player,201910130min,phi,ErtzZa00,rec_td,0,,,,,
player,201910130min,phi,ErtzZa00,rec_long,20,,,,,
player,201910130min,phi,ErtzZa00,fumbles,1,,,,,
player,201910130min,phi,ErtzZa00,fumbles_lost,1,,,,,
player,201910130min,phi,GoedDa00,pass_cmp,0,,,,,
player,201910130min,phi,GoedDa00,pass_att,0,,,,,
player,201910130min,phi,GoedDa00,pass_yds,0,,,,,
player,201910130min,phi,GoedDa00,pass_td,0,,,,,
player,201910130min,phi,GoedDa00,pass_int,0,,,,,
player,201910130min,phi,GoedDa00,pass_sacked,0,,,,,
player,201910130min,phi,GoedDa00,pass_sacked_yds,0,,,,,
player,201910130min,phi,GoedDa00,pass_long,0,,,,,
player,201910130min,phi,GoedDa00,pass_rating,,,,,,
player,201910130min,phi,GoedDa00,rush_att,0,,,,,
player,201910130min,phi,GoedDa00,rush_yds,0,,,,,
player,201910130min,phi,GoedDa00,rush_td,0,,,,,
player,201910130min,phi,GoedDa00,rush_long,0,,,,,
player,201910130min,phi,GoedDa00,targets,8,,,,,
player,201910130min,phi,GoedDa00,rec,5,,,,,
player,201910130min,phi,GoedDa00,rec_yds,48,,,,,
player,201910130min,phi,GoedDa00,rec_td,0,,,,,
player,201910130min,phi,GoedDa00,rec_long,13,,,,,
player,201910130min,phi,GoedDa00,fumbles,0,,,,,
player,201910130min,phi,GoedDa00,fumbles_lost,0,,,,,
