game,2019,1,20190908,201909080min,atl,"Atlanta Falcons",12,min,"Minnesota Vikings",28
team,201909080min,atl,First Downs,27,,,,,,
team,201909080min,min,First Downs,18,,,,,,
team,201909080min,atl,Rush-Yds-TDs,17-73-0,,,,,,
team,201909080min,min,Rush-Yds-TDs,38-172-3,,,,,,
team,201909080min,atl,Cmp-Att-Yd-TD-INT,33-46-304-2-2,,,,,,
team,201909080min,min,Cmp-Att-Yd-TD-INT,8-10-98-1-0,,,,,,
team,201909080min,atl,Sacked-Yards,4-32,,,,,,
team,201909080min,min,Sacked-Yards,1-1,,,,,,
team,201909080min,atl,Net Pass Yards,272,,,,,,
team,201909080min,min,Net Pass Yards,97,,,,,,
team,201909080min,atl,Total Yards,345,,,,,,
team,201909080min,min,Total Yards,269,,,,,,
team,201909080min,atl,Fumbles-Lost,1-1,,,,,,
team,201909080min,min,Fumbles-Lost,2-0,,,,,,
team,201909080min,atl,Turnovers,3,,,,,,
team,201909080min,min,Turnovers,0,,,,,,
team,201909080min,atl,Penalties-Yards,9-78,,,,,,
team,201909080min,min,Penalties-Yards,11-100,,,,,,
team,201909080min,atl,Third Down Conv.,2-8,,,,,,
team,201909080min,min,Third Down Conv.,5-10,,,,,,
team,201909080min,atl,Fourth Down Conv.,2-2,,,,,,
team,201909080min,min,Fourth Down Conv.,0-0,,,,,,
team,201909080min,atl,Time of Possession,30:13,,,,,,
team,201909080min,min,Time of Possession,29:47,,,,,,
player,201909080min,atl,RyanMa00,pass_cmp,33,,,,,
player,201909080min,atl,RyanMa00,pass_att,46,,,,,
player,201909080min,atl,RyanMa00,pass_yds,304,,,,,
player,201909080min,atl,RyanMa00,pass_td,2,,,,,
player,201909080min,atl,RyanMa00,pass_int,2,,,,,
player,201909080min,atl,RyanMa00,pass_sacked,4,,,,,
player,201909080min,atl,RyanMa00,pass_sacked_yds,32,,,,,
player,201909080min,atl,RyanMa00,pass_long,23,,,,,
player,201909080min,atl,RyanMa00,pass_rating,85.8,,,,,
player,201909080min,atl,RyanMa00,rush_att,2,,,,,
player,201909080min,atl,RyanMa00,rush_yds,24,,,,,
player,201909080min,atl,RyanMa00,rush_td,0,,,,,
player,201909080min,atl,RyanMa00,rush_long,12,,,,,
player,201909080min,atl,RyanMa00,targets,0,,,,,
player,201909080min,atl,RyanMa00,rec,0,,,,,
player,201909080min,atl,RyanMa00,rec_yds,0,,,,,
player,201909080min,atl,RyanMa00,rec_td,0,,,,,
player,201909080min,atl,RyanMa00,rec_long,0,,,,,
player,201909080min,atl,RyanMa00,fumbles,0,,,,,
player,201909080min,atl,RyanMa00,fumbles_lost,0,,,,,
player,201909080min,atl,SmitIt00,pass_cmp,0,,,,,
player,201909080min,atl,SmitIt00,pass_att,0,,,,,
player,201909080min,atl,SmitIt00,pass_yds,0,,,,,
player,201909080min,atl,SmitIt00,pass_td,0,,,,,
player,201909080min,atl,SmitIt00,pass_int,0,,,,,
player,201909080min,atl,SmitIt00,pass_sacked,0,,,,,
player,201909080min,atl,SmitIt00,pass_sacked_yds,0,,,,,
player,201909080min,atl,SmitIt00,pass_long,0,,,,,
player,201909080min,atl,SmitIt00,pass_rating,,,,,,
player,201909080min,atl,SmitIt00,rush_att,6,,,,,
player,201909080min,atl,SmitIt00,rush_yds,31,,,,,
player,201909080min,atl,SmitIt00,rush_td,0,,,,,
player,201909080min,atl,SmitIt00,rush_long,16,,,,,
player,201909080min,atl,SmitIt00,targets,1,,,,,
player,201909080min,atl,SmitIt00,rec,1,,,,,
player,201909080min,atl,SmitIt00,rec_yds,9,,,,,
player,201909080min,atl,SmitIt00,rec_td,0,,,,,
player,201909080min,atl,SmitIt00,rec_long,9,,,,,
player,201909080min,atl,SmitIt00,fumbles,0,,,,,
player,201909080min,atl,SmitIt00,fumbles_lost,0,,,,,
player,201909080min,atl,FreeDe00,pass_cmp,0,,,,,
player,201909080min,atl,FreeDe00,pass_att,0,,,,,
player,201909080min,atl,FreeDe00,pass_yds,0,,,,,
player,201909080min,atl,FreeDe00,pass_td,0,,,,,
player,201909080min,atl,FreeDe00,pass_int,0,,,,,
player,201909080min,atl,FreeDe00,pass_sacked,0,,,,,
player,201909080min,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201909080min,atl,FreeDe00,pass_long,0,,,,,
player,201909080min,atl,FreeDe00,pass_rating,,,,,,
player,201909080min,atl,FreeDe00,rush_att,8,,,,,
player,201909080min,atl,FreeDe00,rush_yds,19,,,,,
player,201909080min,atl,FreeDe00,rush_td,0,,,,,
player,201909080min,atl,FreeDe00,rush_long,5,,,,,
player,201909080min,atl,FreeDe00,targets,4,,,,,
player,201909080min,atl,FreeDe00,rec,3,,,,,
player,201909080min,atl,FreeDe00,rec_yds,12,,,,,
player,201909080min,atl,FreeDe00,rec_td,0,,,,,
player,201909080min,atl,FreeDe00,rec_long,7,,,,,
player,201909080min,atl,FreeDe00,fumbles,1,,,,,
player,201909080min,atl,FreeDe00,fumbles_lost,1,,,,,
player,201909080min,atl,HoopAu00,pass_cmp,0,,,,,
player,201909080min,atl,HoopAu00,pass_att,0,,,,,
player,201909080min,atl,HoopAu00,pass_yds,0,,,,,
player,201909080min,atl,HoopAu00,pass_td,0,,,,,
player,201909080min,atl,HoopAu00,pass_int,0,,,,,
player,201909080min,atl,HoopAu00,pass_sacked,0,,,,,
player,201909080min,atl,HoopAu00,pass_sacked_yds,0,,,,,
player,201909080min,atl,HoopAu00,pass_long,0,,,,,
player,201909080min,atl,HoopAu00,pass_rating,,,,,,
player,201909080min,atl,HoopAu00,rush_att,0,,,,,
player,201909080min,atl,HoopAu00,rush_yds,0,,,,,
player,201909080min,atl,HoopAu00,rush_td,0,,,,,
player,201909080min,atl,HoopAu00,rush_long,0,,,,,
player,201909080min,atl,HoopAu00,targets,9,,,,,
player,201909080min,atl,HoopAu00,rec,9,,,,,
player,201909080min,atl,HoopAu00,rec_yds,77,,,,,
player,201909080min,atl,HoopAu00,rec_td,0,,,,,
player,201909080min,atl,HoopAu00,rec_long,16,,,,,
player,201909080min,atl,HoopAu00,fumbles,0,,,,,
player,201909080min,atl,HoopAu00,fumbles_lost,0,,,,,
player,201909080min,atl,RidlCa00,pass_cmp,0,,,,,
player,201909080min,atl,RidlCa00,pass_att,0,,,,,
player,201909080min,atl,RidlCa00,pass_yds,0,,,,,
player,201909080min,atl,RidlCa00,pass_td,0,,,,,
player,201909080min,atl,RidlCa00,pass_int,0,,,,,
player,201909080min,atl,RidlCa00,pass_sacked,0,,,,,
player,201909080min,atl,RidlCa00,pass_sacked_yds,0,,,,,
player,201909080min,atl,RidlCa00,pass_long,0,,,,,
player,201909080min,atl,RidlCa00,pass_rating,,,,,,
player,201909080min,atl,RidlCa00,rush_att,0,,,,,
player,201909080min,atl,RidlCa00,rush_yds,0,,,,,
player,201909080min,atl,RidlCa00,rush_td,0,,,,,
player,201909080min,atl,RidlCa00,rush_long,0,,,,,
player,201909080min,atl,RidlCa00,targets,6,,,,,
player,201909080min,atl,RidlCa00,rec,4,,,,,
player,201909080min,atl,RidlCa00,rec_yds,64,,,,,
player,201909080min,atl,RidlCa00,rec_td,1,,,,,
player,201909080min,atl,RidlCa00,rec_long,20,,,,,
player,201909080min,atl,RidlCa00,fumbles,0,,,,,
player,201909080min,atl,RidlCa00,fumbles_lost,0,,,,,
player,201909080min,atl,SanuMo00,pass_cmp,0,,,,,
player,201909080min,atl,SanuMo00,pass_att,0,,,,,
player,201909080min,atl,SanuMo00,pass_yds,0,,,,,
player,201909080min,atl,SanuMo00,pass_td,0,,,,,
player,201909080min,atl,SanuMo00,pass_int,0,,,,,
player,201909080min,atl,SanuMo00,pass_sacked,0,,,,,
player,201909080min,atl,SanuMo00,pass_sacked_yds,0,,,,,
player,201909080min,atl,SanuMo00,pass_long,0,,,,,
player,201909080min,atl,SanuMo00,pass_rating,,,,,,
player,201909080min,atl,SanuMo00,rush_att,0,,,,,
player,201909080min,atl,SanuMo00,rush_yds,0,,,,,
player,201909080min,atl,SanuMo00,rush_td,0,,,,,
player,201909080min,atl,SanuMo00,rush_long,0,,,,,
player,201909080min,atl,SanuMo00,targets,6,,,,,
player,201909080min,atl,SanuMo00,rec,5,,,,,
player,201909080min,atl,SanuMo00,rec_yds,57,,,,,
player,201909080min,atl,SanuMo00,rec_td,0,,,,,
player,201909080min,atl,SanuMo00,rec_long,23,,,,,
player,201909080min,atl,SanuMo00,fumbles,0,,,,,
player,201909080min,atl,SanuMo00,fumbles_lost,0,,,,,
player,201909080min,atl,HardJu00,pass_cmp,0,,,,,
player,201909080min,atl,HardJu00,pass_att,0,,,,,
player,201909080min,atl,HardJu00,pass_yds,0,,,,,
player,201909080min,atl,HardJu00,pass_td,0,,,,,
player,201909080min,atl,HardJu00,pass_int,0,,,,,
player,201909080min,atl,HardJu00,pass_sacked,0,,,,,
player,201909080min,atl,HardJu00,pass_sacked_yds,0,,,,,
player,201909080min,atl,HardJu00,pass_long,0,,,,,
