game,2019,12,20191124,201911240was,det,"Detroit Lions",16,was,"Washington Redskins",19
team,201911240was,det,First Downs,21,,,,,,
team,201911240was,was,First Downs,13,,,,,,
team,201911240was,det,Rush-Yds-TDs,32-175-0,,,,,,
team,201911240was,was,Rush-Yds-TDs,24-86-0,,,,,,
team,201911240was,det,Cmp-Att-Yd-TD-INT,20-33-207-1-3,,,,,,
team,201911240was,was,Cmp-Att-Yd-TD-INT,13-30-156-0-1,,,,,,
team,201911240was,det,Sacked-Yards,6-18,,,,,,
team,201911240was,was,Sacked-Yards,3-12,,,,,,
team,201911240was,det,Net Pass Yards,189,,,,,,
team,201911240was,was,Net Pass Yards,144,,,,,,
team,201911240was,det,Total Yards,364,,,,,,
team,201911240was,was,Total Yards,230,,,,,,
team,201911240was,det,Fumbles-Lost,2-1,,,,,,
team,201911240was,was,Fumbles-Lost,1-1,,,,,,
team,201911240was,det,Turnovers,4,,,,,,
team,201911240was,was,Turnovers,2,,,,,,
team,201911240was,det,Penalties-Yards,6-65,,,,,,
team,201911240was,was,Penalties-Yards,8-63,,,,,,
team,201911240was,det,Third Down Conv.,6-15,,,,,,
team,201911240was,was,Third Down Conv.,4-14,,,,,,
team,201911240was,det,Fourth Down Conv.,0-0,,,,,,
team,201911240was,was,Fourth Down Conv.,0-0,,,,,,
team,201911240was,det,Time of Possession,33:30,,,,,,
team,201911240was,was,Time of Possession,26:30,,,,,,
player,201911240was,det,DrisJe00,pass_cmp,20,,,,,
player,201911240was,det,DrisJe00,pass_att,33,,,,,
player,201911240was,det,DrisJe00,pass_yds,207,,,,,
player,201911240was,det,DrisJe00,pass_td,1,,,,,
player,201911240was,det,DrisJe00,pass_int,3,,,,,
player,201911240was,det,DrisJe00,pass_sacked,6,,,,,
player,201911240was,det,DrisJe00,pass_sacked_yds,18,,,,,
player,201911240was,det,DrisJe00,pass_long,34,,,,,
player,201911240was,det,DrisJe00,pass_rating,50.9,,,,,
player,201911240was,det,DrisJe00,rush_att,9,,,,,
player,201911240was,det,DrisJe00,rush_yds,63,,,,,
player,201911240was,det,DrisJe00,rush_td,0,,,,,
player,201911240was,det,DrisJe00,rush_long,18,,,,,
player,201911240was,det,DrisJe00,targets,0,,,,,
player,201911240was,det,DrisJe00,rec,0,,,,,
player,201911240was,det,DrisJe00,rec_yds,0,,,,,
player,201911240was,det,DrisJe00,rec_td,0,,,,,
player,201911240was,det,DrisJe00,rec_long,0,,,,,
player,201911240was,det,DrisJe00,fumbles,1,,,,,
player,201911240was,det,DrisJe00,fumbles_lost,0,,,,,
player,201911240was,det,ScarBo01,pass_cmp,0,,,,,
player,201911240was,det,ScarBo01,pass_att,0,,,,,
player,201911240was,det,ScarBo01,pass_yds,0,,,,,
player,201911240was,det,ScarBo01,pass_td,0,,,,,
player,201911240was,det,ScarBo01,pass_int,0,,,,,
player,201911240was,det,ScarBo01,pass_sacked,0,,,,,
player,201911240was,det,ScarBo01,pass_sacked_yds,0,,,,,
player,201911240was,det,ScarBo01,pass_long,0,,,,,
player,201911240was,det,ScarBo01,pass_rating,,,,,,
player,201911240was,det,ScarBo01,rush_att,18,,,,,
player,201911240was,det,ScarBo01,rush_yds,98,,,,,
player,201911240was,det,ScarBo01,rush_td,0,,,,,
player,201911240was,det,ScarBo01,rush_long,30,,,,,
player,201911240was,det,ScarBo01,targets,1,,,,,
player,201911240was,det,ScarBo01,rec,0,,,,,
player,201911240was,det,ScarBo01,rec_yds,0,,,,,
player,201911240was,det,ScarBo01,rec_td,0,,,,,
player,201911240was,det,ScarBo01,rec_long,0,,,,,
player,201911240was,det,ScarBo01,fumbles,1,,,,,
player,201911240was,det,ScarBo01,fumbles_lost,1,,,,,
player,201911240was,det,JohnTy02,pass_cmp,0,,,,,
player,201911240was,det,JohnTy02,pass_att,0,,,,,
player,201911240was,det,JohnTy02,pass_yds,0,,,,,
player,201911240was,det,JohnTy02,pass_td,0,,,,,
player,201911240was,det,JohnTy02,pass_int,0,,,,,
player,201911240was,det,JohnTy02,pass_sacked,0,,,,,
player,201911240was,det,JohnTy02,pass_sacked_yds,0,,,,,
player,201911240was,det,JohnTy02,pass_long,0,,,,,
player,201911240was,det,JohnTy02,pass_rating,,,,,,
player,201911240was,det,JohnTy02,rush_att,4,,,,,
player,201911240was,det,JohnTy02,rush_yds,11,,,,,
player,201911240was,det,JohnTy02,rush_td,0,,,,,
player,201911240was,det,JohnTy02,rush_long,5,,,,,
player,201911240was,det,JohnTy02,targets,2,,,,,
player,201911240was,det,JohnTy02,rec,2,,,,,
player,201911240was,det,JohnTy02,rec_yds,10,,,,,
player,201911240was,det,JohnTy02,rec_td,0,,,,,
player,201911240was,det,JohnTy02,rec_long,5,,,,,
player,201911240was,det,JohnTy02,fumbles,0,,,,,
player,201911240was,det,JohnTy02,fumbles_lost,0,,,,,
player,201911240was,det,McKiJ.00,pass_cmp,0,,,,,
player,201911240was,det,McKiJ.00,pass_att,0,,,,,
player,201911240was,det,McKiJ.00,pass_yds,0,,,,,
player,201911240was,det,McKiJ.00,pass_td,0,,,,,
player,201911240was,det,McKiJ.00,pass_int,0,,,,,
player,201911240was,det,McKiJ.00,pass_sacked,0,,,,,
player,201911240was,det,McKiJ.00,pass_sacked_yds,0,,,,,
player,201911240was,det,McKiJ.00,pass_long,0,,,,,
player,201911240was,det,McKiJ.00,pass_rating,,,,,,
player,201911240was,det,McKiJ.00,rush_att,1,,,,,
player,201911240was,det,McKiJ.00,rush_yds,3,,,,,
player,201911240was,det,McKiJ.00,rush_td,0,,,,,
player,201911240was,det,McKiJ.00,rush_long,3,,,,,
player,201911240was,det,McKiJ.00,targets,2,,,,,
player,201911240was,det,McKiJ.00,rec,2,,,,,
player,201911240was,det,McKiJ.00,rec_yds,17,,,,,
player,201911240was,det,McKiJ.00,rec_td,0,,,,,
player,201911240was,det,McKiJ.00,rec_long,17,,,,,
player,201911240was,det,McKiJ.00,fumbles,0,,,,,
player,201911240was,det,McKiJ.00,fumbles_lost,0,,,,,
player,201911240was,det,GollKe00,pass_cmp,0,,,,,
player,201911240was,det,GollKe00,pass_att,0,,,,,
