game,2019,14,20191208,201912080crd,pit,"Pittsburgh Steelers",23,crd,"Arizona Cardinals",17
team,201912080crd,pit,First Downs,20,,,,,,
team,201912080crd,crd,First Downs,17,,,,,,
team,201912080crd,pit,Rush-Yds-TDs,35-140-0,,,,,,
team,201912080crd,crd,Rush-Yds-TDs,22-71-0,,,,,,
team,201912080crd,pit,Cmp-Att-Yd-TD-INT,16-19-152-1-0,,,,,,
team,201912080crd,crd,Cmp-Att-Yd-TD-INT,20-30-194-2-3,,,,,,
team,201912080crd,pit,Sacked-Yards,3-17,,,,,,
team,201912080crd,crd,Sacked-Yards,5-29,,,,,,
team,201912080crd,pit,Net Pass Yards,135,,,,,,
team,201912080crd,crd,Net Pass Yards,165,,,,,,
team,201912080crd,pit,Total Yards,275,,,,,,
team,201912080crd,crd,Total Yards,236,,,,,,
team,201912080crd,pit,Fumbles-Lost,3-2,,,,,,
team,201912080crd,crd,Fumbles-Lost,1-0,,,,,,
team,201912080crd,pit,Turnovers,2,,,,,,
team,201912080crd,crd,Turnovers,3,,,,,,
team,201912080crd,pit,Penalties-Yards,4-20,,,,,,
team,201912080crd,crd,Penalties-Yards,7-75,,,,,,
team,201912080crd,pit,Third Down Conv.,4-11,,,,,,
team,201912080crd,crd,Third Down Conv.,4-11,,,,,,
team,201912080crd,pit,Fourth Down Conv.,0-1,,,,,,
team,201912080crd,crd,Fourth Down Conv.,1-3,,,,,,
team,201912080crd,pit,Time of Possession,31:54,,,,,,
team,201912080crd,crd,Time of Possession,28:06,,,,,,
player,201912080crd,pit,HodgDe00,pass_cmp,16,,,,,
player,201912080crd,pit,HodgDe00,pass_att,19,,,,,
player,201912080crd,pit,HodgDe00,pass_yds,152,,,,,
player,201912080crd,pit,HodgDe00,pass_td,1,,,,,
player,201912080crd,pit,HodgDe00,pass_int,0,,,,,
player,201912080crd,pit,HodgDe00,pass_sacked,3,,,,,
player,201912080crd,pit,HodgDe00,pass_sacked_yds,17,,,,,
player,201912080crd,pit,HodgDe00,pass_long,22,,,,,
player,201912080crd,pit,HodgDe00,pass_rating,117.5,,,,,
player,201912080crd,pit,HodgDe00,rush_att,5,,,,,
player,201912080crd,pit,HodgDe00,rush_yds,34,,,,,
player,201912080crd,pit,HodgDe00,rush_td,0,,,,,
player,201912080crd,pit,HodgDe00,rush_long,22,,,,,
player,201912080crd,pit,HodgDe00,targets,0,,,,,
player,201912080crd,pit,HodgDe00,rec,0,,,,,
player,201912080crd,pit,HodgDe00,rec_yds,0,,,,,
player,201912080crd,pit,HodgDe00,rec_td,0,,,,,
player,201912080crd,pit,HodgDe00,rec_long,0,,,,,
player,201912080crd,pit,HodgDe00,fumbles,1,,,,,
player,201912080crd,pit,HodgDe00,fumbles_lost,0,,,,,
player,201912080crd,pit,WhytKe00,pass_cmp,0,,,,,
player,201912080crd,pit,WhytKe00,pass_att,0,,,,,
player,201912080crd,pit,WhytKe00,pass_yds,0,,,,,
player,201912080crd,pit,WhytKe00,pass_td,0,,,,,
player,201912080crd,pit,WhytKe00,pass_int,0,,,,,
player,201912080crd,pit,WhytKe00,pass_sacked,0,,,,,
player,201912080crd,pit,WhytKe00,pass_sacked_yds,0,,,,,
player,201912080crd,pit,WhytKe00,pass_long,0,,,,,
player,201912080crd,pit,WhytKe00,pass_rating,,,,,,
player,201912080crd,pit,WhytKe00,rush_att,5,,,,,
player,201912080crd,pit,WhytKe00,rush_yds,41,,,,,
player,201912080crd,pit,WhytKe00,rush_td,0,,,,,
player,201912080crd,pit,WhytKe00,rush_long,13,,,,,
player,201912080crd,pit,WhytKe00,targets,1,,,,,
player,201912080crd,pit,WhytKe00,rec,1,,,,,
player,201912080crd,pit,WhytKe00,rec_yds,9,,,,,
player,201912080crd,pit,WhytKe00,rec_td,0,,,,,
player,201912080crd,pit,WhytKe00,rec_long,9,,,,,
player,201912080crd,pit,WhytKe00,fumbles,0,,,,,
player,201912080crd,pit,WhytKe00,fumbles_lost,0,,,,,
player,201912080crd,pit,SnelBe00,pass_cmp,0,,,,,
player,201912080crd,pit,SnelBe00,pass_att,0,,,,,
player,201912080crd,pit,SnelBe00,pass_yds,0,,,,,
player,201912080crd,pit,SnelBe00,pass_td,0,,,,,
player,201912080crd,pit,SnelBe00,pass_int,0,,,,,
player,201912080crd,pit,SnelBe00,pass_sacked,0,,,,,
