game,2019,1,20190905,201909050chi,gnb,"Green Bay Packers",10,chi,"Chicago Bears",3
team,201909050chi,gnb,First Downs,13,,,,,,
team,201909050chi,chi,First Downs,16,,,,,,
team,201909050chi,gnb,Rush-Yds-TDs,22-47-0,,,,,,
team,201909050chi,chi,Rush-Yds-TDs,15-46-0,,,,,,
team,201909050chi,gnb,Cmp-Att-Yd-TD-INT,18-30-203-1-0,,,,,,
team,201909050chi,chi,Cmp-Att-Yd-TD-INT,26-45-228-0-1,,,,,,
team,201909050chi,gnb,Sacked-Yards,5-37,,,,,,
team,201909050chi,chi,Sacked-Yards,5-20,,,,,,
team,201909050chi,gnb,Net Pass Yards,166,,,,,,
team,201909050chi,chi,Net Pass Yards,208,,,,,,
team,201909050chi,gnb,Total Yards,213,,,,,,
team,201909050chi,chi,Total Yards,254,,,,,,
team,201909050chi,gnb,Fumbles-Lost,1-0,,,,,,
team,201909050chi,chi,Fumbles-Lost,0-0,,,,,,
team,201909050chi,gnb,Turnovers,0,,,,,,
team,201909050chi,chi,Turnovers,1,,,,,,
team,201909050chi,gnb,Penalties-Yards,10-71,,,,,,
team,201909050chi,chi,Penalties-Yards,10-107,,,,,,
team,201909050chi,gnb,Third Down Conv.,2-12,,,,,,
team,201909050chi,chi,Third Down Conv.,3-15,,,,,,
team,201909050chi,gnb,Fourth Down Conv.,0-0,,,,,,
team,201909050chi,chi,Fourth Down Conv.,0-2,,,,,,
team,201909050chi,gnb,Time of Possession,31:03,,,,,,
team,201909050chi,chi,Time of Possession,28:57,,,,,,
player,201909050chi,gnb,RodgAa00,pass_cmp,18,,,,,
player,201909050chi,gnb,RodgAa00,pass_att,30,,,,,
player,201909050chi,gnb,RodgAa00,pass_yds,203,,,,,
player,201909050chi,gnb,RodgAa00,pass_td,1,,,,,
player,201909050chi,gnb,RodgAa00,pass_int,0,,,,,
player,201909050chi,gnb,RodgAa00,pass_sacked,5,,,,,
player,201909050chi,gnb,RodgAa00,pass_sacked_yds,37,,,,,
player,201909050chi,gnb,RodgAa00,pass_long,47,,,,,
player,201909050chi,gnb,RodgAa00,pass_rating,91.4,,,,,
player,201909050chi,gnb,RodgAa00,rush_att,3,,,,,
player,201909050chi,gnb,RodgAa00,rush_yds,8,,,,,
player,201909050chi,gnb,RodgAa00,rush_td,0,,,,,
player,201909050chi,gnb,RodgAa00,rush_long,10,,,,,
player,201909050chi,gnb,RodgAa00,targets,0,,,,,
player,201909050chi,gnb,RodgAa00,rec,0,,,,,
player,201909050chi,gnb,RodgAa00,rec_yds,0,,,,,
player,201909050chi,gnb,RodgAa00,rec_td,0,,,,,
player,201909050chi,gnb,RodgAa00,rec_long,0,,,,,
player,201909050chi,gnb,RodgAa00,fumbles,0,,,,,
player,201909050chi,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201909050chi,gnb,JoneAa00,pass_cmp,0,,,,,
player,201909050chi,gnb,JoneAa00,pass_att,0,,,,,
player,201909050chi,gnb,JoneAa00,pass_yds,0,,,,,
player,201909050chi,gnb,JoneAa00,pass_td,0,,,,,
player,201909050chi,gnb,JoneAa00,pass_int,0,,,,,
player,201909050chi,gnb,JoneAa00,pass_sacked,0,,,,,
player,201909050chi,gnb,JoneAa00,pass_sacked_yds,0,,,,,
player,201909050chi,gnb,JoneAa00,pass_long,0,,,,,
player,201909050chi,gnb,JoneAa00,pass_rating,,,,,,
player,201909050chi,gnb,JoneAa00,rush_att,13,,,,,
player,201909050chi,gnb,JoneAa00,rush_yds,39,,,,,
player,201909050chi,gnb,JoneAa00,rush_td,0,,,,,
player,201909050chi,gnb,JoneAa00,rush_long,9,,,,,
player,201909050chi,gnb,JoneAa00,targets,1,,,,,
player,201909050chi,gnb,JoneAa00,rec,1,,,,,
player,201909050chi,gnb,JoneAa00,rec_yds,0,,,,,
player,201909050chi,gnb,JoneAa00,rec_td,0,,,,,
player,201909050chi,gnb,JoneAa00,rec_long,0,,,,,
player,201909050chi,gnb,JoneAa00,fumbles,1,,,,,
player,201909050chi,gnb,JoneAa00,fumbles_lost,0,,,,,
player,201909050chi,gnb,ValdMa00,pass_cmp,0,,,,,
player,201909050chi,gnb,ValdMa00,pass_att,0,,,,,
player,201909050chi,gnb,ValdMa00,pass_yds,0,,,,,
player,201909050chi,gnb,ValdMa00,pass_td,0,,,,,
player,201909050chi,gnb,ValdMa00,pass_int,0,,,,,
player,201909050chi,gnb,ValdMa00,pass_sacked,0,,,,,
player,201909050chi,gnb,ValdMa00,pass_sacked_yds,0,,,,,
player,201909050chi,gnb,ValdMa00,pass_long,0,,,,,
player,201909050chi,gnb,ValdMa00,pass_rating,,,,,,
player,201909050chi,gnb,ValdMa00,rush_att,1,,,,,
player,201909050chi,gnb,ValdMa00,rush_yds,0,,,,,
player,201909050chi,gnb,ValdMa00,rush_td,0,,,,,
player,201909050chi,gnb,ValdMa00,rush_long,0,,,,,
player,201909050chi,gnb,ValdMa00,targets,6,,,,,
player,201909050chi,gnb,ValdMa00,rec,4,,,,,
player,201909050chi,gnb,ValdMa00,rec_yds,52,,,,,
player,201909050chi,gnb,ValdMa00,rec_td,0,,,,,
player,201909050chi,gnb,ValdMa00,rec_long,47,,,,,
player,201909050chi,gnb,ValdMa00,fumbles,0,,,,,
player,201909050chi,gnb,ValdMa00,fumbles_lost,0,,,,,
player,201909050chi,gnb,AdamDa01,pass_cmp,0,,,,,
player,201909050chi,gnb,AdamDa01,pass_att,0,,,,,
player,201909050chi,gnb,AdamDa01,pass_yds,0,,,,,
player,201909050chi,gnb,AdamDa01,pass_td,0,,,,,
player,201909050chi,gnb,AdamDa01,pass_int,0,,,,,
player,201909050chi,gnb,AdamDa01,pass_sacked,0,,,,,
player,201909050chi,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201909050chi,gnb,AdamDa01,pass_long,0,,,,,
player,201909050chi,gnb,AdamDa01,pass_rating,,,,,,
player,201909050chi,gnb,AdamDa01,rush_att,0,,,,,
player,201909050chi,gnb,AdamDa01,rush_yds,0,,,,,
player,201909050chi,gnb,AdamDa01,rush_td,0,,,,,
player,201909050chi,gnb,AdamDa01,rush_long,0,,,,,
player,201909050chi,gnb,AdamDa01,targets,8,,,,,
player,201909050chi,gnb,AdamDa01,rec,4,,,,,
player,201909050chi,gnb,AdamDa01,rec_yds,36,,,,,
player,201909050chi,gnb,AdamDa01,rec_td,0,,,,,
player,201909050chi,gnb,AdamDa01,rec_long,11,,,,,
player,201909050chi,gnb,AdamDa01,fumbles,0,,,,,
player,201909050chi,gnb,AdamDa01,fumbles_lost,0,,,,,
