game,2019,4,20190929,201909290mia,sdg,"Los Angeles Chargers",30,mia,"Miami Dolphins",10
team,201909290mia,sdg,First Downs,24,,,,,,
team,201909290mia,mia,First Downs,13,,,,,,
team,201909290mia,sdg,Rush-Yds-TDs,33-79-1,,,,,,
team,201909290mia,mia,Rush-Yds-TDs,18-72-0,,,,,,
team,201909290mia,sdg,Cmp-Att-Yd-TD-INT,25-31-317-2-0,,,,,,
team,201909290mia,mia,Cmp-Att-Yd-TD-INT,17-24-180-1-1,,,,,,
team,201909290mia,sdg,Sacked-Yards,1-6,,,,,,
team,201909290mia,mia,Sacked-Yards,5-19,,,,,,
team,201909290mia,sdg,Net Pass Yards,311,,,,,,
team,201909290mia,mia,Net Pass Yards,161,,,,,,
team,201909290mia,sdg,Total Yards,390,,,,,,
team,201909290mia,mia,Total Yards,233,,,,,,
team,201909290mia,sdg,Fumbles-Lost,1-0,,,,,,
team,201909290mia,mia,Fumbles-Lost,3-0,,,,,,
team,201909290mia,sdg,Turnovers,0,,,,,,
team,201909290mia,mia,Turnovers,1,,,,,,
team,201909290mia,sdg,Penalties-Yards,10-89,,,,,,
team,201909290mia,mia,Penalties-Yards,5-53,,,,,,
team,201909290mia,sdg,Third Down Conv.,8-13,,,,,,
team,201909290mia,mia,Third Down Conv.,5-10,,,,,,
team,201909290mia,sdg,Fourth Down Conv.,0-1,,,,,,
team,201909290mia,mia,Fourth Down Conv.,0-1,,,,,,
team,201909290mia,sdg,Time of Possession,37:36,,,,,,
team,201909290mia,mia,Time of Possession,22:24,,,,,,
player,201909290mia,sdg,RivePh00,pass_cmp,24,,,,,
player,201909290mia,sdg,RivePh00,pass_att,30,,,,,
player,201909290mia,sdg,RivePh00,pass_yds,310,,,,,
player,201909290mia,sdg,RivePh00,pass_td,2,,,,,
player,201909290mia,sdg,RivePh00,pass_int,0,,,,,
player,201909290mia,sdg,RivePh00,pass_sacked,1,,,,,
player,201909290mia,sdg,RivePh00,pass_sacked_yds,6,,,,,
player,201909290mia,sdg,RivePh00,pass_long,25,,,,,
player,201909290mia,sdg,RivePh00,pass_rating,131.9,,,,,
player,201909290mia,sdg,RivePh00,rush_att,1,,,,,
player,201909290mia,sdg,RivePh00,rush_yds,0,,,,,
player,201909290mia,sdg,RivePh00,rush_td,0,,,,,
player,201909290mia,sdg,RivePh00,rush_long,0,,,,,
player,201909290mia,sdg,RivePh00,targets,0,,,,,
player,201909290mia,sdg,RivePh00,rec,0,,,,,
player,201909290mia,sdg,RivePh00,rec_yds,0,,,,,
player,201909290mia,sdg,RivePh00,rec_td,0,,,,,
player,201909290mia,sdg,RivePh00,rec_long,0,,,,,
player,201909290mia,sdg,RivePh00,fumbles,1,,,,,
player,201909290mia,sdg,RivePh00,fumbles_lost,0,,,,,
player,201909290mia,sdg,TaylTy00,pass_cmp,1,,,,,
player,201909290mia,sdg,TaylTy00,pass_att,1,,,,,
player,201909290mia,sdg,TaylTy00,pass_yds,7,,,,,
player,201909290mia,sdg,TaylTy00,pass_td,0,,,,,
player,201909290mia,sdg,TaylTy00,pass_int,0,,,,,
player,201909290mia,sdg,TaylTy00,pass_sacked,0,,,,,
player,201909290mia,sdg,TaylTy00,pass_sacked_yds,0,,,,,
player,201909290mia,sdg,TaylTy00,pass_long,7,,,,,
player,201909290mia,sdg,TaylTy00,pass_rating,95.8,,,,,
player,201909290mia,sdg,TaylTy00,rush_att,4,,,,,
player,201909290mia,sdg,TaylTy00,rush_yds,-1,,,,,
player,201909290mia,sdg,TaylTy00,rush_td,0,,,,,
player,201909290mia,sdg,TaylTy00,rush_long,2,,,,,
player,201909290mia,sdg,TaylTy00,targets,0,,,,,
player,201909290mia,sdg,TaylTy00,rec,0,,,,,
player,201909290mia,sdg,TaylTy00,rec_yds,0,,,,,
player,201909290mia,sdg,TaylTy00,rec_td,0,,,,,
player,201909290mia,sdg,TaylTy00,rec_long,0,,,,,
player,201909290mia,sdg,TaylTy00,fumbles,0,,,,,
player,201909290mia,sdg,TaylTy00,fumbles_lost,0,,,,,
player,201909290mia,sdg,EkelAu00,pass_cmp,0,,,,,
player,201909290mia,sdg,EkelAu00,pass_att,0,,,,,
player,201909290mia,sdg,EkelAu00,pass_yds,0,,,,,
player,201909290mia,sdg,EkelAu00,pass_td,0,,,,,
player,201909290mia,sdg,EkelAu00,pass_int,0,,,,,
player,201909290mia,sdg,EkelAu00,pass_sacked,0,,,,,
player,201909290mia,sdg,EkelAu00,pass_sacked_yds,0,,,,,
player,201909290mia,sdg,EkelAu00,pass_long,0,,,,,
player,201909290mia,sdg,EkelAu00,pass_rating,,,,,,
player,201909290mia,sdg,EkelAu00,rush_att,18,,,,,
player,201909290mia,sdg,EkelAu00,rush_yds,60,,,,,
player,201909290mia,sdg,EkelAu00,rush_td,1,,,,,
player,201909290mia,sdg,EkelAu00,rush_long,9,,,,,
player,201909290mia,sdg,EkelAu00,targets,5,,,,,
player,201909290mia,sdg,EkelAu00,rec,5,,,,,
player,201909290mia,sdg,EkelAu00,rec_yds,62,,,,,
player,201909290mia,sdg,EkelAu00,rec_td,1,,,,,
player,201909290mia,sdg,EkelAu00,rec_long,18,,,,,
player,201909290mia,sdg,EkelAu00,fumbles,0,,,,,
player,201909290mia,sdg,EkelAu00,fumbles_lost,0,,,,,
player,201909290mia,sdg,PopeTr00,pass_cmp,0,,,,,
player,201909290mia,sdg,PopeTr00,pass_att,0,,,,,
player,201909290mia,sdg,PopeTr00,pass_yds,0,,,,,
player,201909290mia,sdg,PopeTr00,pass_td,0,,,,,
player,201909290mia,sdg,PopeTr00,pass_int,0,,,,,
player,201909290mia,sdg,PopeTr00,pass_sacked,0,,,,,
player,201909290mia,sdg,PopeTr00,pass_sacked_yds,0,,,,,
player,201909290mia,sdg,PopeTr00,pass_long,0,,,,,
player,201909290mia,sdg,PopeTr00,pass_rating,,,,,,
player,201909290mia,sdg,PopeTr00,rush_att,10,,,,,
player,201909290mia,sdg,PopeTr00,rush_yds,20,,,,,
