game,2019,15,20191215,201912150nyg,mia,"Miami Dolphins",20,nyg,"New York Giants",36
team,201912150nyg,mia,First Downs,22,,,,,,
team,201912150nyg,nyg,First Downs,24,,,,,,
team,201912150nyg,mia,Rush-Yds-TDs,25-122-0,,,,,,
team,201912150nyg,nyg,Rush-Yds-TDs,33-138-3,,,,,,
team,201912150nyg,mia,Cmp-Att-Yd-TD-INT,23-41-279-2-0,,,,,,
team,201912150nyg,nyg,Cmp-Att-Yd-TD-INT,21-29-284-2-3,,,,,,
team,201912150nyg,mia,Sacked-Yards,3-17,,,,,,
team,201912150nyg,nyg,Sacked-Yards,1-10,,,,,,
team,201912150nyg,mia,Net Pass Yards,262,,,,,,
team,201912150nyg,nyg,Net Pass Yards,274,,,,,,
team,201912150nyg,mia,Total Yards,384,,,,,,
team,201912150nyg,nyg,Total Yards,412,,,,,,
team,201912150nyg,mia,Fumbles-Lost,1-1,,,,,,
team,201912150nyg,nyg,Fumbles-Lost,0-0,,,,,,
team,201912150nyg,mia,Turnovers,1,,,,,,
team,201912150nyg,nyg,Turnovers,3,,,,,,
team,201912150nyg,mia,Penalties-Yards,7-42,,,,,,
team,201912150nyg,nyg,Penalties-Yards,4-32,,,,,,
team,201912150nyg,mia,Third Down Conv.,3-13,,,,,,
team,201912150nyg,nyg,Third Down Conv.,5-11,,,,,,
team,201912150nyg,mia,Fourth Down Conv.,1-3,,,,,,
team,201912150nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201912150nyg,mia,Time of Possession,28:53,,,,,,
team,201912150nyg,nyg,Time of Possession,31:07,,,,,,
player,201912150nyg,mia,FitzRy00,pass_cmp,23,,,,,
player,201912150nyg,mia,FitzRy00,pass_att,41,,,,,
player,201912150nyg,mia,FitzRy00,pass_yds,279,,,,,
player,201912150nyg,mia,FitzRy00,pass_td,2,,,,,
player,201912150nyg,mia,FitzRy00,pass_int,0,,,,,
player,201912150nyg,mia,FitzRy00,pass_sacked,3,,,,,
player,201912150nyg,mia,FitzRy00,pass_sacked_yds,17,,,,,
player,201912150nyg,mia,FitzRy00,pass_long,29,,,,,
player,201912150nyg,mia,FitzRy00,pass_rating,93.4,,,,,
player,201912150nyg,mia,FitzRy00,rush_att,4,,,,,
player,201912150nyg,mia,FitzRy00,rush_yds,33,,,,,
player,201912150nyg,mia,FitzRy00,rush_td,0,,,,,
player,201912150nyg,mia,FitzRy00,rush_long,13,,,,,
player,201912150nyg,mia,FitzRy00,targets,0,,,,,
player,201912150nyg,mia,FitzRy00,rec,0,,,,,
player,201912150nyg,mia,FitzRy00,rec_yds,0,,,,,
player,201912150nyg,mia,FitzRy00,rec_td,0,,,,,
player,201912150nyg,mia,FitzRy00,rec_long,0,,,,,
player,201912150nyg,mia,FitzRy00,fumbles,1,,,,,
player,201912150nyg,mia,FitzRy00,fumbles_lost,1,,,,,
player,201912150nyg,mia,LairPa00,pass_cmp,0,,,,,
player,201912150nyg,mia,LairPa00,pass_att,0,,,,,
player,201912150nyg,mia,LairPa00,pass_yds,0,,,,,
player,201912150nyg,mia,LairPa00,pass_td,0,,,,,
player,201912150nyg,mia,LairPa00,pass_int,0,,,,,
player,201912150nyg,mia,LairPa00,pass_sacked,0,,,,,
player,201912150nyg,mia,LairPa00,pass_sacked_yds,0,,,,,
player,201912150nyg,mia,LairPa00,pass_long,0,,,,,
player,201912150nyg,mia,LairPa00,pass_rating,,,,,,
player,201912150nyg,mia,LairPa00,rush_att,12,,,,,
player,201912150nyg,mia,LairPa00,rush_yds,46,,,,,
player,201912150nyg,mia,LairPa00,rush_td,0,,,,,
player,201912150nyg,mia,LairPa00,rush_long,18,,,,,
player,201912150nyg,mia,LairPa00,targets,5,,,,,
player,201912150nyg,mia,LairPa00,rec,2,,,,,
player,201912150nyg,mia,LairPa00,rec_yds,8,,,,,
player,201912150nyg,mia,LairPa00,rec_td,0,,,,,
player,201912150nyg,mia,LairPa00,rec_long,8,,,,,
player,201912150nyg,mia,LairPa00,fumbles,0,,,,,
player,201912150nyg,mia,LairPa00,fumbles_lost,0,,,,,
player,201912150nyg,mia,GaskMy00,pass_cmp,0,,,,,
player,201912150nyg,mia,GaskMy00,pass_att,0,,,,,
player,201912150nyg,mia,GaskMy00,pass_yds,0,,,,,
player,201912150nyg,mia,GaskMy00,pass_td,0,,,,,
player,201912150nyg,mia,GaskMy00,pass_int,0,,,,,
player,201912150nyg,mia,GaskMy00,pass_sacked,0,,,,,
player,201912150nyg,mia,GaskMy00,pass_sacked_yds,0,,,,,
player,201912150nyg,mia,GaskMy00,pass_long,0,,,,,
player,201912150nyg,mia,GaskMy00,pass_rating,,,,,,
player,201912150nyg,mia,GaskMy00,rush_att,9,,,,,
player,201912150nyg,mia,GaskMy00,rush_yds,43,,,,,
player,201912150nyg,mia,GaskMy00,rush_td,0,,,,,
player,201912150nyg,mia,GaskMy00,rush_long,27,,,,,
player,201912150nyg,mia,GaskMy00,targets,3,,,,,
player,201912150nyg,mia,GaskMy00,rec,2,,,,,
player,201912150nyg,mia,GaskMy00,rec_yds,29,,,,,
player,201912150nyg,mia,GaskMy00,rec_td,0,,,,,
player,201912150nyg,mia,GaskMy00,rec_long,20,,,,,
player,201912150nyg,mia,GaskMy00,fumbles,0,,,,,
player,201912150nyg,mia,GaskMy00,fumbles_lost,0,,,,,
player,201912150nyg,mia,ParkDe01,pass_cmp,0,,,,,
player,201912150nyg,mia,ParkDe01,pass_att,0,,,,,
player,201912150nyg,mia,ParkDe01,pass_yds,0,,,,,
player,201912150nyg,mia,ParkDe01,pass_td,0,,,,,
player,201912150nyg,mia,ParkDe01,pass_int,0,,,,,
player,201912150nyg,mia,ParkDe01,pass_sacked,0,,,,,
player,201912150nyg,mia,ParkDe01,pass_sacked_yds,0,,,,,
player,201912150nyg,mia,ParkDe01,pass_long,0,,,,,
player,201912150nyg,mia,ParkDe01,pass_rating,,,,,,
