game,2019,8,20191027,201910270oti,tam,"Tampa Bay Buccaneers",23,oti,"Tennessee Titans",27
team,201910270oti,tam,First Downs,23,,,,,,
team,201910270oti,oti,First Downs,16,,,,,,
team,201910270oti,tam,Rush-Yds-TDs,30-106-0,,,,,,
team,201910270oti,oti,Rush-Yds-TDs,21-72-0,,,,,,
team,201910270oti,tam,Cmp-Att-Yd-TD-INT,21-43-301-2-2,,,,,,
team,201910270oti,oti,Cmp-Att-Yd-TD-INT,21-33-193-3-0,,,,,,
team,201910270oti,tam,Sacked-Yards,3-18,,,,,,
team,201910270oti,oti,Sacked-Yards,3-19,,,,,,
team,201910270oti,tam,Net Pass Yards,283,,,,,,
team,201910270oti,oti,Net Pass Yards,174,,,,,,
team,201910270oti,tam,Total Yards,389,,,,,,
team,201910270oti,oti,Total Yards,246,,,,,,
team,201910270oti,tam,Fumbles-Lost,3-2,,,,,,
team,201910270oti,oti,Fumbles-Lost,2-1,,,,,,
team,201910270oti,tam,Turnovers,4,,,,,,
team,201910270oti,oti,Turnovers,1,,,,,,
team,201910270oti,tam,Penalties-Yards,9-87,,,,,,
team,201910270oti,oti,Penalties-Yards,6-77,,,,,,
team,201910270oti,tam,Third Down Conv.,7-15,,,,,,
team,201910270oti,oti,Third Down Conv.,5-13,,,,,,
team,201910270oti,tam,Fourth Down Conv.,1-2,,,,,,
team,201910270oti,oti,Fourth Down Conv.,0-1,,,,,,
team,201910270oti,tam,Time of Possession,31:33,,,,,,
team,201910270oti,oti,Time of Possession,28:27,,,,,,
player,201910270oti,tam,WinsJa00,pass_cmp,21,,,,,
player,201910270oti,tam,WinsJa00,pass_att,43,,,,,
player,201910270oti,tam,WinsJa00,pass_yds,301,,,,,
player,201910270oti,tam,WinsJa00,pass_td,2,,,,,
player,201910270oti,tam,WinsJa00,pass_int,2,,,,,
player,201910270oti,tam,WinsJa00,pass_sacked,3,,,,,
player,201910270oti,tam,WinsJa00,pass_sacked_yds,18,,,,,
player,201910270oti,tam,WinsJa00,pass_long,46,,,,,
player,201910270oti,tam,WinsJa00,pass_rating,68.1,,,,,
player,201910270oti,tam,WinsJa00,rush_att,8,,,,,
player,201910270oti,tam,WinsJa00,rush_yds,53,,,,,
player,201910270oti,tam,WinsJa00,rush_td,0,,,,,
player,201910270oti,tam,WinsJa00,rush_long,20,,,,,
player,201910270oti,tam,WinsJa00,targets,0,,,,,
player,201910270oti,tam,WinsJa00,rec,0,,,,,
player,201910270oti,tam,WinsJa00,rec_yds,0,,,,,
player,201910270oti,tam,WinsJa00,rec_td,0,,,,,
player,201910270oti,tam,WinsJa00,rec_long,0,,,,,
player,201910270oti,tam,WinsJa00,fumbles,3,,,,,
player,201910270oti,tam,WinsJa00,fumbles_lost,2,,,,,
player,201910270oti,tam,JoneRo01,pass_cmp,0,,,,,
player,201910270oti,tam,JoneRo01,pass_att,0,,,,,
player,201910270oti,tam,JoneRo01,pass_yds,0,,,,,
player,201910270oti,tam,JoneRo01,pass_td,0,,,,,
player,201910270oti,tam,JoneRo01,pass_int,0,,,,,
player,201910270oti,tam,JoneRo01,pass_sacked,0,,,,,
player,201910270oti,tam,JoneRo01,pass_sacked_yds,0,,,,,
player,201910270oti,tam,JoneRo01,pass_long,0,,,,,
player,201910270oti,tam,JoneRo01,pass_rating,,,,,,
player,201910270oti,tam,JoneRo01,rush_att,11,,,,,
player,201910270oti,tam,JoneRo01,rush_yds,35,,,,,
player,201910270oti,tam,JoneRo01,rush_td,0,,,,,
player,201910270oti,tam,JoneRo01,rush_long,7,,,,,
player,201910270oti,tam,JoneRo01,targets,4,,,,,
player,201910270oti,tam,JoneRo01,rec,1,,,,,
player,201910270oti,tam,JoneRo01,rec_yds,17,,,,,
player,201910270oti,tam,JoneRo01,rec_td,0,,,,,
player,201910270oti,tam,JoneRo01,rec_long,17,,,,,
player,201910270oti,tam,JoneRo01,fumbles,0,,,,,
player,201910270oti,tam,JoneRo01,fumbles_lost,0,,,,,
player,201910270oti,tam,BarbPe01,pass_cmp,0,,,,,
