game,2019,1,20190909,201909090rai,den,"Denver Broncos",16,rai,"Oakland Raiders",24
team,201909090rai,den,First Downs,18,,,,,,
team,201909090rai,rai,First Downs,19,,,,,,
team,201909090rai,den,Rush-Yds-TDs,23-95-0,,,,,,
team,201909090rai,rai,Rush-Yds-TDs,28-98-2,,,,,,
team,201909090rai,den,Cmp-Att-Yd-TD-INT,21-31-268-1-0,,,,,,
team,201909090rai,rai,Cmp-Att-Yd-TD-INT,22-26-259-1-0,,,,,,
team,201909090rai,den,Sacked-Yards,3-19,,,,,,
team,201909090rai,rai,Sacked-Yards,0-0,,,,,,
team,201909090rai,den,Net Pass Yards,249,,,,,,
team,201909090rai,rai,Net Pass Yards,259,,,,,,
team,201909090rai,den,Total Yards,344,,,,,,
team,201909090rai,rai,Total Yards,357,,,,,,
team,201909090rai,den,Fumbles-Lost,1-0,,,,,,
team,201909090rai,rai,Fumbles-Lost,0-0,,,,,,
team,201909090rai,den,Turnovers,0,,,,,,
team,201909090rai,rai,Turnovers,0,,,,,,
team,201909090rai,den,Penalties-Yards,6-44,,,,,,
team,201909090rai,rai,Penalties-Yards,9-62,,,,,,
team,201909090rai,den,Third Down Conv.,6-13,,,,,,
team,201909090rai,rai,Third Down Conv.,10-14,,,,,,
team,201909090rai,den,Fourth Down Conv.,0-0,,,,,,
team,201909090rai,rai,Fourth Down Conv.,0-0,,,,,,
team,201909090rai,den,Time of Possession,27:15,,,,,,
team,201909090rai,rai,Time of Possession,32:45,,,,,,
player,201909090rai,den,FlacJo00,pass_cmp,21,,,,,
player,201909090rai,den,FlacJo00,pass_att,31,,,,,
player,201909090rai,den,FlacJo00,pass_yds,268,,,,,
player,201909090rai,den,FlacJo00,pass_td,1,,,,,
player,201909090rai,den,FlacJo00,pass_int,0,,,,,
player,201909090rai,den,FlacJo00,pass_sacked,3,,,,,
player,201909090rai,den,FlacJo00,pass_sacked_yds,19,,,,,
player,201909090rai,den,FlacJo00,pass_long,53,,,,,
player,201909090rai,den,FlacJo00,pass_rating,105.3,,,,,
player,201909090rai,den,FlacJo00,rush_att,1,,,,,
player,201909090rai,den,FlacJo00,rush_yds,1,,,,,
player,201909090rai,den,FlacJo00,rush_td,0,,,,,
player,201909090rai,den,FlacJo00,rush_long,1,,,,,
player,201909090rai,den,FlacJo00,targets,0,,,,,
player,201909090rai,den,FlacJo00,rec,0,,,,,
player,201909090rai,den,FlacJo00,rec_yds,0,,,,,
player,201909090rai,den,FlacJo00,rec_td,0,,,,,
player,201909090rai,den,FlacJo00,rec_long,0,,,,,
player,201909090rai,den,FlacJo00,fumbles,1,,,,,
player,201909090rai,den,FlacJo00,fumbles_lost,0,,,,,
player,201909090rai,den,FreeRo00,pass_cmp,0,,,,,
player,201909090rai,den,FreeRo00,pass_att,0,,,,,
player,201909090rai,den,FreeRo00,pass_yds,0,,,,,
player,201909090rai,den,FreeRo00,pass_td,0,,,,,
player,201909090rai,den,FreeRo00,pass_int,0,,,,,
player,201909090rai,den,FreeRo00,pass_sacked,0,,,,,
player,201909090rai,den,FreeRo00,pass_sacked_yds,0,,,,,
player,201909090rai,den,FreeRo00,pass_long,0,,,,,
player,201909090rai,den,FreeRo00,pass_rating,,,,,,
player,201909090rai,den,FreeRo00,rush_att,10,,,,,
player,201909090rai,den,FreeRo00,rush_yds,56,,,,,
player,201909090rai,den,FreeRo00,rush_td,0,,,,,
player,201909090rai,den,FreeRo00,rush_long,26,,,,,
player,201909090rai,den,FreeRo00,targets,1,,,,,
player,201909090rai,den,FreeRo00,rec,1,,,,,
player,201909090rai,den,FreeRo00,rec_yds,5,,,,,
player,201909090rai,den,FreeRo00,rec_td,0,,,,,
player,201909090rai,den,FreeRo00,rec_long,5,,,,,
player,201909090rai,den,FreeRo00,fumbles,0,,,,,
player,201909090rai,den,FreeRo00,fumbles_lost,0,,,,,
player,201909090rai,den,LindPh00,pass_cmp,0,,,,,
