game,2019,8,20191027,201910270kan,gnb,"Green Bay Packers",31,kan,"Kansas City Chiefs",24
team,201910270kan,gnb,First Downs,21,,,,,,
team,201910270kan,kan,First Downs,21,,,,,,
team,201910270kan,gnb,Rush-Yds-TDs,26-118-1,,,,,,
team,201910270kan,kan,Rush-Yds-TDs,20-88-1,,,,,,
team,201910270kan,gnb,Cmp-Att-Yd-TD-INT,23-33-305-3-0,,,,,,
team,201910270kan,kan,Cmp-Att-Yd-TD-INT,24-36-267-2-0,,,,,,
team,201910270kan,gnb,Sacked-Yards,5-49,,,,,,
team,201910270kan,kan,Sacked-Yards,2-18,,,,,,
team,201910270kan,gnb,Net Pass Yards,256,,,,,,
team,201910270kan,kan,Net Pass Yards,249,,,,,,
team,201910270kan,gnb,Total Yards,374,,,,,,
team,201910270kan,kan,Total Yards,337,,,,,,
team,201910270kan,gnb,Fumbles-Lost,0-0,,,,,,
team,201910270kan,kan,Fumbles-Lost,1-1,,,,,,
team,201910270kan,gnb,Turnovers,0,,,,,,
team,201910270kan,kan,Turnovers,1,,,,,,
team,201910270kan,gnb,Penalties-Yards,4-25,,,,,,
team,201910270kan,kan,Penalties-Yards,3-30,,,,,,
team,201910270kan,gnb,Third Down Conv.,8-13,,,,,,
team,201910270kan,kan,Third Down Conv.,6-11,,,,,,
team,201910270kan,gnb,Fourth Down Conv.,0-0,,,,,,
team,201910270kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201910270kan,gnb,Time of Possession,33:13,,,,,,
team,201910270kan,kan,Time of Possession,26:47,,,,,,
player,201910270kan,gnb,RodgAa00,pass_cmp,23,,,,,
player,201910270kan,gnb,RodgAa00,pass_att,33,,,,,
player,201910270kan,gnb,RodgAa00,pass_yds,305,,,,,
player,201910270kan,gnb,RodgAa00,pass_td,3,,,,,
player,201910270kan,gnb,RodgAa00,pass_int,0,,,,,
player,201910270kan,gnb,RodgAa00,pass_sacked,5,,,,,
player,201910270kan,gnb,RodgAa00,pass_sacked_yds,49,,,,,
player,201910270kan,gnb,RodgAa00,pass_long,67,,,,,
player,201910270kan,gnb,RodgAa00,pass_rating,129.0,,,,,
player,201910270kan,gnb,RodgAa00,rush_att,6,,,,,
player,201910270kan,gnb,RodgAa00,rush_yds,29,,,,,
player,201910270kan,gnb,RodgAa00,rush_td,0,,,,,
player,201910270kan,gnb,RodgAa00,rush_long,15,,,,,
player,201910270kan,gnb,RodgAa00,targets,0,,,,,
player,201910270kan,gnb,RodgAa00,rec,0,,,,,
player,201910270kan,gnb,RodgAa00,rec_yds,0,,,,,
player,201910270kan,gnb,RodgAa00,rec_td,0,,,,,
player,201910270kan,gnb,RodgAa00,rec_long,0,,,,,
player,201910270kan,gnb,RodgAa00,fumbles,0,,,,,
player,201910270kan,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201910270kan,gnb,JoneAa00,pass_cmp,0,,,,,
player,201910270kan,gnb,JoneAa00,pass_att,0,,,,,
player,201910270kan,gnb,JoneAa00,pass_yds,0,,,,,
player,201910270kan,gnb,JoneAa00,pass_td,0,,,,,
player,201910270kan,gnb,JoneAa00,pass_int,0,,,,,
player,201910270kan,gnb,JoneAa00,pass_sacked,0,,,,,
player,201910270kan,gnb,JoneAa00,pass_sacked_yds,0,,,,,
player,201910270kan,gnb,JoneAa00,pass_long,0,,,,,
player,201910270kan,gnb,JoneAa00,pass_rating,,,,,,
player,201910270kan,gnb,JoneAa00,rush_att,13,,,,,
player,201910270kan,gnb,JoneAa00,rush_yds,67,,,,,
player,201910270kan,gnb,JoneAa00,rush_td,0,,,,,
player,201910270kan,gnb,JoneAa00,rush_long,9,,,,,
player,201910270kan,gnb,JoneAa00,targets,8,,,,,
player,201910270kan,gnb,JoneAa00,rec,7,,,,,
player,201910270kan,gnb,JoneAa00,rec_yds,159,,,,,
