game,2019,12,20191121,201911210htx,clt,"Indianapolis Colts",17,htx,"Houston Texans",20
team,201911210htx,clt,First Downs,19,,,,,,
team,201911210htx,htx,First Downs,16,,,,,,
team,201911210htx,clt,Rush-Yds-TDs,39-175-2,,,,,,
team,201911210htx,htx,Rush-Yds-TDs,24-99-0,,,,,,
team,201911210htx,clt,Cmp-Att-Yd-TD-INT,16-25-129-0-0,,,,,,
team,201911210htx,htx,Cmp-Att-Yd-TD-INT,19-30-298-2-1,,,,,,
team,201911210htx,clt,Sacked-Yards,1-8,,,,,,
team,201911210htx,htx,Sacked-Yards,1-1,,,,,,
team,201911210htx,clt,Net Pass Yards,121,,,,,,
team,201911210htx,htx,Net Pass Yards,297,,,,,,
team,201911210htx,clt,Total Yards,296,,,,,,
team,201911210htx,htx,Total Yards,396,,,,,,
team,201911210htx,clt,Fumbles-Lost,0-0,,,,,,
team,201911210htx,htx,Fumbles-Lost,2-0,,,,,,
team,201911210htx,clt,Turnovers,0,,,,,,
team,201911210htx,htx,Turnovers,1,,,,,,
team,201911210htx,clt,Penalties-Yards,3-29,,,,,,
team,201911210htx,htx,Penalties-Yards,4-27,,,,,,
team,201911210htx,clt,Third Down Conv.,9-15,,,,,,
team,201911210htx,htx,Third Down Conv.,6-12,,,,,,
team,201911210htx,clt,Fourth Down Conv.,0-1,,,,,,
team,201911210htx,htx,Fourth Down Conv.,0-2,,,,,,
team,201911210htx,clt,Time of Possession,33:17,,,,,,
team,201911210htx,htx,Time of Possession,26:43,,,,,,
player,201911210htx,clt,BrisJa00,pass_cmp,16,,,,,
player,201911210htx,clt,BrisJa00,pass_att,25,,,,,
player,201911210htx,clt,BrisJa00,pass_yds,129,,,,,
player,201911210htx,clt,BrisJa00,pass_td,0,,,,,
player,201911210htx,clt,BrisJa00,pass_int,0,,,,,
player,201911210htx,clt,BrisJa00,pass_sacked,1,,,,,
player,201911210htx,clt,BrisJa00,pass_sacked_yds,8,,,,,
player,201911210htx,clt,BrisJa00,pass_long,14,,,,,
player,201911210htx,clt,BrisJa00,pass_rating,76.9,,,,,
player,201911210htx,clt,BrisJa00,rush_att,4,,,,,
player,201911210htx,clt,BrisJa00,rush_yds,20,,,,,
player,201911210htx,clt,BrisJa00,rush_td,1,,,,,
player,201911210htx,clt,BrisJa00,rush_long,8,,,,,
player,201911210htx,clt,BrisJa00,targets,0,,,,,
player,201911210htx,clt,BrisJa00,rec,0,,,,,
player,201911210htx,clt,BrisJa00,rec_yds,0,,,,,
player,201911210htx,clt,BrisJa00,rec_td,0,,,,,
player,201911210htx,clt,BrisJa00,rec_long,0,,,,,
player,201911210htx,clt,BrisJa00,fumbles,0,,,,,
player,201911210htx,clt,BrisJa00,fumbles_lost,0,,,,,
player,201911210htx,clt,WillJo07,pass_cmp,0,,,,,
player,201911210htx,clt,WillJo07,pass_att,0,,,,,
player,201911210htx,clt,WillJo07,pass_yds,0,,,,,
player,201911210htx,clt,WillJo07,pass_td,0,,,,,
player,201911210htx,clt,WillJo07,pass_int,0,,,,,
