game,2019,5,20191007,201910070sfo,cle,"Cleveland Browns",3,sfo,"San Francisco 49ers",31
team,201910070sfo,cle,First Downs,9,,,,,,
team,201910070sfo,sfo,First Downs,22,,,,,,
team,201910070sfo,cle,Rush-Yds-TDs,18-102-0,,,,,,
team,201910070sfo,sfo,Rush-Yds-TDs,40-275-2,,,,,,
team,201910070sfo,cle,Cmp-Att-Yd-TD-INT,9-24-120-0-2,,,,,,
team,201910070sfo,sfo,Cmp-Att-Yd-TD-INT,20-29-181-2-0,,,,,,
team,201910070sfo,cle,Sacked-Yards,4-42,,,,,,
team,201910070sfo,sfo,Sacked-Yards,2-10,,,,,,
team,201910070sfo,cle,Net Pass Yards,78,,,,,,
team,201910070sfo,sfo,Net Pass Yards,171,,,,,,
team,201910070sfo,cle,Total Yards,180,,,,,,
team,201910070sfo,sfo,Total Yards,446,,,,,,
team,201910070sfo,cle,Fumbles-Lost,3-2,,,,,,
team,201910070sfo,sfo,Fumbles-Lost,1-0,,,,,,
team,201910070sfo,cle,Turnovers,4,,,,,,
team,201910070sfo,sfo,Turnovers,0,,,,,,
team,201910070sfo,cle,Penalties-Yards,7-55,,,,,,
team,201910070sfo,sfo,Penalties-Yards,4-34,,,,,,
team,201910070sfo,cle,Third Down Conv.,1-11,,,,,,
team,201910070sfo,sfo,Third Down Conv.,6-16,,,,,,
team,201910070sfo,cle,Fourth Down Conv.,0-0,,,,,,
team,201910070sfo,sfo,Fourth Down Conv.,1-1,,,,,,
team,201910070sfo,cle,Time of Possession,22:17,,,,,,
team,201910070sfo,sfo,Time of Possession,37:43,,,,,,
player,201910070sfo,cle,MayfBa00,pass_cmp,8,,,,,
player,201910070sfo,cle,MayfBa00,pass_att,22,,,,,
player,201910070sfo,cle,MayfBa00,pass_yds,100,,,,,
player,201910070sfo,cle,MayfBa00,pass_td,0,,,,,
player,201910070sfo,cle,MayfBa00,pass_int,2,,,,,
player,201910070sfo,cle,MayfBa00,pass_sacked,4,,,,,
player,201910070sfo,cle,MayfBa00,pass_sacked_yds,42,,,,,
player,201910070sfo,cle,MayfBa00,pass_long,25,,,,,
player,201910070sfo,cle,MayfBa00,pass_rating,13.4,,,,,
player,201910070sfo,cle,MayfBa00,rush_att,0,,,,,
player,201910070sfo,cle,MayfBa00,rush_yds,0,,,,,
player,201910070sfo,cle,MayfBa00,rush_td,0,,,,,
player,201910070sfo,cle,MayfBa00,rush_long,0,,,,,
player,201910070sfo,cle,MayfBa00,targets,0,,,,,
player,201910070sfo,cle,MayfBa00,rec,0,,,,,
player,201910070sfo,cle,MayfBa00,rec_yds,0,,,,,
player,201910070sfo,cle,MayfBa00,rec_td,0,,,,,
player,201910070sfo,cle,MayfBa00,rec_long,0,,,,,
player,201910070sfo,cle,MayfBa00,fumbles,2,,,,,
player,201910070sfo,cle,MayfBa00,fumbles_lost,1,,,,,
player,201910070sfo,cle,BeckOd00,pass_cmp,1,,,,,
player,201910070sfo,cle,BeckOd00,pass_att,1,,,,,
player,201910070sfo,cle,BeckOd00,pass_yds,20,,,,,
player,201910070sfo,cle,BeckOd00,pass_td,0,,,,,
player,201910070sfo,cle,BeckOd00,pass_int,0,,,,,
player,201910070sfo,cle,BeckOd00,pass_sacked,0,,,,,
player,201910070sfo,cle,BeckOd00,pass_sacked_yds,0,,,,,
player,201910070sfo,cle,BeckOd00,pass_long,20,,,,,
player,201910070sfo,cle,BeckOd00,pass_rating,118.7,,,,,
player,201910070sfo,cle,BeckOd00,rush_att,2,,,,,
player,201910070sfo,cle,BeckOd00,rush_yds,15,,,,,
