game,2019,3,20190923,201909230was,chi,"Chicago Bears",31,was,"Washington Redskins",15
team,201909230was,chi,First Downs,21,,,,,,
team,201909230was,was,First Downs,25,,,,,,
team,201909230was,chi,Rush-Yds-TDs,24-90-0,,,,,,
team,201909230was,was,Rush-Yds-TDs,21-69-0,,,,,,
team,201909230was,chi,Cmp-Att-Yd-TD-INT,25-31-231-3-1,,,,,,
team,201909230was,was,Cmp-Att-Yd-TD-INT,30-43-332-2-3,,,,,,
team,201909230was,chi,Sacked-Yards,3-23,,,,,,
team,201909230was,was,Sacked-Yards,4-45,,,,,,
team,201909230was,chi,Net Pass Yards,208,,,,,,
team,201909230was,was,Net Pass Yards,287,,,,,,
team,201909230was,chi,Total Yards,298,,,,,,
team,201909230was,was,Total Yards,356,,,,,,
team,201909230was,chi,Fumbles-Lost,0-0,,,,,,
team,201909230was,was,Fumbles-Lost,3-2,,,,,,
team,201909230was,chi,Turnovers,1,,,,,,
team,201909230was,was,Turnovers,5,,,,,,
team,201909230was,chi,Penalties-Yards,9-59,,,,,,
team,201909230was,was,Penalties-Yards,9-61,,,,,,
team,201909230was,chi,Third Down Conv.,8-13,,,,,,
team,201909230was,was,Third Down Conv.,3-9,,,,,,
team,201909230was,chi,Fourth Down Conv.,0-0,,,,,,
team,201909230was,was,Fourth Down Conv.,2-3,,,,,,
team,201909230was,chi,Time of Possession,31:36,,,,,,
team,201909230was,was,Time of Possession,28:24,,,,,,
player,201909230was,chi,TrubMi00,pass_cmp,25,,,,,
player,201909230was,chi,TrubMi00,pass_att,31,,,,,
player,201909230was,chi,TrubMi00,pass_yds,231,,,,,
player,201909230was,chi,TrubMi00,pass_td,3,,,,,
player,201909230was,chi,TrubMi00,pass_int,1,,,,,
player,201909230was,chi,TrubMi00,pass_sacked,3,,,,,
player,201909230was,chi,TrubMi00,pass_sacked_yds,23,,,,,
player,201909230was,chi,TrubMi00,pass_long,36,,,,,
player,201909230was,chi,TrubMi00,pass_rating,116.5,,,,,
player,201909230was,chi,TrubMi00,rush_att,1,,,,,
player,201909230was,chi,TrubMi00,rush_yds,2,,,,,
player,201909230was,chi,TrubMi00,rush_td,0,,,,,
player,201909230was,chi,TrubMi00,rush_long,2,,,,,
player,201909230was,chi,TrubMi00,targets,0,,,,,
player,201909230was,chi,TrubMi00,rec,0,,,,,
player,201909230was,chi,TrubMi00,rec_yds,0,,,,,
player,201909230was,chi,TrubMi00,rec_td,0,,,,,
player,201909230was,chi,TrubMi00,rec_long,0,,,,,
player,201909230was,chi,TrubMi00,fumbles,0,,,,,
player,201909230was,chi,TrubMi00,fumbles_lost,0,,,,,
player,201909230was,chi,MontDa01,pass_cmp,0,,,,,
player,201909230was,chi,MontDa01,pass_att,0,,,,,
player,201909230was,chi,MontDa01,pass_yds,0,,,,,
player,201909230was,chi,MontDa01,pass_td,0,,,,,
player,201909230was,chi,MontDa01,pass_int,0,,,,,
player,201909230was,chi,MontDa01,pass_sacked,0,,,,,
player,201909230was,chi,MontDa01,pass_sacked_yds,0,,,,,
player,201909230was,chi,MontDa01,pass_long,0,,,,,
player,201909230was,chi,MontDa01,pass_rating,,,,,,
player,201909230was,chi,MontDa01,rush_att,13,,,,,
player,201909230was,chi,MontDa01,rush_yds,67,,,,,
player,201909230was,chi,MontDa01,rush_td,0,,,,,
player,201909230was,chi,MontDa01,rush_long,25,,,,,
player,201909230was,chi,MontDa01,targets,3,,,,,
player,201909230was,chi,MontDa01,rec,3,,,,,
player,201909230was,chi,MontDa01,rec_yds,14,,,,,
player,201909230was,chi,MontDa01,rec_td,0,,,,,
player,201909230was,chi,MontDa01,rec_long,6,,,,,
player,201909230was,chi,MontDa01,fumbles,0,,,,,
player,201909230was,chi,MontDa01,fumbles_lost,0,,,,,
player,201909230was,chi,PattCo00,pass_cmp,0,,,,,
player,201909230was,chi,PattCo00,pass_att,0,,,,,
player,201909230was,chi,PattCo00,pass_yds,0,,,,,
player,201909230was,chi,PattCo00,pass_td,0,,,,,
player,201909230was,chi,PattCo00,pass_int,0,,,,,
player,201909230was,chi,PattCo00,pass_sacked,0,,,,,
player,201909230was,chi,PattCo00,pass_sacked_yds,0,,,,,
player,201909230was,chi,PattCo00,pass_long,0,,,,,
player,201909230was,chi,PattCo00,pass_rating,,,,,,
player,201909230was,chi,PattCo00,rush_att,4,,,,,
player,201909230was,chi,PattCo00,rush_yds,14,,,,,
player,201909230was,chi,PattCo00,rush_td,0,,,,,
player,201909230was,chi,PattCo00,rush_long,7,,,,,
player,201909230was,chi,PattCo00,targets,1,,,,,
player,201909230was,chi,PattCo00,rec,1,,,,,
player,201909230was,chi,PattCo00,rec_yds,6,,,,,
player,201909230was,chi,PattCo00,rec_td,0,,,,,
player,201909230was,chi,PattCo00,rec_long,6,,,,,
player,201909230was,chi,PattCo00,fumbles,0,,,,,
player,201909230was,chi,PattCo00,fumbles_lost,0,,,,,
player,201909230was,chi,GabrTa00,pass_cmp,0,,,,,
player,201909230was,chi,GabrTa00,pass_att,0,,,,,
player,201909230was,chi,GabrTa00,pass_yds,0,,,,,
player,201909230was,chi,GabrTa00,pass_td,0,,,,,
player,201909230was,chi,GabrTa00,pass_int,0,,,,,
player,201909230was,chi,GabrTa00,pass_sacked,0,,,,,
player,201909230was,chi,GabrTa00,pass_sacked_yds,0,,,,,
player,201909230was,chi,GabrTa00,pass_long,0,,,,,
player,201909230was,chi,GabrTa00,pass_rating,,,,,,
player,201909230was,chi,GabrTa00,rush_att,1,,,,,
player,201909230was,chi,GabrTa00,rush_yds,7,,,,,
player,201909230was,chi,GabrTa00,rush_td,0,,,,,
player,201909230was,chi,GabrTa00,rush_long,7,,,,,
player,201909230was,chi,GabrTa00,targets,7,,,,,
player,201909230was,chi,GabrTa00,rec,6,,,,,
player,201909230was,chi,GabrTa00,rec_yds,75,,,,,
player,201909230was,chi,GabrTa00,rec_td,3,,,,,
player,201909230was,chi,GabrTa00,rec_long,36,,,,,
player,201909230was,chi,GabrTa00,fumbles,0,,,,,
player,201909230was,chi,GabrTa00,fumbles_lost,0,,,,,
player,201909230was,chi,DaviMi01,pass_cmp,0,,,,,
player,201909230was,chi,DaviMi01,pass_att,0,,,,,
player,201909230was,chi,DaviMi01,pass_yds,0,,,,,
player,201909230was,chi,DaviMi01,pass_td,0,,,,,
player,201909230was,chi,DaviMi01,pass_int,0,,,,,
player,201909230was,chi,DaviMi01,pass_sacked,0,,,,,
player,201909230was,chi,DaviMi01,pass_sacked_yds,0,,,,,
player,201909230was,chi,DaviMi01,pass_long,0,,,,,
player,201909230was,chi,DaviMi01,pass_rating,,,,,,
player,201909230was,chi,DaviMi01,rush_att,1,,,,,
player,201909230was,chi,DaviMi01,rush_yds,2,,,,,
player,201909230was,chi,DaviMi01,rush_td,0,,,,,
player,201909230was,chi,DaviMi01,rush_long,2,,,,,
player,201909230was,chi,DaviMi01,targets,0,,,,,
player,201909230was,chi,DaviMi01,rec,0,,,,,
player,201909230was,chi,DaviMi01,rec_yds,0,,,,,
player,201909230was,chi,DaviMi01,rec_td,0,,,,,
player,201909230was,chi,DaviMi01,rec_long,0,,,,,
player,201909230was,chi,DaviMi01,fumbles,0,,,,,
player,201909230was,chi,DaviMi01,fumbles_lost,0,,,,,
player,201909230was,chi,RobiAl02,pass_cmp,0,,,,,
player,201909230was,chi,RobiAl02,pass_att,0,,,,,
player,201909230was,chi,RobiAl02,pass_yds,0,,,,,
player,201909230was,chi,RobiAl02,pass_td,0,,,,,
player,201909230was,chi,RobiAl02,pass_int,0,,,,,
player,201909230was,chi,RobiAl02,pass_sacked,0,,,,,
player,201909230was,chi,RobiAl02,pass_sacked_yds,0,,,,,
player,201909230was,chi,RobiAl02,pass_long,0,,,,,
player,201909230was,chi,RobiAl02,pass_rating,,,,,,
player,201909230was,chi,RobiAl02,rush_att,0,,,,,
player,201909230was,chi,RobiAl02,rush_yds,0,,,,,
player,201909230was,chi,RobiAl02,rush_td,0,,,,,
player,201909230was,chi,RobiAl02,rush_long,0,,,,,
player,201909230was,chi,RobiAl02,targets,7,,,,,
player,201909230was,chi,RobiAl02,rec,6,,,,,
player,201909230was,chi,RobiAl02,rec_yds,60,,,,,
player,201909230was,chi,RobiAl02,rec_td,0,,,,,
player,201909230was,chi,RobiAl02,rec_long,14,,,,,
player,201909230was,chi,RobiAl02,fumbles,0,,,,,
player,201909230was,chi,RobiAl02,fumbles_lost,0,,,,,
player,201909230was,chi,BurtTr01,pass_cmp,0,,,,,
player,201909230was,chi,BurtTr01,pass_att,0,,,,,
player,201909230was,chi,BurtTr01,pass_yds,0,,,,,
player,201909230was,chi,BurtTr01,pass_td,0,,,,,
player,201909230was,chi,BurtTr01,pass_int,0,,,,,
