game,2019,14,20191208,201912080gnb,was,"Washington Redskins",15,gnb,"Green Bay Packers",20
player,201912080gnb,was,SmalWe00,fumbles,0,,,,,
player,201912080gnb,was,SmalWe00,fumbles_lost,0,,,,,
player,201912080gnb,was,McLaTe00,pass_cmp,0,,,,,
player,201912080gnb,was,McLaTe00,pass_att,0,,,,,
player,201912080gnb,was,McLaTe00,pass_yds,0,,,,,
player,201912080gnb,was,McLaTe00,pass_td,0,,,,,
player,201912080gnb,was,McLaTe00,pass_int,0,,,,,
player,201912080gnb,was,McLaTe00,pass_sacked,0,,,,,
player,201912080gnb,was,McLaTe00,pass_sacked_yds,0,,,,,
player,201912080gnb,was,McLaTe00,pass_long,0,,,,,
player,201912080gnb,was,McLaTe00,pass_rating,,,,,,
player,201912080gnb,was,McLaTe00,rush_att,0,,,,,
player,201912080gnb,was,McLaTe00,rush_yds,0,,,,,
player,201912080gnb,was,McLaTe00,rush_td,0,,,,,
player,201912080gnb,was,McLaTe00,rush_long,0,,,,,
player,201912080gnb,was,McLaTe00,targets,7,,,,,
player,201912080gnb,was,McLaTe00,rec,4,,,,,
player,201912080gnb,was,McLaTe00,rec_yds,57,,,,,
player,201912080gnb,was,McLaTe00,rec_td,1,,,,,
player,201912080gnb,was,McLaTe00,rec_long,21,,,,,
player,201912080gnb,was,McLaTe00,fumbles,0,,,,,
player,201912080gnb,was,McLaTe00,fumbles_lost,0,,,,,
player,201912080gnb,was,ThomCh03,pass_cmp,0,,,,,
player,201912080gnb,was,ThomCh03,pass_att,0,,,,,
player,201912080gnb,was,ThomCh03,pass_yds,0,,,,,
player,201912080gnb,was,ThomCh03,pass_td,0,,,,,
player,201912080gnb,was,ThomCh03,pass_int,0,,,,,
player,201912080gnb,was,ThomCh03,pass_sacked,0,,,,,
player,201912080gnb,was,ThomCh03,pass_sacked_yds,0,,,,,
player,201912080gnb,was,ThomCh03,pass_long,0,,,,,
player,201912080gnb,was,ThomCh03,pass_rating,,,,,,
player,201912080gnb,was,ThomCh03,rush_att,0,,,,,
player,201912080gnb,was,ThomCh03,rush_yds,0,,,,,
player,201912080gnb,was,ThomCh03,rush_td,0,,,,,
player,201912080gnb,was,ThomCh03,rush_long,0,,,,,
player,201912080gnb,was,ThomCh03,targets,8,,,,,
player,201912080gnb,was,ThomCh03,rec,7,,,,,
player,201912080gnb,was,ThomCh03,rec_yds,43,,,,,
player,201912080gnb,was,ThomCh03,rec_td,0,,,,,
player,201912080gnb,was,ThomCh03,rec_long,14,,,,,
player,201912080gnb,was,ThomCh03,fumbles,1,,,,,
player,201912080gnb,was,ThomCh03,fumbles_lost,0,,,,,
player,201912080gnb,was,SimsSt00,pass_cmp,0,,,,,
player,201912080gnb,was,SimsSt00,pass_att,0,,,,,
