game,2019,14,20191208,201912080rai,oti,"Tennessee Titans",42,rai,"Oakland Raiders",21
team,201912080rai,oti,First Downs,26,,,,,,
team,201912080rai,rai,First Downs,22,,,,,,
team,201912080rai,oti,Rush-Yds-TDs,32-161-2,,,,,,
team,201912080rai,rai,Rush-Yds-TDs,24-97-1,,,,,,
team,201912080rai,oti,Cmp-Att-Yd-TD-INT,21-27-391-3-1,,,,,,
team,201912080rai,rai,Cmp-Att-Yd-TD-INT,25-34-263-2-0,,,,,,
team,201912080rai,oti,Sacked-Yards,0-0,,,,,,
team,201912080rai,rai,Sacked-Yards,2-4,,,,,,
team,201912080rai,oti,Net Pass Yards,391,,,,,,
team,201912080rai,rai,Net Pass Yards,259,,,,,,
team,201912080rai,oti,Total Yards,552,,,,,,
team,201912080rai,rai,Total Yards,356,,,,,,
team,201912080rai,oti,Fumbles-Lost,0-0,,,,,,
team,201912080rai,rai,Fumbles-Lost,1-1,,,,,,
team,201912080rai,oti,Turnovers,1,,,,,,
team,201912080rai,rai,Turnovers,1,,,,,,
team,201912080rai,oti,Penalties-Yards,4-21,,,,,,
team,201912080rai,rai,Penalties-Yards,3-20,,,,,,
team,201912080rai,oti,Third Down Conv.,8-11,,,,,,
team,201912080rai,rai,Third Down Conv.,4-10,,,,,,
team,201912080rai,oti,Fourth Down Conv.,0-0,,,,,,
team,201912080rai,rai,Fourth Down Conv.,0-1,,,,,,
team,201912080rai,oti,Time of Possession,29:12,,,,,,
team,201912080rai,rai,Time of Possession,30:48,,,,,,
player,201912080rai,oti,TannRy00,pass_cmp,21,,,,,
player,201912080rai,oti,TannRy00,pass_att,27,,,,,
player,201912080rai,oti,TannRy00,pass_yds,391,,,,,
player,201912080rai,oti,TannRy00,pass_td,3,,,,,
player,201912080rai,oti,TannRy00,pass_int,1,,,,,
player,201912080rai,oti,TannRy00,pass_sacked,0,,,,,
player,201912080rai,oti,TannRy00,pass_sacked_yds,0,,,,,
player,201912080rai,oti,TannRy00,pass_long,91,,,,,
player,201912080rai,oti,TannRy00,pass_rating,140.4,,,,,
player,201912080rai,oti,TannRy00,rush_att,4,,,,,
player,201912080rai,oti,TannRy00,rush_yds,19,,,,,
player,201912080rai,oti,TannRy00,rush_td,0,,,,,
player,201912080rai,oti,TannRy00,rush_long,10,,,,,
player,201912080rai,oti,TannRy00,targets,0,,,,,
player,201912080rai,oti,TannRy00,rec,0,,,,,
player,201912080rai,oti,TannRy00,rec_yds,0,,,,,
player,201912080rai,oti,TannRy00,rec_td,0,,,,,
player,201912080rai,oti,TannRy00,rec_long,0,,,,,
player,201912080rai,oti,TannRy00,fumbles,0,,,,,
player,201912080rai,oti,TannRy00,fumbles_lost,0,,,,,
player,201912080rai,oti,HenrDe00,pass_cmp,0,,,,,
player,201912080rai,oti,HenrDe00,pass_att,0,,,,,
player,201912080rai,oti,HenrDe00,pass_yds,0,,,,,
player,201912080rai,oti,HenrDe00,pass_td,0,,,,,
player,201912080rai,oti,HenrDe00,pass_int,0,,,,,
player,201912080rai,oti,HenrDe00,pass_sacked,0,,,,,
player,201912080rai,oti,HenrDe00,pass_sacked_yds,0,,,,,
player,201912080rai,oti,HenrDe00,pass_long,0,,,,,
player,201912080rai,oti,HenrDe00,pass_rating,,,,,,
player,201912080rai,oti,HenrDe00,rush_att,18,,,,,
player,201912080rai,oti,HenrDe00,rush_yds,103,,,,,
player,201912080rai,oti,HenrDe00,rush_td,2,,,,,
player,201912080rai,oti,HenrDe00,rush_long,24,,,,,
player,201912080rai,oti,HenrDe00,targets,1,,,,,
player,201912080rai,oti,HenrDe00,rec,1,,,,,
player,201912080rai,oti,HenrDe00,rec_yds,6,,,,,
player,201912080rai,oti,HenrDe00,rec_td,0,,,,,
player,201912080rai,oti,HenrDe00,rec_long,6,,,,,
player,201912080rai,oti,HenrDe00,fumbles,0,,,,,
player,201912080rai,oti,HenrDe00,fumbles_lost,0,,,,,
player,201912080rai,oti,LewiDi00,pass_cmp,0,,,,,
player,201912080rai,oti,LewiDi00,pass_att,0,,,,,
player,201912080rai,oti,LewiDi00,pass_yds,0,,,,,
player,201912080rai,oti,LewiDi00,pass_td,0,,,,,
player,201912080rai,oti,LewiDi00,pass_int,0,,,,,
player,201912080rai,oti,LewiDi00,pass_sacked,0,,,,,
player,201912080rai,oti,LewiDi00,pass_sacked_yds,0,,,,,
player,201912080rai,oti,LewiDi00,pass_long,0,,,,,
player,201912080rai,oti,LewiDi00,pass_rating,,,,,,
player,201912080rai,oti,LewiDi00,rush_att,9,,,,,
player,201912080rai,oti,LewiDi00,rush_yds,26,,,,,
player,201912080rai,oti,LewiDi00,rush_td,0,,,,,
player,201912080rai,oti,LewiDi00,rush_long,6,,,,,
player,201912080rai,oti,LewiDi00,targets,1,,,,,
player,201912080rai,oti,LewiDi00,rec,1,,,,,
player,201912080rai,oti,LewiDi00,rec_yds,5,,,,,
player,201912080rai,oti,LewiDi00,rec_td,0,,,,,
player,201912080rai,oti,LewiDi00,rec_long,5,,,,,
player,201912080rai,oti,LewiDi00,fumbles,0,,,,,
player,201912080rai,oti,LewiDi00,fumbles_lost,0,,,,,
player,201912080rai,oti,BrowAJ00,pass_cmp,0,,,,,
player,201912080rai,oti,BrowAJ00,pass_att,0,,,,,
player,201912080rai,oti,BrowAJ00,pass_yds,0,,,,,
player,201912080rai,oti,BrowAJ00,pass_td,0,,,,,
player,201912080rai,oti,BrowAJ00,pass_int,0,,,,,
player,201912080rai,oti,BrowAJ00,pass_sacked,0,,,,,
