game,2019,12,20191124,201911240chi,nyg,"New York Giants",14,chi,"Chicago Bears",19
team,201911240chi,nyg,First Downs,14,,,,,,
team,201911240chi,chi,First Downs,20,,,,,,
team,201911240chi,nyg,Rush-Yds-TDs,21-109-0,,,,,,
team,201911240chi,chi,Rush-Yds-TDs,26-65-1,,,,,,
team,201911240chi,nyg,Cmp-Att-Yd-TD-INT,21-36-150-2-0,,,,,,
team,201911240chi,chi,Cmp-Att-Yd-TD-INT,25-41-278-1-2,,,,,,
team,201911240chi,nyg,Sacked-Yards,1-16,,,,,,
team,201911240chi,chi,Sacked-Yards,2-8,,,,,,
team,201911240chi,nyg,Net Pass Yards,134,,,,,,
team,201911240chi,chi,Net Pass Yards,270,,,,,,
team,201911240chi,nyg,Total Yards,243,,,,,,
team,201911240chi,chi,Total Yards,335,,,,,,
team,201911240chi,nyg,Fumbles-Lost,1-1,,,,,,
team,201911240chi,chi,Fumbles-Lost,0-0,,,,,,
team,201911240chi,nyg,Turnovers,1,,,,,,
team,201911240chi,chi,Turnovers,2,,,,,,
team,201911240chi,nyg,Penalties-Yards,6-35,,,,,,
team,201911240chi,chi,Penalties-Yards,6-53,,,,,,
team,201911240chi,nyg,Third Down Conv.,1-12,,,,,,
team,201911240chi,chi,Third Down Conv.,4-15,,,,,,
team,201911240chi,nyg,Fourth Down Conv.,2-4,,,,,,
team,201911240chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201911240chi,nyg,Time of Possession,26:49,,,,,,
team,201911240chi,chi,Time of Possession,33:11,,,,,,
player,201911240chi,nyg,JoneDa05,pass_cmp,21,,,,,
player,201911240chi,nyg,JoneDa05,pass_att,36,,,,,
player,201911240chi,nyg,JoneDa05,pass_yds,150,,,,,
player,201911240chi,nyg,JoneDa05,pass_td,2,,,,,
player,201911240chi,nyg,JoneDa05,pass_int,0,,,,,
player,201911240chi,nyg,JoneDa05,pass_sacked,1,,,,,
player,201911240chi,nyg,JoneDa05,pass_sacked_yds,16,,,,,
player,201911240chi,nyg,JoneDa05,pass_long,23,,,,,
player,201911240chi,nyg,JoneDa05,pass_rating,86.6,,,,,
player,201911240chi,nyg,JoneDa05,rush_att,2,,,,,
player,201911240chi,nyg,JoneDa05,rush_yds,27,,,,,
player,201911240chi,nyg,JoneDa05,rush_td,0,,,,,
player,201911240chi,nyg,JoneDa05,rush_long,26,,,,,
player,201911240chi,nyg,JoneDa05,targets,0,,,,,
player,201911240chi,nyg,JoneDa05,rec,0,,,,,
player,201911240chi,nyg,JoneDa05,rec_yds,0,,,,,
player,201911240chi,nyg,JoneDa05,rec_td,0,,,,,
player,201911240chi,nyg,JoneDa05,rec_long,0,,,,,
player,201911240chi,nyg,JoneDa05,fumbles,1,,,,,
player,201911240chi,nyg,JoneDa05,fumbles_lost,1,,,,,
player,201911240chi,nyg,BarkSa00,pass_cmp,0,,,,,
player,201911240chi,nyg,BarkSa00,pass_att,0,,,,,
player,201911240chi,nyg,BarkSa00,pass_yds,0,,,,,
player,201911240chi,nyg,BarkSa00,pass_td,0,,,,,
player,201911240chi,nyg,BarkSa00,pass_int,0,,,,,
player,201911240chi,nyg,BarkSa00,pass_sacked,0,,,,,
player,201911240chi,nyg,BarkSa00,pass_sacked_yds,0,,,,,
player,201911240chi,nyg,BarkSa00,pass_long,0,,,,,
player,201911240chi,nyg,BarkSa00,pass_rating,,,,,,
player,201911240chi,nyg,BarkSa00,rush_att,17,,,,,
player,201911240chi,nyg,BarkSa00,rush_yds,59,,,,,
player,201911240chi,nyg,BarkSa00,rush_td,0,,,,,
player,201911240chi,nyg,BarkSa00,rush_long,22,,,,,
player,201911240chi,nyg,BarkSa00,targets,3,,,,,
player,201911240chi,nyg,BarkSa00,rec,2,,,,,
player,201911240chi,nyg,BarkSa00,rec_yds,1,,,,,
player,201911240chi,nyg,BarkSa00,rec_td,0,,,,,
player,201911240chi,nyg,BarkSa00,rec_long,1,,,,,
player,201911240chi,nyg,BarkSa00,fumbles,0,,,,,
player,201911240chi,nyg,BarkSa00,fumbles_lost,0,,,,,
player,201911240chi,nyg,ShepSt00,pass_cmp,0,,,,,
player,201911240chi,nyg,ShepSt00,pass_att,0,,,,,
player,201911240chi,nyg,ShepSt00,pass_yds,0,,,,,
player,201911240chi,nyg,ShepSt00,pass_td,0,,,,,
player,201911240chi,nyg,ShepSt00,pass_int,0,,,,,
player,201911240chi,nyg,ShepSt00,pass_sacked,0,,,,,
player,201911240chi,nyg,ShepSt00,pass_sacked_yds,0,,,,,
player,201911240chi,nyg,ShepSt00,pass_long,0,,,,,
player,201911240chi,nyg,ShepSt00,pass_rating,,,,,,
player,201911240chi,nyg,ShepSt00,rush_att,1,,,,,
player,201911240chi,nyg,ShepSt00,rush_yds,22,,,,,
player,201911240chi,nyg,ShepSt00,rush_td,0,,,,,
player,201911240chi,nyg,ShepSt00,rush_long,22,,,,,
player,201911240chi,nyg,ShepSt00,targets,9,,,,,
player,201911240chi,nyg,ShepSt00,rec,5,,,,,
player,201911240chi,nyg,ShepSt00,rec_yds,15,,,,,
player,201911240chi,nyg,ShepSt00,rec_td,0,,,,,
player,201911240chi,nyg,ShepSt00,rec_long,6,,,,,
player,201911240chi,nyg,ShepSt00,fumbles,0,,,,,
player,201911240chi,nyg,ShepSt00,fumbles_lost,0,,,,,
player,201911240chi,nyg,GallWa00,pass_cmp,0,,,,,
player,201911240chi,nyg,GallWa00,pass_att,0,,,,,
player,201911240chi,nyg,GallWa00,pass_yds,0,,,,,
player,201911240chi,nyg,GallWa00,pass_td,0,,,,,
player,201911240chi,nyg,GallWa00,pass_int,0,,,,,
player,201911240chi,nyg,GallWa00,pass_sacked,0,,,,,
player,201911240chi,nyg,GallWa00,pass_sacked_yds,0,,,,,
player,201911240chi,nyg,GallWa00,pass_long,0,,,,,
player,201911240chi,nyg,GallWa00,pass_rating,,,,,,
player,201911240chi,nyg,GallWa00,rush_att,1,,,,,
player,201911240chi,nyg,GallWa00,rush_yds,1,,,,,
player,201911240chi,nyg,GallWa00,rush_td,0,,,,,
player,201911240chi,nyg,GallWa00,rush_long,1,,,,,
player,201911240chi,nyg,GallWa00,targets,0,,,,,
player,201911240chi,nyg,GallWa00,rec,0,,,,,
player,201911240chi,nyg,GallWa00,rec_yds,0,,,,,
player,201911240chi,nyg,GallWa00,rec_td,0,,,,,
player,201911240chi,nyg,GallWa00,rec_long,0,,,,,
player,201911240chi,nyg,GallWa00,fumbles,0,,,,,
player,201911240chi,nyg,GallWa00,fumbles_lost,0,,,,,
player,201911240chi,nyg,SlayDa01,pass_cmp,0,,,,,
player,201911240chi,nyg,SlayDa01,pass_att,0,,,,,
player,201911240chi,nyg,SlayDa01,pass_yds,0,,,,,
player,201911240chi,nyg,SlayDa01,pass_td,0,,,,,
player,201911240chi,nyg,SlayDa01,pass_int,0,,,,,
player,201911240chi,nyg,SlayDa01,pass_sacked,0,,,,,
player,201911240chi,nyg,SlayDa01,pass_sacked_yds,0,,,,,
player,201911240chi,nyg,SlayDa01,pass_long,0,,,,,
player,201911240chi,nyg,SlayDa01,pass_rating,,,,,,
player,201911240chi,nyg,SlayDa01,rush_att,0,,,,,
player,201911240chi,nyg,SlayDa01,rush_yds,0,,,,,
player,201911240chi,nyg,SlayDa01,rush_td,0,,,,,
player,201911240chi,nyg,SlayDa01,rush_long,0,,,,,
player,201911240chi,nyg,SlayDa01,targets,7,,,,,
player,201911240chi,nyg,SlayDa01,rec,4,,,,,
player,201911240chi,nyg,SlayDa01,rec_yds,67,,,,,
player,201911240chi,nyg,SlayDa01,rec_td,0,,,,,
player,201911240chi,nyg,SlayDa01,rec_long,19,,,,,
player,201911240chi,nyg,SlayDa01,fumbles,0,,,,,
player,201911240chi,nyg,SlayDa01,fumbles_lost,0,,,,,
player,201911240chi,nyg,TateGo00,pass_cmp,0,,,,,
player,201911240chi,nyg,TateGo00,pass_att,0,,,,,
player,201911240chi,nyg,TateGo00,pass_yds,0,,,,,
player,201911240chi,nyg,TateGo00,pass_td,0,,,,,
player,201911240chi,nyg,TateGo00,pass_int,0,,,,,
player,201911240chi,nyg,TateGo00,pass_sacked,0,,,,,
player,201911240chi,nyg,TateGo00,pass_sacked_yds,0,,,,,
player,201911240chi,nyg,TateGo00,pass_long,0,,,,,
player,201911240chi,nyg,TateGo00,pass_rating,,,,,,
player,201911240chi,nyg,TateGo00,rush_att,0,,,,,
player,201911240chi,nyg,TateGo00,rush_yds,0,,,,,
player,201911240chi,nyg,TateGo00,rush_td,0,,,,,
player,201911240chi,nyg,TateGo00,rush_long,0,,,,,
player,201911240chi,nyg,TateGo00,targets,7,,,,,
player,201911240chi,nyg,TateGo00,rec,3,,,,,
player,201911240chi,nyg,TateGo00,rec_yds,33,,,,,
player,201911240chi,nyg,TateGo00,rec_td,1,,,,,
player,201911240chi,nyg,TateGo00,rec_long,23,,,,,
player,201911240chi,nyg,TateGo00,fumbles,0,,,,,
player,201911240chi,nyg,TateGo00,fumbles_lost,0,,,,,
player,201911240chi,nyg,SmitKa00,pass_cmp,0,,,,,
player,201911240chi,nyg,SmitKa00,pass_att,0,,,,,
player,201911240chi,nyg,SmitKa00,pass_yds,0,,,,,
player,201911240chi,nyg,SmitKa00,pass_td,0,,,,,
player,201911240chi,nyg,SmitKa00,pass_int,0,,,,,
player,201911240chi,nyg,SmitKa00,pass_sacked,0,,,,,
player,201911240chi,nyg,SmitKa00,pass_sacked_yds,0,,,,,
player,201911240chi,nyg,SmitKa00,pass_long,0,,,,,
player,201911240chi,nyg,SmitKa00,pass_rating,,,,,,
player,201911240chi,nyg,SmitKa00,rush_att,0,,,,,
player,201911240chi,nyg,SmitKa00,rush_yds,0,,,,,
player,201911240chi,nyg,SmitKa00,rush_td,0,,,,,
player,201911240chi,nyg,SmitKa00,rush_long,0,,,,,
player,201911240chi,nyg,SmitKa00,targets,6,,,,,
player,201911240chi,nyg,SmitKa00,rec,5,,,,,
player,201911240chi,nyg,SmitKa00,rec_yds,17,,,,,
player,201911240chi,nyg,SmitKa00,rec_td,1,,,,,
player,201911240chi,nyg,SmitKa00,rec_long,11,,,,,
player,201911240chi,nyg,SmitKa00,fumbles,0,,,,,
player,201911240chi,nyg,SmitKa00,fumbles_lost,0,,,,,
player,201911240chi,nyg,SimoSc00,pass_cmp,0,,,,,
player,201911240chi,nyg,SimoSc00,pass_att,0,,,,,
player,201911240chi,nyg,SimoSc00,pass_yds,0,,,,,
