game,2019,17,20191229,201912290kan,sdg,"Los Angeles Chargers",21,kan,"Kansas City Chiefs",31
team,201912290kan,sdg,First Downs,25,,,,,,
team,201912290kan,kan,First Downs,16,,,,,,
team,201912290kan,sdg,Rush-Yds-TDs,25-108-1,,,,,,
team,201912290kan,kan,Rush-Yds-TDs,23-162-2,,,,,,
team,201912290kan,sdg,Cmp-Att-Yd-TD-INT,31-46-281-2-2,,,,,,
team,201912290kan,kan,Cmp-Att-Yd-TD-INT,16-25-174-1-1,,,,,,
team,201912290kan,sdg,Sacked-Yards,3-23,,,,,,
team,201912290kan,kan,Sacked-Yards,0-0,,,,,,
team,201912290kan,sdg,Net Pass Yards,258,,,,,,
team,201912290kan,kan,Net Pass Yards,174,,,,,,
team,201912290kan,sdg,Total Yards,366,,,,,,
team,201912290kan,kan,Total Yards,336,,,,,,
team,201912290kan,sdg,Fumbles-Lost,0-0,,,,,,
team,201912290kan,kan,Fumbles-Lost,0-0,,,,,,
team,201912290kan,sdg,Turnovers,2,,,,,,
team,201912290kan,kan,Turnovers,1,,,,,,
team,201912290kan,sdg,Penalties-Yards,8-40,,,,,,
team,201912290kan,kan,Penalties-Yards,5-39,,,,,,
team,201912290kan,sdg,Third Down Conv.,8-15,,,,,,
team,201912290kan,kan,Third Down Conv.,7-10,,,,,,
team,201912290kan,sdg,Fourth Down Conv.,2-4,,,,,,
team,201912290kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201912290kan,sdg,Time of Possession,36:04,,,,,,
team,201912290kan,kan,Time of Possession,23:56,,,,,,
player,201912290kan,sdg,RivePh00,pass_cmp,31,,,,,
player,201912290kan,sdg,RivePh00,pass_att,46,,,,,
player,201912290kan,sdg,RivePh00,pass_yds,281,,,,,
player,201912290kan,sdg,RivePh00,pass_td,2,,,,,
player,201912290kan,sdg,RivePh00,pass_int,2,,,,,
player,201912290kan,sdg,RivePh00,pass_sacked,3,,,,,
player,201912290kan,sdg,RivePh00,pass_sacked_yds,23,,,,,
player,201912290kan,sdg,RivePh00,pass_long,23,,,,,
player,201912290kan,sdg,RivePh00,pass_rating,80.1,,,,,
player,201912290kan,sdg,RivePh00,rush_att,1,,,,,
player,201912290kan,sdg,RivePh00,rush_yds,5,,,,,
player,201912290kan,sdg,RivePh00,rush_td,0,,,,,
player,201912290kan,sdg,RivePh00,rush_long,5,,,,,
player,201912290kan,sdg,RivePh00,targets,0,,,,,
player,201912290kan,sdg,RivePh00,rec,0,,,,,
player,201912290kan,sdg,RivePh00,rec_yds,0,,,,,
player,201912290kan,sdg,RivePh00,rec_td,0,,,,,
player,201912290kan,sdg,RivePh00,rec_long,0,,,,,
player,201912290kan,sdg,RivePh00,fumbles,0,,,,,
player,201912290kan,sdg,RivePh00,fumbles_lost,0,,,,,
player,201912290kan,sdg,GordMe00,pass_cmp,0,,,,,
player,201912290kan,sdg,GordMe00,pass_att,0,,,,,
player,201912290kan,sdg,GordMe00,pass_yds,0,,,,,
player,201912290kan,sdg,GordMe00,pass_td,0,,,,,
player,201912290kan,sdg,GordMe00,pass_int,0,,,,,
player,201912290kan,sdg,GordMe00,pass_sacked,0,,,,,
player,201912290kan,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201912290kan,sdg,GordMe00,pass_long,0,,,,,
player,201912290kan,sdg,GordMe00,pass_rating,,,,,,
player,201912290kan,sdg,GordMe00,rush_att,14,,,,,
player,201912290kan,sdg,GordMe00,rush_yds,46,,,,,
player,201912290kan,sdg,GordMe00,rush_td,1,,,,,
player,201912290kan,sdg,GordMe00,rush_long,15,,,,,
player,201912290kan,sdg,GordMe00,targets,7,,,,,
player,201912290kan,sdg,GordMe00,rec,6,,,,,
player,201912290kan,sdg,GordMe00,rec_yds,76,,,,,
player,201912290kan,sdg,GordMe00,rec_td,0,,,,,
player,201912290kan,sdg,GordMe00,rec_long,23,,,,,
player,201912290kan,sdg,GordMe00,fumbles,0,,,,,
