game,2019,14,20191208,201912080htx,den,"Denver Broncos",38,htx,"Houston Texans",24
team,201912080htx,den,First Downs,22,,,,,,
team,201912080htx,htx,First Downs,26,,,,,,
team,201912080htx,den,Rush-Yds-TDs,27-90-1,,,,,,
team,201912080htx,htx,Rush-Yds-TDs,22-134-2,,,,,,
team,201912080htx,den,Cmp-Att-Yd-TD-INT,22-27-309-3-1,,,,,,
team,201912080htx,htx,Cmp-Att-Yd-TD-INT,28-50-292-1-2,,,,,,
team,201912080htx,den,Sacked-Yards,1-8,,,,,,
team,201912080htx,htx,Sacked-Yards,3-12,,,,,,
team,201912080htx,den,Net Pass Yards,301,,,,,,
team,201912080htx,htx,Net Pass Yards,280,,,,,,
team,201912080htx,den,Total Yards,391,,,,,,
team,201912080htx,htx,Total Yards,414,,,,,,
team,201912080htx,den,Fumbles-Lost,0-0,,,,,,
team,201912080htx,htx,Fumbles-Lost,1-1,,,,,,
team,201912080htx,den,Turnovers,1,,,,,,
team,201912080htx,htx,Turnovers,3,,,,,,
team,201912080htx,den,Penalties-Yards,7-50,,,,,,
team,201912080htx,htx,Penalties-Yards,9-44,,,,,,
team,201912080htx,den,Third Down Conv.,5-8,,,,,,
team,201912080htx,htx,Third Down Conv.,6-13,,,,,,
team,201912080htx,den,Fourth Down Conv.,0-0,,,,,,
team,201912080htx,htx,Fourth Down Conv.,2-4,,,,,,
team,201912080htx,den,Time of Possession,31:25,,,,,,
team,201912080htx,htx,Time of Possession,28:35,,,,,,
player,201912080htx,den,LockDr00,pass_cmp,22,,,,,
player,201912080htx,den,LockDr00,pass_att,27,,,,,
player,201912080htx,den,LockDr00,pass_yds,309,,,,,
player,201912080htx,den,LockDr00,pass_td,3,,,,,
player,201912080htx,den,LockDr00,pass_int,1,,,,,
player,201912080htx,den,LockDr00,pass_sacked,1,,,,,
player,201912080htx,den,LockDr00,pass_sacked_yds,8,,,,,
player,201912080htx,den,LockDr00,pass_long,48,,,,,
player,201912080htx,den,LockDr00,pass_rating,136.0,,,,,
player,201912080htx,den,LockDr00,rush_att,3,,,,,
player,201912080htx,den,LockDr00,rush_yds,15,,,,,
player,201912080htx,den,LockDr00,rush_td,0,,,,,
player,201912080htx,den,LockDr00,rush_long,11,,,,,
player,201912080htx,den,LockDr00,targets,0,,,,,
player,201912080htx,den,LockDr00,rec,0,,,,,
player,201912080htx,den,LockDr00,rec_yds,0,,,,,
player,201912080htx,den,LockDr00,rec_td,0,,,,,
player,201912080htx,den,LockDr00,rec_long,0,,,,,
player,201912080htx,den,LockDr00,fumbles,0,,,,,
player,201912080htx,den,LockDr00,fumbles_lost,0,,,,,
player,201912080htx,den,LindPh00,pass_cmp,0,,,,,
player,201912080htx,den,LindPh00,pass_att,0,,,,,
player,201912080htx,den,LindPh00,pass_yds,0,,,,,
player,201912080htx,den,LindPh00,pass_td,0,,,,,
player,201912080htx,den,LindPh00,pass_int,0,,,,,
player,201912080htx,den,LindPh00,pass_sacked,0,,,,,
player,201912080htx,den,LindPh00,pass_sacked_yds,0,,,,,
player,201912080htx,den,LindPh00,pass_long,0,,,,,
player,201912080htx,den,LindPh00,pass_rating,,,,,,
player,201912080htx,den,LindPh00,rush_att,16,,,,,
player,201912080htx,den,LindPh00,rush_yds,51,,,,,
player,201912080htx,den,LindPh00,rush_td,1,,,,,
player,201912080htx,den,LindPh00,rush_long,8,,,,,
player,201912080htx,den,LindPh00,targets,2,,,,,
player,201912080htx,den,LindPh00,rec,2,,,,,
player,201912080htx,den,LindPh00,rec_yds,4,,,,,
player,201912080htx,den,LindPh00,rec_td,0,,,,,
player,201912080htx,den,LindPh00,rec_long,5,,,,,
player,201912080htx,den,LindPh00,fumbles,0,,,,,
player,201912080htx,den,LindPh00,fumbles_lost,0,,,,,
player,201912080htx,den,FreeRo00,pass_cmp,0,,,,,
player,201912080htx,den,FreeRo00,pass_att,0,,,,,
player,201912080htx,den,FreeRo00,pass_yds,0,,,,,
player,201912080htx,den,FreeRo00,pass_td,0,,,,,
player,201912080htx,den,FreeRo00,pass_int,0,,,,,
player,201912080htx,den,FreeRo00,pass_sacked,0,,,,,
player,201912080htx,den,FreeRo00,pass_sacked_yds,0,,,,,
