game,2019,11,20191117,201911170sfo,crd,"Arizona Cardinals",26,sfo,"San Francisco 49ers",36
team,201911170sfo,crd,First Downs,21,,,,,,
team,201911170sfo,sfo,First Downs,26,,,,,,
team,201911170sfo,crd,Rush-Yds-TDs,25-135-1,,,,,,
team,201911170sfo,sfo,Rush-Yds-TDs,19-34-0,,,,,,
team,201911170sfo,crd,Cmp-Att-Yd-TD-INT,24-33-150-2-0,,,,,,
team,201911170sfo,sfo,Cmp-Att-Yd-TD-INT,34-45-424-4-2,,,,,,
team,201911170sfo,crd,Sacked-Yards,4-19,,,,,,
team,201911170sfo,sfo,Sacked-Yards,2-16,,,,,,
team,201911170sfo,crd,Net Pass Yards,131,,,,,,
team,201911170sfo,sfo,Net Pass Yards,408,,,,,,
team,201911170sfo,crd,Total Yards,266,,,,,,
team,201911170sfo,sfo,Total Yards,442,,,,,,
team,201911170sfo,crd,Fumbles-Lost,2-2,,,,,,
team,201911170sfo,sfo,Fumbles-Lost,0-0,,,,,,
team,201911170sfo,crd,Turnovers,2,,,,,,
team,201911170sfo,sfo,Turnovers,2,,,,,,
team,201911170sfo,crd,Penalties-Yards,10-104,,,,,,
team,201911170sfo,sfo,Penalties-Yards,10-127,,,,,,
team,201911170sfo,crd,Third Down Conv.,3-10,,,,,,
team,201911170sfo,sfo,Third Down Conv.,6-13,,,,,,
team,201911170sfo,crd,Fourth Down Conv.,1-1,,,,,,
team,201911170sfo,sfo,Fourth Down Conv.,0-2,,,,,,
team,201911170sfo,crd,Time of Possession,31:23,,,,,,
team,201911170sfo,sfo,Time of Possession,28:37,,,,,,
player,201911170sfo,crd,MurrKy00,pass_cmp,24,,,,,
player,201911170sfo,crd,MurrKy00,pass_att,33,,,,,
player,201911170sfo,crd,MurrKy00,pass_yds,150,,,,,
player,201911170sfo,crd,MurrKy00,pass_td,2,,,,,
player,201911170sfo,crd,MurrKy00,pass_int,0,,,,,
player,201911170sfo,crd,MurrKy00,pass_sacked,4,,,,,
player,201911170sfo,crd,MurrKy00,pass_sacked_yds,19,,,,,
player,201911170sfo,crd,MurrKy00,pass_long,23,,,,,
player,201911170sfo,crd,MurrKy00,pass_rating,101.8,,,,,
player,201911170sfo,crd,MurrKy00,rush_att,8,,,,,
player,201911170sfo,crd,MurrKy00,rush_yds,67,,,,,
player,201911170sfo,crd,MurrKy00,rush_td,1,,,,,
player,201911170sfo,crd,MurrKy00,rush_long,22,,,,,
player,201911170sfo,crd,MurrKy00,targets,0,,,,,
player,201911170sfo,crd,MurrKy00,rec,0,,,,,
player,201911170sfo,crd,MurrKy00,rec_yds,0,,,,,
player,201911170sfo,crd,MurrKy00,rec_td,0,,,,,
player,201911170sfo,crd,MurrKy00,rec_long,0,,,,,
player,201911170sfo,crd,MurrKy00,fumbles,0,,,,,
player,201911170sfo,crd,MurrKy00,fumbles_lost,0,,,,,
player,201911170sfo,crd,DrakKe00,pass_cmp,0,,,,,
player,201911170sfo,crd,DrakKe00,pass_att,0,,,,,
