game,2019,13,20191201,201912010rav,sfo,"San Francisco 49ers",17,rav,"Baltimore Ravens",20
team,201912010rav,sfo,First Downs,15,,,,,,
team,201912010rav,rav,First Downs,21,,,,,,
team,201912010rav,sfo,Rush-Yds-TDs,29-174-1,,,,,,
team,201912010rav,rav,Rush-Yds-TDs,38-178-1,,,,,,
team,201912010rav,sfo,Cmp-Att-Yd-TD-INT,15-21-165-1-0,,,,,,
team,201912010rav,rav,Cmp-Att-Yd-TD-INT,14-23-105-1-0,,,,,,
team,201912010rav,sfo,Sacked-Yards,2-8,,,,,,
team,201912010rav,rav,Sacked-Yards,1-0,,,,,,
team,201912010rav,sfo,Net Pass Yards,157,,,,,,
team,201912010rav,rav,Net Pass Yards,105,,,,,,
team,201912010rav,sfo,Total Yards,331,,,,,,
team,201912010rav,rav,Total Yards,283,,,,,,
team,201912010rav,sfo,Fumbles-Lost,1-1,,,,,,
team,201912010rav,rav,Fumbles-Lost,1-1,,,,,,
team,201912010rav,sfo,Turnovers,1,,,,,,
team,201912010rav,rav,Turnovers,1,,,,,,
team,201912010rav,sfo,Penalties-Yards,6-54,,,,,,
team,201912010rav,rav,Penalties-Yards,3-23,,,,,,
team,201912010rav,sfo,Third Down Conv.,4-12,,,,,,
team,201912010rav,rav,Third Down Conv.,3-10,,,,,,
team,201912010rav,sfo,Fourth Down Conv.,1-2,,,,,,
team,201912010rav,rav,Fourth Down Conv.,2-3,,,,,,
team,201912010rav,sfo,Time of Possession,27:34,,,,,,
team,201912010rav,rav,Time of Possession,32:26,,,,,,
player,201912010rav,sfo,GaroJi00,pass_cmp,15,,,,,
player,201912010rav,sfo,GaroJi00,pass_att,21,,,,,
player,201912010rav,sfo,GaroJi00,pass_yds,165,,,,,
player,201912010rav,sfo,GaroJi00,pass_td,1,,,,,
player,201912010rav,sfo,GaroJi00,pass_int,0,,,,,
player,201912010rav,sfo,GaroJi00,pass_sacked,2,,,,,
player,201912010rav,sfo,GaroJi00,pass_sacked_yds,8,,,,,
player,201912010rav,sfo,GaroJi00,pass_long,33,,,,,
player,201912010rav,sfo,GaroJi00,pass_rating,110.2,,,,,
player,201912010rav,sfo,GaroJi00,rush_att,3,,,,,
player,201912010rav,sfo,GaroJi00,rush_yds,5,,,,,
player,201912010rav,sfo,GaroJi00,rush_td,0,,,,,
player,201912010rav,sfo,GaroJi00,rush_long,3,,,,,
player,201912010rav,sfo,GaroJi00,targets,0,,,,,
player,201912010rav,sfo,GaroJi00,rec,0,,,,,
player,201912010rav,sfo,GaroJi00,rec_yds,0,,,,,
player,201912010rav,sfo,GaroJi00,rec_td,0,,,,,
player,201912010rav,sfo,GaroJi00,rec_long,0,,,,,
player,201912010rav,sfo,GaroJi00,fumbles,1,,,,,
player,201912010rav,sfo,GaroJi00,fumbles_lost,1,,,,,
player,201912010rav,sfo,MostRa00,pass_cmp,0,,,,,
player,201912010rav,sfo,MostRa00,pass_att,0,,,,,
player,201912010rav,sfo,MostRa00,pass_yds,0,,,,,
player,201912010rav,sfo,MostRa00,pass_td,0,,,,,
player,201912010rav,sfo,MostRa00,pass_int,0,,,,,
player,201912010rav,sfo,MostRa00,pass_sacked,0,,,,,
player,201912010rav,sfo,MostRa00,pass_sacked_yds,0,,,,,
player,201912010rav,sfo,MostRa00,pass_long,0,,,,,
player,201912010rav,sfo,MostRa00,pass_rating,,,,,,
player,201912010rav,sfo,MostRa00,rush_att,19,,,,,
player,201912010rav,sfo,MostRa00,rush_yds,146,,,,,
player,201912010rav,sfo,MostRa00,rush_td,1,,,,,
player,201912010rav,sfo,MostRa00,rush_long,40,,,,,
player,201912010rav,sfo,MostRa00,targets,2,,,,,
player,201912010rav,sfo,MostRa00,rec,2,,,,,
player,201912010rav,sfo,MostRa00,rec_yds,8,,,,,
player,201912010rav,sfo,MostRa00,rec_td,0,,,,,
player,201912010rav,sfo,MostRa00,rec_long,5,,,,,
player,201912010rav,sfo,MostRa00,fumbles,0,,,,,
player,201912010rav,sfo,MostRa00,fumbles_lost,0,,,,,
player,201912010rav,sfo,SamuDe00,pass_cmp,0,,,,,
player,201912010rav,sfo,SamuDe00,pass_att,0,,,,,
player,201912010rav,sfo,SamuDe00,pass_yds,0,,,,,
player,201912010rav,sfo,SamuDe00,pass_td,0,,,,,
player,201912010rav,sfo,SamuDe00,pass_int,0,,,,,
player,201912010rav,sfo,SamuDe00,pass_sacked,0,,,,,
player,201912010rav,sfo,SamuDe00,pass_sacked_yds,0,,,,,
player,201912010rav,sfo,SamuDe00,pass_long,0,,,,,
player,201912010rav,sfo,SamuDe00,pass_rating,,,,,,
player,201912010rav,sfo,SamuDe00,rush_att,1,,,,,
player,201912010rav,sfo,SamuDe00,rush_yds,20,,,,,
player,201912010rav,sfo,SamuDe00,rush_td,0,,,,,
player,201912010rav,sfo,SamuDe00,rush_long,20,,,,,
player,201912010rav,sfo,SamuDe00,targets,4,,,,,
player,201912010rav,sfo,SamuDe00,rec,2,,,,,
player,201912010rav,sfo,SamuDe00,rec_yds,41,,,,,
player,201912010rav,sfo,SamuDe00,rec_td,1,,,,,
player,201912010rav,sfo,SamuDe00,rec_long,33,,,,,
