game,2019,14,20191208,201912080nwe,kan,"Kansas City Chiefs",23,nwe,"New England Patriots",16
team,201912080nwe,kan,First Downs,20,,,,,,
team,201912080nwe,nwe,First Downs,17,,,,,,
team,201912080nwe,kan,Rush-Yds-TDs,29-75-1,,,,,,
team,201912080nwe,nwe,Rush-Yds-TDs,22-94-1,,,,,,
team,201912080nwe,kan,Cmp-Att-Yd-TD-INT,26-40-283-1-1,,,,,,
team,201912080nwe,nwe,Cmp-Att-Yd-TD-INT,20-37-204-1-1,,,,,,
team,201912080nwe,kan,Sacked-Yards,1-12,,,,,,
team,201912080nwe,nwe,Sacked-Yards,3-20,,,,,,
team,201912080nwe,kan,Net Pass Yards,271,,,,,,
team,201912080nwe,nwe,Net Pass Yards,184,,,,,,
team,201912080nwe,kan,Total Yards,346,,,,,,
team,201912080nwe,nwe,Total Yards,278,,,,,,
team,201912080nwe,kan,Fumbles-Lost,2-1,,,,,,
team,201912080nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201912080nwe,kan,Turnovers,2,,,,,,
team,201912080nwe,nwe,Turnovers,1,,,,,,
team,201912080nwe,kan,Penalties-Yards,10-136,,,,,,
team,201912080nwe,nwe,Penalties-Yards,5-25,,,,,,
team,201912080nwe,kan,Third Down Conv.,5-16,,,,,,
team,201912080nwe,nwe,Third Down Conv.,2-12,,,,,,
team,201912080nwe,kan,Fourth Down Conv.,1-1,,,,,,
team,201912080nwe,nwe,Fourth Down Conv.,1-3,,,,,,
team,201912080nwe,kan,Time of Possession,34:21,,,,,,
team,201912080nwe,nwe,Time of Possession,25:39,,,,,,
player,201912080nwe,kan,MahoPa00,pass_cmp,26,,,,,
player,201912080nwe,kan,MahoPa00,pass_att,40,,,,,
player,201912080nwe,kan,MahoPa00,pass_yds,283,,,,,
player,201912080nwe,kan,MahoPa00,pass_td,1,,,,,
player,201912080nwe,kan,MahoPa00,pass_int,1,,,,,
player,201912080nwe,kan,MahoPa00,pass_sacked,1,,,,,
player,201912080nwe,kan,MahoPa00,pass_sacked_yds,12,,,,,
player,201912080nwe,kan,MahoPa00,pass_long,48,,,,,
player,201912080nwe,kan,MahoPa00,pass_rating,83.6,,,,,
player,201912080nwe,kan,MahoPa00,rush_att,6,,,,,
player,201912080nwe,kan,MahoPa00,rush_yds,6,,,,,
player,201912080nwe,kan,MahoPa00,rush_td,0,,,,,
player,201912080nwe,kan,MahoPa00,rush_long,5,,,,,
player,201912080nwe,kan,MahoPa00,targets,0,,,,,
player,201912080nwe,kan,MahoPa00,rec,0,,,,,
player,201912080nwe,kan,MahoPa00,rec_yds,0,,,,,
player,201912080nwe,kan,MahoPa00,rec_td,0,,,,,
player,201912080nwe,kan,MahoPa00,rec_long,0,,,,,
player,201912080nwe,kan,MahoPa00,fumbles,0,,,,,
player,201912080nwe,kan,MahoPa00,fumbles_lost,0,,,,,
player,201912080nwe,kan,McCoLe01,pass_cmp,0,,,,,
player,201912080nwe,kan,McCoLe01,pass_att,0,,,,,
player,201912080nwe,kan,McCoLe01,pass_yds,0,,,,,
player,201912080nwe,kan,McCoLe01,pass_td,0,,,,,
player,201912080nwe,kan,McCoLe01,pass_int,0,,,,,
player,201912080nwe,kan,McCoLe01,pass_sacked,0,,,,,
player,201912080nwe,kan,McCoLe01,pass_sacked_yds,0,,,,,
player,201912080nwe,kan,McCoLe01,pass_long,0,,,,,
player,201912080nwe,kan,McCoLe01,pass_rating,,,,,,
player,201912080nwe,kan,McCoLe01,rush_att,11,,,,,
player,201912080nwe,kan,McCoLe01,rush_yds,39,,,,,
player,201912080nwe,kan,McCoLe01,rush_td,0,,,,,
player,201912080nwe,kan,McCoLe01,rush_long,13,,,,,
player,201912080nwe,kan,McCoLe01,targets,3,,,,,
player,201912080nwe,kan,McCoLe01,rec,1,,,,,
player,201912080nwe,kan,McCoLe01,rec_yds,4,,,,,
player,201912080nwe,kan,McCoLe01,rec_td,0,,,,,
player,201912080nwe,kan,McCoLe01,rec_long,4,,,,,
player,201912080nwe,kan,McCoLe01,fumbles,0,,,,,
player,201912080nwe,kan,McCoLe01,fumbles_lost,0,,,,,
player,201912080nwe,kan,WareSp00,pass_cmp,0,,,,,
player,201912080nwe,kan,WareSp00,pass_att,0,,,,,
player,201912080nwe,kan,WareSp00,pass_yds,0,,,,,
player,201912080nwe,kan,WareSp00,pass_td,0,,,,,
player,201912080nwe,kan,WareSp00,pass_int,0,,,,,
player,201912080nwe,kan,WareSp00,pass_sacked,0,,,,,
player,201912080nwe,kan,WareSp00,pass_sacked_yds,0,,,,,
player,201912080nwe,kan,WareSp00,pass_long,0,,,,,
player,201912080nwe,kan,WareSp00,pass_rating,,,,,,
player,201912080nwe,kan,WareSp00,rush_att,5,,,,,
player,201912080nwe,kan,WareSp00,rush_yds,11,,,,,
player,201912080nwe,kan,WareSp00,rush_td,0,,,,,
player,201912080nwe,kan,WareSp00,rush_long,6,,,,,
player,201912080nwe,kan,WareSp00,targets,2,,,,,
player,201912080nwe,kan,WareSp00,rec,1,,,,,
player,201912080nwe,kan,WareSp00,rec_yds,-9,,,,,
player,201912080nwe,kan,WareSp00,rec_td,0,,,,,
player,201912080nwe,kan,WareSp00,rec_long,-9,,,,,
player,201912080nwe,kan,WareSp00,fumbles,1,,,,,
player,201912080nwe,kan,WareSp00,fumbles_lost,0,,,,,
player,201912080nwe,kan,HillTy00,pass_cmp,0,,,,,
player,201912080nwe,kan,HillTy00,pass_att,0,,,,,
