game,2019,12,20191124,201911240nwe,dal,"Dallas Cowboys",9,nwe,"New England Patriots",13
team,201911240nwe,dal,First Downs,16,,,,,,
team,201911240nwe,nwe,First Downs,17,,,,,,
team,201911240nwe,dal,Rush-Yds-TDs,26-109-0,,,,,,
team,201911240nwe,nwe,Rush-Yds-TDs,27-101-0,,,,,,
team,201911240nwe,dal,Cmp-Att-Yd-TD-INT,19-33-212-0-1,,,,,,
team,201911240nwe,nwe,Cmp-Att-Yd-TD-INT,17-37-190-1-0,,,,,,
team,201911240nwe,dal,Sacked-Yards,0-0,,,,,,
team,201911240nwe,nwe,Sacked-Yards,2-9,,,,,,
team,201911240nwe,dal,Net Pass Yards,212,,,,,,
team,201911240nwe,nwe,Net Pass Yards,181,,,,,,
team,201911240nwe,dal,Total Yards,321,,,,,,
team,201911240nwe,nwe,Total Yards,282,,,,,,
team,201911240nwe,dal,Fumbles-Lost,2-0,,,,,,
team,201911240nwe,nwe,Fumbles-Lost,1-0,,,,,,
team,201911240nwe,dal,Turnovers,1,,,,,,
team,201911240nwe,nwe,Turnovers,0,,,,,,
team,201911240nwe,dal,Penalties-Yards,7-50,,,,,,
team,201911240nwe,nwe,Penalties-Yards,6-56,,,,,,
team,201911240nwe,dal,Third Down Conv.,2-13,,,,,,
team,201911240nwe,nwe,Third Down Conv.,3-14,,,,,,
team,201911240nwe,dal,Fourth Down Conv.,0-1,,,,,,
team,201911240nwe,nwe,Fourth Down Conv.,0-1,,,,,,
team,201911240nwe,dal,Time of Possession,30:22,,,,,,
team,201911240nwe,nwe,Time of Possession,29:38,,,,,,
player,201911240nwe,dal,PresDa01,pass_cmp,19,,,,,
player,201911240nwe,dal,PresDa01,pass_att,33,,,,,
player,201911240nwe,dal,PresDa01,pass_yds,212,,,,,
player,201911240nwe,dal,PresDa01,pass_td,0,,,,,
player,201911240nwe,dal,PresDa01,pass_int,1,,,,,
player,201911240nwe,dal,PresDa01,pass_sacked,0,,,,,
player,201911240nwe,dal,PresDa01,pass_sacked_yds,0,,,,,
player,201911240nwe,dal,PresDa01,pass_long,59,,,,,
player,201911240nwe,dal,PresDa01,pass_rating,64.2,,,,,
player,201911240nwe,dal,PresDa01,rush_att,1,,,,,
player,201911240nwe,dal,PresDa01,rush_yds,4,,,,,
player,201911240nwe,dal,PresDa01,rush_td,0,,,,,
player,201911240nwe,dal,PresDa01,rush_long,4,,,,,
player,201911240nwe,dal,PresDa01,targets,0,,,,,
player,201911240nwe,dal,PresDa01,rec,0,,,,,
player,201911240nwe,dal,PresDa01,rec_yds,0,,,,,
player,201911240nwe,dal,PresDa01,rec_td,0,,,,,
player,201911240nwe,dal,PresDa01,rec_long,0,,,,,
player,201911240nwe,dal,PresDa01,fumbles,0,,,,,
player,201911240nwe,dal,PresDa01,fumbles_lost,0,,,,,
player,201911240nwe,dal,ElliEz00,pass_cmp,0,,,,,
player,201911240nwe,dal,ElliEz00,pass_att,0,,,,,
player,201911240nwe,dal,ElliEz00,pass_yds,0,,,,,
player,201911240nwe,dal,ElliEz00,pass_td,0,,,,,
