game,2019,9,20191103,201911030sdg,gnb,"Green Bay Packers",11,sdg,"Los Angeles Chargers",26
team,201911030sdg,gnb,First Downs,13,,,,,,
team,201911030sdg,sdg,First Downs,24,,,,,,
team,201911030sdg,gnb,Rush-Yds-TDs,11-45-0,,,,,,
team,201911030sdg,sdg,Rush-Yds-TDs,38-159-2,,,,,,
team,201911030sdg,gnb,Cmp-Att-Yd-TD-INT,23-35-161-1-0,,,,,,
team,201911030sdg,sdg,Cmp-Att-Yd-TD-INT,21-28-294-0-0,,,,,,
team,201911030sdg,gnb,Sacked-Yards,3-22,,,,,,
team,201911030sdg,sdg,Sacked-Yards,2-11,,,,,,
team,201911030sdg,gnb,Net Pass Yards,139,,,,,,
team,201911030sdg,sdg,Net Pass Yards,283,,,,,,
team,201911030sdg,gnb,Total Yards,184,,,,,,
team,201911030sdg,sdg,Total Yards,442,,,,,,
team,201911030sdg,gnb,Fumbles-Lost,0-0,,,,,,
team,201911030sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201911030sdg,gnb,Turnovers,0,,,,,,
team,201911030sdg,sdg,Turnovers,0,,,,,,
team,201911030sdg,gnb,Penalties-Yards,8-45,,,,,,
team,201911030sdg,sdg,Penalties-Yards,5-45,,,,,,
team,201911030sdg,gnb,Third Down Conv.,2-10,,,,,,
team,201911030sdg,sdg,Third Down Conv.,5-11,,,,,,
team,201911030sdg,gnb,Fourth Down Conv.,0-1,,,,,,
team,201911030sdg,sdg,Fourth Down Conv.,1-1,,,,,,
team,201911030sdg,gnb,Time of Possession,24:09,,,,,,
team,201911030sdg,sdg,Time of Possession,35:51,,,,,,
player,201911030sdg,gnb,RodgAa00,pass_cmp,23,,,,,
player,201911030sdg,gnb,RodgAa00,pass_att,35,,,,,
player,201911030sdg,gnb,RodgAa00,pass_yds,161,,,,,
player,201911030sdg,gnb,RodgAa00,pass_td,1,,,,,
player,201911030sdg,gnb,RodgAa00,pass_int,0,,,,,
player,201911030sdg,gnb,RodgAa00,pass_sacked,3,,,,,
player,201911030sdg,gnb,RodgAa00,pass_sacked_yds,22,,,,,
player,201911030sdg,gnb,RodgAa00,pass_long,17,,,,,
player,201911030sdg,gnb,RodgAa00,pass_rating,85.5,,,,,
player,201911030sdg,gnb,RodgAa00,rush_att,1,,,,,
player,201911030sdg,gnb,RodgAa00,rush_yds,5,,,,,
player,201911030sdg,gnb,RodgAa00,rush_td,0,,,,,
player,201911030sdg,gnb,RodgAa00,rush_long,5,,,,,
player,201911030sdg,gnb,RodgAa00,targets,0,,,,,
player,201911030sdg,gnb,RodgAa00,rec,0,,,,,
player,201911030sdg,gnb,RodgAa00,rec_yds,0,,,,,
player,201911030sdg,gnb,RodgAa00,rec_td,0,,,,,
player,201911030sdg,gnb,RodgAa00,rec_long,0,,,,,
player,201911030sdg,gnb,RodgAa00,fumbles,0,,,,,
player,201911030sdg,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201911030sdg,gnb,JoneAa00,pass_cmp,0,,,,,
player,201911030sdg,gnb,JoneAa00,pass_att,0,,,,,
player,201911030sdg,gnb,JoneAa00,pass_yds,0,,,,,
player,201911030sdg,gnb,JoneAa00,pass_td,0,,,,,
player,201911030sdg,gnb,JoneAa00,pass_int,0,,,,,
player,201911030sdg,gnb,JoneAa00,pass_sacked,0,,,,,
player,201911030sdg,gnb,JoneAa00,pass_sacked_yds,0,,,,,
player,201911030sdg,gnb,JoneAa00,pass_long,0,,,,,
player,201911030sdg,gnb,JoneAa00,pass_rating,,,,,,
player,201911030sdg,gnb,JoneAa00,rush_att,8,,,,,
player,201911030sdg,gnb,JoneAa00,rush_yds,30,,,,,
player,201911030sdg,gnb,JoneAa00,rush_td,0,,,,,
player,201911030sdg,gnb,JoneAa00,rush_long,7,,,,,
player,201911030sdg,gnb,JoneAa00,targets,4,,,,,
player,201911030sdg,gnb,JoneAa00,rec,1,,,,,
player,201911030sdg,gnb,JoneAa00,rec_yds,-1,,,,,
player,201911030sdg,gnb,JoneAa00,rec_td,0,,,,,
player,201911030sdg,gnb,JoneAa00,rec_long,-1,,,,,
player,201911030sdg,gnb,JoneAa00,fumbles,0,,,,,
player,201911030sdg,gnb,JoneAa00,fumbles_lost,0,,,,,
player,201911030sdg,gnb,WillJa06,pass_cmp,0,,,,,
player,201911030sdg,gnb,WillJa06,pass_att,0,,,,,
player,201911030sdg,gnb,WillJa06,pass_yds,0,,,,,
player,201911030sdg,gnb,WillJa06,pass_td,0,,,,,
player,201911030sdg,gnb,WillJa06,pass_int,0,,,,,
player,201911030sdg,gnb,WillJa06,pass_sacked,0,,,,,
player,201911030sdg,gnb,WillJa06,pass_sacked_yds,0,,,,,
player,201911030sdg,gnb,WillJa06,pass_long,0,,,,,
player,201911030sdg,gnb,WillJa06,pass_rating,,,,,,
player,201911030sdg,gnb,WillJa06,rush_att,2,,,,,
player,201911030sdg,gnb,WillJa06,rush_yds,10,,,,,
player,201911030sdg,gnb,WillJa06,rush_td,0,,,,,
player,201911030sdg,gnb,WillJa06,rush_long,5,,,,,
player,201911030sdg,gnb,WillJa06,targets,6,,,,,
player,201911030sdg,gnb,WillJa06,rec,6,,,,,
player,201911030sdg,gnb,WillJa06,rec_yds,39,,,,,
player,201911030sdg,gnb,WillJa06,rec_td,1,,,,,
player,201911030sdg,gnb,WillJa06,rec_long,10,,,,,
player,201911030sdg,gnb,WillJa06,fumbles,0,,,,,
player,201911030sdg,gnb,WillJa06,fumbles_lost,0,,,,,
player,201911030sdg,gnb,LazaAl00,pass_cmp,0,,,,,
player,201911030sdg,gnb,LazaAl00,pass_att,0,,,,,
player,201911030sdg,gnb,LazaAl00,pass_yds,0,,,,,
player,201911030sdg,gnb,LazaAl00,pass_td,0,,,,,
player,201911030sdg,gnb,LazaAl00,pass_int,0,,,,,
player,201911030sdg,gnb,LazaAl00,pass_sacked,0,,,,,
player,201911030sdg,gnb,LazaAl00,pass_sacked_yds,0,,,,,
player,201911030sdg,gnb,LazaAl00,pass_long,0,,,,,
player,201911030sdg,gnb,LazaAl00,pass_rating,,,,,,
player,201911030sdg,gnb,LazaAl00,rush_att,0,,,,,
player,201911030sdg,gnb,LazaAl00,rush_yds,0,,,,,
player,201911030sdg,gnb,LazaAl00,rush_td,0,,,,,
player,201911030sdg,gnb,LazaAl00,rush_long,0,,,,,
player,201911030sdg,gnb,LazaAl00,targets,4,,,,,
player,201911030sdg,gnb,LazaAl00,rec,3,,,,,
player,201911030sdg,gnb,LazaAl00,rec_yds,44,,,,,
player,201911030sdg,gnb,LazaAl00,rec_td,0,,,,,
player,201911030sdg,gnb,LazaAl00,rec_long,17,,,,,
player,201911030sdg,gnb,LazaAl00,fumbles,0,,,,,
player,201911030sdg,gnb,LazaAl00,fumbles_lost,0,,,,,
player,201911030sdg,gnb,AdamDa01,pass_cmp,0,,,,,
player,201911030sdg,gnb,AdamDa01,pass_att,0,,,,,
player,201911030sdg,gnb,AdamDa01,pass_yds,0,,,,,
player,201911030sdg,gnb,AdamDa01,pass_td,0,,,,,
player,201911030sdg,gnb,AdamDa01,pass_int,0,,,,,
player,201911030sdg,gnb,AdamDa01,pass_sacked,0,,,,,
player,201911030sdg,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201911030sdg,gnb,AdamDa01,pass_long,0,,,,,
player,201911030sdg,gnb,AdamDa01,pass_rating,,,,,,
player,201911030sdg,gnb,AdamDa01,rush_att,0,,,,,
player,201911030sdg,gnb,AdamDa01,rush_yds,0,,,,,
player,201911030sdg,gnb,AdamDa01,rush_td,0,,,,,
player,201911030sdg,gnb,AdamDa01,rush_long,0,,,,,
player,201911030sdg,gnb,AdamDa01,targets,11,,,,,
player,201911030sdg,gnb,AdamDa01,rec,7,,,,,
player,201911030sdg,gnb,AdamDa01,rec_yds,41,,,,,
player,201911030sdg,gnb,AdamDa01,rec_td,0,,,,,
player,201911030sdg,gnb,AdamDa01,rec_long,9,,,,,
player,201911030sdg,gnb,AdamDa01,fumbles,0,,,,,
player,201911030sdg,gnb,AdamDa01,fumbles_lost,0,,,,,
player,201911030sdg,gnb,AlliGe01,pass_cmp,0,,,,,
player,201911030sdg,gnb,AlliGe01,pass_att,0,,,,,
