game,2019,7,20191020,201910200chi,nor,"New Orleans Saints",36,chi,"Chicago Bears",25
team,201910200chi,nor,First Downs,24,,,,,,
team,201910200chi,chi,First Downs,16,,,,,,
team,201910200chi,nor,Rush-Yds-TDs,35-151-2,,,,,,
team,201910200chi,chi,Rush-Yds-TDs,7-17-0,,,,,,
team,201910200chi,nor,Cmp-Att-Yd-TD-INT,23-38-281-2-0,,,,,,
team,201910200chi,chi,Cmp-Att-Yd-TD-INT,34-54-251-2-0,,,,,,
team,201910200chi,nor,Sacked-Yards,1-8,,,,,,
team,201910200chi,chi,Sacked-Yards,2-16,,,,,,
team,201910200chi,nor,Net Pass Yards,273,,,,,,
team,201910200chi,chi,Net Pass Yards,235,,,,,,
team,201910200chi,nor,Total Yards,424,,,,,,
team,201910200chi,chi,Total Yards,252,,,,,,
team,201910200chi,nor,Fumbles-Lost,0-0,,,,,,
team,201910200chi,chi,Fumbles-Lost,2-2,,,,,,
team,201910200chi,nor,Turnovers,0,,,,,,
team,201910200chi,chi,Turnovers,2,,,,,,
team,201910200chi,nor,Penalties-Yards,4-35,,,,,,
team,201910200chi,chi,Penalties-Yards,3-10,,,,,,
team,201910200chi,nor,Third Down Conv.,7-15,,,,,,
team,201910200chi,chi,Third Down Conv.,2-12,,,,,,
team,201910200chi,nor,Fourth Down Conv.,0-0,,,,,,
team,201910200chi,chi,Fourth Down Conv.,1-2,,,,,,
team,201910200chi,nor,Time of Possession,37:26,,,,,,
team,201910200chi,chi,Time of Possession,22:34,,,,,,
player,201910200chi,nor,BridTe00,pass_cmp,23,,,,,
player,201910200chi,nor,BridTe00,pass_att,38,,,,,
player,201910200chi,nor,BridTe00,pass_yds,281,,,,,
player,201910200chi,nor,BridTe00,pass_td,2,,,,,
player,201910200chi,nor,BridTe00,pass_int,0,,,,,
player,201910200chi,nor,BridTe00,pass_sacked,1,,,,,
player,201910200chi,nor,BridTe00,pass_sacked_yds,8,,,,,
player,201910200chi,nor,BridTe00,pass_long,45,,,,,
player,201910200chi,nor,BridTe00,pass_rating,100.9,,,,,
player,201910200chi,nor,BridTe00,rush_att,4,,,,,
player,201910200chi,nor,BridTe00,rush_yds,7,,,,,
player,201910200chi,nor,BridTe00,rush_td,0,,,,,
player,201910200chi,nor,BridTe00,rush_long,6,,,,,
player,201910200chi,nor,BridTe00,targets,0,,,,,
player,201910200chi,nor,BridTe00,rec,0,,,,,
player,201910200chi,nor,BridTe00,rec_yds,0,,,,,
player,201910200chi,nor,BridTe00,rec_td,0,,,,,
player,201910200chi,nor,BridTe00,rec_long,0,,,,,
player,201910200chi,nor,BridTe00,fumbles,0,,,,,
player,201910200chi,nor,BridTe00,fumbles_lost,0,,,,,
player,201910200chi,nor,MurrLa00,pass_cmp,0,,,,,
player,201910200chi,nor,MurrLa00,pass_att,0,,,,,
player,201910200chi,nor,MurrLa00,pass_yds,0,,,,,
player,201910200chi,nor,MurrLa00,pass_td,0,,,,,
player,201910200chi,nor,MurrLa00,pass_int,0,,,,,
player,201910200chi,nor,MurrLa00,pass_sacked,0,,,,,
player,201910200chi,nor,MurrLa00,pass_sacked_yds,0,,,,,
player,201910200chi,nor,MurrLa00,pass_long,0,,,,,
player,201910200chi,nor,MurrLa00,pass_rating,,,,,,
player,201910200chi,nor,MurrLa00,rush_att,27,,,,,
player,201910200chi,nor,MurrLa00,rush_yds,119,,,,,
player,201910200chi,nor,MurrLa00,rush_td,2,,,,,
player,201910200chi,nor,MurrLa00,rush_long,17,,,,,
player,201910200chi,nor,MurrLa00,targets,6,,,,,
player,201910200chi,nor,MurrLa00,rec,5,,,,,
player,201910200chi,nor,MurrLa00,rec_yds,31,,,,,
player,201910200chi,nor,MurrLa00,rec_td,0,,,,,
player,201910200chi,nor,MurrLa00,rec_long,12,,,,,
player,201910200chi,nor,MurrLa00,fumbles,0,,,,,
player,201910200chi,nor,MurrLa00,fumbles_lost,0,,,,,
player,201910200chi,nor,HillTa00,pass_cmp,0,,,,,
player,201910200chi,nor,HillTa00,pass_att,0,,,,,
player,201910200chi,nor,HillTa00,pass_yds,0,,,,,
player,201910200chi,nor,HillTa00,pass_td,0,,,,,
player,201910200chi,nor,HillTa00,pass_int,0,,,,,
player,201910200chi,nor,HillTa00,pass_sacked,0,,,,,
player,201910200chi,nor,HillTa00,pass_sacked_yds,0,,,,,
player,201910200chi,nor,HillTa00,pass_long,0,,,,,
player,201910200chi,nor,HillTa00,pass_rating,,,,,,
player,201910200chi,nor,HillTa00,rush_att,2,,,,,
player,201910200chi,nor,HillTa00,rush_yds,21,,,,,
player,201910200chi,nor,HillTa00,rush_td,0,,,,,
player,201910200chi,nor,HillTa00,rush_long,23,,,,,
player,201910200chi,nor,HillTa00,targets,2,,,,,
player,201910200chi,nor,HillTa00,rec,1,,,,,
player,201910200chi,nor,HillTa00,rec_yds,4,,,,,
player,201910200chi,nor,HillTa00,rec_td,1,,,,,
player,201910200chi,nor,HillTa00,rec_long,4,,,,,
player,201910200chi,nor,HillTa00,fumbles,0,,,,,
player,201910200chi,nor,HillTa00,fumbles_lost,0,,,,,
player,201910200chi,nor,LineZa01,pass_cmp,0,,,,,
player,201910200chi,nor,LineZa01,pass_att,0,,,,,
player,201910200chi,nor,LineZa01,pass_yds,0,,,,,
player,201910200chi,nor,LineZa01,pass_td,0,,,,,
player,201910200chi,nor,LineZa01,pass_int,0,,,,,
player,201910200chi,nor,LineZa01,pass_sacked,0,,,,,
player,201910200chi,nor,LineZa01,pass_sacked_yds,0,,,,,
player,201910200chi,nor,LineZa01,pass_long,0,,,,,
player,201910200chi,nor,LineZa01,pass_rating,,,,,,
player,201910200chi,nor,LineZa01,rush_att,1,,,,,
player,201910200chi,nor,LineZa01,rush_yds,3,,,,,
player,201910200chi,nor,LineZa01,rush_td,0,,,,,
player,201910200chi,nor,LineZa01,rush_long,3,,,,,
player,201910200chi,nor,LineZa01,targets,3,,,,,
player,201910200chi,nor,LineZa01,rec,1,,,,,
player,201910200chi,nor,LineZa01,rec_yds,12,,,,,
player,201910200chi,nor,LineZa01,rec_td,0,,,,,
player,201910200chi,nor,LineZa01,rec_long,12,,,,,
player,201910200chi,nor,LineZa01,fumbles,0,,,,,
player,201910200chi,nor,LineZa01,fumbles_lost,0,,,,,
player,201910200chi,nor,ZennZa00,pass_cmp,0,,,,,
player,201910200chi,nor,ZennZa00,pass_att,0,,,,,
player,201910200chi,nor,ZennZa00,pass_yds,0,,,,,
player,201910200chi,nor,ZennZa00,pass_td,0,,,,,
player,201910200chi,nor,ZennZa00,pass_int,0,,,,,
player,201910200chi,nor,ZennZa00,pass_sacked,0,,,,,
player,201910200chi,nor,ZennZa00,pass_sacked_yds,0,,,,,
player,201910200chi,nor,ZennZa00,pass_long,0,,,,,
player,201910200chi,nor,ZennZa00,pass_rating,,,,,,
player,201910200chi,nor,ZennZa00,rush_att,1,,,,,
player,201910200chi,nor,ZennZa00,rush_yds,1,,,,,
player,201910200chi,nor,ZennZa00,rush_td,0,,,,,
player,201910200chi,nor,ZennZa00,rush_long,1,,,,,
player,201910200chi,nor,ZennZa00,targets,2,,,,,
player,201910200chi,nor,ZennZa00,rec,1,,,,,
player,201910200chi,nor,ZennZa00,rec_yds,6,,,,,
player,201910200chi,nor,ZennZa00,rec_td,0,,,,,
player,201910200chi,nor,ZennZa00,rec_long,6,,,,,
player,201910200chi,nor,ZennZa00,fumbles,0,,,,,
player,201910200chi,nor,ZennZa00,fumbles_lost,0,,,,,
player,201910200chi,nor,ThomMi05,pass_cmp,0,,,,,
player,201910200chi,nor,ThomMi05,pass_att,0,,,,,
player,201910200chi,nor,ThomMi05,pass_yds,0,,,,,
player,201910200chi,nor,ThomMi05,pass_td,0,,,,,
player,201910200chi,nor,ThomMi05,pass_int,0,,,,,
player,201910200chi,nor,ThomMi05,pass_sacked,0,,,,,
player,201910200chi,nor,ThomMi05,pass_sacked_yds,0,,,,,
player,201910200chi,nor,ThomMi05,pass_long,0,,,,,
player,201910200chi,nor,ThomMi05,pass_rating,,,,,,
player,201910200chi,nor,ThomMi05,rush_att,0,,,,,
player,201910200chi,nor,ThomMi05,rush_yds,0,,,,,
player,201910200chi,nor,ThomMi05,rush_td,0,,,,,
player,201910200chi,nor,ThomMi05,rush_long,0,,,,,
player,201910200chi,nor,ThomMi05,targets,11,,,,,
player,201910200chi,nor,ThomMi05,rec,9,,,,,
player,201910200chi,nor,ThomMi05,rec_yds,131,,,,,
player,201910200chi,nor,ThomMi05,rec_td,0,,,,,
player,201910200chi,nor,ThomMi05,rec_long,34,,,,,
player,201910200chi,nor,ThomMi05,fumbles,0,,,,,
player,201910200chi,nor,ThomMi05,fumbles_lost,0,,,,,
player,201910200chi,nor,GinnTe00,pass_cmp,0,,,,,
player,201910200chi,nor,GinnTe00,pass_att,0,,,,,
player,201910200chi,nor,GinnTe00,pass_yds,0,,,,,
player,201910200chi,nor,GinnTe00,pass_td,0,,,,,
player,201910200chi,nor,GinnTe00,pass_int,0,,,,,
player,201910200chi,nor,GinnTe00,pass_sacked,0,,,,,
player,201910200chi,nor,GinnTe00,pass_sacked_yds,0,,,,,
player,201910200chi,nor,GinnTe00,pass_long,0,,,,,
player,201910200chi,nor,GinnTe00,pass_rating,,,,,,
player,201910200chi,nor,GinnTe00,rush_att,0,,,,,
player,201910200chi,nor,GinnTe00,rush_yds,0,,,,,
player,201910200chi,nor,GinnTe00,rush_td,0,,,,,
player,201910200chi,nor,GinnTe00,rush_long,0,,,,,
player,201910200chi,nor,GinnTe00,targets,5,,,,,
player,201910200chi,nor,GinnTe00,rec,2,,,,,
player,201910200chi,nor,GinnTe00,rec_yds,48,,,,,
player,201910200chi,nor,GinnTe00,rec_td,0,,,,,
player,201910200chi,nor,GinnTe00,rec_long,45,,,,,
player,201910200chi,nor,GinnTe00,fumbles,0,,,,,
player,201910200chi,nor,GinnTe00,fumbles_lost,0,,,,,
player,201910200chi,nor,HillJo02,pass_cmp,0,,,,,
player,201910200chi,nor,HillJo02,pass_att,0,,,,,
player,201910200chi,nor,HillJo02,pass_yds,0,,,,,
player,201910200chi,nor,HillJo02,pass_td,0,,,,,
player,201910200chi,nor,HillJo02,pass_int,0,,,,,
