game,2019,13,20191201,201912010car,was,"Washington Redskins",29,car,"Carolina Panthers",21
team,201912010car,was,First Downs,20,,,,,,
team,201912010car,car,First Downs,22,,,,,,
team,201912010car,was,Rush-Yds-TDs,30-248-3,,,,,,
team,201912010car,car,Rush-Yds-TDs,20-65-1,,,,,,
team,201912010car,was,Cmp-Att-Yd-TD-INT,13-25-147-0-0,,,,,,
team,201912010car,car,Cmp-Att-Yd-TD-INT,27-46-278-2-1,,,,,,
team,201912010car,was,Sacked-Yards,5-33,,,,,,
team,201912010car,car,Sacked-Yards,7-65,,,,,,
team,201912010car,was,Net Pass Yards,114,,,,,,
team,201912010car,car,Net Pass Yards,213,,,,,,
team,201912010car,was,Total Yards,362,,,,,,
team,201912010car,car,Total Yards,278,,,,,,
team,201912010car,was,Fumbles-Lost,2-0,,,,,,
team,201912010car,car,Fumbles-Lost,2-1,,,,,,
team,201912010car,was,Turnovers,0,,,,,,
team,201912010car,car,Turnovers,2,,,,,,
team,201912010car,was,Penalties-Yards,6-65,,,,,,
team,201912010car,car,Penalties-Yards,5-43,,,,,,
team,201912010car,was,Third Down Conv.,3-11,,,,,,
team,201912010car,car,Third Down Conv.,5-16,,,,,,
team,201912010car,was,Fourth Down Conv.,0-0,,,,,,
team,201912010car,car,Fourth Down Conv.,1-2,,,,,,
team,201912010car,was,Time of Possession,30:37,,,,,,
team,201912010car,car,Time of Possession,29:23,,,,,,
player,201912010car,was,HaskDw00,pass_cmp,13,,,,,
player,201912010car,was,HaskDw00,pass_att,25,,,,,
player,201912010car,was,HaskDw00,pass_yds,147,,,,,
player,201912010car,was,HaskDw00,pass_td,0,,,,,
player,201912010car,was,HaskDw00,pass_int,0,,,,,
player,201912010car,was,HaskDw00,pass_sacked,5,,,,,
player,201912010car,was,HaskDw00,pass_sacked_yds,33,,,,,
player,201912010car,was,HaskDw00,pass_long,26,,,,,
player,201912010car,was,HaskDw00,pass_rating,69.9,,,,,
player,201912010car,was,HaskDw00,rush_att,4,,,,,
player,201912010car,was,HaskDw00,rush_yds,6,,,,,
player,201912010car,was,HaskDw00,rush_td,0,,,,,
player,201912010car,was,HaskDw00,rush_long,5,,,,,
player,201912010car,was,HaskDw00,targets,0,,,,,
player,201912010car,was,HaskDw00,rec,0,,,,,
player,201912010car,was,HaskDw00,rec_yds,0,,,,,
player,201912010car,was,HaskDw00,rec_td,0,,,,,
player,201912010car,was,HaskDw00,rec_long,0,,,,,
