game,2019,2,20190915,201909150ram,nor,"New Orleans Saints",9,ram,"Los Angeles Rams",27
team,201909150ram,nor,First Downs,15,,,,,,
team,201909150ram,ram,First Downs,20,,,,,,
team,201909150ram,nor,Rush-Yds-TDs,20-57-0,,,,,,
team,201909150ram,ram,Rush-Yds-TDs,30-115-2,,,,,,
team,201909150ram,nor,Cmp-Att-Yd-TD-INT,20-35-203-0-1,,,,,,
team,201909150ram,ram,Cmp-Att-Yd-TD-INT,19-28-283-1-0,,,,,,
team,201909150ram,nor,Sacked-Yards,2-16,,,,,,
team,201909150ram,ram,Sacked-Yards,3-18,,,,,,
team,201909150ram,nor,Net Pass Yards,187,,,,,,
team,201909150ram,ram,Net Pass Yards,265,,,,,,
team,201909150ram,nor,Total Yards,244,,,,,,
team,201909150ram,ram,Total Yards,380,,,,,,
team,201909150ram,nor,Fumbles-Lost,1-0,,,,,,
team,201909150ram,ram,Fumbles-Lost,1-1,,,,,,
team,201909150ram,nor,Turnovers,1,,,,,,
team,201909150ram,ram,Turnovers,1,,,,,,
team,201909150ram,nor,Penalties-Yards,11-87,,,,,,
team,201909150ram,ram,Penalties-Yards,8-65,,,,,,
team,201909150ram,nor,Third Down Conv.,4-13,,,,,,
team,201909150ram,ram,Third Down Conv.,5-13,,,,,,
team,201909150ram,nor,Fourth Down Conv.,0-1,,,,,,
team,201909150ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201909150ram,nor,Time of Possession,29:39,,,,,,
team,201909150ram,ram,Time of Possession,30:21,,,,,,
player,201909150ram,nor,BridTe00,pass_cmp,17,,,,,
player,201909150ram,nor,BridTe00,pass_att,30,,,,,
player,201909150ram,nor,BridTe00,pass_yds,165,,,,,
player,201909150ram,nor,BridTe00,pass_td,0,,,,,
player,201909150ram,nor,BridTe00,pass_int,0,,,,,
player,201909150ram,nor,BridTe00,pass_sacked,2,,,,,
player,201909150ram,nor,BridTe00,pass_sacked_yds,16,,,,,
player,201909150ram,nor,BridTe00,pass_long,28,,,,,
player,201909150ram,nor,BridTe00,pass_rating,72.2,,,,,
player,201909150ram,nor,BridTe00,rush_att,2,,,,,
player,201909150ram,nor,BridTe00,rush_yds,5,,,,,
player,201909150ram,nor,BridTe00,rush_td,0,,,,,
player,201909150ram,nor,BridTe00,rush_long,4,,,,,
player,201909150ram,nor,BridTe00,targets,0,,,,,
player,201909150ram,nor,BridTe00,rec,0,,,,,
player,201909150ram,nor,BridTe00,rec_yds,0,,,,,
player,201909150ram,nor,BridTe00,rec_td,0,,,,,
player,201909150ram,nor,BridTe00,rec_long,0,,,,,
player,201909150ram,nor,BridTe00,fumbles,1,,,,,
player,201909150ram,nor,BridTe00,fumbles_lost,0,,,,,
player,201909150ram,nor,BreeDr00,pass_cmp,3,,,,,
player,201909150ram,nor,BreeDr00,pass_att,5,,,,,
player,201909150ram,nor,BreeDr00,pass_yds,38,,,,,
player,201909150ram,nor,BreeDr00,pass_td,0,,,,,
player,201909150ram,nor,BreeDr00,pass_int,1,,,,,
player,201909150ram,nor,BreeDr00,pass_sacked,0,,,,,
player,201909150ram,nor,BreeDr00,pass_sacked_yds,0,,,,,
player,201909150ram,nor,BreeDr00,pass_long,19,,,,,
player,201909150ram,nor,BreeDr00,pass_rating,44.2,,,,,
player,201909150ram,nor,BreeDr00,rush_att,0,,,,,
player,201909150ram,nor,BreeDr00,rush_yds,0,,,,,
player,201909150ram,nor,BreeDr00,rush_td,0,,,,,
player,201909150ram,nor,BreeDr00,rush_long,0,,,,,
player,201909150ram,nor,BreeDr00,targets,0,,,,,
player,201909150ram,nor,BreeDr00,rec,0,,,,,
player,201909150ram,nor,BreeDr00,rec_yds,0,,,,,
player,201909150ram,nor,BreeDr00,rec_td,0,,,,,
player,201909150ram,nor,BreeDr00,rec_long,0,,,,,
player,201909150ram,nor,BreeDr00,fumbles,0,,,,,
player,201909150ram,nor,BreeDr00,fumbles_lost,0,,,,,
player,201909150ram,nor,KamaAl00,pass_cmp,0,,,,,
player,201909150ram,nor,KamaAl00,pass_att,0,,,,,
player,201909150ram,nor,KamaAl00,pass_yds,0,,,,,
player,201909150ram,nor,KamaAl00,pass_td,0,,,,,
player,201909150ram,nor,KamaAl00,pass_int,0,,,,,
player,201909150ram,nor,KamaAl00,pass_sacked,0,,,,,
player,201909150ram,nor,KamaAl00,pass_sacked_yds,0,,,,,
player,201909150ram,nor,KamaAl00,pass_long,0,,,,,
player,201909150ram,nor,KamaAl00,pass_rating,,,,,,
player,201909150ram,nor,KamaAl00,rush_att,13,,,,,
player,201909150ram,nor,KamaAl00,rush_yds,45,,,,,
player,201909150ram,nor,KamaAl00,rush_td,0,,,,,
player,201909150ram,nor,KamaAl00,rush_long,12,,,,,
player,201909150ram,nor,KamaAl00,targets,3,,,,,
player,201909150ram,nor,KamaAl00,rec,1,,,,,
player,201909150ram,nor,KamaAl00,rec_yds,15,,,,,
player,201909150ram,nor,KamaAl00,rec_td,0,,,,,
player,201909150ram,nor,KamaAl00,rec_long,15,,,,,
player,201909150ram,nor,KamaAl00,fumbles,0,,,,,
player,201909150ram,nor,KamaAl00,fumbles_lost,0,,,,,
player,201909150ram,nor,MurrLa00,pass_cmp,0,,,,,
player,201909150ram,nor,MurrLa00,pass_att,0,,,,,
player,201909150ram,nor,MurrLa00,pass_yds,0,,,,,
player,201909150ram,nor,MurrLa00,pass_td,0,,,,,
player,201909150ram,nor,MurrLa00,pass_int,0,,,,,
player,201909150ram,nor,MurrLa00,pass_sacked,0,,,,,
player,201909150ram,nor,MurrLa00,pass_sacked_yds,0,,,,,
player,201909150ram,nor,MurrLa00,pass_long,0,,,,,
player,201909150ram,nor,MurrLa00,pass_rating,,,,,,
player,201909150ram,nor,MurrLa00,rush_att,5,,,,,
player,201909150ram,nor,MurrLa00,rush_yds,7,,,,,
player,201909150ram,nor,MurrLa00,rush_td,0,,,,,
player,201909150ram,nor,MurrLa00,rush_long,4,,,,,
player,201909150ram,nor,MurrLa00,targets,1,,,,,
player,201909150ram,nor,MurrLa00,rec,1,,,,,
player,201909150ram,nor,MurrLa00,rec_yds,16,,,,,
player,201909150ram,nor,MurrLa00,rec_td,0,,,,,
player,201909150ram,nor,MurrLa00,rec_long,16,,,,,
player,201909150ram,nor,MurrLa00,fumbles,0,,,,,
player,201909150ram,nor,MurrLa00,fumbles_lost,0,,,,,
player,201909150ram,nor,ThomMi05,pass_cmp,0,,,,,
player,201909150ram,nor,ThomMi05,pass_att,0,,,,,
player,201909150ram,nor,ThomMi05,pass_yds,0,,,,,
player,201909150ram,nor,ThomMi05,pass_td,0,,,,,
player,201909150ram,nor,ThomMi05,pass_int,0,,,,,
player,201909150ram,nor,ThomMi05,pass_sacked,0,,,,,
player,201909150ram,nor,ThomMi05,pass_sacked_yds,0,,,,,
player,201909150ram,nor,ThomMi05,pass_long,0,,,,,
player,201909150ram,nor,ThomMi05,pass_rating,,,,,,
player,201909150ram,nor,ThomMi05,rush_att,0,,,,,
player,201909150ram,nor,ThomMi05,rush_yds,0,,,,,
player,201909150ram,nor,ThomMi05,rush_td,0,,,,,
player,201909150ram,nor,ThomMi05,rush_long,0,,,,,
player,201909150ram,nor,ThomMi05,targets,13,,,,,
player,201909150ram,nor,ThomMi05,rec,10,,,,,
player,201909150ram,nor,ThomMi05,rec_yds,89,,,,,
player,201909150ram,nor,ThomMi05,rec_td,0,,,,,
player,201909150ram,nor,ThomMi05,rec_long,19,,,,,
player,201909150ram,nor,ThomMi05,fumbles,0,,,,,
player,201909150ram,nor,ThomMi05,fumbles_lost,0,,,,,
player,201909150ram,nor,SmitTr03,pass_cmp,0,,,,,
player,201909150ram,nor,SmitTr03,pass_att,0,,,,,
player,201909150ram,nor,SmitTr03,pass_yds,0,,,,,
player,201909150ram,nor,SmitTr03,pass_td,0,,,,,
player,201909150ram,nor,SmitTr03,pass_int,0,,,,,
player,201909150ram,nor,SmitTr03,pass_sacked,0,,,,,
player,201909150ram,nor,SmitTr03,pass_sacked_yds,0,,,,,
player,201909150ram,nor,SmitTr03,pass_long,0,,,,,
player,201909150ram,nor,SmitTr03,pass_rating,,,,,,
player,201909150ram,nor,SmitTr03,rush_att,0,,,,,
player,201909150ram,nor,SmitTr03,rush_yds,0,,,,,
player,201909150ram,nor,SmitTr03,rush_td,0,,,,,
player,201909150ram,nor,SmitTr03,rush_long,0,,,,,
player,201909150ram,nor,SmitTr03,targets,3,,,,,
player,201909150ram,nor,SmitTr03,rec,3,,,,,
player,201909150ram,nor,SmitTr03,rec_yds,49,,,,,
player,201909150ram,nor,SmitTr03,rec_td,0,,,,,
player,201909150ram,nor,SmitTr03,rec_long,28,,,,,
player,201909150ram,nor,SmitTr03,fumbles,0,,,,,
player,201909150ram,nor,SmitTr03,fumbles_lost,0,,,,,
player,201909150ram,nor,CookJa02,pass_cmp,0,,,,,
player,201909150ram,nor,CookJa02,pass_att,0,,,,,
player,201909150ram,nor,CookJa02,pass_yds,0,,,,,
player,201909150ram,nor,CookJa02,pass_td,0,,,,,
player,201909150ram,nor,CookJa02,pass_int,0,,,,,
player,201909150ram,nor,CookJa02,pass_sacked,0,,,,,
player,201909150ram,nor,CookJa02,pass_sacked_yds,0,,,,,
player,201909150ram,nor,CookJa02,pass_long,0,,,,,
player,201909150ram,nor,CookJa02,pass_rating,,,,,,
player,201909150ram,nor,CookJa02,rush_att,0,,,,,
player,201909150ram,nor,CookJa02,rush_yds,0,,,,,
player,201909150ram,nor,CookJa02,rush_td,0,,,,,
player,201909150ram,nor,CookJa02,rush_long,0,,,,,
player,201909150ram,nor,CookJa02,targets,7,,,,,
player,201909150ram,nor,CookJa02,rec,2,,,,,
player,201909150ram,nor,CookJa02,rec_yds,25,,,,,
player,201909150ram,nor,CookJa02,rec_td,0,,,,,
player,201909150ram,nor,CookJa02,rec_long,18,,,,,
player,201909150ram,nor,CookJa02,fumbles,0,,,,,
player,201909150ram,nor,CookJa02,fumbles_lost,0,,,,,
player,201909150ram,nor,HillTa00,pass_cmp,0,,,,,
player,201909150ram,nor,HillTa00,pass_att,0,,,,,
player,201909150ram,nor,HillTa00,pass_yds,0,,,,,
player,201909150ram,nor,HillTa00,pass_td,0,,,,,
player,201909150ram,nor,HillTa00,pass_int,0,,,,,
player,201909150ram,nor,HillTa00,pass_sacked,0,,,,,
player,201909150ram,nor,HillTa00,pass_sacked_yds,0,,,,,
player,201909150ram,nor,HillTa00,pass_long,0,,,,,
player,201909150ram,nor,HillTa00,pass_rating,,,,,,
player,201909150ram,nor,HillTa00,rush_att,0,,,,,
player,201909150ram,nor,HillTa00,rush_yds,0,,,,,
player,201909150ram,nor,HillTa00,rush_td,0,,,,,
player,201909150ram,nor,HillTa00,rush_long,0,,,,,
player,201909150ram,nor,HillTa00,targets,3,,,,,
player,201909150ram,nor,HillTa00,rec,2,,,,,
player,201909150ram,nor,HillTa00,rec_yds,16,,,,,
player,201909150ram,nor,HillTa00,rec_td,0,,,,,
player,201909150ram,nor,HillTa00,rec_long,9,,,,,
player,201909150ram,nor,HillTa00,fumbles,0,,,,,
player,201909150ram,nor,HillTa00,fumbles_lost,0,,,,,
player,201909150ram,nor,LineZa01,pass_cmp,0,,,,,
player,201909150ram,nor,LineZa01,pass_att,0,,,,,
player,201909150ram,nor,LineZa01,pass_yds,0,,,,,
player,201909150ram,nor,LineZa01,pass_td,0,,,,,
player,201909150ram,nor,LineZa01,pass_int,0,,,,,
player,201909150ram,nor,LineZa01,pass_sacked,0,,,,,
player,201909150ram,nor,LineZa01,pass_sacked_yds,0,,,,,
player,201909150ram,nor,LineZa01,pass_long,0,,,,,
player,201909150ram,nor,LineZa01,pass_rating,,,,,,
player,201909150ram,nor,LineZa01,rush_att,0,,,,,
player,201909150ram,nor,LineZa01,rush_yds,0,,,,,
player,201909150ram,nor,LineZa01,rush_td,0,,,,,
player,201909150ram,nor,LineZa01,rush_long,0,,,,,
player,201909150ram,nor,LineZa01,targets,1,,,,,
player,201909150ram,nor,LineZa01,rec,0,,,,,
player,201909150ram,nor,LineZa01,rec_yds,0,,,,,
player,201909150ram,nor,LineZa01,rec_td,0,,,,,
player,201909150ram,nor,LineZa01,rec_long,0,,,,,
player,201909150ram,nor,LineZa01,fumbles,0,,,,,
player,201909150ram,nor,LineZa01,fumbles_lost,0,,,,,
player,201909150ram,nor,HarrDe07,pass_cmp,0,,,,,
player,201909150ram,nor,HarrDe07,pass_att,0,,,,,
player,201909150ram,nor,HarrDe07,pass_yds,0,,,,,
player,201909150ram,nor,HarrDe07,pass_td,0,,,,,
player,201909150ram,nor,HarrDe07,pass_int,0,,,,,
player,201909150ram,nor,HarrDe07,pass_sacked,0,,,,,
player,201909150ram,nor,HarrDe07,pass_sacked_yds,0,,,,,
player,201909150ram,nor,HarrDe07,pass_long,0,,,,,
player,201909150ram,nor,HarrDe07,pass_rating,,,,,,
player,201909150ram,nor,HarrDe07,rush_att,0,,,,,
player,201909150ram,nor,HarrDe07,rush_yds,0,,,,,
player,201909150ram,nor,HarrDe07,rush_td,0,,,,,
player,201909150ram,nor,HarrDe07,rush_long,0,,,,,
player,201909150ram,nor,HarrDe07,targets,1,,,,,
player,201909150ram,nor,HarrDe07,rec,1,,,,,
player,201909150ram,nor,HarrDe07,rec_yds,-7,,,,,
player,201909150ram,nor,HarrDe07,rec_td,0,,,,,
player,201909150ram,nor,HarrDe07,rec_long,-7,,,,,
player,201909150ram,nor,HarrDe07,fumbles,0,,,,,
player,201909150ram,nor,HarrDe07,fumbles_lost,0,,,,,
player,201909150ram,ram,GoffJa00,pass_cmp,19,,,,,
player,201909150ram,ram,GoffJa00,pass_att,28,,,,,
player,201909150ram,ram,GoffJa00,pass_yds,283,,,,,
player,201909150ram,ram,GoffJa00,pass_td,1,,,,,
player,201909150ram,ram,GoffJa00,pass_int,0,,,,,
player,201909150ram,ram,GoffJa00,pass_sacked,3,,,,,
player,201909150ram,ram,GoffJa00,pass_sacked_yds,18,,,,,
player,201909150ram,ram,GoffJa00,pass_long,66,,,,,
player,201909150ram,ram,GoffJa00,pass_rating,112.6,,,,,
player,201909150ram,ram,GoffJa00,rush_att,4,,,,,
player,201909150ram,ram,GoffJa00,rush_yds,-2,,,,,
player,201909150ram,ram,GoffJa00,rush_td,1,,,,,
player,201909150ram,ram,GoffJa00,rush_long,1,,,,,
player,201909150ram,ram,GoffJa00,targets,0,,,,,
player,201909150ram,ram,GoffJa00,rec,0,,,,,
player,201909150ram,ram,GoffJa00,rec_yds,0,,,,,
player,201909150ram,ram,GoffJa00,rec_td,0,,,,,
player,201909150ram,ram,GoffJa00,rec_long,0,,,,,
player,201909150ram,ram,GoffJa00,fumbles,1,,,,,
player,201909150ram,ram,GoffJa00,fumbles_lost,1,,,,,
player,201909150ram,ram,GurlTo01,pass_cmp,0,,,,,
player,201909150ram,ram,GurlTo01,pass_att,0,,,,,
player,201909150ram,ram,GurlTo01,pass_yds,0,,,,,
player,201909150ram,ram,GurlTo01,pass_td,0,,,,,
player,201909150ram,ram,GurlTo01,pass_int,0,,,,,
player,201909150ram,ram,GurlTo01,pass_sacked,0,,,,,
player,201909150ram,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201909150ram,ram,GurlTo01,pass_long,0,,,,,
player,201909150ram,ram,GurlTo01,pass_rating,,,,,,
player,201909150ram,ram,GurlTo01,rush_att,16,,,,,
player,201909150ram,ram,GurlTo01,rush_yds,63,,,,,
player,201909150ram,ram,GurlTo01,rush_td,1,,,,,
player,201909150ram,ram,GurlTo01,rush_long,20,,,,,
player,201909150ram,ram,GurlTo01,targets,4,,,,,
player,201909150ram,ram,GurlTo01,rec,3,,,,,
player,201909150ram,ram,GurlTo01,rec_yds,4,,,,,
player,201909150ram,ram,GurlTo01,rec_td,0,,,,,
player,201909150ram,ram,GurlTo01,rec_long,9,,,,,
player,201909150ram,ram,GurlTo01,fumbles,0,,,,,
player,201909150ram,ram,GurlTo01,fumbles_lost,0,,,,,
player,201909150ram,ram,BrowMa03,pass_cmp,0,,,,,
player,201909150ram,ram,BrowMa03,pass_att,0,,,,,
player,201909150ram,ram,BrowMa03,pass_yds,0,,,,,
player,201909150ram,ram,BrowMa03,pass_td,0,,,,,
player,201909150ram,ram,BrowMa03,pass_int,0,,,,,
player,201909150ram,ram,BrowMa03,pass_sacked,0,,,,,
player,201909150ram,ram,BrowMa03,pass_sacked_yds,0,,,,,
player,201909150ram,ram,BrowMa03,pass_long,0,,,,,
player,201909150ram,ram,BrowMa03,pass_rating,,,,,,
player,201909150ram,ram,BrowMa03,rush_att,6,,,,,
player,201909150ram,ram,BrowMa03,rush_yds,37,,,,,
player,201909150ram,ram,BrowMa03,rush_td,0,,,,,
player,201909150ram,ram,BrowMa03,rush_long,13,,,,,
player,201909150ram,ram,BrowMa03,targets,1,,,,,
player,201909150ram,ram,BrowMa03,rec,1,,,,,
player,201909150ram,ram,BrowMa03,rec_yds,10,,,,,
player,201909150ram,ram,BrowMa03,rec_td,0,,,,,
player,201909150ram,ram,BrowMa03,rec_long,10,,,,,
player,201909150ram,ram,BrowMa03,fumbles,0,,,,,
player,201909150ram,ram,BrowMa03,fumbles_lost,0,,,,,
player,201909150ram,ram,WoodRo02,pass_cmp,0,,,,,
player,201909150ram,ram,WoodRo02,pass_att,0,,,,,
player,201909150ram,ram,WoodRo02,pass_yds,0,,,,,
player,201909150ram,ram,WoodRo02,pass_td,0,,,,,
player,201909150ram,ram,WoodRo02,pass_int,0,,,,,
player,201909150ram,ram,WoodRo02,pass_sacked,0,,,,,
player,201909150ram,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201909150ram,ram,WoodRo02,pass_long,0,,,,,
player,201909150ram,ram,WoodRo02,pass_rating,,,,,,
player,201909150ram,ram,WoodRo02,rush_att,1,,,,,
player,201909150ram,ram,WoodRo02,rush_yds,9,,,,,
player,201909150ram,ram,WoodRo02,rush_td,0,,,,,
player,201909150ram,ram,WoodRo02,rush_long,9,,,,,
player,201909150ram,ram,WoodRo02,targets,2,,,,,
player,201909150ram,ram,WoodRo02,rec,2,,,,,
player,201909150ram,ram,WoodRo02,rec_yds,33,,,,,
player,201909150ram,ram,WoodRo02,rec_td,0,,,,,
player,201909150ram,ram,WoodRo02,rec_long,19,,,,,
player,201909150ram,ram,WoodRo02,fumbles,0,,,,,
player,201909150ram,ram,WoodRo02,fumbles_lost,0,,,,,
player,201909150ram,ram,KuppCo00,pass_cmp,0,,,,,
player,201909150ram,ram,KuppCo00,pass_att,0,,,,,
player,201909150ram,ram,KuppCo00,pass_yds,0,,,,,
player,201909150ram,ram,KuppCo00,pass_td,0,,,,,
player,201909150ram,ram,KuppCo00,pass_int,0,,,,,
player,201909150ram,ram,KuppCo00,pass_sacked,0,,,,,
player,201909150ram,ram,KuppCo00,pass_sacked_yds,0,,,,,
player,201909150ram,ram,KuppCo00,pass_long,0,,,,,
player,201909150ram,ram,KuppCo00,pass_rating,,,,,,
player,201909150ram,ram,KuppCo00,rush_att,1,,,,,
player,201909150ram,ram,KuppCo00,rush_yds,6,,,,,
player,201909150ram,ram,KuppCo00,rush_td,0,,,,,
player,201909150ram,ram,KuppCo00,rush_long,6,,,,,
player,201909150ram,ram,KuppCo00,targets,9,,,,,
player,201909150ram,ram,KuppCo00,rec,5,,,,,
player,201909150ram,ram,KuppCo00,rec_yds,120,,,,,
player,201909150ram,ram,KuppCo00,rec_td,0,,,,,
player,201909150ram,ram,KuppCo00,rec_long,66,,,,,
player,201909150ram,ram,KuppCo00,fumbles,0,,,,,
player,201909150ram,ram,KuppCo00,fumbles_lost,0,,,,,
player,201909150ram,ram,CookBr00,pass_cmp,0,,,,,
player,201909150ram,ram,CookBr00,pass_att,0,,,,,
player,201909150ram,ram,CookBr00,pass_yds,0,,,,,
player,201909150ram,ram,CookBr00,pass_td,0,,,,,
player,201909150ram,ram,CookBr00,pass_int,0,,,,,
player,201909150ram,ram,CookBr00,pass_sacked,0,,,,,
player,201909150ram,ram,CookBr00,pass_sacked_yds,0,,,,,
player,201909150ram,ram,CookBr00,pass_long,0,,,,,
player,201909150ram,ram,CookBr00,pass_rating,,,,,,
player,201909150ram,ram,CookBr00,rush_att,1,,,,,
player,201909150ram,ram,CookBr00,rush_yds,2,,,,,
player,201909150ram,ram,CookBr00,rush_td,0,,,,,
player,201909150ram,ram,CookBr00,rush_long,2,,,,,
player,201909150ram,ram,CookBr00,targets,4,,,,,
player,201909150ram,ram,CookBr00,rec,3,,,,,
player,201909150ram,ram,CookBr00,rec_yds,74,,,,,
player,201909150ram,ram,CookBr00,rec_td,1,,,,,
player,201909150ram,ram,CookBr00,rec_long,57,,,,,
player,201909150ram,ram,CookBr00,fumbles,0,,,,,
player,201909150ram,ram,CookBr00,fumbles_lost,0,,,,,
