game,2019,3,20190922,201909220cle,ram,"Los Angeles Rams",20,cle,"Cleveland Browns",13
team,201909220cle,ram,First Downs,20,,,,,,
team,201909220cle,cle,First Downs,18,,,,,,
team,201909220cle,ram,Rush-Yds-TDs,24-90-0,,,,,,
team,201909220cle,cle,Rush-Yds-TDs,24-95-0,,,,,,
team,201909220cle,ram,Cmp-Att-Yd-TD-INT,24-38-268-2-2,,,,,,
team,201909220cle,cle,Cmp-Att-Yd-TD-INT,18-36-195-1-1,,,,,,
team,201909220cle,ram,Sacked-Yards,2-14,,,,,,
team,201909220cle,cle,Sacked-Yards,3-20,,,,,,
team,201909220cle,ram,Net Pass Yards,254,,,,,,
team,201909220cle,cle,Net Pass Yards,175,,,,,,
team,201909220cle,ram,Total Yards,344,,,,,,
team,201909220cle,cle,Total Yards,270,,,,,,
team,201909220cle,ram,Fumbles-Lost,1-1,,,,,,
team,201909220cle,cle,Fumbles-Lost,1-0,,,,,,
team,201909220cle,ram,Turnovers,3,,,,,,
team,201909220cle,cle,Turnovers,1,,,,,,
team,201909220cle,ram,Penalties-Yards,7-49,,,,,,
team,201909220cle,cle,Penalties-Yards,8-60,,,,,,
team,201909220cle,ram,Third Down Conv.,6-14,,,,,,
team,201909220cle,cle,Third Down Conv.,6-16,,,,,,
team,201909220cle,ram,Fourth Down Conv.,0-0,,,,,,
team,201909220cle,cle,Fourth Down Conv.,0-2,,,,,,
team,201909220cle,ram,Time of Possession,28:23,,,,,,
team,201909220cle,cle,Time of Possession,31:37,,,,,,
player,201909220cle,ram,GoffJa00,pass_cmp,24,,,,,
player,201909220cle,ram,GoffJa00,pass_att,38,,,,,
player,201909220cle,ram,GoffJa00,pass_yds,268,,,,,
player,201909220cle,ram,GoffJa00,pass_td,2,,,,,
player,201909220cle,ram,GoffJa00,pass_int,2,,,,,
player,201909220cle,ram,GoffJa00,pass_sacked,2,,,,,
player,201909220cle,ram,GoffJa00,pass_sacked_yds,14,,,,,
player,201909220cle,ram,GoffJa00,pass_long,23,,,,,
player,201909220cle,ram,GoffJa00,pass_rating,79.7,,,,,
player,201909220cle,ram,GoffJa00,rush_att,4,,,,,
player,201909220cle,ram,GoffJa00,rush_yds,14,,,,,
player,201909220cle,ram,GoffJa00,rush_td,0,,,,,
player,201909220cle,ram,GoffJa00,rush_long,8,,,,,
player,201909220cle,ram,GoffJa00,targets,0,,,,,
player,201909220cle,ram,GoffJa00,rec,0,,,,,
player,201909220cle,ram,GoffJa00,rec_yds,0,,,,,
player,201909220cle,ram,GoffJa00,rec_td,0,,,,,
player,201909220cle,ram,GoffJa00,rec_long,0,,,,,
player,201909220cle,ram,GoffJa00,fumbles,1,,,,,
player,201909220cle,ram,GoffJa00,fumbles_lost,1,,,,,
player,201909220cle,ram,GurlTo01,pass_cmp,0,,,,,
player,201909220cle,ram,GurlTo01,pass_att,0,,,,,
player,201909220cle,ram,GurlTo01,pass_yds,0,,,,,
player,201909220cle,ram,GurlTo01,pass_td,0,,,,,
player,201909220cle,ram,GurlTo01,pass_int,0,,,,,
player,201909220cle,ram,GurlTo01,pass_sacked,0,,,,,
player,201909220cle,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201909220cle,ram,GurlTo01,pass_long,0,,,,,
player,201909220cle,ram,GurlTo01,pass_rating,,,,,,
player,201909220cle,ram,GurlTo01,rush_att,14,,,,,
player,201909220cle,ram,GurlTo01,rush_yds,43,,,,,
player,201909220cle,ram,GurlTo01,rush_td,0,,,,,
player,201909220cle,ram,GurlTo01,rush_long,9,,,,,
player,201909220cle,ram,GurlTo01,targets,1,,,,,
player,201909220cle,ram,GurlTo01,rec,0,,,,,
player,201909220cle,ram,GurlTo01,rec_yds,0,,,,,
player,201909220cle,ram,GurlTo01,rec_td,0,,,,,
player,201909220cle,ram,GurlTo01,rec_long,0,,,,,
player,201909220cle,ram,GurlTo01,fumbles,0,,,,,
player,201909220cle,ram,GurlTo01,fumbles_lost,0,,,,,
player,201909220cle,ram,WoodRo02,pass_cmp,0,,,,,
player,201909220cle,ram,WoodRo02,pass_att,0,,,,,
player,201909220cle,ram,WoodRo02,pass_yds,0,,,,,
player,201909220cle,ram,WoodRo02,pass_td,0,,,,,
player,201909220cle,ram,WoodRo02,pass_int,0,,,,,
player,201909220cle,ram,WoodRo02,pass_sacked,0,,,,,
player,201909220cle,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201909220cle,ram,WoodRo02,pass_long,0,,,,,
player,201909220cle,ram,WoodRo02,pass_rating,,,,,,
player,201909220cle,ram,WoodRo02,rush_att,2,,,,,
player,201909220cle,ram,WoodRo02,rush_yds,18,,,,,
player,201909220cle,ram,WoodRo02,rush_td,0,,,,,
player,201909220cle,ram,WoodRo02,rush_long,17,,,,,
player,201909220cle,ram,WoodRo02,targets,8,,,,,
player,201909220cle,ram,WoodRo02,rec,3,,,,,
player,201909220cle,ram,WoodRo02,rec_yds,40,,,,,
player,201909220cle,ram,WoodRo02,rec_td,0,,,,,
player,201909220cle,ram,WoodRo02,rec_long,18,,,,,
player,201909220cle,ram,WoodRo02,fumbles,0,,,,,
player,201909220cle,ram,WoodRo02,fumbles_lost,0,,,,,
player,201909220cle,ram,CookBr00,pass_cmp,0,,,,,
player,201909220cle,ram,CookBr00,pass_att,0,,,,,
player,201909220cle,ram,CookBr00,pass_yds,0,,,,,
player,201909220cle,ram,CookBr00,pass_td,0,,,,,
player,201909220cle,ram,CookBr00,pass_int,0,,,,,
player,201909220cle,ram,CookBr00,pass_sacked,0,,,,,
player,201909220cle,ram,CookBr00,pass_sacked_yds,0,,,,,
player,201909220cle,ram,CookBr00,pass_long,0,,,,,
player,201909220cle,ram,CookBr00,pass_rating,,,,,,
player,201909220cle,ram,CookBr00,rush_att,1,,,,,
player,201909220cle,ram,CookBr00,rush_yds,8,,,,,
player,201909220cle,ram,CookBr00,rush_td,0,,,,,
player,201909220cle,ram,CookBr00,rush_long,8,,,,,
player,201909220cle,ram,CookBr00,targets,12,,,,,
player,201909220cle,ram,CookBr00,rec,8,,,,,
player,201909220cle,ram,CookBr00,rec_yds,112,,,,,
player,201909220cle,ram,CookBr00,rec_td,0,,,,,
player,201909220cle,ram,CookBr00,rec_long,23,,,,,
player,201909220cle,ram,CookBr00,fumbles,0,,,,,
player,201909220cle,ram,CookBr00,fumbles_lost,0,,,,,
player,201909220cle,ram,BrowMa03,pass_cmp,0,,,,,
player,201909220cle,ram,BrowMa03,pass_att,0,,,,,
player,201909220cle,ram,BrowMa03,pass_yds,0,,,,,
