game,2019,5,20191006,201910060was,nwe,"New England Patriots",33,was,"Washington Redskins",7
team,201910060was,nwe,First Downs,23,,,,,,
team,201910060was,was,First Downs,11,,,,,,
team,201910060was,nwe,Rush-Yds-TDs,27-130-1,,,,,,
team,201910060was,was,Rush-Yds-TDs,20-145-1,,,,,,
team,201910060was,nwe,Cmp-Att-Yd-TD-INT,28-43-348-3-1,,,,,,
team,201910060was,was,Cmp-Att-Yd-TD-INT,18-27-119-0-1,,,,,,
team,201910060was,nwe,Sacked-Yards,4-36,,,,,,
team,201910060was,was,Sacked-Yards,6-44,,,,,,
team,201910060was,nwe,Net Pass Yards,312,,,,,,
team,201910060was,was,Net Pass Yards,75,,,,,,
team,201910060was,nwe,Total Yards,442,,,,,,
team,201910060was,was,Total Yards,220,,,,,,
team,201910060was,nwe,Fumbles-Lost,0-0,,,,,,
team,201910060was,was,Fumbles-Lost,3-1,,,,,,
team,201910060was,nwe,Turnovers,1,,,,,,
team,201910060was,was,Turnovers,2,,,,,,
team,201910060was,nwe,Penalties-Yards,7-55,,,,,,
team,201910060was,was,Penalties-Yards,6-72,,,,,,
team,201910060was,nwe,Third Down Conv.,5-15,,,,,,
team,201910060was,was,Third Down Conv.,1-11,,,,,,
team,201910060was,nwe,Fourth Down Conv.,0-1,,,,,,
team,201910060was,was,Fourth Down Conv.,0-0,,,,,,
team,201910060was,nwe,Time of Possession,31:52,,,,,,
team,201910060was,was,Time of Possession,28:08,,,,,,
player,201910060was,nwe,BradTo00,pass_cmp,28,,,,,
player,201910060was,nwe,BradTo00,pass_att,42,,,,,
player,201910060was,nwe,BradTo00,pass_yds,348,,,,,
player,201910060was,nwe,BradTo00,pass_td,3,,,,,
player,201910060was,nwe,BradTo00,pass_int,1,,,,,
player,201910060was,nwe,BradTo00,pass_sacked,4,,,,,
player,201910060was,nwe,BradTo00,pass_sacked_yds,36,,,,,
player,201910060was,nwe,BradTo00,pass_long,31,,,,,
player,201910060was,nwe,BradTo00,pass_rating,106.1,,,,,
player,201910060was,nwe,BradTo00,rush_att,0,,,,,
player,201910060was,nwe,BradTo00,rush_yds,0,,,,,
player,201910060was,nwe,BradTo00,rush_td,0,,,,,
player,201910060was,nwe,BradTo00,rush_long,0,,,,,
player,201910060was,nwe,BradTo00,targets,0,,,,,
player,201910060was,nwe,BradTo00,rec,0,,,,,
player,201910060was,nwe,BradTo00,rec_yds,0,,,,,
player,201910060was,nwe,BradTo00,rec_td,0,,,,,
player,201910060was,nwe,BradTo00,rec_long,0,,,,,
player,201910060was,nwe,BradTo00,fumbles,0,,,,,
player,201910060was,nwe,BradTo00,fumbles_lost,0,,,,,
