game,2019,3,20190922,201909220tam,nyg,"New York Giants",32,tam,"Tampa Bay Buccaneers",31
team,201909220tam,nyg,First Downs,17,,,,,,
team,201909220tam,tam,First Downs,24,,,,,,
team,201909220tam,nyg,Rush-Yds-TDs,19-72-2,,,,,,
team,201909220tam,tam,Rush-Yds-TDs,32-144-0,,,,,,
team,201909220tam,nyg,Cmp-Att-Yd-TD-INT,23-36-336-2-0,,,,,,
team,201909220tam,tam,Cmp-Att-Yd-TD-INT,23-37-380-3-1,,,,,,
team,201909220tam,nyg,Sacked-Yards,5-24,,,,,,
team,201909220tam,tam,Sacked-Yards,4-25,,,,,,
team,201909220tam,nyg,Net Pass Yards,312,,,,,,
team,201909220tam,tam,Net Pass Yards,355,,,,,,
team,201909220tam,nyg,Total Yards,384,,,,,,
team,201909220tam,tam,Total Yards,499,,,,,,
team,201909220tam,nyg,Fumbles-Lost,3-2,,,,,,
team,201909220tam,tam,Fumbles-Lost,0-0,,,,,,
team,201909220tam,nyg,Turnovers,2,,,,,,
team,201909220tam,tam,Turnovers,1,,,,,,
team,201909220tam,nyg,Penalties-Yards,6-59,,,,,,
team,201909220tam,tam,Penalties-Yards,4-30,,,,,,
team,201909220tam,nyg,Third Down Conv.,6-13,,,,,,
team,201909220tam,tam,Third Down Conv.,4-14,,,,,,
team,201909220tam,nyg,Fourth Down Conv.,1-1,,,,,,
team,201909220tam,tam,Fourth Down Conv.,1-1,,,,,,
team,201909220tam,nyg,Time of Possession,26:48,,,,,,
team,201909220tam,tam,Time of Possession,33:12,,,,,,
player,201909220tam,nyg,JoneDa05,pass_cmp,23,,,,,
player,201909220tam,nyg,JoneDa05,pass_att,36,,,,,
player,201909220tam,nyg,JoneDa05,pass_yds,336,,,,,
player,201909220tam,nyg,JoneDa05,pass_td,2,,,,,
player,201909220tam,nyg,JoneDa05,pass_int,0,,,,,
player,201909220tam,nyg,JoneDa05,pass_sacked,5,,,,,
player,201909220tam,nyg,JoneDa05,pass_sacked_yds,24,,,,,
player,201909220tam,nyg,JoneDa05,pass_long,75,,,,,
player,201909220tam,nyg,JoneDa05,pass_rating,112.7,,,,,
player,201909220tam,nyg,JoneDa05,rush_att,4,,,,,
player,201909220tam,nyg,JoneDa05,rush_yds,28,,,,,
player,201909220tam,nyg,JoneDa05,rush_td,2,,,,,
player,201909220tam,nyg,JoneDa05,rush_long,11,,,,,
player,201909220tam,nyg,JoneDa05,targets,0,,,,,
player,201909220tam,nyg,JoneDa05,rec,0,,,,,
player,201909220tam,nyg,JoneDa05,rec_yds,0,,,,,
player,201909220tam,nyg,JoneDa05,rec_td,0,,,,,
player,201909220tam,nyg,JoneDa05,rec_long,0,,,,,
player,201909220tam,nyg,JoneDa05,fumbles,2,,,,,
player,201909220tam,nyg,JoneDa05,fumbles_lost,2,,,,,
