game,2019,2,20190915,201909150rav,crd,"Arizona Cardinals",17,rav,"Baltimore Ravens",23
team,201909150rav,crd,First Downs,15,,,,,,
team,201909150rav,rav,First Downs,26,,,,,,
team,201909150rav,crd,Rush-Yds-TDs,11-20-1,,,,,,
team,201909150rav,rav,Rush-Yds-TDs,33-182-0,,,,,,
team,201909150rav,crd,Cmp-Att-Yd-TD-INT,25-40-349-0-0,,,,,,
team,201909150rav,rav,Cmp-Att-Yd-TD-INT,24-37-272-2-0,,,,,,
team,201909150rav,crd,Sacked-Yards,3-20,,,,,,
team,201909150rav,rav,Sacked-Yards,2-14,,,,,,
team,201909150rav,crd,Net Pass Yards,329,,,,,,
team,201909150rav,rav,Net Pass Yards,258,,,,,,
team,201909150rav,crd,Total Yards,349,,,,,,
team,201909150rav,rav,Total Yards,440,,,,,,
team,201909150rav,crd,Fumbles-Lost,1-0,,,,,,
team,201909150rav,rav,Fumbles-Lost,2-0,,,,,,
team,201909150rav,crd,Turnovers,0,,,,,,
team,201909150rav,rav,Turnovers,0,,,,,,
team,201909150rav,crd,Penalties-Yards,8-70,,,,,,
team,201909150rav,rav,Penalties-Yards,10-62,,,,,,
team,201909150rav,crd,Third Down Conv.,2-11,,,,,,
team,201909150rav,rav,Third Down Conv.,7-14,,,,,,
team,201909150rav,crd,Fourth Down Conv.,1-1,,,,,,
team,201909150rav,rav,Fourth Down Conv.,0-1,,,,,,
team,201909150rav,crd,Time of Possession,22:22,,,,,,
team,201909150rav,rav,Time of Possession,37:38,,,,,,
player,201909150rav,crd,MurrKy00,pass_cmp,25,,,,,
player,201909150rav,crd,MurrKy00,pass_att,40,,,,,
player,201909150rav,crd,MurrKy00,pass_yds,349,,,,,
player,201909150rav,crd,MurrKy00,pass_td,0,,,,,
player,201909150rav,crd,MurrKy00,pass_int,0,,,,,
player,201909150rav,crd,MurrKy00,pass_sacked,3,,,,,
player,201909150rav,crd,MurrKy00,pass_sacked_yds,20,,,,,
player,201909150rav,crd,MurrKy00,pass_long,54,,,,,
player,201909150rav,crd,MurrKy00,pass_rating,90.5,,,,,
player,201909150rav,crd,MurrKy00,rush_att,3,,,,,
