game,2018,16,20181222,201812220sdg,rav,"Baltimore Ravens",22,sdg,"Los Angeles Chargers",10
team,201812220sdg,rav,First Downs,15,,,,,,
team,201812220sdg,sdg,First Downs,14,,,,,,
team,201812220sdg,rav,Rush-Yds-TDs,35-159-0,,,,,,
team,201812220sdg,sdg,Rush-Yds-TDs,16-51-1,,,,,,
team,201812220sdg,rav,Cmp-Att-Yd-TD-INT,12-22-204-1-0,,,,,,
team,201812220sdg,sdg,Cmp-Att-Yd-TD-INT,23-37-181-0-2,,,,,,
team,201812220sdg,rav,Sacked-Yards,3-2,,,,,,
team,201812220sdg,sdg,Sacked-Yards,4-34,,,,,,
team,201812220sdg,rav,Net Pass Yards,202,,,,,,
team,201812220sdg,sdg,Net Pass Yards,147,,,,,,
team,201812220sdg,rav,Total Yards,361,,,,,,
team,201812220sdg,sdg,Total Yards,198,,,,,,
team,201812220sdg,rav,Fumbles-Lost,2-1,,,,,,
team,201812220sdg,sdg,Fumbles-Lost,2-1,,,,,,
team,201812220sdg,rav,Turnovers,1,,,,,,
team,201812220sdg,sdg,Turnovers,3,,,,,,
team,201812220sdg,rav,Penalties-Yards,4-40,,,,,,
team,201812220sdg,sdg,Penalties-Yards,8-69,,,,,,
team,201812220sdg,rav,Third Down Conv.,4-14,,,,,,
team,201812220sdg,sdg,Third Down Conv.,4-13,,,,,,
team,201812220sdg,rav,Fourth Down Conv.,1-2,,,,,,
team,201812220sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201812220sdg,rav,Time of Possession,31:25,,,,,,
team,201812220sdg,sdg,Time of Possession,28:35,,,,,,
player,201812220sdg,rav,JackLa00,pass_cmp,12,,,,,
player,201812220sdg,rav,JackLa00,pass_att,22,,,,,
player,201812220sdg,rav,JackLa00,pass_yds,204,,,,,
player,201812220sdg,rav,JackLa00,pass_td,1,,,,,
player,201812220sdg,rav,JackLa00,pass_int,0,,,,,
player,201812220sdg,rav,JackLa00,pass_sacked,3,,,,,
player,201812220sdg,rav,JackLa00,pass_sacked_yds,2,,,,,
player,201812220sdg,rav,JackLa00,pass_long,68,,,,,
player,201812220sdg,rav,JackLa00,pass_rating,101.3,,,,,
player,201812220sdg,rav,JackLa00,rush_att,13,,,,,
player,201812220sdg,rav,JackLa00,rush_yds,39,,,,,
player,201812220sdg,rav,JackLa00,rush_td,0,,,,,
player,201812220sdg,rav,JackLa00,rush_long,27,,,,,
player,201812220sdg,rav,JackLa00,targets,0,,,,,
player,201812220sdg,rav,JackLa00,rec,0,,,,,
player,201812220sdg,rav,JackLa00,rec_yds,0,,,,,
player,201812220sdg,rav,JackLa00,rec_td,0,,,,,
player,201812220sdg,rav,JackLa00,rec_long,0,,,,,
player,201812220sdg,rav,JackLa00,fumbles,1,,,,,
player,201812220sdg,rav,JackLa00,fumbles_lost,0,,,,,
player,201812220sdg,rav,EdwaGu00,pass_cmp,0,,,,,
player,201812220sdg,rav,EdwaGu00,pass_att,0,,,,,
player,201812220sdg,rav,EdwaGu00,pass_yds,0,,,,,
player,201812220sdg,rav,EdwaGu00,pass_td,0,,,,,
player,201812220sdg,rav,EdwaGu00,pass_int,0,,,,,
player,201812220sdg,rav,EdwaGu00,pass_sacked,0,,,,,
player,201812220sdg,rav,EdwaGu00,pass_sacked_yds,0,,,,,
player,201812220sdg,rav,EdwaGu00,pass_long,0,,,,,
player,201812220sdg,rav,EdwaGu00,pass_rating,,,,,,
player,201812220sdg,rav,EdwaGu00,rush_att,14,,,,,
player,201812220sdg,rav,EdwaGu00,rush_yds,92,,,,,
player,201812220sdg,rav,EdwaGu00,rush_td,0,,,,,
player,201812220sdg,rav,EdwaGu00,rush_long,43,,,,,
player,201812220sdg,rav,EdwaGu00,targets,1,,,,,
player,201812220sdg,rav,EdwaGu00,rec,1,,,,,
player,201812220sdg,rav,EdwaGu00,rec_yds,13,,,,,
player,201812220sdg,rav,EdwaGu00,rec_td,0,,,,,
player,201812220sdg,rav,EdwaGu00,rec_long,13,,,,,
player,201812220sdg,rav,EdwaGu00,fumbles,0,,,,,
player,201812220sdg,rav,EdwaGu00,fumbles_lost,0,,,,,
player,201812220sdg,rav,DixoKe00,pass_cmp,0,,,,,
player,201812220sdg,rav,DixoKe00,pass_att,0,,,,,
player,201812220sdg,rav,DixoKe00,pass_yds,0,,,,,
player,201812220sdg,rav,DixoKe00,pass_td,0,,,,,
player,201812220sdg,rav,DixoKe00,pass_int,0,,,,,
player,201812220sdg,rav,DixoKe00,pass_sacked,0,,,,,
player,201812220sdg,rav,DixoKe00,pass_sacked_yds,0,,,,,
player,201812220sdg,rav,DixoKe00,pass_long,0,,,,,
player,201812220sdg,rav,DixoKe00,pass_rating,,,,,,
player,201812220sdg,rav,DixoKe00,rush_att,8,,,,,
player,201812220sdg,rav,DixoKe00,rush_yds,28,,,,,
player,201812220sdg,rav,DixoKe00,rush_td,0,,,,,
player,201812220sdg,rav,DixoKe00,rush_long,19,,,,,
player,201812220sdg,rav,DixoKe00,targets,3,,,,,
player,201812220sdg,rav,DixoKe00,rec,2,,,,,
player,201812220sdg,rav,DixoKe00,rec_yds,20,,,,,
player,201812220sdg,rav,DixoKe00,rec_td,0,,,,,
player,201812220sdg,rav,DixoKe00,rec_long,11,,,,,
player,201812220sdg,rav,DixoKe00,fumbles,1,,,,,
player,201812220sdg,rav,DixoKe00,fumbles_lost,1,,,,,
player,201812220sdg,rav,AndrMa00,pass_cmp,0,,,,,
player,201812220sdg,rav,AndrMa00,pass_att,0,,,,,
player,201812220sdg,rav,AndrMa00,pass_yds,0,,,,,
player,201812220sdg,rav,AndrMa00,pass_td,0,,,,,
