game,2018,15,20181216,201812160chi,gnb,"Green Bay Packers",17,chi,"Chicago Bears",24
team,201812160chi,gnb,First Downs,19,,,,,,
team,201812160chi,chi,First Downs,19,,,,,,
team,201812160chi,gnb,Rush-Yds-TDs,19-88-1,,,,,,
team,201812160chi,chi,Rush-Yds-TDs,29-100-1,,,,,,
team,201812160chi,gnb,Cmp-Att-Yd-TD-INT,25-42-274-0-1,,,,,,
team,201812160chi,chi,Cmp-Att-Yd-TD-INT,20-28-235-2-0,,,,,,
team,201812160chi,gnb,Sacked-Yards,5-39,,,,,,
team,201812160chi,chi,Sacked-Yards,1-3,,,,,,
team,201812160chi,gnb,Net Pass Yards,235,,,,,,
team,201812160chi,chi,Net Pass Yards,232,,,,,,
team,201812160chi,gnb,Total Yards,323,,,,,,
team,201812160chi,chi,Total Yards,332,,,,,,
team,201812160chi,gnb,Fumbles-Lost,1-0,,,,,,
team,201812160chi,chi,Fumbles-Lost,3-1,,,,,,
team,201812160chi,gnb,Turnovers,1,,,,,,
team,201812160chi,chi,Turnovers,1,,,,,,
team,201812160chi,gnb,Penalties-Yards,7-48,,,,,,
team,201812160chi,chi,Penalties-Yards,4-24,,,,,,
team,201812160chi,gnb,Third Down Conv.,5-14,,,,,,
team,201812160chi,chi,Third Down Conv.,3-10,,,,,,
team,201812160chi,gnb,Fourth Down Conv.,1-1,,,,,,
team,201812160chi,chi,Fourth Down Conv.,0-1,,,,,,
team,201812160chi,gnb,Time of Possession,29:37,,,,,,
team,201812160chi,chi,Time of Possession,30:23,,,,,,
player,201812160chi,gnb,RodgAa00,pass_cmp,25,,,,,
player,201812160chi,gnb,RodgAa00,pass_att,42,,,,,
player,201812160chi,gnb,RodgAa00,pass_yds,274,,,,,
player,201812160chi,gnb,RodgAa00,pass_td,0,,,,,
player,201812160chi,gnb,RodgAa00,pass_int,1,,,,,
player,201812160chi,gnb,RodgAa00,pass_sacked,5,,,,,
player,201812160chi,gnb,RodgAa00,pass_sacked_yds,39,,,,,
player,201812160chi,gnb,RodgAa00,pass_long,28,,,,,
player,201812160chi,gnb,RodgAa00,pass_rating,68.9,,,,,
player,201812160chi,gnb,RodgAa00,rush_att,3,,,,,
player,201812160chi,gnb,RodgAa00,rush_yds,25,,,,,
player,201812160chi,gnb,RodgAa00,rush_td,0,,,,,
player,201812160chi,gnb,RodgAa00,rush_long,10,,,,,
player,201812160chi,gnb,RodgAa00,targets,0,,,,,
player,201812160chi,gnb,RodgAa00,rec,0,,,,,
player,201812160chi,gnb,RodgAa00,rec_yds,0,,,,,
player,201812160chi,gnb,RodgAa00,rec_td,0,,,,,
player,201812160chi,gnb,RodgAa00,rec_long,0,,,,,
player,201812160chi,gnb,RodgAa00,fumbles,0,,,,,
player,201812160chi,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201812160chi,gnb,WillJa06,pass_cmp,0,,,,,
player,201812160chi,gnb,WillJa06,pass_att,0,,,,,
player,201812160chi,gnb,WillJa06,pass_yds,0,,,,,
player,201812160chi,gnb,WillJa06,pass_td,0,,,,,
