game,2018,12,20181125,201811250rav,rai,"Oakland Raiders",17,rav,"Baltimore Ravens",34
team,201811250rav,rai,First Downs,13,,,,,,
team,201811250rav,rav,First Downs,23,,,,,,
team,201811250rav,rai,Rush-Yds-TDs,19-67-1,,,,,,
team,201811250rav,rav,Rush-Yds-TDs,43-242-1,,,,,,
team,201811250rav,rai,Cmp-Att-Yd-TD-INT,16-34-194-1-0,,,,,,
team,201811250rav,rav,Cmp-Att-Yd-TD-INT,14-25-178-1-2,,,,,,
team,201811250rav,rai,Sacked-Yards,3-12,,,,,,
team,201811250rav,rav,Sacked-Yards,1-4,,,,,,
team,201811250rav,rai,Net Pass Yards,182,,,,,,
team,201811250rav,rav,Net Pass Yards,174,,,,,,
team,201811250rav,rai,Total Yards,249,,,,,,
team,201811250rav,rav,Total Yards,416,,,,,,
team,201811250rav,rai,Fumbles-Lost,1-1,,,,,,
team,201811250rav,rav,Fumbles-Lost,1-0,,,,,,
team,201811250rav,rai,Turnovers,1,,,,,,
team,201811250rav,rav,Turnovers,2,,,,,,
team,201811250rav,rai,Penalties-Yards,4-24,,,,,,
team,201811250rav,rav,Penalties-Yards,6-45,,,,,,
team,201811250rav,rai,Third Down Conv.,3-13,,,,,,
team,201811250rav,rav,Third Down Conv.,8-13,,,,,,
team,201811250rav,rai,Fourth Down Conv.,1-2,,,,,,
team,201811250rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201811250rav,rai,Time of Possession,25:48,,,,,,
team,201811250rav,rav,Time of Possession,34:12,,,,,,
player,201811250rav,rai,CarrDe02,pass_cmp,16,,,,,
player,201811250rav,rai,CarrDe02,pass_att,34,,,,,
player,201811250rav,rai,CarrDe02,pass_yds,194,,,,,
player,201811250rav,rai,CarrDe02,pass_td,1,,,,,
player,201811250rav,rai,CarrDe02,pass_int,0,,,,,
player,201811250rav,rai,CarrDe02,pass_sacked,3,,,,,
player,201811250rav,rai,CarrDe02,pass_sacked_yds,12,,,,,
player,201811250rav,rai,CarrDe02,pass_long,44,,,,,
player,201811250rav,rai,CarrDe02,pass_rating,74.9,,,,,
player,201811250rav,rai,CarrDe02,rush_att,0,,,,,
player,201811250rav,rai,CarrDe02,rush_yds,0,,,,,
player,201811250rav,rai,CarrDe02,rush_td,0,,,,,
player,201811250rav,rai,CarrDe02,rush_long,0,,,,,
player,201811250rav,rai,CarrDe02,targets,0,,,,,
player,201811250rav,rai,CarrDe02,rec,0,,,,,
player,201811250rav,rai,CarrDe02,rec_yds,0,,,,,
player,201811250rav,rai,CarrDe02,rec_td,0,,,,,
player,201811250rav,rai,CarrDe02,rec_long,0,,,,,
player,201811250rav,rai,CarrDe02,fumbles,1,,,,,
player,201811250rav,rai,CarrDe02,fumbles_lost,1,,,,,
player,201811250rav,rai,MartDo00,pass_cmp,0,,,,,
player,201811250rav,rai,MartDo00,pass_att,0,,,,,
player,201811250rav,rai,MartDo00,pass_yds,0,,,,,
player,201811250rav,rai,MartDo00,pass_td,0,,,,,
player,201811250rav,rai,MartDo00,pass_int,0,,,,,
player,201811250rav,rai,MartDo00,pass_sacked,0,,,,,
player,201811250rav,rai,MartDo00,pass_sacked_yds,0,,,,,
player,201811250rav,rai,MartDo00,pass_long,0,,,,,
player,201811250rav,rai,MartDo00,pass_rating,,,,,,
player,201811250rav,rai,MartDo00,rush_att,11,,,,,
