game,2018,10,20181111,201811110chi,det,"Detroit Lions",22,chi,"Chicago Bears",34
player,201811110chi,chi,HowaJo00,targets,1,,,,,
player,201811110chi,chi,HowaJo00,rec,1,,,,,
player,201811110chi,chi,HowaJo00,rec_yds,11,,,,,
player,201811110chi,chi,HowaJo00,rec_first_down,1,,,,,
player,201811110chi,chi,HowaJo00,rec_air_yds,4,,,,,
player,201811110chi,chi,HowaJo00,rec_air_yds_per_rec,4.0,,,,,
player,201811110chi,chi,HowaJo00,rec_yac,7,,,,,
player,201811110chi,chi,HowaJo00,rec_yac_per_rec,7.0,,,,,
player,201811110chi,chi,HowaJo00,rec_broken_tackles,0,,,,,
player,201811110chi,chi,HowaJo00,rec_broken_tackles_per_rec,,,,,,
player,201811110chi,chi,HowaJo00,rec_drops,0,,,,,
player,201811110chi,chi,HowaJo00,rec_drop_pct,0.0,,,,,
player,201811110chi,chi,BrauBe00,targets,1,,,,,
player,201811110chi,chi,BrauBe00,rec,1,,,,,
player,201811110chi,chi,BrauBe00,rec_yds,20,,,,,
player,201811110chi,chi,BrauBe00,rec_first_down,1,,,,,
player,201811110chi,chi,BrauBe00,rec_air_yds,19,,,,,
player,201811110chi,chi,BrauBe00,rec_air_yds_per_rec,19.0,,,,,
player,201811110chi,chi,BrauBe00,rec_yac,1,,,,,
player,201811110chi,chi,BrauBe00,rec_yac_per_rec,1.0,,,,,
player,201811110chi,chi,BrauBe00,rec_broken_tackles,0,,,,,
player,201811110chi,chi,BrauBe00,rec_broken_tackles_per_rec,,,,,,
player,201811110chi,chi,BrauBe00,rec_drops,0,,,,,
player,201811110chi,chi,BrauBe00,rec_drop_pct,0.0,,,,,
player,201811110chi,chi,GabrTa00,targets,3,,,,,
player,201811110chi,chi,GabrTa00,rec,0,,,,,
player,201811110chi,chi,GabrTa00,rec_yds,0,,,,,
player,201811110chi,chi,GabrTa00,rec_first_down,,,,,,
player,201811110chi,chi,GabrTa00,rec_air_yds,0,,,,,
player,201811110chi,chi,GabrTa00,rec_air_yds_per_rec,,,,,,
player,201811110chi,chi,GabrTa00,rec_yac,0,,,,,
player,201811110chi,chi,GabrTa00,rec_yac_per_rec,,,,,,
player,201811110chi,chi,GabrTa00,rec_broken_tackles,0,,,,,
player,201811110chi,chi,GabrTa00,rec_broken_tackles_per_rec,,,,,,
player,201811110chi,chi,GabrTa00,rec_drops,0,,,,,
player,201811110chi,chi,GabrTa00,rec_drop_pct,0.0,,,,,
player,201811110chi,chi,WitzBr00,pos,G,,,,,
player,201811110chi,chi,WitzBr00,offense,57,,,,,
player,201811110chi,chi,WitzBr00,off_pct,100%,,,,,
player,201811110chi,chi,WitzBr00,defense,0,,,,,
player,201811110chi,chi,WitzBr00,def_pct,0%,,,,,
player,201811110chi,chi,WitzBr00,special_teams,6,,,,,
player,201811110chi,chi,WitzBr00,st_pct,22%,,,,,
player,201811110chi,chi,WhitCo03,pos,C,,,,,
player,201811110chi,chi,WhitCo03,offense,57,,,,,
player,201811110chi,chi,WhitCo03,off_pct,100%,,,,,
player,201811110chi,chi,WhitCo03,defense,0,,,,,
player,201811110chi,chi,WhitCo03,def_pct,0%,,,,,
player,201811110chi,chi,WhitCo03,special_teams,6,,,,,
player,201811110chi,chi,WhitCo03,st_pct,22%,,,,,
player,201811110chi,chi,LenoCh00,pos,T,,,,,
player,201811110chi,chi,LenoCh00,offense,57,,,,,
player,201811110chi,chi,LenoCh00,off_pct,100%,,,,,
player,201811110chi,chi,LenoCh00,defense,0,,,,,
player,201811110chi,chi,LenoCh00,def_pct,0%,,,,,
player,201811110chi,chi,LenoCh00,special_teams,6,,,,,
player,201811110chi,chi,LenoCh00,st_pct,22%,,,,,
player,201811110chi,chi,MassBo00,pos,T,,,,,
player,201811110chi,chi,MassBo00,offense,57,,,,,
player,201811110chi,chi,MassBo00,off_pct,100%,,,,,
player,201811110chi,chi,MassBo00,defense,0,,,,,
player,201811110chi,chi,MassBo00,def_pct,0%,,,,,
player,201811110chi,chi,MassBo00,special_teams,6,,,,,
player,201811110chi,chi,MassBo00,st_pct,22%,,,,,
player,201811110chi,chi,DaniJa01,pos,C,,,,,
player,201811110chi,chi,DaniJa01,offense,57,,,,,
player,201811110chi,chi,DaniJa01,off_pct,100%,,,,,
player,201811110chi,chi,DaniJa01,defense,0,,,,,
player,201811110chi,chi,DaniJa01,def_pct,0%,,,,,
player,201811110chi,chi,DaniJa01,special_teams,6,,,,,
player,201811110chi,chi,DaniJa01,st_pct,22%,,,,,
player,201811110chi,chi,TrubMi00,pos,QB,,,,,
