game,2018,9,20181104,201811040cle,kan,"Kansas City Chiefs",37,cle,"Cleveland Browns",21
team,201811040cle,kan,First Downs,27,,,,,,
team,201811040cle,cle,First Downs,26,,,,,,
team,201811040cle,kan,Rush-Yds-TDs,24-139-2,,,,,,
team,201811040cle,cle,Rush-Yds-TDs,25-102-1,,,,,,
team,201811040cle,kan,Cmp-Att-Yd-TD-INT,23-32-375-3-1,,,,,,
team,201811040cle,cle,Cmp-Att-Yd-TD-INT,30-43-308-2-1,,,,,,
team,201811040cle,kan,Sacked-Yards,2-15,,,,,,
team,201811040cle,cle,Sacked-Yards,2-22,,,,,,
team,201811040cle,kan,Net Pass Yards,360,,,,,,
team,201811040cle,cle,Net Pass Yards,286,,,,,,
team,201811040cle,kan,Total Yards,499,,,,,,
team,201811040cle,cle,Total Yards,388,,,,,,
team,201811040cle,kan,Fumbles-Lost,0-0,,,,,,
team,201811040cle,cle,Fumbles-Lost,0-0,,,,,,
team,201811040cle,kan,Turnovers,1,,,,,,
team,201811040cle,cle,Turnovers,1,,,,,,
team,201811040cle,kan,Penalties-Yards,11-86,,,,,,
team,201811040cle,cle,Penalties-Yards,4-20,,,,,,
team,201811040cle,kan,Third Down Conv.,6-10,,,,,,
team,201811040cle,cle,Third Down Conv.,5-13,,,,,,
team,201811040cle,kan,Fourth Down Conv.,0-0,,,,,,
team,201811040cle,cle,Fourth Down Conv.,2-3,,,,,,
team,201811040cle,kan,Time of Possession,29:09,,,,,,
team,201811040cle,cle,Time of Possession,30:51,,,,,,
player,201811040cle,kan,MahoPa00,pass_cmp,23,,,,,
player,201811040cle,kan,MahoPa00,pass_att,32,,,,,
player,201811040cle,kan,MahoPa00,pass_yds,375,,,,,
player,201811040cle,kan,MahoPa00,pass_td,3,,,,,
player,201811040cle,kan,MahoPa00,pass_int,1,,,,,
player,201811040cle,kan,MahoPa00,pass_sacked,2,,,,,
player,201811040cle,kan,MahoPa00,pass_sacked_yds,15,,,,,
player,201811040cle,kan,MahoPa00,pass_long,50,,,,,
player,201811040cle,kan,MahoPa00,pass_rating,129.0,,,,,
player,201811040cle,kan,MahoPa00,rush_att,2,,,,,
player,201811040cle,kan,MahoPa00,rush_yds,18,,,,,
player,201811040cle,kan,MahoPa00,rush_td,0,,,,,
player,201811040cle,kan,MahoPa00,rush_long,15,,,,,
player,201811040cle,kan,MahoPa00,targets,0,,,,,
player,201811040cle,kan,MahoPa00,rec,0,,,,,
player,201811040cle,kan,MahoPa00,rec_yds,0,,,,,
player,201811040cle,kan,MahoPa00,rec_td,0,,,,,
player,201811040cle,kan,MahoPa00,rec_long,0,,,,,
player,201811040cle,kan,MahoPa00,fumbles,0,,,,,
player,201811040cle,kan,MahoPa00,fumbles_lost,0,,,,,
player,201811040cle,kan,HuntKa00,pass_cmp,0,,,,,
player,201811040cle,kan,HuntKa00,pass_att,0,,,,,
player,201811040cle,kan,HuntKa00,pass_yds,0,,,,,
player,201811040cle,kan,HuntKa00,pass_td,0,,,,,
player,201811040cle,kan,HuntKa00,pass_int,0,,,,,
player,201811040cle,kan,HuntKa00,pass_sacked,0,,,,,
player,201811040cle,kan,HuntKa00,pass_sacked_yds,0,,,,,
player,201811040cle,kan,HuntKa00,pass_long,0,,,,,
player,201811040cle,kan,HuntKa00,pass_rating,,,,,,
player,201811040cle,kan,HuntKa00,rush_att,17,,,,,
player,201811040cle,kan,HuntKa00,rush_yds,91,,,,,
player,201811040cle,kan,HuntKa00,rush_td,2,,,,,
player,201811040cle,kan,HuntKa00,rush_long,25,,,,,
player,201811040cle,kan,HuntKa00,targets,2,,,,,
player,201811040cle,kan,HuntKa00,rec,1,,,,,
player,201811040cle,kan,HuntKa00,rec_yds,50,,,,,
player,201811040cle,kan,HuntKa00,rec_td,1,,,,,
player,201811040cle,kan,HuntKa00,rec_long,50,,,,,
player,201811040cle,kan,HuntKa00,fumbles,0,,,,,
player,201811040cle,kan,HuntKa00,fumbles_lost,0,,,,,
player,201811040cle,kan,HillTy00,pass_cmp,0,,,,,
player,201811040cle,kan,HillTy00,pass_att,0,,,,,
player,201811040cle,kan,HillTy00,pass_yds,0,,,,,
player,201811040cle,kan,HillTy00,pass_td,0,,,,,
player,201811040cle,kan,HillTy00,pass_int,0,,,,,
player,201811040cle,kan,HillTy00,pass_sacked,0,,,,,
player,201811040cle,kan,HillTy00,pass_sacked_yds,0,,,,,
player,201811040cle,kan,HillTy00,pass_long,0,,,,,
player,201811040cle,kan,HillTy00,pass_rating,,,,,,
player,201811040cle,kan,HillTy00,rush_att,2,,,,,
player,201811040cle,kan,HillTy00,rush_yds,16,,,,,
player,201811040cle,kan,HillTy00,rush_td,0,,,,,
player,201811040cle,kan,HillTy00,rush_long,12,,,,,
player,201811040cle,kan,HillTy00,targets,5,,,,,
player,201811040cle,kan,HillTy00,rec,4,,,,,
player,201811040cle,kan,HillTy00,rec_yds,69,,,,,
player,201811040cle,kan,HillTy00,rec_td,0,,,,,
player,201811040cle,kan,HillTy00,rec_long,40,,,,,
player,201811040cle,kan,HillTy00,fumbles,0,,,,,
player,201811040cle,kan,HillTy00,fumbles_lost,0,,,,,
player,201811040cle,kan,WareSp00,pass_cmp,0,,,,,
player,201811040cle,kan,WareSp00,pass_att,0,,,,,
player,201811040cle,kan,WareSp00,pass_yds,0,,,,,
player,201811040cle,kan,WareSp00,pass_td,0,,,,,
player,201811040cle,kan,WareSp00,pass_int,0,,,,,
player,201811040cle,kan,WareSp00,pass_sacked,0,,,,,
player,201811040cle,kan,WareSp00,pass_sacked_yds,0,,,,,
player,201811040cle,kan,WareSp00,pass_long,0,,,,,
player,201811040cle,kan,WareSp00,pass_rating,,,,,,
player,201811040cle,kan,WareSp00,rush_att,2,,,,,
player,201811040cle,kan,WareSp00,rush_yds,12,,,,,
player,201811040cle,kan,WareSp00,rush_td,0,,,,,
player,201811040cle,kan,WareSp00,rush_long,11,,,,,
player,201811040cle,kan,WareSp00,targets,5,,,,,
player,201811040cle,kan,WareSp00,rec,4,,,,,
player,201811040cle,kan,WareSp00,rec_yds,69,,,,,
player,201811040cle,kan,WareSp00,rec_td,0,,,,,
player,201811040cle,kan,WareSp00,rec_long,25,,,,,
player,201811040cle,kan,WareSp00,fumbles,0,,,,,
player,201811040cle,kan,WareSp00,fumbles_lost,0,,,,,
player,201811040cle,kan,WatkSa00,pass_cmp,0,,,,,
player,201811040cle,kan,WatkSa00,pass_att,0,,,,,
player,201811040cle,kan,WatkSa00,pass_yds,0,,,,,
player,201811040cle,kan,WatkSa00,pass_td,0,,,,,
player,201811040cle,kan,WatkSa00,pass_int,0,,,,,
player,201811040cle,kan,WatkSa00,pass_sacked,0,,,,,
player,201811040cle,kan,WatkSa00,pass_sacked_yds,0,,,,,
player,201811040cle,kan,WatkSa00,pass_long,0,,,,,
player,201811040cle,kan,WatkSa00,pass_rating,,,,,,
player,201811040cle,kan,WatkSa00,rush_att,1,,,,,
player,201811040cle,kan,WatkSa00,rush_yds,2,,,,,
player,201811040cle,kan,WatkSa00,rush_td,0,,,,,
player,201811040cle,kan,WatkSa00,rush_long,2,,,,,
player,201811040cle,kan,WatkSa00,targets,5,,,,,
player,201811040cle,kan,WatkSa00,rec,5,,,,,
player,201811040cle,kan,WatkSa00,rec_yds,62,,,,,
player,201811040cle,kan,WatkSa00,rec_td,0,,,,,
player,201811040cle,kan,WatkSa00,rec_long,23,,,,,
player,201811040cle,kan,WatkSa00,fumbles,0,,,,,
player,201811040cle,kan,WatkSa00,fumbles_lost,0,,,,,
player,201811040cle,kan,KelcTr00,pass_cmp,0,,,,,
player,201811040cle,kan,KelcTr00,pass_att,0,,,,,
player,201811040cle,kan,KelcTr00,pass_yds,0,,,,,
player,201811040cle,kan,KelcTr00,pass_td,0,,,,,
player,201811040cle,kan,KelcTr00,pass_int,0,,,,,
player,201811040cle,kan,KelcTr00,pass_sacked,0,,,,,
player,201811040cle,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201811040cle,kan,KelcTr00,pass_long,0,,,,,
player,201811040cle,kan,KelcTr00,pass_rating,,,,,,
player,201811040cle,kan,KelcTr00,rush_att,0,,,,,
player,201811040cle,kan,KelcTr00,rush_yds,0,,,,,
player,201811040cle,kan,KelcTr00,rush_td,0,,,,,
player,201811040cle,kan,KelcTr00,rush_long,0,,,,,
player,201811040cle,kan,KelcTr00,targets,9,,,,,
player,201811040cle,kan,KelcTr00,rec,7,,,,,
player,201811040cle,kan,KelcTr00,rec_yds,99,,,,,
player,201811040cle,kan,KelcTr00,rec_td,2,,,,,
player,201811040cle,kan,KelcTr00,rec_long,21,,,,,
player,201811040cle,kan,KelcTr00,fumbles,0,,,,,
player,201811040cle,kan,KelcTr00,fumbles_lost,0,,,,,
player,201811040cle,kan,ConlCh00,pass_cmp,0,,,,,
player,201811040cle,kan,ConlCh00,pass_att,0,,,,,
player,201811040cle,kan,ConlCh00,pass_yds,0,,,,,
player,201811040cle,kan,ConlCh00,pass_td,0,,,,,
player,201811040cle,kan,ConlCh00,pass_int,0,,,,,
player,201811040cle,kan,ConlCh00,pass_sacked,0,,,,,
player,201811040cle,kan,ConlCh00,pass_sacked_yds,0,,,,,
player,201811040cle,kan,ConlCh00,pass_long,0,,,,,
player,201811040cle,kan,ConlCh00,pass_rating,,,,,,
player,201811040cle,kan,ConlCh00,rush_att,0,,,,,
player,201811040cle,kan,ConlCh00,rush_yds,0,,,,,
player,201811040cle,kan,ConlCh00,rush_td,0,,,,,
player,201811040cle,kan,ConlCh00,rush_long,0,,,,,
player,201811040cle,kan,ConlCh00,targets,2,,,,,
player,201811040cle,kan,ConlCh00,rec,1,,,,,
player,201811040cle,kan,ConlCh00,rec_yds,23,,,,,
player,201811040cle,kan,ConlCh00,rec_td,0,,,,,
player,201811040cle,kan,ConlCh00,rec_long,23,,,,,
player,201811040cle,kan,ConlCh00,fumbles,0,,,,,
player,201811040cle,kan,ConlCh00,fumbles_lost,0,,,,,
player,201811040cle,kan,RobiDe01,pass_cmp,0,,,,,
player,201811040cle,kan,RobiDe01,pass_att,0,,,,,
player,201811040cle,kan,RobiDe01,pass_yds,0,,,,,
player,201811040cle,kan,RobiDe01,pass_td,0,,,,,
