game,2018,16,20181222,201812220oti,was,"Washington Redskins",16,oti,"Tennessee Titans",25
team,201812220oti,was,First Downs,17,,,,,,
team,201812220oti,oti,First Downs,20,,,,,,
team,201812220oti,was,Rush-Yds-TDs,34-161-0,,,,,,
team,201812220oti,oti,Rush-Yds-TDs,27-99-1,,,,,,
team,201812220oti,was,Cmp-Att-Yd-TD-INT,13-23-153-1-2,,,,,,
team,201812220oti,oti,Cmp-Att-Yd-TD-INT,17-25-211-1-0,,,,,,
team,201812220oti,was,Sacked-Yards,2-22,,,,,,
team,201812220oti,oti,Sacked-Yards,3-19,,,,,,
team,201812220oti,was,Net Pass Yards,131,,,,,,
team,201812220oti,oti,Net Pass Yards,192,,,,,,
team,201812220oti,was,Total Yards,292,,,,,,
team,201812220oti,oti,Total Yards,291,,,,,,
team,201812220oti,was,Fumbles-Lost,0-0,,,,,,
team,201812220oti,oti,Fumbles-Lost,0-0,,,,,,
team,201812220oti,was,Turnovers,2,,,,,,
team,201812220oti,oti,Turnovers,0,,,,,,
team,201812220oti,was,Penalties-Yards,8-49,,,,,,
team,201812220oti,oti,Penalties-Yards,2-10,,,,,,
team,201812220oti,was,Third Down Conv.,8-14,,,,,,
team,201812220oti,oti,Third Down Conv.,5-11,,,,,,
team,201812220oti,was,Fourth Down Conv.,0-0,,,,,,
team,201812220oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201812220oti,was,Time of Possession,33:03,,,,,,
team,201812220oti,oti,Time of Possession,26:57,,,,,,
player,201812220oti,was,JohnJo05,pass_cmp,13,,,,,
player,201812220oti,was,JohnJo05,pass_att,23,,,,,
player,201812220oti,was,JohnJo05,pass_yds,153,,,,,
player,201812220oti,was,JohnJo05,pass_td,1,,,,,
player,201812220oti,was,JohnJo05,pass_int,2,,,,,
player,201812220oti,was,JohnJo05,pass_sacked,2,,,,,
player,201812220oti,was,JohnJo05,pass_sacked_yds,22,,,,,
player,201812220oti,was,JohnJo05,pass_long,30,,,,,
player,201812220oti,was,JohnJo05,pass_rating,55.2,,,,,
