game,2018,17,20181230,201812300rav,cle,"Cleveland Browns",24,rav,"Baltimore Ravens",26
player,201812300rav,cle,PerrBr02,fumbles_lost,0,,,,,
player,201812300rav,cle,LandJa00,pass_cmp,0,,,,,
player,201812300rav,cle,LandJa00,pass_att,0,,,,,
player,201812300rav,cle,LandJa00,pass_yds,0,,,,,
player,201812300rav,cle,LandJa00,pass_td,0,,,,,
player,201812300rav,cle,LandJa00,pass_int,0,,,,,
player,201812300rav,cle,LandJa00,pass_sacked,0,,,,,
player,201812300rav,cle,LandJa00,pass_sacked_yds,0,,,,,
player,201812300rav,cle,LandJa00,pass_long,0,,,,,
player,201812300rav,cle,LandJa00,pass_rating,,,,,,
player,201812300rav,cle,LandJa00,rush_att,0,,,,,
player,201812300rav,cle,LandJa00,rush_yds,0,,,,,
player,201812300rav,cle,LandJa00,rush_td,0,,,,,
player,201812300rav,cle,LandJa00,rush_long,0,,,,,
player,201812300rav,cle,LandJa00,targets,9,,,,,
player,201812300rav,cle,LandJa00,rec,5,,,,,
player,201812300rav,cle,LandJa00,rec_yds,102,,,,,
player,201812300rav,cle,LandJa00,rec_td,1,,,,,
player,201812300rav,cle,LandJa00,rec_long,48,,,,,
player,201812300rav,cle,LandJa00,fumbles,0,,,,,
player,201812300rav,cle,LandJa00,fumbles_lost,0,,,,,
player,201812300rav,cle,HiggRa00,pass_cmp,0,,,,,
player,201812300rav,cle,HiggRa00,pass_att,0,,,,,
player,201812300rav,cle,HiggRa00,pass_yds,0,,,,,
player,201812300rav,cle,HiggRa00,pass_td,0,,,,,
player,201812300rav,cle,HiggRa00,pass_int,0,,,,,
player,201812300rav,cle,HiggRa00,pass_sacked,0,,,,,
player,201812300rav,cle,HiggRa00,pass_sacked_yds,0,,,,,
player,201812300rav,cle,HiggRa00,pass_long,0,,,,,
player,201812300rav,cle,HiggRa00,pass_rating,,,,,,
player,201812300rav,cle,HiggRa00,rush_att,0,,,,,
player,201812300rav,cle,HiggRa00,rush_yds,0,,,,,
player,201812300rav,cle,HiggRa00,rush_td,0,,,,,
player,201812300rav,cle,HiggRa00,rush_long,0,,,,,
player,201812300rav,cle,HiggRa00,targets,6,,,,,
player,201812300rav,cle,HiggRa00,rec,4,,,,,
player,201812300rav,cle,HiggRa00,rec_yds,86,,,,,
player,201812300rav,cle,HiggRa00,rec_td,0,,,,,
player,201812300rav,cle,HiggRa00,rec_long,40,,,,,
player,201812300rav,cle,HiggRa00,fumbles,0,,,,,
player,201812300rav,cle,HiggRa00,fumbles_lost,0,,,,,
player,201812300rav,cle,CallAn00,pass_cmp,0,,,,,
player,201812300rav,cle,CallAn00,pass_att,0,,,,,
player,201812300rav,cle,CallAn00,pass_yds,0,,,,,
player,201812300rav,cle,CallAn00,pass_td,0,,,,,
player,201812300rav,cle,CallAn00,pass_int,0,,,,,
player,201812300rav,cle,CallAn00,pass_sacked,0,,,,,
player,201812300rav,cle,CallAn00,pass_sacked_yds,0,,,,,
player,201812300rav,cle,CallAn00,pass_long,0,,,,,
player,201812300rav,cle,CallAn00,pass_rating,,,,,,
player,201812300rav,cle,CallAn00,rush_att,0,,,,,
player,201812300rav,cle,CallAn00,rush_yds,0,,,,,
player,201812300rav,cle,CallAn00,rush_td,0,,,,,
player,201812300rav,cle,CallAn00,rush_long,0,,,,,
player,201812300rav,cle,CallAn00,targets,7,,,,,
player,201812300rav,cle,CallAn00,rec,4,,,,,
