game,2018,11,20181119,201811190ram,kan,"Kansas City Chiefs",51,ram,"Los Angeles Rams",54
player,201811190ram,kan,WatkSa00,rec_td,0,,,,,
player,201811190ram,kan,WatkSa00,rec_long,4,,,,,
player,201811190ram,kan,WatkSa00,fumbles,0,,,,,
player,201811190ram,kan,WatkSa00,fumbles_lost,0,,,,,
player,201811190ram,kan,HarrDe03,pass_cmp,0,,,,,
player,201811190ram,kan,HarrDe03,pass_att,0,,,,,
player,201811190ram,kan,HarrDe03,pass_yds,0,,,,,
player,201811190ram,kan,HarrDe03,pass_td,0,,,,,
player,201811190ram,kan,HarrDe03,pass_int,0,,,,,
player,201811190ram,kan,HarrDe03,pass_sacked,0,,,,,
player,201811190ram,kan,HarrDe03,pass_sacked_yds,0,,,,,
player,201811190ram,kan,HarrDe03,pass_long,0,,,,,
player,201811190ram,kan,HarrDe03,pass_rating,,,,,,
player,201811190ram,kan,HarrDe03,rush_att,0,,,,,
player,201811190ram,kan,HarrDe03,rush_yds,0,,,,,
player,201811190ram,kan,HarrDe03,rush_td,0,,,,,
player,201811190ram,kan,HarrDe03,rush_long,0,,,,,
player,201811190ram,kan,HarrDe03,targets,2,,,,,
player,201811190ram,kan,HarrDe03,rec,1,,,,,
player,201811190ram,kan,HarrDe03,rec_yds,3,,,,,
player,201811190ram,kan,HarrDe03,rec_td,0,,,,,
player,201811190ram,kan,HarrDe03,rec_long,3,,,,,
player,201811190ram,kan,HarrDe03,fumbles,0,,,,,
player,201811190ram,kan,HarrDe03,fumbles_lost,0,,,,,
player,201811190ram,ram,GoffJa00,pass_cmp,31,,,,,
player,201811190ram,ram,GoffJa00,pass_att,49,,,,,
player,201811190ram,ram,GoffJa00,pass_yds,413,,,,,
player,201811190ram,ram,GoffJa00,pass_td,4,,,,,
player,201811190ram,ram,GoffJa00,pass_int,0,,,,,
player,201811190ram,ram,GoffJa00,pass_sacked,5,,,,,
player,201811190ram,ram,GoffJa00,pass_sacked_yds,34,,,,,
player,201811190ram,ram,GoffJa00,pass_long,40,,,,,
player,201811190ram,ram,GoffJa00,pass_rating,117.1,,,,,
player,201811190ram,ram,GoffJa00,rush_att,4,,,,,
player,201811190ram,ram,GoffJa00,rush_yds,6,,,,,
player,201811190ram,ram,GoffJa00,rush_td,1,,,,,
player,201811190ram,ram,GoffJa00,rush_long,7,,,,,
player,201811190ram,ram,GoffJa00,targets,0,,,,,
player,201811190ram,ram,GoffJa00,rec,0,,,,,
player,201811190ram,ram,GoffJa00,rec_yds,0,,,,,
player,201811190ram,ram,GoffJa00,rec_td,0,,,,,
player,201811190ram,ram,GoffJa00,rec_long,0,,,,,
player,201811190ram,ram,GoffJa00,fumbles,2,,,,,
player,201811190ram,ram,GoffJa00,fumbles_lost,2,,,,,
player,201811190ram,ram,GurlTo01,pass_cmp,0,,,,,
player,201811190ram,ram,GurlTo01,pass_att,0,,,,,
player,201811190ram,ram,GurlTo01,pass_yds,0,,,,,
player,201811190ram,ram,GurlTo01,pass_td,0,,,,,
player,201811190ram,ram,GurlTo01,pass_int,0,,,,,
player,201811190ram,ram,GurlTo01,pass_sacked,0,,,,,
player,201811190ram,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201811190ram,ram,GurlTo01,pass_long,0,,,,,
player,201811190ram,ram,GurlTo01,pass_rating,,,,,,
player,201811190ram,ram,GurlTo01,rush_att,12,,,,,
player,201811190ram,ram,GurlTo01,rush_yds,55,,,,,
player,201811190ram,ram,GurlTo01,rush_td,0,,,,,
player,201811190ram,ram,GurlTo01,rush_long,24,,,,,
player,201811190ram,ram,GurlTo01,targets,3,,,,,
player,201811190ram,ram,GurlTo01,rec,3,,,,,
player,201811190ram,ram,GurlTo01,rec_yds,39,,,,,
player,201811190ram,ram,GurlTo01,rec_td,0,,,,,
player,201811190ram,ram,GurlTo01,rec_long,19,,,,,
player,201811190ram,ram,GurlTo01,fumbles,0,,,,,
player,201811190ram,ram,GurlTo01,fumbles_lost,0,,,,,
player,201811190ram,ram,BrowMa03,pass_cmp,0,,,,,
player,201811190ram,ram,BrowMa03,pass_att,0,,,,,
player,201811190ram,ram,BrowMa03,pass_yds,0,,,,,
player,201811190ram,ram,BrowMa03,pass_td,0,,,,,
player,201811190ram,ram,BrowMa03,pass_int,0,,,,,
