game,2018,4,20181001,201810010den,kan,"Kansas City Chiefs",27,den,"Denver Broncos",23
team,201810010den,kan,First Downs,22,,,,,,
team,201810010den,den,First Downs,21,,,,,,
team,201810010den,kan,Rush-Yds-TDs,26-142-2,,,,,,
team,201810010den,den,Rush-Yds-TDs,22-159-2,,,,,,
team,201810010den,kan,Cmp-Att-Yd-TD-INT,28-45-304-1-0,,,,,,
team,201810010den,den,Cmp-Att-Yd-TD-INT,21-33-245-0-1,,,,,,
team,201810010den,kan,Sacked-Yards,1-0,,,,,,
team,201810010den,den,Sacked-Yards,4-19,,,,,,
team,201810010den,kan,Net Pass Yards,304,,,,,,
team,201810010den,den,Net Pass Yards,226,,,,,,
team,201810010den,kan,Total Yards,446,,,,,,
team,201810010den,den,Total Yards,385,,,,,,
team,201810010den,kan,Fumbles-Lost,1-0,,,,,,
team,201810010den,den,Fumbles-Lost,0-0,,,,,,
team,201810010den,kan,Turnovers,0,,,,,,
team,201810010den,den,Turnovers,1,,,,,,
team,201810010den,kan,Penalties-Yards,10-93,,,,,,
team,201810010den,den,Penalties-Yards,3-25,,,,,,
team,201810010den,kan,Third Down Conv.,7-15,,,,,,
team,201810010den,den,Third Down Conv.,2-11,,,,,,
team,201810010den,kan,Fourth Down Conv.,2-2,,,,,,
team,201810010den,den,Fourth Down Conv.,2-3,,,,,,
team,201810010den,kan,Time of Possession,35:02,,,,,,
team,201810010den,den,Time of Possession,24:58,,,,,,
player,201810010den,kan,MahoPa00,pass_cmp,28,,,,,
player,201810010den,kan,MahoPa00,pass_att,45,,,,,
player,201810010den,kan,MahoPa00,pass_yds,304,,,,,
player,201810010den,kan,MahoPa00,pass_td,1,,,,,
player,201810010den,kan,MahoPa00,pass_int,0,,,,,
player,201810010den,kan,MahoPa00,pass_sacked,1,,,,,
player,201810010den,kan,MahoPa00,pass_sacked_yds,0,,,,,
player,201810010den,kan,MahoPa00,pass_long,35,,,,,
player,201810010den,kan,MahoPa00,pass_rating,89.5,,,,,
player,201810010den,kan,MahoPa00,rush_att,3,,,,,
player,201810010den,kan,MahoPa00,rush_yds,7,,,,,
player,201810010den,kan,MahoPa00,rush_td,1,,,,,
player,201810010den,kan,MahoPa00,rush_long,8,,,,,
player,201810010den,kan,MahoPa00,targets,0,,,,,
player,201810010den,kan,MahoPa00,rec,0,,,,,
player,201810010den,kan,MahoPa00,rec_yds,0,,,,,
player,201810010den,kan,MahoPa00,rec_td,0,,,,,
player,201810010den,kan,MahoPa00,rec_long,0,,,,,
player,201810010den,kan,MahoPa00,fumbles,1,,,,,
player,201810010den,kan,MahoPa00,fumbles_lost,0,,,,,
player,201810010den,kan,HuntKa00,pass_cmp,0,,,,,
player,201810010den,kan,HuntKa00,pass_att,0,,,,,
player,201810010den,kan,HuntKa00,pass_yds,0,,,,,
player,201810010den,kan,HuntKa00,pass_td,0,,,,,
player,201810010den,kan,HuntKa00,pass_int,0,,,,,
player,201810010den,kan,HuntKa00,pass_sacked,0,,,,,
player,201810010den,kan,HuntKa00,pass_sacked_yds,0,,,,,
player,201810010den,kan,HuntKa00,pass_long,0,,,,,
player,201810010den,kan,HuntKa00,pass_rating,,,,,,
player,201810010den,kan,HuntKa00,rush_att,19,,,,,
player,201810010den,kan,HuntKa00,rush_yds,121,,,,,
player,201810010den,kan,HuntKa00,rush_td,1,,,,,
player,201810010den,kan,HuntKa00,rush_long,45,,,,,
player,201810010den,kan,HuntKa00,targets,4,,,,,
player,201810010den,kan,HuntKa00,rec,3,,,,,
player,201810010den,kan,HuntKa00,rec_yds,54,,,,,
player,201810010den,kan,HuntKa00,rec_td,0,,,,,
player,201810010den,kan,HuntKa00,rec_long,27,,,,,
player,201810010den,kan,HuntKa00,fumbles,0,,,,,
player,201810010den,kan,HuntKa00,fumbles_lost,0,,,,,
player,201810010den,kan,ThomDe05,pass_cmp,0,,,,,
player,201810010den,kan,ThomDe05,pass_att,0,,,,,
player,201810010den,kan,ThomDe05,pass_yds,0,,,,,
player,201810010den,kan,ThomDe05,pass_td,0,,,,,
player,201810010den,kan,ThomDe05,pass_int,0,,,,,
player,201810010den,kan,ThomDe05,pass_sacked,0,,,,,
player,201810010den,kan,ThomDe05,pass_sacked_yds,0,,,,,
player,201810010den,kan,ThomDe05,pass_long,0,,,,,
player,201810010den,kan,ThomDe05,pass_rating,,,,,,
player,201810010den,kan,ThomDe05,rush_att,1,,,,,
player,201810010den,kan,ThomDe05,rush_yds,6,,,,,
player,201810010den,kan,ThomDe05,rush_td,0,,,,,
player,201810010den,kan,ThomDe05,rush_long,6,,,,,
player,201810010den,kan,ThomDe05,targets,2,,,,,
player,201810010den,kan,ThomDe05,rec,1,,,,,
player,201810010den,kan,ThomDe05,rec_yds,15,,,,,
player,201810010den,kan,ThomDe05,rec_td,0,,,,,
player,201810010den,kan,ThomDe05,rec_long,15,,,,,
player,201810010den,kan,ThomDe05,fumbles,0,,,,,
player,201810010den,kan,ThomDe05,fumbles_lost,0,,,,,
player,201810010den,kan,WareSp00,pass_cmp,0,,,,,
player,201810010den,kan,WareSp00,pass_att,0,,,,,
player,201810010den,kan,WareSp00,pass_yds,0,,,,,
player,201810010den,kan,WareSp00,pass_td,0,,,,,
player,201810010den,kan,WareSp00,pass_int,0,,,,,
player,201810010den,kan,WareSp00,pass_sacked,0,,,,,
player,201810010den,kan,WareSp00,pass_sacked_yds,0,,,,,
player,201810010den,kan,WareSp00,pass_long,0,,,,,
player,201810010den,kan,WareSp00,pass_rating,,,,,,
player,201810010den,kan,WareSp00,rush_att,2,,,,,
player,201810010den,kan,WareSp00,rush_yds,6,,,,,
player,201810010den,kan,WareSp00,rush_td,0,,,,,
player,201810010den,kan,WareSp00,rush_long,4,,,,,
player,201810010den,kan,WareSp00,targets,0,,,,,
player,201810010den,kan,WareSp00,rec,0,,,,,
player,201810010den,kan,WareSp00,rec_yds,0,,,,,
player,201810010den,kan,WareSp00,rec_td,0,,,,,
player,201810010den,kan,WareSp00,rec_long,0,,,,,
player,201810010den,kan,WareSp00,fumbles,0,,,,,
player,201810010den,kan,WareSp00,fumbles_lost,0,,,,,
