game,2018,4,20180930,201809300chi,tam,"Tampa Bay Buccaneers",10,chi,"Chicago Bears",48
team,201809300chi,tam,First Downs,16,,,,,,
team,201809300chi,chi,First Downs,28,,,,,,
team,201809300chi,tam,Rush-Yds-TDs,18-60-0,,,,,,
team,201809300chi,chi,Rush-Yds-TDs,31-139-0,,,,,,
team,201809300chi,tam,Cmp-Att-Yd-TD-INT,25-38-271-1-3,,,,,,
team,201809300chi,chi,Cmp-Att-Yd-TD-INT,19-26-354-6-0,,,,,,
team,201809300chi,tam,Sacked-Yards,4-20,,,,,,
team,201809300chi,chi,Sacked-Yards,1-10,,,,,,
team,201809300chi,tam,Net Pass Yards,251,,,,,,
team,201809300chi,chi,Net Pass Yards,344,,,,,,
team,201809300chi,tam,Total Yards,311,,,,,,
team,201809300chi,chi,Total Yards,483,,,,,,
team,201809300chi,tam,Fumbles-Lost,1-0,,,,,,
team,201809300chi,chi,Fumbles-Lost,0-0,,,,,,
team,201809300chi,tam,Turnovers,3,,,,,,
team,201809300chi,chi,Turnovers,0,,,,,,
team,201809300chi,tam,Penalties-Yards,11-99,,,,,,
team,201809300chi,chi,Penalties-Yards,4-38,,,,,,
team,201809300chi,tam,Third Down Conv.,3-12,,,,,,
team,201809300chi,chi,Third Down Conv.,4-8,,,,,,
team,201809300chi,tam,Fourth Down Conv.,2-2,,,,,,
team,201809300chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201809300chi,tam,Time of Possession,31:54,,,,,,
team,201809300chi,chi,Time of Possession,28:06,,,,,,
player,201809300chi,tam,WinsJa00,pass_cmp,16,,,,,
player,201809300chi,tam,WinsJa00,pass_att,20,,,,,
player,201809300chi,tam,WinsJa00,pass_yds,145,,,,,
player,201809300chi,tam,WinsJa00,pass_td,1,,,,,
player,201809300chi,tam,WinsJa00,pass_int,2,,,,,
player,201809300chi,tam,WinsJa00,pass_sacked,2,,,,,
player,201809300chi,tam,WinsJa00,pass_sacked_yds,11,,,,,
player,201809300chi,tam,WinsJa00,pass_long,17,,,,,
player,201809300chi,tam,WinsJa00,pass_rating,74.0,,,,,
player,201809300chi,tam,WinsJa00,rush_att,1,,,,,
player,201809300chi,tam,WinsJa00,rush_yds,7,,,,,
player,201809300chi,tam,WinsJa00,rush_td,0,,,,,
player,201809300chi,tam,WinsJa00,rush_long,7,,,,,
player,201809300chi,tam,WinsJa00,targets,0,,,,,
player,201809300chi,tam,WinsJa00,rec,0,,,,,
player,201809300chi,tam,WinsJa00,rec_yds,0,,,,,
player,201809300chi,tam,WinsJa00,rec_td,0,,,,,
player,201809300chi,tam,WinsJa00,rec_long,0,,,,,
player,201809300chi,tam,WinsJa00,fumbles,0,,,,,
player,201809300chi,tam,WinsJa00,fumbles_lost,0,,,,,
player,201809300chi,tam,FitzRy00,pass_cmp,9,,,,,
player,201809300chi,tam,FitzRy00,pass_att,18,,,,,
player,201809300chi,tam,FitzRy00,pass_yds,126,,,,,
player,201809300chi,tam,FitzRy00,pass_td,0,,,,,
player,201809300chi,tam,FitzRy00,pass_int,1,,,,,
player,201809300chi,tam,FitzRy00,pass_sacked,2,,,,,
player,201809300chi,tam,FitzRy00,pass_sacked_yds,9,,,,,
player,201809300chi,tam,FitzRy00,pass_long,48,,,,,
player,201809300chi,tam,FitzRy00,pass_rating,49.8,,,,,
player,201809300chi,tam,FitzRy00,rush_att,0,,,,,
player,201809300chi,tam,FitzRy00,rush_yds,0,,,,,
player,201809300chi,tam,FitzRy00,rush_td,0,,,,,
player,201809300chi,tam,FitzRy00,rush_long,0,,,,,
player,201809300chi,tam,FitzRy00,targets,0,,,,,
player,201809300chi,tam,FitzRy00,rec,0,,,,,
player,201809300chi,tam,FitzRy00,rec_yds,0,,,,,
player,201809300chi,tam,FitzRy00,rec_td,0,,,,,
player,201809300chi,tam,FitzRy00,rec_long,0,,,,,
player,201809300chi,tam,FitzRy00,fumbles,1,,,,,
player,201809300chi,tam,FitzRy00,fumbles_lost,0,,,,,
player,201809300chi,tam,JoneRo01,pass_cmp,0,,,,,
player,201809300chi,tam,JoneRo01,pass_att,0,,,,,
player,201809300chi,tam,JoneRo01,pass_yds,0,,,,,
player,201809300chi,tam,JoneRo01,pass_td,0,,,,,
player,201809300chi,tam,JoneRo01,pass_int,0,,,,,
player,201809300chi,tam,JoneRo01,pass_sacked,0,,,,,
player,201809300chi,tam,JoneRo01,pass_sacked_yds,0,,,,,
player,201809300chi,tam,JoneRo01,pass_long,0,,,,,
player,201809300chi,tam,JoneRo01,pass_rating,,,,,,
player,201809300chi,tam,JoneRo01,rush_att,10,,,,,
player,201809300chi,tam,JoneRo01,rush_yds,29,,,,,
player,201809300chi,tam,JoneRo01,rush_td,0,,,,,
player,201809300chi,tam,JoneRo01,rush_long,7,,,,,
player,201809300chi,tam,JoneRo01,targets,2,,,,,
player,201809300chi,tam,JoneRo01,rec,1,,,,,
player,201809300chi,tam,JoneRo01,rec_yds,-1,,,,,
player,201809300chi,tam,JoneRo01,rec_td,0,,,,,
player,201809300chi,tam,JoneRo01,rec_long,-1,,,,,
player,201809300chi,tam,JoneRo01,fumbles,0,,,,,
player,201809300chi,tam,JoneRo01,fumbles_lost,0,,,,,
player,201809300chi,tam,BarbPe01,pass_cmp,0,,,,,
player,201809300chi,tam,BarbPe01,pass_att,0,,,,,
player,201809300chi,tam,BarbPe01,pass_yds,0,,,,,
player,201809300chi,tam,BarbPe01,pass_td,0,,,,,
player,201809300chi,tam,BarbPe01,pass_int,0,,,,,
player,201809300chi,tam,BarbPe01,pass_sacked,0,,,,,
player,201809300chi,tam,BarbPe01,pass_sacked_yds,0,,,,,
player,201809300chi,tam,BarbPe01,pass_long,0,,,,,
player,201809300chi,tam,BarbPe01,pass_rating,,,,,,
player,201809300chi,tam,BarbPe01,rush_att,7,,,,,
player,201809300chi,tam,BarbPe01,rush_yds,24,,,,,
player,201809300chi,tam,BarbPe01,rush_td,0,,,,,
player,201809300chi,tam,BarbPe01,rush_long,12,,,,,
player,201809300chi,tam,BarbPe01,targets,2,,,,,
player,201809300chi,tam,BarbPe01,rec,1,,,,,
player,201809300chi,tam,BarbPe01,rec_yds,6,,,,,
player,201809300chi,tam,BarbPe01,rec_td,0,,,,,
player,201809300chi,tam,BarbPe01,rec_long,6,,,,,
player,201809300chi,tam,BarbPe01,fumbles,0,,,,,
player,201809300chi,tam,BarbPe01,fumbles_lost,0,,,,,
player,201809300chi,tam,JackDe00,pass_cmp,0,,,,,
player,201809300chi,tam,JackDe00,pass_att,0,,,,,
player,201809300chi,tam,JackDe00,pass_yds,0,,,,,
player,201809300chi,tam,JackDe00,pass_td,0,,,,,
player,201809300chi,tam,JackDe00,pass_int,0,,,,,
player,201809300chi,tam,JackDe00,pass_sacked,0,,,,,
player,201809300chi,tam,JackDe00,pass_sacked_yds,0,,,,,
player,201809300chi,tam,JackDe00,pass_long,0,,,,,
player,201809300chi,tam,JackDe00,pass_rating,,,,,,
player,201809300chi,tam,JackDe00,rush_att,0,,,,,
player,201809300chi,tam,JackDe00,rush_yds,0,,,,,
player,201809300chi,tam,JackDe00,rush_td,0,,,,,
player,201809300chi,tam,JackDe00,rush_long,0,,,,,
player,201809300chi,tam,JackDe00,targets,8,,,,,
player,201809300chi,tam,JackDe00,rec,5,,,,,
player,201809300chi,tam,JackDe00,rec_yds,112,,,,,
player,201809300chi,tam,JackDe00,rec_td,0,,,,,
player,201809300chi,tam,JackDe00,rec_long,48,,,,,
player,201809300chi,tam,JackDe00,fumbles,0,,,,,
player,201809300chi,tam,JackDe00,fumbles_lost,0,,,,,
player,201809300chi,tam,EvanMi00,pass_cmp,0,,,,,
player,201809300chi,tam,EvanMi00,pass_att,0,,,,,
player,201809300chi,tam,EvanMi00,pass_yds,0,,,,,
player,201809300chi,tam,EvanMi00,pass_td,0,,,,,
player,201809300chi,tam,EvanMi00,pass_int,0,,,,,
player,201809300chi,tam,EvanMi00,pass_sacked,0,,,,,
player,201809300chi,tam,EvanMi00,pass_sacked_yds,0,,,,,
player,201809300chi,tam,EvanMi00,pass_long,0,,,,,
player,201809300chi,tam,EvanMi00,pass_rating,,,,,,
player,201809300chi,tam,EvanMi00,rush_att,0,,,,,
player,201809300chi,tam,EvanMi00,rush_yds,0,,,,,
player,201809300chi,tam,EvanMi00,rush_td,0,,,,,
player,201809300chi,tam,EvanMi00,rush_long,0,,,,,
player,201809300chi,tam,EvanMi00,targets,9,,,,,
player,201809300chi,tam,EvanMi00,rec,6,,,,,
player,201809300chi,tam,EvanMi00,rec_yds,59,,,,,
player,201809300chi,tam,EvanMi00,rec_td,0,,,,,
player,201809300chi,tam,EvanMi00,rec_long,17,,,,,
player,201809300chi,tam,EvanMi00,fumbles,0,,,,,
player,201809300chi,tam,EvanMi00,fumbles_lost,0,,,,,
player,201809300chi,tam,HumpAd00,pass_cmp,0,,,,,
player,201809300chi,tam,HumpAd00,pass_att,0,,,,,
player,201809300chi,tam,HumpAd00,pass_yds,0,,,,,
player,201809300chi,tam,HumpAd00,pass_td,0,,,,,
