game,2018,14,20181209,201812090mia,nwe,"New England Patriots",33,mia,"Miami Dolphins",34
team,201812090mia,nwe,First Downs,28,,,,,,
team,201812090mia,mia,First Downs,20,,,,,,
team,201812090mia,nwe,Rush-Yds-TDs,30-77-1,,,,,,
team,201812090mia,mia,Rush-Yds-TDs,21-189-2,,,,,,
team,201812090mia,nwe,Cmp-Att-Yd-TD-INT,27-43-358-3-0,,,,,,
team,201812090mia,mia,Cmp-Att-Yd-TD-INT,14-19-265-3-0,,,,,,
team,201812090mia,nwe,Sacked-Yards,2-14,,,,,,
team,201812090mia,mia,Sacked-Yards,5-42,,,,,,
team,201812090mia,nwe,Net Pass Yards,344,,,,,,
team,201812090mia,mia,Net Pass Yards,223,,,,,,
team,201812090mia,nwe,Total Yards,421,,,,,,
team,201812090mia,mia,Total Yards,412,,,,,,
team,201812090mia,nwe,Fumbles-Lost,0-0,,,,,,
team,201812090mia,mia,Fumbles-Lost,2-0,,,,,,
team,201812090mia,nwe,Turnovers,0,,,,,,
team,201812090mia,mia,Turnovers,0,,,,,,
team,201812090mia,nwe,Penalties-Yards,5-30,,,,,,
team,201812090mia,mia,Penalties-Yards,7-81,,,,,,
team,201812090mia,nwe,Third Down Conv.,9-16,,,,,,
team,201812090mia,mia,Third Down Conv.,1-7,,,,,,
team,201812090mia,nwe,Fourth Down Conv.,0-0,,,,,,
team,201812090mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201812090mia,nwe,Time of Possession,35:14,,,,,,
team,201812090mia,mia,Time of Possession,24:46,,,,,,
player,201812090mia,nwe,BradTo00,pass_cmp,27,,,,,
player,201812090mia,nwe,BradTo00,pass_att,43,,,,,
player,201812090mia,nwe,BradTo00,pass_yds,358,,,,,
player,201812090mia,nwe,BradTo00,pass_td,3,,,,,
player,201812090mia,nwe,BradTo00,pass_int,0,,,,,
player,201812090mia,nwe,BradTo00,pass_sacked,2,,,,,
player,201812090mia,nwe,BradTo00,pass_sacked_yds,14,,,,,
player,201812090mia,nwe,BradTo00,pass_long,37,,,,,
player,201812090mia,nwe,BradTo00,pass_rating,112.4,,,,,
player,201812090mia,nwe,BradTo00,rush_att,1,,,,,
player,201812090mia,nwe,BradTo00,rush_yds,3,,,,,
player,201812090mia,nwe,BradTo00,rush_td,0,,,,,
player,201812090mia,nwe,BradTo00,rush_long,3,,,,,
player,201812090mia,nwe,BradTo00,targets,0,,,,,
player,201812090mia,nwe,BradTo00,rec,0,,,,,
player,201812090mia,nwe,BradTo00,rec_yds,0,,,,,
player,201812090mia,nwe,BradTo00,rec_td,0,,,,,
player,201812090mia,nwe,BradTo00,rec_long,0,,,,,
player,201812090mia,nwe,BradTo00,fumbles,0,,,,,
player,201812090mia,nwe,BradTo00,fumbles_lost,0,,,,,
player,201812090mia,nwe,MichSo00,pass_cmp,0,,,,,
player,201812090mia,nwe,MichSo00,pass_att,0,,,,,
player,201812090mia,nwe,MichSo00,pass_yds,0,,,,,
player,201812090mia,nwe,MichSo00,pass_td,0,,,,,
player,201812090mia,nwe,MichSo00,pass_int,0,,,,,
player,201812090mia,nwe,MichSo00,pass_sacked,0,,,,,
player,201812090mia,nwe,MichSo00,pass_sacked_yds,0,,,,,
player,201812090mia,nwe,MichSo00,pass_long,0,,,,,
player,201812090mia,nwe,MichSo00,pass_rating,,,,,,
