game,2018,15,20181216,201812160nyg,oti,"Tennessee Titans",17,nyg,"New York Giants",0
team,201812160nyg,oti,First Downs,22,,,,,,
team,201812160nyg,nyg,First Downs,15,,,,,,
team,201812160nyg,oti,Rush-Yds-TDs,45-215-2,,,,,,
team,201812160nyg,nyg,Rush-Yds-TDs,16-47-0,,,,,,
team,201812160nyg,oti,Cmp-Att-Yd-TD-INT,13-21-94-0-0,,,,,,
team,201812160nyg,nyg,Cmp-Att-Yd-TD-INT,21-44-229-0-1,,,,,,
team,201812160nyg,oti,Sacked-Yards,1-8,,,,,,
team,201812160nyg,nyg,Sacked-Yards,3-16,,,,,,
team,201812160nyg,oti,Net Pass Yards,86,,,,,,
team,201812160nyg,nyg,Net Pass Yards,213,,,,,,
team,201812160nyg,oti,Total Yards,301,,,,,,
team,201812160nyg,nyg,Total Yards,260,,,,,,
team,201812160nyg,oti,Fumbles-Lost,0-0,,,,,,
team,201812160nyg,nyg,Fumbles-Lost,1-1,,,,,,
team,201812160nyg,oti,Turnovers,0,,,,,,
team,201812160nyg,nyg,Turnovers,2,,,,,,
team,201812160nyg,oti,Penalties-Yards,4-35,,,,,,
team,201812160nyg,nyg,Penalties-Yards,10-58,,,,,,
team,201812160nyg,oti,Third Down Conv.,5-14,,,,,,
team,201812160nyg,nyg,Third Down Conv.,3-16,,,,,,
team,201812160nyg,oti,Fourth Down Conv.,1-1,,,,,,
team,201812160nyg,nyg,Fourth Down Conv.,2-3,,,,,,
team,201812160nyg,oti,Time of Possession,35:21,,,,,,
team,201812160nyg,nyg,Time of Possession,24:39,,,,,,
player,201812160nyg,oti,MariMa01,pass_cmp,12,,,,,
player,201812160nyg,oti,MariMa01,pass_att,20,,,,,
player,201812160nyg,oti,MariMa01,pass_yds,88,,,,,
player,201812160nyg,oti,MariMa01,pass_td,0,,,,,
player,201812160nyg,oti,MariMa01,pass_int,0,,,,,
player,201812160nyg,oti,MariMa01,pass_sacked,1,,,,,
player,201812160nyg,oti,MariMa01,pass_sacked_yds,8,,,,,
player,201812160nyg,oti,MariMa01,pass_long,17,,,,,
player,201812160nyg,oti,MariMa01,pass_rating,70.4,,,,,
player,201812160nyg,oti,MariMa01,rush_att,2,,,,,
player,201812160nyg,oti,MariMa01,rush_yds,11,,,,,
player,201812160nyg,oti,MariMa01,rush_td,0,,,,,
player,201812160nyg,oti,MariMa01,rush_long,11,,,,,
player,201812160nyg,oti,MariMa01,targets,0,,,,,
player,201812160nyg,oti,MariMa01,rec,0,,,,,
player,201812160nyg,oti,MariMa01,rec_yds,0,,,,,
player,201812160nyg,oti,MariMa01,rec_td,0,,,,,
player,201812160nyg,oti,MariMa01,rec_long,0,,,,,
player,201812160nyg,oti,MariMa01,fumbles,0,,,,,
player,201812160nyg,oti,MariMa01,fumbles_lost,0,,,,,
player,201812160nyg,oti,HenrDe00,pass_cmp,1,,,,,
player,201812160nyg,oti,HenrDe00,pass_att,1,,,,,
player,201812160nyg,oti,HenrDe00,pass_yds,6,,,,,
player,201812160nyg,oti,HenrDe00,pass_td,0,,,,,
player,201812160nyg,oti,HenrDe00,pass_int,0,,,,,
player,201812160nyg,oti,HenrDe00,pass_sacked,0,,,,,
player,201812160nyg,oti,HenrDe00,pass_sacked_yds,0,,,,,
player,201812160nyg,oti,HenrDe00,pass_long,6,,,,,
player,201812160nyg,oti,HenrDe00,pass_rating,91.7,,,,,
player,201812160nyg,oti,HenrDe00,rush_att,33,,,,,
player,201812160nyg,oti,HenrDe00,rush_yds,170,,,,,
player,201812160nyg,oti,HenrDe00,rush_td,2,,,,,
player,201812160nyg,oti,HenrDe00,rush_long,22,,,,,
player,201812160nyg,oti,HenrDe00,targets,1,,,,,
player,201812160nyg,oti,HenrDe00,rec,1,,,,,
player,201812160nyg,oti,HenrDe00,rec_yds,0,,,,,
player,201812160nyg,oti,HenrDe00,rec_td,0,,,,,
player,201812160nyg,oti,HenrDe00,rec_long,0,,,,,
player,201812160nyg,oti,HenrDe00,fumbles,0,,,,,
player,201812160nyg,oti,HenrDe00,fumbles_lost,0,,,,,
player,201812160nyg,oti,LewiDi00,pass_cmp,0,,,,,
player,201812160nyg,oti,LewiDi00,pass_att,0,,,,,
player,201812160nyg,oti,LewiDi00,pass_yds,0,,,,,
player,201812160nyg,oti,LewiDi00,pass_td,0,,,,,
player,201812160nyg,oti,LewiDi00,pass_int,0,,,,,
player,201812160nyg,oti,LewiDi00,pass_sacked,0,,,,,
player,201812160nyg,oti,LewiDi00,pass_sacked_yds,0,,,,,
player,201812160nyg,oti,LewiDi00,pass_long,0,,,,,
player,201812160nyg,oti,LewiDi00,pass_rating,,,,,,
player,201812160nyg,oti,LewiDi00,rush_att,7,,,,,
player,201812160nyg,oti,LewiDi00,rush_yds,35,,,,,
player,201812160nyg,oti,LewiDi00,rush_td,0,,,,,
player,201812160nyg,oti,LewiDi00,rush_long,17,,,,,
player,201812160nyg,oti,LewiDi00,targets,3,,,,,
player,201812160nyg,oti,LewiDi00,rec,3,,,,,
player,201812160nyg,oti,LewiDi00,rec_yds,9,,,,,
player,201812160nyg,oti,LewiDi00,rec_td,0,,,,,
player,201812160nyg,oti,LewiDi00,rec_long,7,,,,,
player,201812160nyg,oti,LewiDi00,fumbles,0,,,,,
player,201812160nyg,oti,LewiDi00,fumbles_lost,0,,,,,
player,201812160nyg,oti,DaviCo03,pass_cmp,0,,,,,
player,201812160nyg,oti,DaviCo03,pass_att,0,,,,,
player,201812160nyg,oti,DaviCo03,pass_yds,0,,,,,
player,201812160nyg,oti,DaviCo03,pass_td,0,,,,,
player,201812160nyg,oti,DaviCo03,pass_int,0,,,,,
player,201812160nyg,oti,DaviCo03,pass_sacked,0,,,,,
player,201812160nyg,oti,DaviCo03,pass_sacked_yds,0,,,,,
player,201812160nyg,oti,DaviCo03,pass_long,0,,,,,
player,201812160nyg,oti,DaviCo03,pass_rating,,,,,,
player,201812160nyg,oti,DaviCo03,rush_att,0,,,,,
player,201812160nyg,oti,DaviCo03,rush_yds,0,,,,,
player,201812160nyg,oti,DaviCo03,rush_td,0,,,,,
player,201812160nyg,oti,DaviCo03,rush_long,0,,,,,
player,201812160nyg,oti,DaviCo03,targets,6,,,,,
player,201812160nyg,oti,DaviCo03,rec,3,,,,,
player,201812160nyg,oti,DaviCo03,rec_yds,33,,,,,
player,201812160nyg,oti,DaviCo03,rec_td,0,,,,,
player,201812160nyg,oti,DaviCo03,rec_long,17,,,,,
player,201812160nyg,oti,DaviCo03,fumbles,0,,,,,
player,201812160nyg,oti,DaviCo03,fumbles_lost,0,,,,,
player,201812160nyg,oti,StocLu00,pass_cmp,0,,,,,
player,201812160nyg,oti,StocLu00,pass_att,0,,,,,
player,201812160nyg,oti,StocLu00,pass_yds,0,,,,,
player,201812160nyg,oti,StocLu00,pass_td,0,,,,,
player,201812160nyg,oti,StocLu00,pass_int,0,,,,,
player,201812160nyg,oti,StocLu00,pass_sacked,0,,,,,
player,201812160nyg,oti,StocLu00,pass_sacked_yds,0,,,,,
player,201812160nyg,oti,StocLu00,pass_long,0,,,,,
player,201812160nyg,oti,StocLu00,pass_rating,,,,,,
player,201812160nyg,oti,StocLu00,rush_att,0,,,,,
player,201812160nyg,oti,StocLu00,rush_yds,0,,,,,
