game,2018,9,20181104,201811040was,atl,"Atlanta Falcons",38,was,"Washington Redskins",14
team,201811040was,atl,First Downs,25,,,,,,
team,201811040was,was,First Downs,20,,,,,,
team,201811040was,atl,Rush-Yds-TDs,24-154-1,,,,,,
team,201811040was,was,Rush-Yds-TDs,15-79-1,,,,,,
team,201811040was,atl,Cmp-Att-Yd-TD-INT,26-38-350-4-1,,,,,,
team,201811040was,was,Cmp-Att-Yd-TD-INT,30-46-306-1-1,,,,,,
team,201811040was,atl,Sacked-Yards,2-13,,,,,,
team,201811040was,was,Sacked-Yards,3-19,,,,,,
team,201811040was,atl,Net Pass Yards,337,,,,,,
team,201811040was,was,Net Pass Yards,287,,,,,,
team,201811040was,atl,Total Yards,491,,,,,,
team,201811040was,was,Total Yards,366,,,,,,
team,201811040was,atl,Fumbles-Lost,0-0,,,,,,
team,201811040was,was,Fumbles-Lost,0-0,,,,,,
team,201811040was,atl,Turnovers,1,,,,,,
team,201811040was,was,Turnovers,1,,,,,,
team,201811040was,atl,Penalties-Yards,7-50,,,,,,
team,201811040was,was,Penalties-Yards,10-147,,,,,,
team,201811040was,atl,Third Down Conv.,10-13,,,,,,
team,201811040was,was,Third Down Conv.,5-13,,,,,,
team,201811040was,atl,Fourth Down Conv.,0-0,,,,,,
team,201811040was,was,Fourth Down Conv.,2-2,,,,,,
team,201811040was,atl,Time of Possession,32:56,,,,,,
team,201811040was,was,Time of Possession,27:04,,,,,,
player,201811040was,atl,RyanMa00,pass_cmp,26,,,,,
player,201811040was,atl,RyanMa00,pass_att,38,,,,,
player,201811040was,atl,RyanMa00,pass_yds,350,,,,,
player,201811040was,atl,RyanMa00,pass_td,4,,,,,
player,201811040was,atl,RyanMa00,pass_int,1,,,,,
player,201811040was,atl,RyanMa00,pass_sacked,2,,,,,
player,201811040was,atl,RyanMa00,pass_sacked_yds,13,,,,,
player,201811040was,atl,RyanMa00,pass_long,40,,,,,
player,201811040was,atl,RyanMa00,pass_rating,121.6,,,,,
player,201811040was,atl,RyanMa00,rush_att,0,,,,,
player,201811040was,atl,RyanMa00,rush_yds,0,,,,,
