game,2018,10,20181112,201811120sfo,nyg,"New York Giants",27,sfo,"San Francisco 49ers",23
team,201811120sfo,nyg,First Downs,17,,,,,,
team,201811120sfo,sfo,First Downs,24,,,,,,
team,201811120sfo,nyg,Rush-Yds-TDs,23-97-0,,,,,,
team,201811120sfo,sfo,Rush-Yds-TDs,29-124-1,,,,,,
team,201811120sfo,nyg,Cmp-Att-Yd-TD-INT,19-31-188-3-0,,,,,,
team,201811120sfo,sfo,Cmp-Att-Yd-TD-INT,27-39-250-1-2,,,,,,
team,201811120sfo,nyg,Sacked-Yards,1-8,,,,,,
team,201811120sfo,sfo,Sacked-Yards,0-0,,,,,,
team,201811120sfo,nyg,Net Pass Yards,180,,,,,,
team,201811120sfo,sfo,Net Pass Yards,250,,,,,,
team,201811120sfo,nyg,Total Yards,277,,,,,,
team,201811120sfo,sfo,Total Yards,374,,,,,,
team,201811120sfo,nyg,Fumbles-Lost,0-0,,,,,,
team,201811120sfo,sfo,Fumbles-Lost,0-0,,,,,,
team,201811120sfo,nyg,Turnovers,0,,,,,,
team,201811120sfo,sfo,Turnovers,2,,,,,,
team,201811120sfo,nyg,Penalties-Yards,8-78,,,,,,
team,201811120sfo,sfo,Penalties-Yards,10-97,,,,,,
team,201811120sfo,nyg,Third Down Conv.,5-12,,,,,,
team,201811120sfo,sfo,Third Down Conv.,8-13,,,,,,
team,201811120sfo,nyg,Fourth Down Conv.,0-0,,,,,,
team,201811120sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201811120sfo,nyg,Time of Possession,25:46,,,,,,
team,201811120sfo,sfo,Time of Possession,34:14,,,,,,
player,201811120sfo,nyg,MannEl00,pass_cmp,19,,,,,
player,201811120sfo,nyg,MannEl00,pass_att,31,,,,,
player,201811120sfo,nyg,MannEl00,pass_yds,188,,,,,
player,201811120sfo,nyg,MannEl00,pass_td,3,,,,,
player,201811120sfo,nyg,MannEl00,pass_int,0,,,,,
player,201811120sfo,nyg,MannEl00,pass_sacked,1,,,,,
player,201811120sfo,nyg,MannEl00,pass_sacked_yds,8,,,,,
player,201811120sfo,nyg,MannEl00,pass_long,31,,,,,
player,201811120sfo,nyg,MannEl00,pass_rating,110.7,,,,,
player,201811120sfo,nyg,MannEl00,rush_att,0,,,,,
player,201811120sfo,nyg,MannEl00,rush_yds,0,,,,,
player,201811120sfo,nyg,MannEl00,rush_td,0,,,,,
player,201811120sfo,nyg,MannEl00,rush_long,0,,,,,
player,201811120sfo,nyg,MannEl00,targets,0,,,,,
player,201811120sfo,nyg,MannEl00,rec,0,,,,,
player,201811120sfo,nyg,MannEl00,rec_yds,0,,,,,
player,201811120sfo,nyg,MannEl00,rec_td,0,,,,,
player,201811120sfo,nyg,MannEl00,rec_long,0,,,,,
player,201811120sfo,nyg,MannEl00,fumbles,0,,,,,
player,201811120sfo,nyg,MannEl00,fumbles_lost,0,,,,,
player,201811120sfo,nyg,BarkSa00,pass_cmp,0,,,,,
player,201811120sfo,nyg,BarkSa00,pass_att,0,,,,,
player,201811120sfo,nyg,BarkSa00,pass_yds,0,,,,,
player,201811120sfo,nyg,BarkSa00,pass_td,0,,,,,
player,201811120sfo,nyg,BarkSa00,pass_int,0,,,,,
player,201811120sfo,nyg,BarkSa00,pass_sacked,0,,,,,
player,201811120sfo,nyg,BarkSa00,pass_sacked_yds,0,,,,,
player,201811120sfo,nyg,BarkSa00,pass_long,0,,,,,
player,201811120sfo,nyg,BarkSa00,pass_rating,,,,,,
player,201811120sfo,nyg,BarkSa00,rush_att,20,,,,,
player,201811120sfo,nyg,BarkSa00,rush_yds,67,,,,,
player,201811120sfo,nyg,BarkSa00,rush_td,0,,,,,
player,201811120sfo,nyg,BarkSa00,rush_long,18,,,,,
player,201811120sfo,nyg,BarkSa00,targets,5,,,,,
player,201811120sfo,nyg,BarkSa00,rec,4,,,,,
player,201811120sfo,nyg,BarkSa00,rec_yds,33,,,,,
player,201811120sfo,nyg,BarkSa00,rec_td,0,,,,,
player,201811120sfo,nyg,BarkSa00,rec_long,23,,,,,
player,201811120sfo,nyg,BarkSa00,fumbles,0,,,,,
player,201811120sfo,nyg,BarkSa00,fumbles_lost,0,,,,,
player,201811120sfo,nyg,ShepSt00,pass_cmp,0,,,,,
player,201811120sfo,nyg,ShepSt00,pass_att,0,,,,,
player,201811120sfo,nyg,ShepSt00,pass_yds,0,,,,,
player,201811120sfo,nyg,ShepSt00,pass_td,0,,,,,
player,201811120sfo,nyg,ShepSt00,pass_int,0,,,,,
player,201811120sfo,nyg,ShepSt00,pass_sacked,0,,,,,
player,201811120sfo,nyg,ShepSt00,pass_sacked_yds,0,,,,,
player,201811120sfo,nyg,ShepSt00,pass_long,0,,,,,
player,201811120sfo,nyg,ShepSt00,pass_rating,,,,,,
player,201811120sfo,nyg,ShepSt00,rush_att,1,,,,,
player,201811120sfo,nyg,ShepSt00,rush_yds,27,,,,,
player,201811120sfo,nyg,ShepSt00,rush_td,0,,,,,
player,201811120sfo,nyg,ShepSt00,rush_long,27,,,,,
player,201811120sfo,nyg,ShepSt00,targets,3,,,,,
player,201811120sfo,nyg,ShepSt00,rec,2,,,,,
player,201811120sfo,nyg,ShepSt00,rec_yds,9,,,,,
player,201811120sfo,nyg,ShepSt00,rec_td,1,,,,,
