game,2018,1,20180909,201809090den,sea,"Seattle Seahawks",24,den,"Denver Broncos",27
team,201809090den,sea,First Downs,13,,,,,,
team,201809090den,den,First Downs,25,,,,,,
team,201809090den,sea,Rush-Yds-TDs,16-64-0,,,,,,
team,201809090den,den,Rush-Yds-TDs,32-146-0,,,,,,
team,201809090den,sea,Cmp-Att-Yd-TD-INT,19-33-298-3-2,,,,,,
team,201809090den,den,Cmp-Att-Yd-TD-INT,25-39-329-3-3,,,,,,
team,201809090den,sea,Sacked-Yards,6-56,,,,,,
team,201809090den,den,Sacked-Yards,1-5,,,,,,
team,201809090den,sea,Net Pass Yards,242,,,,,,
team,201809090den,den,Net Pass Yards,324,,,,,,
team,201809090den,sea,Total Yards,306,,,,,,
team,201809090den,den,Total Yards,470,,,,,,
team,201809090den,sea,Fumbles-Lost,3-1,,,,,,
team,201809090den,den,Fumbles-Lost,0-0,,,,,,
team,201809090den,sea,Turnovers,3,,,,,,
team,201809090den,den,Turnovers,3,,,,,,
team,201809090den,sea,Penalties-Yards,7-45,,,,,,
team,201809090den,den,Penalties-Yards,7-60,,,,,,
team,201809090den,sea,Third Down Conv.,2-12,,,,,,
team,201809090den,den,Third Down Conv.,4-12,,,,,,
team,201809090den,sea,Fourth Down Conv.,0-0,,,,,,
team,201809090den,den,Fourth Down Conv.,0-0,,,,,,
team,201809090den,sea,Time of Possession,24:52,,,,,,
team,201809090den,den,Time of Possession,35:08,,,,,,
player,201809090den,sea,WilsRu00,pass_cmp,19,,,,,
player,201809090den,sea,WilsRu00,pass_att,33,,,,,
player,201809090den,sea,WilsRu00,pass_yds,298,,,,,
player,201809090den,sea,WilsRu00,pass_td,3,,,,,
player,201809090den,sea,WilsRu00,pass_int,2,,,,,
player,201809090den,sea,WilsRu00,pass_sacked,6,,,,,
player,201809090den,sea,WilsRu00,pass_sacked_yds,56,,,,,
player,201809090den,sea,WilsRu00,pass_long,66,,,,,
player,201809090den,sea,WilsRu00,pass_rating,92.7,,,,,
player,201809090den,sea,WilsRu00,rush_att,2,,,,,
player,201809090den,sea,WilsRu00,rush_yds,5,,,,,
player,201809090den,sea,WilsRu00,rush_td,0,,,,,
player,201809090den,sea,WilsRu00,rush_long,5,,,,,
player,201809090den,sea,WilsRu00,targets,0,,,,,
player,201809090den,sea,WilsRu00,rec,0,,,,,
player,201809090den,sea,WilsRu00,rec_yds,0,,,,,
player,201809090den,sea,WilsRu00,rec_td,0,,,,,
player,201809090den,sea,WilsRu00,rec_long,0,,,,,
player,201809090den,sea,WilsRu00,fumbles,2,,,,,
player,201809090den,sea,WilsRu00,fumbles_lost,0,,,,,
player,201809090den,sea,CarsCh00,pass_cmp,0,,,,,
player,201809090den,sea,CarsCh00,pass_att,0,,,,,
player,201809090den,sea,CarsCh00,pass_yds,0,,,,,
player,201809090den,sea,CarsCh00,pass_td,0,,,,,
player,201809090den,sea,CarsCh00,pass_int,0,,,,,
player,201809090den,sea,CarsCh00,pass_sacked,0,,,,,
player,201809090den,sea,CarsCh00,pass_sacked_yds,0,,,,,
player,201809090den,sea,CarsCh00,pass_long,0,,,,,
player,201809090den,sea,CarsCh00,pass_rating,,,,,,
player,201809090den,sea,CarsCh00,rush_att,7,,,,,
player,201809090den,sea,CarsCh00,rush_yds,51,,,,,
