game,2018,3,20180923,201809230det,nwe,"New England Patriots",10,det,"Detroit Lions",26
team,201809230det,nwe,First Downs,12,,,,,,
team,201809230det,det,First Downs,25,,,,,,
team,201809230det,nwe,Rush-Yds-TDs,19-89-0,,,,,,
team,201809230det,det,Rush-Yds-TDs,33-159-0,,,,,,
team,201809230det,nwe,Cmp-Att-Yd-TD-INT,14-26-133-1-1,,,,,,
team,201809230det,det,Cmp-Att-Yd-TD-INT,27-36-262-2-1,,,,,,
team,201809230det,nwe,Sacked-Yards,2-13,,,,,,
team,201809230det,det,Sacked-Yards,1-7,,,,,,
team,201809230det,nwe,Net Pass Yards,120,,,,,,
team,201809230det,det,Net Pass Yards,255,,,,,,
team,201809230det,nwe,Total Yards,209,,,,,,
team,201809230det,det,Total Yards,414,,,,,,
team,201809230det,nwe,Fumbles-Lost,0-0,,,,,,
team,201809230det,det,Fumbles-Lost,1-0,,,,,,
team,201809230det,nwe,Turnovers,1,,,,,,
team,201809230det,det,Turnovers,1,,,,,,
team,201809230det,nwe,Penalties-Yards,5-38,,,,,,
team,201809230det,det,Penalties-Yards,6-70,,,,,,
team,201809230det,nwe,Third Down Conv.,2-9,,,,,,
team,201809230det,det,Third Down Conv.,7-14,,,,,,
team,201809230det,nwe,Fourth Down Conv.,0-1,,,,,,
team,201809230det,det,Fourth Down Conv.,0-0,,,,,,
team,201809230det,nwe,Time of Possession,20:45,,,,,,
team,201809230det,det,Time of Possession,39:15,,,,,,
player,201809230det,nwe,BradTo00,pass_cmp,14,,,,,
player,201809230det,nwe,BradTo00,pass_att,26,,,,,
player,201809230det,nwe,BradTo00,pass_yds,133,,,,,
player,201809230det,nwe,BradTo00,pass_td,1,,,,,
player,201809230det,nwe,BradTo00,pass_int,1,,,,,
player,201809230det,nwe,BradTo00,pass_sacked,2,,,,,
player,201809230det,nwe,BradTo00,pass_sacked_yds,13,,,,,
player,201809230det,nwe,BradTo00,pass_long,19,,,,,
player,201809230det,nwe,BradTo00,pass_rating,65.1,,,,,
player,201809230det,nwe,BradTo00,rush_att,1,,,,,
player,201809230det,nwe,BradTo00,rush_yds,2,,,,,
player,201809230det,nwe,BradTo00,rush_td,0,,,,,
player,201809230det,nwe,BradTo00,rush_long,2,,,,,
player,201809230det,nwe,BradTo00,targets,0,,,,,
player,201809230det,nwe,BradTo00,rec,0,,,,,
player,201809230det,nwe,BradTo00,rec_yds,0,,,,,
player,201809230det,nwe,BradTo00,rec_td,0,,,,,
player,201809230det,nwe,BradTo00,rec_long,0,,,,,
player,201809230det,nwe,BradTo00,fumbles,0,,,,,
player,201809230det,nwe,BradTo00,fumbles_lost,0,,,,,
