game,2018,6,20181014,201810140cle,sdg,"Los Angeles Chargers",38,cle,"Cleveland Browns",14
player,201810140cle,sdg,SmitGe00,pass_long,8,,,,,
player,201810140cle,sdg,SmitGe00,pass_rating,100.0,,,,,
player,201810140cle,sdg,SmitGe00,rush_att,2,,,,,
player,201810140cle,sdg,SmitGe00,rush_yds,-2,,,,,
player,201810140cle,sdg,SmitGe00,rush_td,0,,,,,
player,201810140cle,sdg,SmitGe00,rush_long,-1,,,,,
player,201810140cle,sdg,SmitGe00,targets,0,,,,,
player,201810140cle,sdg,SmitGe00,rec,0,,,,,
player,201810140cle,sdg,SmitGe00,rec_yds,0,,,,,
player,201810140cle,sdg,SmitGe00,rec_td,0,,,,,
player,201810140cle,sdg,SmitGe00,rec_long,0,,,,,
player,201810140cle,sdg,SmitGe00,fumbles,0,,,,,
player,201810140cle,sdg,SmitGe00,fumbles_lost,0,,,,,
player,201810140cle,sdg,GordMe00,pass_cmp,0,,,,,
player,201810140cle,sdg,GordMe00,pass_att,0,,,,,
player,201810140cle,sdg,GordMe00,pass_yds,0,,,,,
player,201810140cle,sdg,GordMe00,pass_td,0,,,,,
player,201810140cle,sdg,GordMe00,pass_int,0,,,,,
player,201810140cle,sdg,GordMe00,pass_sacked,0,,,,,
player,201810140cle,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201810140cle,sdg,GordMe00,pass_long,0,,,,,
player,201810140cle,sdg,GordMe00,pass_rating,,,,,,
player,201810140cle,sdg,GordMe00,rush_att,18,,,,,
player,201810140cle,sdg,GordMe00,rush_yds,132,,,,,
player,201810140cle,sdg,GordMe00,rush_td,3,,,,,
player,201810140cle,sdg,GordMe00,rush_long,16,,,,,
player,201810140cle,sdg,GordMe00,targets,4,,,,,
player,201810140cle,sdg,GordMe00,rec,2,,,,,
player,201810140cle,sdg,GordMe00,rec_yds,18,,,,,
player,201810140cle,sdg,GordMe00,rec_td,0,,,,,
player,201810140cle,sdg,GordMe00,rec_long,14,,,,,
player,201810140cle,sdg,GordMe00,fumbles,0,,,,,
player,201810140cle,sdg,GordMe00,fumbles_lost,0,,,,,
player,201810140cle,sdg,EkelAu00,pass_cmp,0,,,,,
player,201810140cle,sdg,EkelAu00,pass_att,0,,,,,
player,201810140cle,sdg,EkelAu00,pass_yds,0,,,,,
player,201810140cle,sdg,EkelAu00,pass_td,0,,,,,
player,201810140cle,sdg,EkelAu00,pass_int,0,,,,,
player,201810140cle,sdg,EkelAu00,pass_sacked,0,,,,,
player,201810140cle,sdg,EkelAu00,pass_sacked_yds,0,,,,,
player,201810140cle,sdg,EkelAu00,pass_long,0,,,,,
player,201810140cle,sdg,EkelAu00,pass_rating,,,,,,
player,201810140cle,sdg,EkelAu00,rush_att,7,,,,,
player,201810140cle,sdg,EkelAu00,rush_yds,60,,,,,
player,201810140cle,sdg,EkelAu00,rush_td,0,,,,,
player,201810140cle,sdg,EkelAu00,rush_long,20,,,,,
player,201810140cle,sdg,EkelAu00,targets,0,,,,,
player,201810140cle,sdg,EkelAu00,rec,0,,,,,
player,201810140cle,sdg,EkelAu00,rec_yds,0,,,,,
player,201810140cle,sdg,EkelAu00,rec_td,0,,,,,
player,201810140cle,sdg,EkelAu00,rec_long,0,,,,,
player,201810140cle,sdg,EkelAu00,fumbles,0,,,,,
player,201810140cle,sdg,EkelAu00,fumbles_lost,0,,,,,
player,201810140cle,sdg,AlleKe00,pass_cmp,0,,,,,
player,201810140cle,sdg,AlleKe00,pass_att,0,,,,,
player,201810140cle,sdg,AlleKe00,pass_yds,0,,,,,
player,201810140cle,sdg,AlleKe00,pass_td,0,,,,,
player,201810140cle,sdg,AlleKe00,pass_int,0,,,,,
player,201810140cle,sdg,AlleKe00,pass_sacked,0,,,,,
player,201810140cle,sdg,AlleKe00,pass_sacked_yds,0,,,,,
player,201810140cle,sdg,AlleKe00,pass_long,0,,,,,
player,201810140cle,sdg,AlleKe00,pass_rating,,,,,,
player,201810140cle,sdg,AlleKe00,rush_att,4,,,,,
player,201810140cle,sdg,AlleKe00,rush_yds,41,,,,,
player,201810140cle,sdg,AlleKe00,rush_td,0,,,,,
player,201810140cle,sdg,AlleKe00,rush_long,20,,,,,
player,201810140cle,sdg,AlleKe00,targets,6,,,,,
player,201810140cle,sdg,AlleKe00,rec,4,,,,,
player,201810140cle,sdg,AlleKe00,rec_yds,62,,,,,
player,201810140cle,sdg,AlleKe00,rec_td,0,,,,,
player,201810140cle,sdg,AlleKe00,rec_long,20,,,,,
player,201810140cle,sdg,AlleKe00,fumbles,2,,,,,
player,201810140cle,sdg,AlleKe00,fumbles_lost,0,,,,,
player,201810140cle,sdg,WillMi07,pass_cmp,0,,,,,
player,201810140cle,sdg,WillMi07,pass_att,0,,,,,
player,201810140cle,sdg,WillMi07,pass_yds,0,,,,,
player,201810140cle,sdg,WillMi07,pass_td,0,,,,,
player,201810140cle,sdg,WillMi07,pass_int,0,,,,,
player,201810140cle,sdg,WillMi07,pass_sacked,0,,,,,
player,201810140cle,sdg,WillMi07,pass_sacked_yds,0,,,,,
player,201810140cle,sdg,WillMi07,pass_long,0,,,,,
player,201810140cle,sdg,WillMi07,pass_rating,,,,,,
player,201810140cle,sdg,WillMi07,rush_att,1,,,,,
player,201810140cle,sdg,WillMi07,rush_yds,10,,,,,
player,201810140cle,sdg,WillMi07,rush_td,0,,,,,
player,201810140cle,sdg,WillMi07,rush_long,10,,,,,
player,201810140cle,sdg,WillMi07,targets,4,,,,,
player,201810140cle,sdg,WillMi07,rec,1,,,,,
player,201810140cle,sdg,WillMi07,rec_yds,4,,,,,
player,201810140cle,sdg,WillMi07,rec_td,0,,,,,
player,201810140cle,sdg,WillMi07,rec_long,4,,,,,
player,201810140cle,sdg,WillMi07,fumbles,0,,,,,
player,201810140cle,sdg,WillMi07,fumbles_lost,0,,,,,
player,201810140cle,sdg,JackJu01,pass_cmp,0,,,,,
player,201810140cle,sdg,JackJu01,pass_att,0,,,,,
player,201810140cle,sdg,JackJu01,pass_yds,0,,,,,
player,201810140cle,sdg,JackJu01,pass_td,0,,,,,
player,201810140cle,sdg,JackJu01,pass_int,0,,,,,
player,201810140cle,sdg,JackJu01,pass_sacked,0,,,,,
player,201810140cle,sdg,JackJu01,pass_sacked_yds,0,,,,,
player,201810140cle,sdg,JackJu01,pass_long,0,,,,,
player,201810140cle,sdg,JackJu01,pass_rating,,,,,,
player,201810140cle,sdg,JackJu01,rush_att,3,,,,,
player,201810140cle,sdg,JackJu01,rush_yds,4,,,,,
player,201810140cle,sdg,JackJu01,rush_td,0,,,,,
player,201810140cle,sdg,JackJu01,rush_long,4,,,,,
player,201810140cle,sdg,JackJu01,targets,1,,,,,
player,201810140cle,sdg,JackJu01,rec,1,,,,,
player,201810140cle,sdg,JackJu01,rec_yds,8,,,,,
player,201810140cle,sdg,JackJu01,rec_td,0,,,,,
player,201810140cle,sdg,JackJu01,rec_long,8,,,,,
player,201810140cle,sdg,JackJu01,fumbles,0,,,,,
player,201810140cle,sdg,JackJu01,fumbles_lost,0,,,,,
player,201810140cle,sdg,WillTy00,pass_cmp,0,,,,,
player,201810140cle,sdg,WillTy00,pass_att,0,,,,,
player,201810140cle,sdg,WillTy00,pass_yds,0,,,,,
player,201810140cle,sdg,WillTy00,pass_td,0,,,,,
player,201810140cle,sdg,WillTy00,pass_int,0,,,,,
player,201810140cle,sdg,WillTy00,pass_sacked,0,,,,,
player,201810140cle,sdg,WillTy00,pass_sacked_yds,0,,,,,
player,201810140cle,sdg,WillTy00,pass_long,0,,,,,
player,201810140cle,sdg,WillTy00,pass_rating,,,,,,
player,201810140cle,sdg,WillTy00,rush_att,1,,,,,
player,201810140cle,sdg,WillTy00,rush_yds,1,,,,,
player,201810140cle,sdg,WillTy00,rush_td,0,,,,,
player,201810140cle,sdg,WillTy00,rush_long,1,,,,,
player,201810140cle,sdg,WillTy00,targets,4,,,,,
player,201810140cle,sdg,WillTy00,rec,3,,,,,
player,201810140cle,sdg,WillTy00,rec_yds,118,,,,,
player,201810140cle,sdg,WillTy00,rec_td,2,,,,,
player,201810140cle,sdg,WillTy00,rec_long,45,,,,,
player,201810140cle,sdg,WillTy00,fumbles,0,,,,,
player,201810140cle,sdg,WillTy00,fumbles_lost,0,,,,,
player,201810140cle,sdg,GateAn00,pass_cmp,0,,,,,
player,201810140cle,sdg,GateAn00,pass_att,0,,,,,
player,201810140cle,sdg,GateAn00,pass_yds,0,,,,,
player,201810140cle,sdg,GateAn00,pass_td,0,,,,,
player,201810140cle,sdg,GateAn00,pass_int,0,,,,,
player,201810140cle,sdg,GateAn00,pass_sacked,0,,,,,
player,201810140cle,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201810140cle,sdg,GateAn00,pass_long,0,,,,,
player,201810140cle,sdg,GateAn00,pass_rating,,,,,,
player,201810140cle,sdg,GateAn00,rush_att,0,,,,,
player,201810140cle,sdg,GateAn00,rush_yds,0,,,,,
player,201810140cle,sdg,GateAn00,rush_td,0,,,,,
player,201810140cle,sdg,GateAn00,rush_long,0,,,,,
player,201810140cle,sdg,GateAn00,targets,2,,,,,
player,201810140cle,sdg,GateAn00,rec,1,,,,,
player,201810140cle,sdg,GateAn00,rec_yds,5,,,,,
player,201810140cle,sdg,GateAn00,rec_td,0,,,,,
player,201810140cle,sdg,GateAn00,rec_long,5,,,,,
player,201810140cle,sdg,GateAn00,fumbles,0,,,,,
player,201810140cle,sdg,GateAn00,fumbles_lost,0,,,,,
player,201810140cle,cle,MayfBa00,pass_cmp,22,,,,,
player,201810140cle,cle,MayfBa00,pass_att,46,,,,,
player,201810140cle,cle,MayfBa00,pass_yds,238,,,,,
player,201810140cle,cle,MayfBa00,pass_td,1,,,,,
player,201810140cle,cle,MayfBa00,pass_int,2,,,,,
player,201810140cle,cle,MayfBa00,pass_sacked,5,,,,,
player,201810140cle,cle,MayfBa00,pass_sacked_yds,24,,,,,
player,201810140cle,cle,MayfBa00,pass_long,32,,,,,
player,201810140cle,cle,MayfBa00,pass_rating,52.6,,,,,
player,201810140cle,cle,MayfBa00,rush_att,2,,,,,
player,201810140cle,cle,MayfBa00,rush_yds,8,,,,,
player,201810140cle,cle,MayfBa00,rush_td,0,,,,,
player,201810140cle,cle,MayfBa00,rush_long,6,,,,,
player,201810140cle,cle,MayfBa00,targets,0,,,,,
player,201810140cle,cle,MayfBa00,rec,0,,,,,
player,201810140cle,cle,MayfBa00,rec_yds,0,,,,,
player,201810140cle,cle,MayfBa00,rec_td,0,,,,,
player,201810140cle,cle,MayfBa00,rec_long,0,,,,,
player,201810140cle,cle,MayfBa00,fumbles,0,,,,,
player,201810140cle,cle,MayfBa00,fumbles_lost,0,,,,,
player,201810140cle,cle,JohnDu00,pass_cmp,0,,,,,
player,201810140cle,cle,JohnDu00,pass_att,0,,,,,
player,201810140cle,cle,JohnDu00,pass_yds,0,,,,,
player,201810140cle,cle,JohnDu00,pass_td,0,,,,,
player,201810140cle,cle,JohnDu00,pass_int,0,,,,,
player,201810140cle,cle,JohnDu00,pass_sacked,0,,,,,
player,201810140cle,cle,JohnDu00,pass_sacked_yds,0,,,,,
player,201810140cle,cle,JohnDu00,pass_long,0,,,,,
player,201810140cle,cle,JohnDu00,pass_rating,,,,,,
player,201810140cle,cle,JohnDu00,rush_att,2,,,,,
player,201810140cle,cle,JohnDu00,rush_yds,36,,,,,
player,201810140cle,cle,JohnDu00,rush_td,0,,,,,
player,201810140cle,cle,JohnDu00,rush_long,23,,,,,
player,201810140cle,cle,JohnDu00,targets,5,,,,,
player,201810140cle,cle,JohnDu00,rec,4,,,,,
player,201810140cle,cle,JohnDu00,rec_yds,73,,,,,
player,201810140cle,cle,JohnDu00,rec_td,0,,,,,
player,201810140cle,cle,JohnDu00,rec_long,32,,,,,
player,201810140cle,cle,JohnDu00,fumbles,0,,,,,
player,201810140cle,cle,JohnDu00,fumbles_lost,0,,,,,
player,201810140cle,cle,HydeCa00,pass_cmp,0,,,,,
player,201810140cle,cle,HydeCa00,pass_att,0,,,,,
player,201810140cle,cle,HydeCa00,pass_yds,0,,,,,
player,201810140cle,cle,HydeCa00,pass_td,0,,,,,
player,201810140cle,cle,HydeCa00,pass_int,0,,,,,
player,201810140cle,cle,HydeCa00,pass_sacked,0,,,,,
player,201810140cle,cle,HydeCa00,pass_sacked_yds,0,,,,,
player,201810140cle,cle,HydeCa00,pass_long,0,,,,,
player,201810140cle,cle,HydeCa00,pass_rating,,,,,,
player,201810140cle,cle,HydeCa00,rush_att,14,,,,,
player,201810140cle,cle,HydeCa00,rush_yds,34,,,,,
player,201810140cle,cle,HydeCa00,rush_td,0,,,,,
player,201810140cle,cle,HydeCa00,rush_long,9,,,,,
player,201810140cle,cle,HydeCa00,targets,0,,,,,
player,201810140cle,cle,HydeCa00,rec,0,,,,,
player,201810140cle,cle,HydeCa00,rec_yds,0,,,,,
player,201810140cle,cle,HydeCa00,rec_td,0,,,,,
player,201810140cle,cle,HydeCa00,rec_long,0,,,,,
player,201810140cle,cle,HydeCa00,fumbles,0,,,,,
player,201810140cle,cle,HydeCa00,fumbles_lost,0,,,,,
player,201810140cle,cle,ChubNi00,pass_cmp,0,,,,,
player,201810140cle,cle,ChubNi00,pass_att,0,,,,,
player,201810140cle,cle,ChubNi00,pass_yds,0,,,,,
player,201810140cle,cle,ChubNi00,pass_td,0,,,,,
player,201810140cle,cle,ChubNi00,pass_int,0,,,,,
player,201810140cle,cle,ChubNi00,pass_sacked,0,,,,,
player,201810140cle,cle,ChubNi00,pass_sacked_yds,0,,,,,
player,201810140cle,cle,ChubNi00,pass_long,0,,,,,
player,201810140cle,cle,ChubNi00,pass_rating,,,,,,
player,201810140cle,cle,ChubNi00,rush_att,3,,,,,
player,201810140cle,cle,ChubNi00,rush_yds,25,,,,,
player,201810140cle,cle,ChubNi00,rush_td,0,,,,,
player,201810140cle,cle,ChubNi00,rush_long,19,,,,,
player,201810140cle,cle,ChubNi00,targets,0,,,,,
player,201810140cle,cle,ChubNi00,rec,0,,,,,
player,201810140cle,cle,ChubNi00,rec_yds,0,,,,,
player,201810140cle,cle,ChubNi00,rec_td,0,,,,,
player,201810140cle,cle,ChubNi00,rec_long,0,,,,,
player,201810140cle,cle,ChubNi00,fumbles,0,,,,,
player,201810140cle,cle,ChubNi00,fumbles_lost,0,,,,,
player,201810140cle,cle,RatlDa00,pass_cmp,0,,,,,
player,201810140cle,cle,RatlDa00,pass_att,0,,,,,
player,201810140cle,cle,RatlDa00,pass_yds,0,,,,,
player,201810140cle,cle,RatlDa00,pass_td,0,,,,,
player,201810140cle,cle,RatlDa00,pass_int,0,,,,,
player,201810140cle,cle,RatlDa00,pass_sacked,0,,,,,
player,201810140cle,cle,RatlDa00,pass_sacked_yds,0,,,,,
player,201810140cle,cle,RatlDa00,pass_long,0,,,,,
player,201810140cle,cle,RatlDa00,pass_rating,,,,,,
player,201810140cle,cle,RatlDa00,rush_att,0,,,,,
player,201810140cle,cle,RatlDa00,rush_yds,0,,,,,
player,201810140cle,cle,RatlDa00,rush_td,0,,,,,
player,201810140cle,cle,RatlDa00,rush_long,0,,,,,
player,201810140cle,cle,RatlDa00,targets,8,,,,,
player,201810140cle,cle,RatlDa00,rec,6,,,,,
player,201810140cle,cle,RatlDa00,rec_yds,82,,,,,
player,201810140cle,cle,RatlDa00,rec_td,0,,,,,
player,201810140cle,cle,RatlDa00,rec_long,27,,,,,
player,201810140cle,cle,RatlDa00,fumbles,0,,,,,
player,201810140cle,cle,RatlDa00,fumbles_lost,0,,,,,
player,201810140cle,cle,NjokDa00,pass_cmp,0,,,,,
player,201810140cle,cle,NjokDa00,pass_att,0,,,,,
player,201810140cle,cle,NjokDa00,pass_yds,0,,,,,
player,201810140cle,cle,NjokDa00,pass_td,0,,,,,
player,201810140cle,cle,NjokDa00,pass_int,0,,,,,
