game,2018,4,20180930,201809300oti,phi,"Philadelphia Eagles",23,oti,"Tennessee Titans",26
team,201809300oti,phi,First Downs,25,,,,,,
team,201809300oti,oti,First Downs,22,,,,,,
team,201809300oti,phi,Rush-Yds-TDs,22-117-0,,,,,,
team,201809300oti,oti,Rush-Yds-TDs,22-70-1,,,,,,
team,201809300oti,phi,Cmp-Att-Yd-TD-INT,33-50-348-2-0,,,,,,
team,201809300oti,oti,Cmp-Att-Yd-TD-INT,30-43-344-2-1,,,,,,
team,201809300oti,phi,Sacked-Yards,4-33,,,,,,
team,201809300oti,oti,Sacked-Yards,3-17,,,,,,
team,201809300oti,phi,Net Pass Yards,315,,,,,,
team,201809300oti,oti,Net Pass Yards,327,,,,,,
team,201809300oti,phi,Total Yards,432,,,,,,
team,201809300oti,oti,Total Yards,397,,,,,,
team,201809300oti,phi,Fumbles-Lost,3-1,,,,,,
team,201809300oti,oti,Fumbles-Lost,1-0,,,,,,
team,201809300oti,phi,Turnovers,1,,,,,,
team,201809300oti,oti,Turnovers,1,,,,,,
team,201809300oti,phi,Penalties-Yards,8-77,,,,,,
team,201809300oti,oti,Penalties-Yards,4-30,,,,,,
team,201809300oti,phi,Third Down Conv.,5-15,,,,,,
team,201809300oti,oti,Third Down Conv.,5-16,,,,,,
team,201809300oti,phi,Fourth Down Conv.,0-0,,,,,,
team,201809300oti,oti,Fourth Down Conv.,3-3,,,,,,
team,201809300oti,phi,Time of Possession,34:25,,,,,,
team,201809300oti,oti,Time of Possession,35:30,,,,,,
player,201809300oti,phi,WentCa00,pass_cmp,33,,,,,
player,201809300oti,phi,WentCa00,pass_att,50,,,,,
player,201809300oti,phi,WentCa00,pass_yds,348,,,,,
player,201809300oti,phi,WentCa00,pass_td,2,,,,,
player,201809300oti,phi,WentCa00,pass_int,0,,,,,
player,201809300oti,phi,WentCa00,pass_sacked,4,,,,,
player,201809300oti,phi,WentCa00,pass_sacked_yds,33,,,,,
player,201809300oti,phi,WentCa00,pass_long,56,,,,,
player,201809300oti,phi,WentCa00,pass_rating,99.4,,,,,
player,201809300oti,phi,WentCa00,rush_att,2,,,,,
player,201809300oti,phi,WentCa00,rush_yds,8,,,,,
player,201809300oti,phi,WentCa00,rush_td,0,,,,,
player,201809300oti,phi,WentCa00,rush_long,6,,,,,
player,201809300oti,phi,WentCa00,targets,0,,,,,
player,201809300oti,phi,WentCa00,rec,0,,,,,
player,201809300oti,phi,WentCa00,rec_yds,0,,,,,
player,201809300oti,phi,WentCa00,rec_td,0,,,,,
player,201809300oti,phi,WentCa00,rec_long,0,,,,,
player,201809300oti,phi,WentCa00,fumbles,1,,,,,
player,201809300oti,phi,WentCa00,fumbles_lost,1,,,,,
player,201809300oti,phi,AjayJa00,pass_cmp,0,,,,,
player,201809300oti,phi,AjayJa00,pass_att,0,,,,,
player,201809300oti,phi,AjayJa00,pass_yds,0,,,,,
player,201809300oti,phi,AjayJa00,pass_td,0,,,,,
player,201809300oti,phi,AjayJa00,pass_int,0,,,,,
player,201809300oti,phi,AjayJa00,pass_sacked,0,,,,,
player,201809300oti,phi,AjayJa00,pass_sacked_yds,0,,,,,
player,201809300oti,phi,AjayJa00,pass_long,0,,,,,
player,201809300oti,phi,AjayJa00,pass_rating,,,,,,
player,201809300oti,phi,AjayJa00,rush_att,15,,,,,
player,201809300oti,phi,AjayJa00,rush_yds,70,,,,,
player,201809300oti,phi,AjayJa00,rush_td,0,,,,,
player,201809300oti,phi,AjayJa00,rush_long,15,,,,,
player,201809300oti,phi,AjayJa00,targets,4,,,,,
player,201809300oti,phi,AjayJa00,rec,3,,,,,
player,201809300oti,phi,AjayJa00,rec_yds,11,,,,,
player,201809300oti,phi,AjayJa00,rec_td,0,,,,,
player,201809300oti,phi,AjayJa00,rec_long,12,,,,,
player,201809300oti,phi,AjayJa00,fumbles,0,,,,,
player,201809300oti,phi,AjayJa00,fumbles_lost,0,,,,,
player,201809300oti,phi,SmalWe00,pass_cmp,0,,,,,
player,201809300oti,phi,SmalWe00,pass_att,0,,,,,
player,201809300oti,phi,SmalWe00,pass_yds,0,,,,,
player,201809300oti,phi,SmalWe00,pass_td,0,,,,,
player,201809300oti,phi,SmalWe00,pass_int,0,,,,,
player,201809300oti,phi,SmalWe00,pass_sacked,0,,,,,
player,201809300oti,phi,SmalWe00,pass_sacked_yds,0,,,,,
player,201809300oti,phi,SmalWe00,pass_long,0,,,,,
player,201809300oti,phi,SmalWe00,pass_rating,,,,,,
player,201809300oti,phi,SmalWe00,rush_att,5,,,,,
player,201809300oti,phi,SmalWe00,rush_yds,39,,,,,
player,201809300oti,phi,SmalWe00,rush_td,0,,,,,
player,201809300oti,phi,SmalWe00,rush_long,15,,,,,
player,201809300oti,phi,SmalWe00,targets,5,,,,,
player,201809300oti,phi,SmalWe00,rec,3,,,,,
player,201809300oti,phi,SmalWe00,rec_yds,15,,,,,
player,201809300oti,phi,SmalWe00,rec_td,0,,,,,
player,201809300oti,phi,SmalWe00,rec_long,11,,,,,
player,201809300oti,phi,SmalWe00,fumbles,0,,,,,
player,201809300oti,phi,SmalWe00,fumbles_lost,0,,,,,
player,201809300oti,phi,ErtzZa00,pass_cmp,0,,,,,
player,201809300oti,phi,ErtzZa00,pass_att,0,,,,,
player,201809300oti,phi,ErtzZa00,pass_yds,0,,,,,
player,201809300oti,phi,ErtzZa00,pass_td,0,,,,,
player,201809300oti,phi,ErtzZa00,pass_int,0,,,,,
player,201809300oti,phi,ErtzZa00,pass_sacked,0,,,,,
player,201809300oti,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201809300oti,phi,ErtzZa00,pass_long,0,,,,,
player,201809300oti,phi,ErtzZa00,pass_rating,,,,,,
player,201809300oti,phi,ErtzZa00,rush_att,0,,,,,
player,201809300oti,phi,ErtzZa00,rush_yds,0,,,,,
player,201809300oti,phi,ErtzZa00,rush_td,0,,,,,
player,201809300oti,phi,ErtzZa00,rush_long,0,,,,,
player,201809300oti,phi,ErtzZa00,targets,14,,,,,
player,201809300oti,phi,ErtzZa00,rec,10,,,,,
player,201809300oti,phi,ErtzZa00,rec_yds,112,,,,,
player,201809300oti,phi,ErtzZa00,rec_td,0,,,,,
player,201809300oti,phi,ErtzZa00,rec_long,24,,,,,
player,201809300oti,phi,ErtzZa00,fumbles,0,,,,,
player,201809300oti,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201809300oti,phi,JeffAl00,pass_cmp,0,,,,,
player,201809300oti,phi,JeffAl00,pass_att,0,,,,,
player,201809300oti,phi,JeffAl00,pass_yds,0,,,,,
player,201809300oti,phi,JeffAl00,pass_td,0,,,,,
player,201809300oti,phi,JeffAl00,pass_int,0,,,,,
player,201809300oti,phi,JeffAl00,pass_sacked,0,,,,,
player,201809300oti,phi,JeffAl00,pass_sacked_yds,0,,,,,
player,201809300oti,phi,JeffAl00,pass_long,0,,,,,
player,201809300oti,phi,JeffAl00,pass_rating,,,,,,
player,201809300oti,phi,JeffAl00,rush_att,0,,,,,
player,201809300oti,phi,JeffAl00,rush_yds,0,,,,,
player,201809300oti,phi,JeffAl00,rush_td,0,,,,,
player,201809300oti,phi,JeffAl00,rush_long,0,,,,,
player,201809300oti,phi,JeffAl00,targets,9,,,,,
player,201809300oti,phi,JeffAl00,rec,8,,,,,
player,201809300oti,phi,JeffAl00,rec_yds,105,,,,,
player,201809300oti,phi,JeffAl00,rec_td,1,,,,,
player,201809300oti,phi,JeffAl00,rec_long,31,,,,,
player,201809300oti,phi,JeffAl00,fumbles,1,,,,,
player,201809300oti,phi,JeffAl00,fumbles_lost,0,,,,,
player,201809300oti,phi,MattJo00,pass_cmp,0,,,,,
player,201809300oti,phi,MattJo00,pass_att,0,,,,,
player,201809300oti,phi,MattJo00,pass_yds,0,,,,,
player,201809300oti,phi,MattJo00,pass_td,0,,,,,
player,201809300oti,phi,MattJo00,pass_int,0,,,,,
player,201809300oti,phi,MattJo00,pass_sacked,0,,,,,
player,201809300oti,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201809300oti,phi,MattJo00,pass_long,0,,,,,
player,201809300oti,phi,MattJo00,pass_rating,,,,,,
player,201809300oti,phi,MattJo00,rush_att,0,,,,,
player,201809300oti,phi,MattJo00,rush_yds,0,,,,,
player,201809300oti,phi,MattJo00,rush_td,0,,,,,
player,201809300oti,phi,MattJo00,rush_long,0,,,,,
player,201809300oti,phi,MattJo00,targets,3,,,,,
player,201809300oti,phi,MattJo00,rec,1,,,,,
player,201809300oti,phi,MattJo00,rec_yds,56,,,,,
player,201809300oti,phi,MattJo00,rec_td,1,,,,,
player,201809300oti,phi,MattJo00,rec_long,56,,,,,
player,201809300oti,phi,MattJo00,fumbles,0,,,,,
player,201809300oti,phi,MattJo00,fumbles_lost,0,,,,,
player,201809300oti,phi,AghoNe00,pass_cmp,0,,,,,
player,201809300oti,phi,AghoNe00,pass_att,0,,,,,
player,201809300oti,phi,AghoNe00,pass_yds,0,,,,,
player,201809300oti,phi,AghoNe00,pass_td,0,,,,,
player,201809300oti,phi,AghoNe00,pass_int,0,,,,,
player,201809300oti,phi,AghoNe00,pass_sacked,0,,,,,
player,201809300oti,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201809300oti,phi,AghoNe00,pass_long,0,,,,,
player,201809300oti,phi,AghoNe00,pass_rating,,,,,,
player,201809300oti,phi,AghoNe00,rush_att,0,,,,,
player,201809300oti,phi,AghoNe00,rush_yds,0,,,,,
player,201809300oti,phi,AghoNe00,rush_td,0,,,,,
player,201809300oti,phi,AghoNe00,rush_long,0,,,,,
player,201809300oti,phi,AghoNe00,targets,12,,,,,
player,201809300oti,phi,AghoNe00,rec,5,,,,,
player,201809300oti,phi,AghoNe00,rec_yds,22,,,,,
player,201809300oti,phi,AghoNe00,rec_td,0,,,,,
player,201809300oti,phi,AghoNe00,rec_long,10,,,,,
player,201809300oti,phi,AghoNe00,fumbles,1,,,,,
player,201809300oti,phi,AghoNe00,fumbles_lost,0,,,,,
player,201809300oti,phi,AikeKa00,pass_cmp,0,,,,,
player,201809300oti,phi,AikeKa00,pass_att,0,,,,,
player,201809300oti,phi,AikeKa00,pass_yds,0,,,,,
player,201809300oti,phi,AikeKa00,pass_td,0,,,,,
player,201809300oti,phi,AikeKa00,pass_int,0,,,,,
player,201809300oti,phi,AikeKa00,pass_sacked,0,,,,,
player,201809300oti,phi,AikeKa00,pass_sacked_yds,0,,,,,
player,201809300oti,phi,AikeKa00,pass_long,0,,,,,
player,201809300oti,phi,AikeKa00,pass_rating,,,,,,
player,201809300oti,phi,AikeKa00,rush_att,0,,,,,
player,201809300oti,phi,AikeKa00,rush_yds,0,,,,,
player,201809300oti,phi,AikeKa00,rush_td,0,,,,,
player,201809300oti,phi,AikeKa00,rush_long,0,,,,,
player,201809300oti,phi,AikeKa00,targets,1,,,,,
player,201809300oti,phi,AikeKa00,rec,1,,,,,
player,201809300oti,phi,AikeKa00,rec_yds,14,,,,,
player,201809300oti,phi,AikeKa00,rec_td,0,,,,,
player,201809300oti,phi,AikeKa00,rec_long,14,,,,,
player,201809300oti,phi,AikeKa00,fumbles,0,,,,,
player,201809300oti,phi,AikeKa00,fumbles_lost,0,,,,,
player,201809300oti,phi,GoedDa00,pass_cmp,0,,,,,
player,201809300oti,phi,GoedDa00,pass_att,0,,,,,
player,201809300oti,phi,GoedDa00,pass_yds,0,,,,,
player,201809300oti,phi,GoedDa00,pass_td,0,,,,,
player,201809300oti,phi,GoedDa00,pass_int,0,,,,,
player,201809300oti,phi,GoedDa00,pass_sacked,0,,,,,
player,201809300oti,phi,GoedDa00,pass_sacked_yds,0,,,,,
player,201809300oti,phi,GoedDa00,pass_long,0,,,,,
player,201809300oti,phi,GoedDa00,pass_rating,,,,,,
player,201809300oti,phi,GoedDa00,rush_att,0,,,,,
player,201809300oti,phi,GoedDa00,rush_yds,0,,,,,
player,201809300oti,phi,GoedDa00,rush_td,0,,,,,
player,201809300oti,phi,GoedDa00,rush_long,0,,,,,
player,201809300oti,phi,GoedDa00,targets,2,,,,,
player,201809300oti,phi,GoedDa00,rec,2,,,,,
player,201809300oti,phi,GoedDa00,rec_yds,13,,,,,
player,201809300oti,phi,GoedDa00,rec_td,0,,,,,
player,201809300oti,phi,GoedDa00,rec_long,10,,,,,
player,201809300oti,phi,GoedDa00,fumbles,0,,,,,
player,201809300oti,phi,GoedDa00,fumbles_lost,0,,,,,
player,201809300oti,oti,MariMa01,pass_cmp,30,,,,,
player,201809300oti,oti,MariMa01,pass_att,43,,,,,
player,201809300oti,oti,MariMa01,pass_yds,344,,,,,
player,201809300oti,oti,MariMa01,pass_td,2,,,,,
player,201809300oti,oti,MariMa01,pass_int,1,,,,,
player,201809300oti,oti,MariMa01,pass_sacked,3,,,,,
player,201809300oti,oti,MariMa01,pass_sacked_yds,17,,,,,
