game,2018,11,20181115,201811150sea,gnb,"Green Bay Packers",24,sea,"Seattle Seahawks",27
player,201811150sea,gnb,AdamDa01,rec_long,57,,,,,
player,201811150sea,gnb,AdamDa01,fumbles,0,,,,,
player,201811150sea,gnb,AdamDa01,fumbles_lost,0,,,,,
player,201811150sea,gnb,TonyRo00,pass_cmp,0,,,,,
player,201811150sea,gnb,TonyRo00,pass_att,0,,,,,
player,201811150sea,gnb,TonyRo00,pass_yds,0,,,,,
player,201811150sea,gnb,TonyRo00,pass_td,0,,,,,
player,201811150sea,gnb,TonyRo00,pass_int,0,,,,,
player,201811150sea,gnb,TonyRo00,pass_sacked,0,,,,,
player,201811150sea,gnb,TonyRo00,pass_sacked_yds,0,,,,,
player,201811150sea,gnb,TonyRo00,pass_long,0,,,,,
player,201811150sea,gnb,TonyRo00,pass_rating,,,,,,
player,201811150sea,gnb,TonyRo00,rush_att,0,,,,,
player,201811150sea,gnb,TonyRo00,rush_yds,0,,,,,
player,201811150sea,gnb,TonyRo00,rush_td,0,,,,,
player,201811150sea,gnb,TonyRo00,rush_long,0,,,,,
player,201811150sea,gnb,TonyRo00,targets,1,,,,,
player,201811150sea,gnb,TonyRo00,rec,1,,,,,
player,201811150sea,gnb,TonyRo00,rec_yds,54,,,,,
player,201811150sea,gnb,TonyRo00,rec_td,1,,,,,
player,201811150sea,gnb,TonyRo00,rec_long,54,,,,,
player,201811150sea,gnb,TonyRo00,fumbles,0,,,,,
player,201811150sea,gnb,TonyRo00,fumbles_lost,0,,,,,
player,201811150sea,gnb,St.BEq00,pass_cmp,0,,,,,
player,201811150sea,gnb,St.BEq00,pass_att,0,,,,,
player,201811150sea,gnb,St.BEq00,pass_yds,0,,,,,
player,201811150sea,gnb,St.BEq00,pass_td,0,,,,,
player,201811150sea,gnb,St.BEq00,pass_int,0,,,,,
player,201811150sea,gnb,St.BEq00,pass_sacked,0,,,,,
player,201811150sea,gnb,St.BEq00,pass_sacked_yds,0,,,,,
player,201811150sea,gnb,St.BEq00,pass_long,0,,,,,
player,201811150sea,gnb,St.BEq00,pass_rating,,,,,,
player,201811150sea,gnb,St.BEq00,rush_att,0,,,,,
player,201811150sea,gnb,St.BEq00,rush_yds,0,,,,,
player,201811150sea,gnb,St.BEq00,rush_td,0,,,,,
player,201811150sea,gnb,St.BEq00,rush_long,0,,,,,
player,201811150sea,gnb,St.BEq00,targets,4,,,,,
player,201811150sea,gnb,St.BEq00,rec,1,,,,,
player,201811150sea,gnb,St.BEq00,rec_yds,16,,,,,
player,201811150sea,gnb,St.BEq00,rec_td,0,,,,,
player,201811150sea,gnb,St.BEq00,rec_long,16,,,,,
player,201811150sea,gnb,St.BEq00,fumbles,0,,,,,
player,201811150sea,gnb,St.BEq00,fumbles_lost,0,,,,,
player,201811150sea,gnb,GrahJi00,pass_cmp,0,,,,,
player,201811150sea,gnb,GrahJi00,pass_att,0,,,,,
player,201811150sea,gnb,GrahJi00,pass_yds,0,,,,,
player,201811150sea,gnb,GrahJi00,pass_td,0,,,,,
player,201811150sea,gnb,GrahJi00,pass_int,0,,,,,
player,201811150sea,gnb,GrahJi00,pass_sacked,0,,,,,
player,201811150sea,gnb,GrahJi00,pass_sacked_yds,0,,,,,
player,201811150sea,gnb,GrahJi00,pass_long,0,,,,,
player,201811150sea,gnb,GrahJi00,pass_rating,,,,,,
player,201811150sea,gnb,GrahJi00,rush_att,0,,,,,
player,201811150sea,gnb,GrahJi00,rush_yds,0,,,,,
player,201811150sea,gnb,GrahJi00,rush_td,0,,,,,
player,201811150sea,gnb,GrahJi00,rush_long,0,,,,,
player,201811150sea,gnb,GrahJi00,targets,1,,,,,
player,201811150sea,gnb,GrahJi00,rec,1,,,,,
player,201811150sea,gnb,GrahJi00,rec_yds,13,,,,,
player,201811150sea,gnb,GrahJi00,rec_td,0,,,,,
player,201811150sea,gnb,GrahJi00,rec_long,13,,,,,
player,201811150sea,gnb,GrahJi00,fumbles,0,,,,,
player,201811150sea,gnb,GrahJi00,fumbles_lost,0,,,,,
player,201811150sea,gnb,KendLa00,pass_cmp,0,,,,,
player,201811150sea,gnb,KendLa00,pass_att,0,,,,,
player,201811150sea,gnb,KendLa00,pass_yds,0,,,,,
player,201811150sea,gnb,KendLa00,pass_td,0,,,,,
player,201811150sea,gnb,KendLa00,pass_int,0,,,,,
player,201811150sea,gnb,KendLa00,pass_sacked,0,,,,,
player,201811150sea,gnb,KendLa00,pass_sacked_yds,0,,,,,
player,201811150sea,gnb,KendLa00,pass_long,0,,,,,
player,201811150sea,gnb,KendLa00,pass_rating,,,,,,
player,201811150sea,gnb,KendLa00,rush_att,0,,,,,
player,201811150sea,gnb,KendLa00,rush_yds,0,,,,,
player,201811150sea,gnb,KendLa00,rush_td,0,,,,,
player,201811150sea,gnb,KendLa00,rush_long,0,,,,,
player,201811150sea,gnb,KendLa00,targets,2,,,,,
player,201811150sea,gnb,KendLa00,rec,2,,,,,
player,201811150sea,gnb,KendLa00,rec_yds,12,,,,,
player,201811150sea,gnb,KendLa00,rec_td,0,,,,,
player,201811150sea,gnb,KendLa00,rec_long,9,,,,,
player,201811150sea,gnb,KendLa00,fumbles,0,,,,,
player,201811150sea,gnb,KendLa00,fumbles_lost,0,,,,,
player,201811150sea,gnb,ValdMa00,pass_cmp,0,,,,,
player,201811150sea,gnb,ValdMa00,pass_att,0,,,,,
player,201811150sea,gnb,ValdMa00,pass_yds,0,,,,,
player,201811150sea,gnb,ValdMa00,pass_td,0,,,,,
player,201811150sea,gnb,ValdMa00,pass_int,0,,,,,
player,201811150sea,gnb,ValdMa00,pass_sacked,0,,,,,
player,201811150sea,gnb,ValdMa00,pass_sacked_yds,0,,,,,
player,201811150sea,gnb,ValdMa00,pass_long,0,,,,,
player,201811150sea,gnb,ValdMa00,pass_rating,,,,,,
player,201811150sea,gnb,ValdMa00,rush_att,0,,,,,
player,201811150sea,gnb,ValdMa00,rush_yds,0,,,,,
player,201811150sea,gnb,ValdMa00,rush_td,0,,,,,
player,201811150sea,gnb,ValdMa00,rush_long,0,,,,,
player,201811150sea,gnb,ValdMa00,targets,3,,,,,
player,201811150sea,gnb,ValdMa00,rec,1,,,,,
player,201811150sea,gnb,ValdMa00,rec_yds,8,,,,,
player,201811150sea,gnb,ValdMa00,rec_td,0,,,,,
player,201811150sea,gnb,ValdMa00,rec_long,8,,,,,
player,201811150sea,gnb,ValdMa00,fumbles,0,,,,,
player,201811150sea,gnb,ValdMa00,fumbles_lost,0,,,,,
player,201811150sea,sea,WilsRu00,pass_cmp,21,,,,,
player,201811150sea,sea,WilsRu00,pass_att,31,,,,,
player,201811150sea,sea,WilsRu00,pass_yds,225,,,,,
player,201811150sea,sea,WilsRu00,pass_td,2,,,,,
player,201811150sea,sea,WilsRu00,pass_int,0,,,,,
