game,2018,3,20180923,201809230was,gnb,"Green Bay Packers",17,was,"Washington Redskins",31
team,201809230was,gnb,First Downs,19,,,,,,
team,201809230was,was,First Downs,20,,,,,,
team,201809230was,gnb,Rush-Yds-TDs,17-100-0,,,,,,
team,201809230was,was,Rush-Yds-TDs,35-166-2,,,,,,
team,201809230was,gnb,Cmp-Att-Yd-TD-INT,27-45-265-2-0,,,,,,
team,201809230was,was,Cmp-Att-Yd-TD-INT,12-20-220-2-1,,,,,,
team,201809230was,gnb,Sacked-Yards,4-25,,,,,,
team,201809230was,was,Sacked-Yards,0-0,,,,,,
team,201809230was,gnb,Net Pass Yards,240,,,,,,
team,201809230was,was,Net Pass Yards,220,,,,,,
team,201809230was,gnb,Total Yards,340,,,,,,
team,201809230was,was,Total Yards,386,,,,,,
team,201809230was,gnb,Fumbles-Lost,2-1,,,,,,
team,201809230was,was,Fumbles-Lost,0-0,,,,,,
team,201809230was,gnb,Turnovers,1,,,,,,
team,201809230was,was,Turnovers,1,,,,,,
team,201809230was,gnb,Penalties-Yards,11-115,,,,,,
team,201809230was,was,Penalties-Yards,6-66,,,,,,
team,201809230was,gnb,Third Down Conv.,6-14,,,,,,
team,201809230was,was,Third Down Conv.,5-11,,,,,,
team,201809230was,gnb,Fourth Down Conv.,0-2,,,,,,
team,201809230was,was,Fourth Down Conv.,0-0,,,,,,
team,201809230was,gnb,Time of Possession,30:55,,,,,,
team,201809230was,was,Time of Possession,29:05,,,,,,
player,201809230was,gnb,RodgAa00,pass_cmp,27,,,,,
player,201809230was,gnb,RodgAa00,pass_att,44,,,,,
player,201809230was,gnb,RodgAa00,pass_yds,265,,,,,
player,201809230was,gnb,RodgAa00,pass_td,2,,,,,
player,201809230was,gnb,RodgAa00,pass_int,0,,,,,
player,201809230was,gnb,RodgAa00,pass_sacked,4,,,,,
player,201809230was,gnb,RodgAa00,pass_sacked_yds,25,,,,,
player,201809230was,gnb,RodgAa00,pass_long,64,,,,,
player,201809230was,gnb,RodgAa00,pass_rating,93.5,,,,,
player,201809230was,gnb,RodgAa00,rush_att,2,,,,,
player,201809230was,gnb,RodgAa00,rush_yds,13,,,,,
player,201809230was,gnb,RodgAa00,rush_td,0,,,,,
player,201809230was,gnb,RodgAa00,rush_long,10,,,,,
player,201809230was,gnb,RodgAa00,targets,0,,,,,
player,201809230was,gnb,RodgAa00,rec,0,,,,,
player,201809230was,gnb,RodgAa00,rec_yds,0,,,,,
player,201809230was,gnb,RodgAa00,rec_td,0,,,,,
player,201809230was,gnb,RodgAa00,rec_long,0,,,,,
player,201809230was,gnb,RodgAa00,fumbles,0,,,,,
player,201809230was,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201809230was,gnb,ScotJK00,pass_cmp,0,,,,,
player,201809230was,gnb,ScotJK00,pass_att,1,,,,,
player,201809230was,gnb,ScotJK00,pass_yds,0,,,,,
player,201809230was,gnb,ScotJK00,pass_td,0,,,,,
player,201809230was,gnb,ScotJK00,pass_int,0,,,,,
player,201809230was,gnb,ScotJK00,pass_sacked,0,,,,,
player,201809230was,gnb,ScotJK00,pass_sacked_yds,0,,,,,
player,201809230was,gnb,ScotJK00,pass_long,0,,,,,
player,201809230was,gnb,ScotJK00,pass_rating,39.6,,,,,
player,201809230was,gnb,ScotJK00,rush_att,0,,,,,
player,201809230was,gnb,ScotJK00,rush_yds,0,,,,,
player,201809230was,gnb,ScotJK00,rush_td,0,,,,,
player,201809230was,gnb,ScotJK00,rush_long,0,,,,,
player,201809230was,gnb,ScotJK00,targets,0,,,,,
player,201809230was,gnb,ScotJK00,rec,0,,,,,
player,201809230was,gnb,ScotJK00,rec_yds,0,,,,,
player,201809230was,gnb,ScotJK00,rec_td,0,,,,,
player,201809230was,gnb,ScotJK00,rec_long,0,,,,,
player,201809230was,gnb,ScotJK00,fumbles,0,,,,,
player,201809230was,gnb,ScotJK00,fumbles_lost,0,,,,,
player,201809230was,gnb,JoneAa00,pass_cmp,0,,,,,
player,201809230was,gnb,JoneAa00,pass_att,0,,,,,
player,201809230was,gnb,JoneAa00,pass_yds,0,,,,,
player,201809230was,gnb,JoneAa00,pass_td,0,,,,,
player,201809230was,gnb,JoneAa00,pass_int,0,,,,,
player,201809230was,gnb,JoneAa00,pass_sacked,0,,,,,
player,201809230was,gnb,JoneAa00,pass_sacked_yds,0,,,,,
player,201809230was,gnb,JoneAa00,pass_long,0,,,,,
player,201809230was,gnb,JoneAa00,pass_rating,,,,,,
player,201809230was,gnb,JoneAa00,rush_att,6,,,,,
player,201809230was,gnb,JoneAa00,rush_yds,42,,,,,
player,201809230was,gnb,JoneAa00,rush_td,0,,,,,
player,201809230was,gnb,JoneAa00,rush_long,17,,,,,
player,201809230was,gnb,JoneAa00,targets,1,,,,,
player,201809230was,gnb,JoneAa00,rec,1,,,,,
player,201809230was,gnb,JoneAa00,rec_yds,5,,,,,
player,201809230was,gnb,JoneAa00,rec_td,0,,,,,
player,201809230was,gnb,JoneAa00,rec_long,5,,,,,
player,201809230was,gnb,JoneAa00,fumbles,0,,,,,
player,201809230was,gnb,JoneAa00,fumbles_lost,0,,,,,
player,201809230was,gnb,WillJa06,pass_cmp,0,,,,,
player,201809230was,gnb,WillJa06,pass_att,0,,,,,
player,201809230was,gnb,WillJa06,pass_yds,0,,,,,
player,201809230was,gnb,WillJa06,pass_td,0,,,,,
player,201809230was,gnb,WillJa06,pass_int,0,,,,,
player,201809230was,gnb,WillJa06,pass_sacked,0,,,,,
player,201809230was,gnb,WillJa06,pass_sacked_yds,0,,,,,
player,201809230was,gnb,WillJa06,pass_long,0,,,,,
player,201809230was,gnb,WillJa06,pass_rating,,,,,,
player,201809230was,gnb,WillJa06,rush_att,5,,,,,
player,201809230was,gnb,WillJa06,rush_yds,29,,,,,
player,201809230was,gnb,WillJa06,rush_td,0,,,,,
player,201809230was,gnb,WillJa06,rush_long,10,,,,,
player,201809230was,gnb,WillJa06,targets,3,,,,,
player,201809230was,gnb,WillJa06,rec,2,,,,,
player,201809230was,gnb,WillJa06,rec_yds,16,,,,,
player,201809230was,gnb,WillJa06,rec_td,0,,,,,
player,201809230was,gnb,WillJa06,rec_long,11,,,,,
player,201809230was,gnb,WillJa06,fumbles,0,,,,,
player,201809230was,gnb,WillJa06,fumbles_lost,0,,,,,
player,201809230was,gnb,MontTy01,pass_cmp,0,,,,,
player,201809230was,gnb,MontTy01,pass_att,0,,,,,
player,201809230was,gnb,MontTy01,pass_yds,0,,,,,
player,201809230was,gnb,MontTy01,pass_td,0,,,,,
player,201809230was,gnb,MontTy01,pass_int,0,,,,,
player,201809230was,gnb,MontTy01,pass_sacked,0,,,,,
player,201809230was,gnb,MontTy01,pass_sacked_yds,0,,,,,
player,201809230was,gnb,MontTy01,pass_long,0,,,,,
player,201809230was,gnb,MontTy01,pass_rating,,,,,,
player,201809230was,gnb,MontTy01,rush_att,4,,,,,
player,201809230was,gnb,MontTy01,rush_yds,16,,,,,
player,201809230was,gnb,MontTy01,rush_td,0,,,,,
player,201809230was,gnb,MontTy01,rush_long,11,,,,,
player,201809230was,gnb,MontTy01,targets,7,,,,,
player,201809230was,gnb,MontTy01,rec,6,,,,,
