game,2018,10,20181111,201811110rai,sdg,"Los Angeles Chargers",20,rai,"Oakland Raiders",6
team,201811110rai,sdg,First Downs,16,,,,,,
team,201811110rai,rai,First Downs,16,,,,,,
team,201811110rai,sdg,Rush-Yds-TDs,26-113-0,,,,,,
team,201811110rai,rai,Rush-Yds-TDs,22-114-0,,,,,,
team,201811110rai,sdg,Cmp-Att-Yd-TD-INT,18-26-223-2-1,,,,,,
team,201811110rai,rai,Cmp-Att-Yd-TD-INT,24-37-243-0-0,,,,,,
team,201811110rai,sdg,Sacked-Yards,1-1,,,,,,
team,201811110rai,rai,Sacked-Yards,4-40,,,,,,
team,201811110rai,sdg,Net Pass Yards,222,,,,,,
team,201811110rai,rai,Net Pass Yards,203,,,,,,
team,201811110rai,sdg,Total Yards,335,,,,,,
team,201811110rai,rai,Total Yards,317,,,,,,
team,201811110rai,sdg,Fumbles-Lost,0-0,,,,,,
team,201811110rai,rai,Fumbles-Lost,1-1,,,,,,
team,201811110rai,sdg,Turnovers,1,,,,,,
team,201811110rai,rai,Turnovers,1,,,,,,
team,201811110rai,sdg,Penalties-Yards,6-70,,,,,,
team,201811110rai,rai,Penalties-Yards,6-55,,,,,,
team,201811110rai,sdg,Third Down Conv.,2-10,,,,,,
team,201811110rai,rai,Third Down Conv.,5-15,,,,,,
team,201811110rai,sdg,Fourth Down Conv.,1-1,,,,,,
team,201811110rai,rai,Fourth Down Conv.,1-3,,,,,,
team,201811110rai,sdg,Time of Possession,28:50,,,,,,
team,201811110rai,rai,Time of Possession,31:10,,,,,,
player,201811110rai,sdg,RivePh00,pass_cmp,18,,,,,
player,201811110rai,sdg,RivePh00,pass_att,26,,,,,
player,201811110rai,sdg,RivePh00,pass_yds,223,,,,,
player,201811110rai,sdg,RivePh00,pass_td,2,,,,,
player,201811110rai,sdg,RivePh00,pass_int,1,,,,,
player,201811110rai,sdg,RivePh00,pass_sacked,1,,,,,
player,201811110rai,sdg,RivePh00,pass_sacked_yds,1,,,,,
player,201811110rai,sdg,RivePh00,pass_long,66,,,,,
player,201811110rai,sdg,RivePh00,pass_rating,105.1,,,,,
player,201811110rai,sdg,RivePh00,rush_att,1,,,,,
player,201811110rai,sdg,RivePh00,rush_yds,1,,,,,
player,201811110rai,sdg,RivePh00,rush_td,0,,,,,
player,201811110rai,sdg,RivePh00,rush_long,1,,,,,
player,201811110rai,sdg,RivePh00,targets,0,,,,,
player,201811110rai,sdg,RivePh00,rec,0,,,,,
player,201811110rai,sdg,RivePh00,rec_yds,0,,,,,
player,201811110rai,sdg,RivePh00,rec_td,0,,,,,
player,201811110rai,sdg,RivePh00,rec_long,0,,,,,
player,201811110rai,sdg,RivePh00,fumbles,0,,,,,
player,201811110rai,sdg,RivePh00,fumbles_lost,0,,,,,
player,201811110rai,sdg,GordMe00,pass_cmp,0,,,,,
player,201811110rai,sdg,GordMe00,pass_att,0,,,,,
player,201811110rai,sdg,GordMe00,pass_yds,0,,,,,
player,201811110rai,sdg,GordMe00,pass_td,0,,,,,
player,201811110rai,sdg,GordMe00,pass_int,0,,,,,
player,201811110rai,sdg,GordMe00,pass_sacked,0,,,,,
player,201811110rai,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201811110rai,sdg,GordMe00,pass_long,0,,,,,
player,201811110rai,sdg,GordMe00,pass_rating,,,,,,
player,201811110rai,sdg,GordMe00,rush_att,18,,,,,
player,201811110rai,sdg,GordMe00,rush_yds,93,,,,,
player,201811110rai,sdg,GordMe00,rush_td,0,,,,,
player,201811110rai,sdg,GordMe00,rush_long,15,,,,,
player,201811110rai,sdg,GordMe00,targets,6,,,,,
player,201811110rai,sdg,GordMe00,rec,5,,,,,
player,201811110rai,sdg,GordMe00,rec_yds,72,,,,,
player,201811110rai,sdg,GordMe00,rec_td,1,,,,,
player,201811110rai,sdg,GordMe00,rec_long,66,,,,,
player,201811110rai,sdg,GordMe00,fumbles,0,,,,,
player,201811110rai,sdg,GordMe00,fumbles_lost,0,,,,,
player,201811110rai,sdg,EkelAu00,pass_cmp,0,,,,,
player,201811110rai,sdg,EkelAu00,pass_att,0,,,,,
player,201811110rai,sdg,EkelAu00,pass_yds,0,,,,,
player,201811110rai,sdg,EkelAu00,pass_td,0,,,,,
player,201811110rai,sdg,EkelAu00,pass_int,0,,,,,
player,201811110rai,sdg,EkelAu00,pass_sacked,0,,,,,
player,201811110rai,sdg,EkelAu00,pass_sacked_yds,0,,,,,
player,201811110rai,sdg,EkelAu00,pass_long,0,,,,,
player,201811110rai,sdg,EkelAu00,pass_rating,,,,,,
player,201811110rai,sdg,EkelAu00,rush_att,3,,,,,
player,201811110rai,sdg,EkelAu00,rush_yds,19,,,,,
player,201811110rai,sdg,EkelAu00,rush_td,0,,,,,
player,201811110rai,sdg,EkelAu00,rush_long,9,,,,,
player,201811110rai,sdg,EkelAu00,targets,0,,,,,
player,201811110rai,sdg,EkelAu00,rec,0,,,,,
player,201811110rai,sdg,EkelAu00,rec_yds,0,,,,,
player,201811110rai,sdg,EkelAu00,rec_td,0,,,,,
player,201811110rai,sdg,EkelAu00,rec_long,0,,,,,
player,201811110rai,sdg,EkelAu00,fumbles,0,,,,,
player,201811110rai,sdg,EkelAu00,fumbles_lost,0,,,,,
player,201811110rai,sdg,WattDe00,pass_cmp,0,,,,,
player,201811110rai,sdg,WattDe00,pass_att,0,,,,,
player,201811110rai,sdg,WattDe00,pass_yds,0,,,,,
player,201811110rai,sdg,WattDe00,pass_td,0,,,,,
player,201811110rai,sdg,WattDe00,pass_int,0,,,,,
player,201811110rai,sdg,WattDe00,pass_sacked,0,,,,,
player,201811110rai,sdg,WattDe00,pass_sacked_yds,0,,,,,
player,201811110rai,sdg,WattDe00,pass_long,0,,,,,
player,201811110rai,sdg,WattDe00,pass_rating,,,,,,
player,201811110rai,sdg,WattDe00,rush_att,2,,,,,
player,201811110rai,sdg,WattDe00,rush_yds,2,,,,,
player,201811110rai,sdg,WattDe00,rush_td,0,,,,,
player,201811110rai,sdg,WattDe00,rush_long,2,,,,,
player,201811110rai,sdg,WattDe00,targets,0,,,,,
player,201811110rai,sdg,WattDe00,rec,0,,,,,
player,201811110rai,sdg,WattDe00,rec_yds,0,,,,,
player,201811110rai,sdg,WattDe00,rec_td,0,,,,,
player,201811110rai,sdg,WattDe00,rec_long,0,,,,,
player,201811110rai,sdg,WattDe00,fumbles,0,,,,,
player,201811110rai,sdg,WattDe00,fumbles_lost,0,,,,,
player,201811110rai,sdg,AlleKe00,pass_cmp,0,,,,,
player,201811110rai,sdg,AlleKe00,pass_att,0,,,,,
player,201811110rai,sdg,AlleKe00,pass_yds,0,,,,,
player,201811110rai,sdg,AlleKe00,pass_td,0,,,,,
player,201811110rai,sdg,AlleKe00,pass_int,0,,,,,
player,201811110rai,sdg,AlleKe00,pass_sacked,0,,,,,
player,201811110rai,sdg,AlleKe00,pass_sacked_yds,0,,,,,
player,201811110rai,sdg,AlleKe00,pass_long,0,,,,,
player,201811110rai,sdg,AlleKe00,pass_rating,,,,,,
player,201811110rai,sdg,AlleKe00,rush_att,0,,,,,
player,201811110rai,sdg,AlleKe00,rush_yds,0,,,,,
player,201811110rai,sdg,AlleKe00,rush_td,0,,,,,
player,201811110rai,sdg,AlleKe00,rush_long,0,,,,,
player,201811110rai,sdg,AlleKe00,targets,9,,,,,
player,201811110rai,sdg,AlleKe00,rec,6,,,,,
player,201811110rai,sdg,AlleKe00,rec_yds,57,,,,,
player,201811110rai,sdg,AlleKe00,rec_td,1,,,,,
player,201811110rai,sdg,AlleKe00,rec_long,18,,,,,
player,201811110rai,sdg,AlleKe00,fumbles,0,,,,,
player,201811110rai,sdg,AlleKe00,fumbles_lost,0,,,,,
player,201811110rai,sdg,WillTy00,pass_cmp,0,,,,,
player,201811110rai,sdg,WillTy00,pass_att,0,,,,,
