game,2018,11,20181118,201811180nyg,tam,"Tampa Bay Buccaneers",35,nyg,"New York Giants",38
team,201811180nyg,tam,First Downs,31,,,,,,
team,201811180nyg,nyg,First Downs,19,,,,,,
team,201811180nyg,tam,Rush-Yds-TDs,30-151-2,,,,,,
team,201811180nyg,nyg,Rush-Yds-TDs,31-163-2,,,,,,
team,201811180nyg,tam,Cmp-Att-Yd-TD-INT,25-37-366-2-4,,,,,,
team,201811180nyg,nyg,Cmp-Att-Yd-TD-INT,17-18-231-2-0,,,,,,
team,201811180nyg,tam,Sacked-Yards,1-7,,,,,,
team,201811180nyg,nyg,Sacked-Yards,4-35,,,,,,
team,201811180nyg,tam,Net Pass Yards,359,,,,,,
team,201811180nyg,nyg,Net Pass Yards,196,,,,,,
team,201811180nyg,tam,Total Yards,510,,,,,,
team,201811180nyg,nyg,Total Yards,359,,,,,,
team,201811180nyg,tam,Fumbles-Lost,1-0,,,,,,
team,201811180nyg,nyg,Fumbles-Lost,2-0,,,,,,
team,201811180nyg,tam,Turnovers,4,,,,,,
team,201811180nyg,nyg,Turnovers,0,,,,,,
team,201811180nyg,tam,Penalties-Yards,4-40,,,,,,
team,201811180nyg,nyg,Penalties-Yards,8-60,,,,,,
team,201811180nyg,tam,Third Down Conv.,6-9,,,,,,
team,201811180nyg,nyg,Third Down Conv.,4-9,,,,,,
team,201811180nyg,tam,Fourth Down Conv.,1-2,,,,,,
team,201811180nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201811180nyg,tam,Time of Possession,32:07,,,,,,
team,201811180nyg,nyg,Time of Possession,27:53,,,,,,
player,201811180nyg,tam,FitzRy00,pass_cmp,13,,,,,
player,201811180nyg,tam,FitzRy00,pass_att,21,,,,,
player,201811180nyg,tam,FitzRy00,pass_yds,167,,,,,
player,201811180nyg,tam,FitzRy00,pass_td,0,,,,,
player,201811180nyg,tam,FitzRy00,pass_int,3,,,,,
player,201811180nyg,tam,FitzRy00,pass_sacked,1,,,,,
player,201811180nyg,tam,FitzRy00,pass_sacked_yds,7,,,,,
player,201811180nyg,tam,FitzRy00,pass_long,39,,,,,
player,201811180nyg,tam,FitzRy00,pass_rating,47.2,,,,,
player,201811180nyg,tam,FitzRy00,rush_att,4,,,,,
player,201811180nyg,tam,FitzRy00,rush_yds,14,,,,,
player,201811180nyg,tam,FitzRy00,rush_td,1,,,,,
player,201811180nyg,tam,FitzRy00,rush_long,9,,,,,
player,201811180nyg,tam,FitzRy00,targets,0,,,,,
player,201811180nyg,tam,FitzRy00,rec,0,,,,,
player,201811180nyg,tam,FitzRy00,rec_yds,0,,,,,
player,201811180nyg,tam,FitzRy00,rec_td,0,,,,,
player,201811180nyg,tam,FitzRy00,rec_long,0,,,,,
player,201811180nyg,tam,FitzRy00,fumbles,0,,,,,
player,201811180nyg,tam,FitzRy00,fumbles_lost,0,,,,,
player,201811180nyg,tam,WinsJa00,pass_cmp,12,,,,,
player,201811180nyg,tam,WinsJa00,pass_att,16,,,,,
player,201811180nyg,tam,WinsJa00,pass_yds,199,,,,,
player,201811180nyg,tam,WinsJa00,pass_td,2,,,,,
player,201811180nyg,tam,WinsJa00,pass_int,1,,,,,
player,201811180nyg,tam,WinsJa00,pass_sacked,0,,,,,
player,201811180nyg,tam,WinsJa00,pass_sacked_yds,0,,,,,
player,201811180nyg,tam,WinsJa00,pass_long,41,,,,,
player,201811180nyg,tam,WinsJa00,pass_rating,129.9,,,,,
player,201811180nyg,tam,WinsJa00,rush_att,5,,,,,
player,201811180nyg,tam,WinsJa00,rush_yds,16,,,,,
player,201811180nyg,tam,WinsJa00,rush_td,0,,,,,
player,201811180nyg,tam,WinsJa00,rush_long,4,,,,,
player,201811180nyg,tam,WinsJa00,targets,0,,,,,
player,201811180nyg,tam,WinsJa00,rec,0,,,,,
player,201811180nyg,tam,WinsJa00,rec_yds,0,,,,,
player,201811180nyg,tam,WinsJa00,rec_td,0,,,,,
player,201811180nyg,tam,WinsJa00,rec_long,0,,,,,
player,201811180nyg,tam,WinsJa00,fumbles,1,,,,,
player,201811180nyg,tam,WinsJa00,fumbles_lost,0,,,,,
player,201811180nyg,tam,BarbPe01,pass_cmp,0,,,,,
player,201811180nyg,tam,BarbPe01,pass_att,0,,,,,
player,201811180nyg,tam,BarbPe01,pass_yds,0,,,,,
