game,2018,9,20181101,201811010sfo,rai,"Oakland Raiders",3,sfo,"San Francisco 49ers",34
player,201811010sfo,rai,WashDe00,rec_td,0,,,,,
player,201811010sfo,rai,WashDe00,rec_long,0,,,,,
player,201811010sfo,rai,WashDe00,fumbles,0,,,,,
player,201811010sfo,rai,WashDe00,fumbles_lost,0,,,,,
player,201811010sfo,rai,BryaMa00,pass_cmp,0,,,,,
player,201811010sfo,rai,BryaMa00,pass_att,0,,,,,
player,201811010sfo,rai,BryaMa00,pass_yds,0,,,,,
player,201811010sfo,rai,BryaMa00,pass_td,0,,,,,
player,201811010sfo,rai,BryaMa00,pass_int,0,,,,,
player,201811010sfo,rai,BryaMa00,pass_sacked,0,,,,,
player,201811010sfo,rai,BryaMa00,pass_sacked_yds,0,,,,,
player,201811010sfo,rai,BryaMa00,pass_long,0,,,,,
player,201811010sfo,rai,BryaMa00,pass_rating,,,,,,
player,201811010sfo,rai,BryaMa00,rush_att,1,,,,,
player,201811010sfo,rai,BryaMa00,rush_yds,17,,,,,
player,201811010sfo,rai,BryaMa00,rush_td,0,,,,,
player,201811010sfo,rai,BryaMa00,rush_long,17,,,,,
player,201811010sfo,rai,BryaMa00,targets,2,,,,,
player,201811010sfo,rai,BryaMa00,rec,2,,,,,
player,201811010sfo,rai,BryaMa00,rec_yds,29,,,,,
player,201811010sfo,rai,BryaMa00,rec_td,0,,,,,
player,201811010sfo,rai,BryaMa00,rec_long,23,,,,,
player,201811010sfo,rai,BryaMa00,fumbles,0,,,,,
player,201811010sfo,rai,BryaMa00,fumbles_lost,0,,,,,
player,201811010sfo,rai,RichJa01,pass_cmp,0,,,,,
player,201811010sfo,rai,RichJa01,pass_att,0,,,,,
player,201811010sfo,rai,RichJa01,pass_yds,0,,,,,
player,201811010sfo,rai,RichJa01,pass_td,0,,,,,
player,201811010sfo,rai,RichJa01,pass_int,0,,,,,
player,201811010sfo,rai,RichJa01,pass_sacked,0,,,,,
player,201811010sfo,rai,RichJa01,pass_sacked_yds,0,,,,,
player,201811010sfo,rai,RichJa01,pass_long,0,,,,,
player,201811010sfo,rai,RichJa01,pass_rating,,,,,,
player,201811010sfo,rai,RichJa01,rush_att,2,,,,,
player,201811010sfo,rai,RichJa01,rush_yds,4,,,,,
player,201811010sfo,rai,RichJa01,rush_td,0,,,,,
player,201811010sfo,rai,RichJa01,rush_long,4,,,,,
player,201811010sfo,rai,RichJa01,targets,4,,,,,
player,201811010sfo,rai,RichJa01,rec,4,,,,,
player,201811010sfo,rai,RichJa01,rec_yds,45,,,,,
player,201811010sfo,rai,RichJa01,rec_td,0,,,,,
player,201811010sfo,rai,RichJa01,rec_long,25,,,,,
player,201811010sfo,rai,RichJa01,fumbles,0,,,,,
player,201811010sfo,rai,RichJa01,fumbles_lost,0,,,,,
player,201811010sfo,rai,CookJa02,pass_cmp,0,,,,,
player,201811010sfo,rai,CookJa02,pass_att,0,,,,,
player,201811010sfo,rai,CookJa02,pass_yds,0,,,,,
player,201811010sfo,rai,CookJa02,pass_td,0,,,,,
player,201811010sfo,rai,CookJa02,pass_int,0,,,,,
player,201811010sfo,rai,CookJa02,pass_sacked,0,,,,,
player,201811010sfo,rai,CookJa02,pass_sacked_yds,0,,,,,
player,201811010sfo,rai,CookJa02,pass_long,0,,,,,
player,201811010sfo,rai,CookJa02,pass_rating,,,,,,
player,201811010sfo,rai,CookJa02,rush_att,0,,,,,
player,201811010sfo,rai,CookJa02,rush_yds,0,,,,,
player,201811010sfo,rai,CookJa02,rush_td,0,,,,,
player,201811010sfo,rai,CookJa02,rush_long,0,,,,,
player,201811010sfo,rai,CookJa02,targets,2,,,,,
player,201811010sfo,rai,CookJa02,rec,2,,,,,
player,201811010sfo,rai,CookJa02,rec_yds,20,,,,,
player,201811010sfo,rai,CookJa02,rec_td,0,,,,,
player,201811010sfo,rai,CookJa02,rec_long,11,,,,,
player,201811010sfo,rai,CookJa02,fumbles,0,,,,,
player,201811010sfo,rai,CookJa02,fumbles_lost,0,,,,,
player,201811010sfo,rai,LaFeBr00,pass_cmp,0,,,,,
player,201811010sfo,rai,LaFeBr00,pass_att,0,,,,,
player,201811010sfo,rai,LaFeBr00,pass_yds,0,,,,,
player,201811010sfo,rai,LaFeBr00,pass_td,0,,,,,
player,201811010sfo,rai,LaFeBr00,pass_int,0,,,,,
player,201811010sfo,rai,LaFeBr00,pass_sacked,0,,,,,
player,201811010sfo,rai,LaFeBr00,pass_sacked_yds,0,,,,,
player,201811010sfo,rai,LaFeBr00,pass_long,0,,,,,
player,201811010sfo,rai,LaFeBr00,pass_rating,,,,,,
player,201811010sfo,rai,LaFeBr00,rush_att,0,,,,,
player,201811010sfo,rai,LaFeBr00,rush_yds,0,,,,,
player,201811010sfo,rai,LaFeBr00,rush_td,0,,,,,
player,201811010sfo,rai,LaFeBr00,rush_long,0,,,,,
player,201811010sfo,rai,LaFeBr00,targets,3,,,,,
player,201811010sfo,rai,LaFeBr00,rec,3,,,,,
player,201811010sfo,rai,LaFeBr00,rec_yds,20,,,,,
player,201811010sfo,rai,LaFeBr00,rec_td,0,,,,,
player,201811010sfo,rai,LaFeBr00,rec_long,14,,,,,
player,201811010sfo,rai,LaFeBr00,fumbles,0,,,,,
player,201811010sfo,rai,LaFeBr00,fumbles_lost,0,,,,,
player,201811010sfo,rai,NelsJo00,pass_cmp,0,,,,,
player,201811010sfo,rai,NelsJo00,pass_att,0,,,,,
player,201811010sfo,rai,NelsJo00,pass_yds,0,,,,,
player,201811010sfo,rai,NelsJo00,pass_td,0,,,,,
player,201811010sfo,rai,NelsJo00,pass_int,0,,,,,
player,201811010sfo,rai,NelsJo00,pass_sacked,0,,,,,
player,201811010sfo,rai,NelsJo00,pass_sacked_yds,0,,,,,
player,201811010sfo,rai,NelsJo00,pass_long,0,,,,,
player,201811010sfo,rai,NelsJo00,pass_rating,,,,,,
player,201811010sfo,rai,NelsJo00,rush_att,0,,,,,
player,201811010sfo,rai,NelsJo00,rush_yds,0,,,,,
player,201811010sfo,rai,NelsJo00,rush_td,0,,,,,
player,201811010sfo,rai,NelsJo00,rush_long,0,,,,,
player,201811010sfo,rai,NelsJo00,targets,3,,,,,
player,201811010sfo,rai,NelsJo00,rec,2,,,,,
player,201811010sfo,rai,NelsJo00,rec_yds,16,,,,,
player,201811010sfo,rai,NelsJo00,rec_td,0,,,,,
player,201811010sfo,rai,NelsJo00,rec_long,10,,,,,
player,201811010sfo,rai,NelsJo00,fumbles,0,,,,,
player,201811010sfo,rai,NelsJo00,fumbles_lost,0,,,,,
player,201811010sfo,rai,HarrDw00,pass_cmp,0,,,,,
player,201811010sfo,rai,HarrDw00,pass_att,0,,,,,
player,201811010sfo,rai,HarrDw00,pass_yds,0,,,,,
player,201811010sfo,rai,HarrDw00,pass_td,0,,,,,
player,201811010sfo,rai,HarrDw00,pass_int,0,,,,,
player,201811010sfo,rai,HarrDw00,pass_sacked,0,,,,,
player,201811010sfo,rai,HarrDw00,pass_sacked_yds,0,,,,,
player,201811010sfo,rai,HarrDw00,pass_long,0,,,,,
player,201811010sfo,rai,HarrDw00,pass_rating,,,,,,
player,201811010sfo,rai,HarrDw00,rush_att,0,,,,,
player,201811010sfo,rai,HarrDw00,rush_yds,0,,,,,
player,201811010sfo,rai,HarrDw00,rush_td,0,,,,,
player,201811010sfo,rai,HarrDw00,rush_long,0,,,,,
player,201811010sfo,rai,HarrDw00,targets,1,,,,,
