game,2018,16,20181223,201812230crd,ram,"Los Angeles Rams",31,crd,"Arizona Cardinals",9
player,201812230crd,ram,AndeC.00,rec_long,-5,,,,,
player,201812230crd,ram,AndeC.00,fumbles,0,,,,,
player,201812230crd,ram,AndeC.00,fumbles_lost,0,,,,,
player,201812230crd,ram,KellJo00,pass_cmp,0,,,,,
player,201812230crd,ram,KellJo00,pass_att,0,,,,,
player,201812230crd,ram,KellJo00,pass_yds,0,,,,,
player,201812230crd,ram,KellJo00,pass_td,0,,,,,
player,201812230crd,ram,KellJo00,pass_int,0,,,,,
player,201812230crd,ram,KellJo00,pass_sacked,0,,,,,
player,201812230crd,ram,KellJo00,pass_sacked_yds,0,,,,,
player,201812230crd,ram,KellJo00,pass_long,0,,,,,
player,201812230crd,ram,KellJo00,pass_rating,,,,,,
player,201812230crd,ram,KellJo00,rush_att,10,,,,,
player,201812230crd,ram,KellJo00,rush_yds,40,,,,,
player,201812230crd,ram,KellJo00,rush_td,0,,,,,
player,201812230crd,ram,KellJo00,rush_long,7,,,,,
player,201812230crd,ram,KellJo00,targets,1,,,,,
player,201812230crd,ram,KellJo00,rec,1,,,,,
player,201812230crd,ram,KellJo00,rec_yds,9,,,,,
player,201812230crd,ram,KellJo00,rec_td,0,,,,,
player,201812230crd,ram,KellJo00,rec_long,9,,,,,
player,201812230crd,ram,KellJo00,fumbles,0,,,,,
player,201812230crd,ram,KellJo00,fumbles_lost,0,,,,,
player,201812230crd,ram,CookBr00,pass_cmp,0,,,,,
player,201812230crd,ram,CookBr00,pass_att,0,,,,,
player,201812230crd,ram,CookBr00,pass_yds,0,,,,,
player,201812230crd,ram,CookBr00,pass_td,0,,,,,
player,201812230crd,ram,CookBr00,pass_int,0,,,,,
player,201812230crd,ram,CookBr00,pass_sacked,0,,,,,
player,201812230crd,ram,CookBr00,pass_sacked_yds,0,,,,,
player,201812230crd,ram,CookBr00,pass_long,0,,,,,
player,201812230crd,ram,CookBr00,pass_rating,,,,,,
player,201812230crd,ram,CookBr00,rush_att,3,,,,,
player,201812230crd,ram,CookBr00,rush_yds,27,,,,,
player,201812230crd,ram,CookBr00,rush_td,0,,,,,
player,201812230crd,ram,CookBr00,rush_long,17,,,,,
player,201812230crd,ram,CookBr00,targets,3,,,,,
player,201812230crd,ram,CookBr00,rec,3,,,,,
player,201812230crd,ram,CookBr00,rec_yds,35,,,,,
player,201812230crd,ram,CookBr00,rec_td,0,,,,,
player,201812230crd,ram,CookBr00,rec_long,18,,,,,
player,201812230crd,ram,CookBr00,fumbles,0,,,,,
player,201812230crd,ram,CookBr00,fumbles_lost,0,,,,,
player,201812230crd,ram,EverGe00,pass_cmp,0,,,,,
player,201812230crd,ram,EverGe00,pass_att,0,,,,,
player,201812230crd,ram,EverGe00,pass_yds,0,,,,,
player,201812230crd,ram,EverGe00,pass_td,0,,,,,
player,201812230crd,ram,EverGe00,pass_int,0,,,,,
player,201812230crd,ram,EverGe00,pass_sacked,0,,,,,
player,201812230crd,ram,EverGe00,pass_sacked_yds,0,,,,,
player,201812230crd,ram,EverGe00,pass_long,0,,,,,
player,201812230crd,ram,EverGe00,pass_rating,,,,,,
player,201812230crd,ram,EverGe00,rush_att,2,,,,,
player,201812230crd,ram,EverGe00,rush_yds,16,,,,,
player,201812230crd,ram,EverGe00,rush_td,0,,,,,
player,201812230crd,ram,EverGe00,rush_long,12,,,,,
player,201812230crd,ram,EverGe00,targets,6,,,,,
player,201812230crd,ram,EverGe00,rec,5,,,,,
player,201812230crd,ram,EverGe00,rec_yds,28,,,,,
player,201812230crd,ram,EverGe00,rec_td,0,,,,,
player,201812230crd,ram,EverGe00,rec_long,9,,,,,
player,201812230crd,ram,EverGe00,fumbles,0,,,,,
player,201812230crd,ram,EverGe00,fumbles_lost,0,,,,,
player,201812230crd,ram,WoodRo02,pass_cmp,0,,,,,
player,201812230crd,ram,WoodRo02,pass_att,0,,,,,
player,201812230crd,ram,WoodRo02,pass_yds,0,,,,,
player,201812230crd,ram,WoodRo02,pass_td,0,,,,,
player,201812230crd,ram,WoodRo02,pass_int,0,,,,,
player,201812230crd,ram,WoodRo02,pass_sacked,0,,,,,
player,201812230crd,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201812230crd,ram,WoodRo02,pass_long,0,,,,,
player,201812230crd,ram,WoodRo02,pass_rating,,,,,,
player,201812230crd,ram,WoodRo02,rush_att,2,,,,,
player,201812230crd,ram,WoodRo02,rush_yds,15,,,,,
player,201812230crd,ram,WoodRo02,rush_td,1,,,,,
player,201812230crd,ram,WoodRo02,rush_long,11,,,,,
player,201812230crd,ram,WoodRo02,targets,7,,,,,
player,201812230crd,ram,WoodRo02,rec,6,,,,,
player,201812230crd,ram,WoodRo02,rec_yds,89,,,,,
player,201812230crd,ram,WoodRo02,rec_td,1,,,,,
player,201812230crd,ram,WoodRo02,rec_long,39,,,,,
player,201812230crd,ram,WoodRo02,fumbles,0,,,,,
player,201812230crd,ram,WoodRo02,fumbles_lost,0,,,,,
player,201812230crd,ram,ReynJo00,pass_cmp,0,,,,,
player,201812230crd,ram,ReynJo00,pass_att,0,,,,,
player,201812230crd,ram,ReynJo00,pass_yds,0,,,,,
player,201812230crd,ram,ReynJo00,pass_td,0,,,,,
player,201812230crd,ram,ReynJo00,pass_int,0,,,,,
player,201812230crd,ram,ReynJo00,pass_sacked,0,,,,,
player,201812230crd,ram,ReynJo00,pass_sacked_yds,0,,,,,
player,201812230crd,ram,ReynJo00,pass_long,0,,,,,
player,201812230crd,ram,ReynJo00,pass_rating,,,,,,
player,201812230crd,ram,ReynJo00,rush_att,0,,,,,
player,201812230crd,ram,ReynJo00,rush_yds,0,,,,,
player,201812230crd,ram,ReynJo00,rush_td,0,,,,,
player,201812230crd,ram,ReynJo00,rush_long,0,,,,,
player,201812230crd,ram,ReynJo00,targets,2,,,,,
player,201812230crd,ram,ReynJo00,rec,2,,,,,
player,201812230crd,ram,ReynJo00,rec_yds,44,,,,,
player,201812230crd,ram,ReynJo00,rec_td,0,,,,,
player,201812230crd,ram,ReynJo00,rec_long,26,,,,,
player,201812230crd,ram,ReynJo00,fumbles,0,,,,,
player,201812230crd,ram,ReynJo00,fumbles_lost,0,,,,,
player,201812230crd,ram,HigbTy00,pass_cmp,0,,,,,
player,201812230crd,ram,HigbTy00,pass_att,0,,,,,
player,201812230crd,ram,HigbTy00,pass_yds,0,,,,,
player,201812230crd,ram,HigbTy00,pass_td,0,,,,,
player,201812230crd,ram,HigbTy00,pass_int,0,,,,,
player,201812230crd,ram,HigbTy00,pass_sacked,0,,,,,
player,201812230crd,ram,HigbTy00,pass_sacked_yds,0,,,,,
player,201812230crd,ram,HigbTy00,pass_long,0,,,,,
player,201812230crd,ram,HigbTy00,pass_rating,,,,,,
player,201812230crd,ram,HigbTy00,rush_att,0,,,,,
player,201812230crd,ram,HigbTy00,rush_yds,0,,,,,
player,201812230crd,ram,HigbTy00,rush_td,0,,,,,
player,201812230crd,ram,HigbTy00,rush_long,0,,,,,
player,201812230crd,ram,HigbTy00,targets,1,,,,,
player,201812230crd,ram,HigbTy00,rec,1,,,,,
player,201812230crd,ram,HigbTy00,rec_yds,16,,,,,
player,201812230crd,ram,HigbTy00,rec_td,0,,,,,
player,201812230crd,ram,HigbTy00,rec_long,16,,,,,
player,201812230crd,ram,HigbTy00,fumbles,0,,,,,
player,201812230crd,ram,HigbTy00,fumbles_lost,0,,,,,
player,201812230crd,ram,MannSe00,pass_cmp,0,,,,,
player,201812230crd,ram,MannSe00,pass_att,0,,,,,
player,201812230crd,ram,MannSe00,pass_yds,0,,,,,
player,201812230crd,ram,MannSe00,pass_td,0,,,,,
player,201812230crd,ram,MannSe00,pass_int,0,,,,,
player,201812230crd,ram,MannSe00,pass_sacked,0,,,,,
player,201812230crd,ram,MannSe00,pass_sacked_yds,0,,,,,
player,201812230crd,ram,MannSe00,pass_long,0,,,,,
player,201812230crd,ram,MannSe00,pass_rating,,,,,,
player,201812230crd,ram,MannSe00,rush_att,2,,,,,
player,201812230crd,ram,MannSe00,rush_yds,-2,,,,,
player,201812230crd,ram,MannSe00,rush_td,0,,,,,
player,201812230crd,ram,MannSe00,rush_long,-1,,,,,
player,201812230crd,ram,MannSe00,targets,0,,,,,
player,201812230crd,ram,MannSe00,rec,0,,,,,
player,201812230crd,ram,MannSe00,rec_yds,0,,,,,
player,201812230crd,ram,MannSe00,rec_td,0,,,,,
player,201812230crd,ram,MannSe00,rec_long,0,,,,,
player,201812230crd,ram,MannSe00,fumbles,0,,,,,
player,201812230crd,ram,MannSe00,fumbles_lost,0,,,,,
player,201812230crd,crd,RoseJo01,pass_cmp,12,,,,,
player,201812230crd,crd,RoseJo01,pass_att,23,,,,,
player,201812230crd,crd,RoseJo01,pass_yds,87,,,,,
player,201812230crd,crd,RoseJo01,pass_td,0,,,,,
player,201812230crd,crd,RoseJo01,pass_int,0,,,,,
player,201812230crd,crd,RoseJo01,pass_sacked,4,,,,,
player,201812230crd,crd,RoseJo01,pass_sacked_yds,23,,,,,
player,201812230crd,crd,RoseJo01,pass_long,18,,,,,
player,201812230crd,crd,RoseJo01,pass_rating,61.3,,,,,
player,201812230crd,crd,RoseJo01,rush_att,4,,,,,
player,201812230crd,crd,RoseJo01,rush_yds,49,,,,,
player,201812230crd,crd,RoseJo01,rush_td,0,,,,,
player,201812230crd,crd,RoseJo01,rush_long,16,,,,,
player,201812230crd,crd,RoseJo01,targets,0,,,,,
player,201812230crd,crd,RoseJo01,rec,0,,,,,
player,201812230crd,crd,RoseJo01,rec_yds,0,,,,,
player,201812230crd,crd,RoseJo01,rec_td,0,,,,,
player,201812230crd,crd,RoseJo01,rec_long,0,,,,,
player,201812230crd,crd,RoseJo01,fumbles,0,,,,,
player,201812230crd,crd,RoseJo01,fumbles_lost,0,,,,,
player,201812230crd,crd,GlenMi00,pass_cmp,5,,,,,
player,201812230crd,crd,GlenMi00,pass_att,7,,,,,
player,201812230crd,crd,GlenMi00,pass_yds,63,,,,,
player,201812230crd,crd,GlenMi00,pass_td,0,,,,,
player,201812230crd,crd,GlenMi00,pass_int,0,,,,,
player,201812230crd,crd,GlenMi00,pass_sacked,0,,,,,
player,201812230crd,crd,GlenMi00,pass_sacked_yds,0,,,,,
player,201812230crd,crd,GlenMi00,pass_long,15,,,,,
player,201812230crd,crd,GlenMi00,pass_rating,99.1,,,,,
player,201812230crd,crd,GlenMi00,rush_att,0,,,,,
player,201812230crd,crd,GlenMi00,rush_yds,0,,,,,
player,201812230crd,crd,GlenMi00,rush_td,0,,,,,
player,201812230crd,crd,GlenMi00,rush_long,0,,,,,
player,201812230crd,crd,GlenMi00,targets,0,,,,,
player,201812230crd,crd,GlenMi00,rec,0,,,,,
player,201812230crd,crd,GlenMi00,rec_yds,0,,,,,
player,201812230crd,crd,GlenMi00,rec_td,0,,,,,
player,201812230crd,crd,GlenMi00,rec_long,0,,,,,
player,201812230crd,crd,GlenMi00,fumbles,0,,,,,
player,201812230crd,crd,GlenMi00,fumbles_lost,0,,,,,
player,201812230crd,crd,FitzLa00,pass_cmp,1,,,,,
player,201812230crd,crd,FitzLa00,pass_att,1,,,,,
player,201812230crd,crd,FitzLa00,pass_yds,32,,,,,
player,201812230crd,crd,FitzLa00,pass_td,1,,,,,
player,201812230crd,crd,FitzLa00,pass_int,0,,,,,
player,201812230crd,crd,FitzLa00,pass_sacked,0,,,,,
player,201812230crd,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201812230crd,crd,FitzLa00,pass_long,32,,,,,
player,201812230crd,crd,FitzLa00,pass_rating,158.3,,,,,
player,201812230crd,crd,FitzLa00,rush_att,0,,,,,
player,201812230crd,crd,FitzLa00,rush_yds,0,,,,,
player,201812230crd,crd,FitzLa00,rush_td,0,,,,,
player,201812230crd,crd,FitzLa00,rush_long,0,,,,,
player,201812230crd,crd,FitzLa00,targets,9,,,,,
player,201812230crd,crd,FitzLa00,rec,6,,,,,
player,201812230crd,crd,FitzLa00,rec_yds,53,,,,,
player,201812230crd,crd,FitzLa00,rec_td,0,,,,,
player,201812230crd,crd,FitzLa00,rec_long,18,,,,,
player,201812230crd,crd,FitzLa00,fumbles,0,,,,,
player,201812230crd,crd,FitzLa00,fumbles_lost,0,,,,,
player,201812230crd,crd,JohnDa08,pass_cmp,0,,,,,
player,201812230crd,crd,JohnDa08,pass_att,0,,,,,
player,201812230crd,crd,JohnDa08,pass_yds,0,,,,,
player,201812230crd,crd,JohnDa08,pass_td,0,,,,,
player,201812230crd,crd,JohnDa08,pass_int,0,,,,,
player,201812230crd,crd,JohnDa08,pass_sacked,0,,,,,
player,201812230crd,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201812230crd,crd,JohnDa08,pass_long,0,,,,,
player,201812230crd,crd,JohnDa08,pass_rating,,,,,,
player,201812230crd,crd,JohnDa08,rush_att,10,,,,,
player,201812230crd,crd,JohnDa08,rush_yds,35,,,,,
player,201812230crd,crd,JohnDa08,rush_td,0,,,,,
player,201812230crd,crd,JohnDa08,rush_long,16,,,,,
player,201812230crd,crd,JohnDa08,targets,5,,,,,
player,201812230crd,crd,JohnDa08,rec,1,,,,,
player,201812230crd,crd,JohnDa08,rec_yds,32,,,,,
player,201812230crd,crd,JohnDa08,rec_td,1,,,,,
player,201812230crd,crd,JohnDa08,rec_long,32,,,,,
player,201812230crd,crd,JohnDa08,fumbles,0,,,,,
player,201812230crd,crd,JohnDa08,fumbles_lost,0,,,,,
player,201812230crd,crd,EdmoCh00,pass_cmp,0,,,,,
player,201812230crd,crd,EdmoCh00,pass_att,0,,,,,
player,201812230crd,crd,EdmoCh00,pass_yds,0,,,,,
player,201812230crd,crd,EdmoCh00,pass_td,0,,,,,
player,201812230crd,crd,EdmoCh00,pass_int,0,,,,,
player,201812230crd,crd,EdmoCh00,pass_sacked,0,,,,,
player,201812230crd,crd,EdmoCh00,pass_sacked_yds,0,,,,,
player,201812230crd,crd,EdmoCh00,pass_long,0,,,,,
player,201812230crd,crd,EdmoCh00,pass_rating,,,,,,
player,201812230crd,crd,EdmoCh00,rush_att,4,,,,,
player,201812230crd,crd,EdmoCh00,rush_yds,20,,,,,
player,201812230crd,crd,EdmoCh00,rush_td,0,,,,,
player,201812230crd,crd,EdmoCh00,rush_long,20,,,,,
player,201812230crd,crd,EdmoCh00,targets,2,,,,,
player,201812230crd,crd,EdmoCh00,rec,1,,,,,
player,201812230crd,crd,EdmoCh00,rec_yds,1,,,,,
player,201812230crd,crd,EdmoCh00,rec_td,0,,,,,
player,201812230crd,crd,EdmoCh00,rec_long,1,,,,,
player,201812230crd,crd,EdmoCh00,fumbles,0,,,,,
player,201812230crd,crd,EdmoCh00,fumbles_lost,0,,,,,
player,201812230crd,crd,SherTr00,pass_cmp,0,,,,,
