game,2018,11,20181118,201811180nor,phi,"Philadelphia Eagles",7,nor,"New Orleans Saints",48
team,201811180nor,phi,First Downs,13,,,,,,
team,201811180nor,nor,First Downs,28,,,,,,
team,201811180nor,phi,Rush-Yds-TDs,12-58-1,,,,,,
team,201811180nor,nor,Rush-Yds-TDs,37-173-2,,,,,,
team,201811180nor,phi,Cmp-Att-Yd-TD-INT,19-33-156-0-3,,,,,,
team,201811180nor,nor,Cmp-Att-Yd-TD-INT,23-32-373-4-0,,,,,,
team,201811180nor,phi,Sacked-Yards,3-18,,,,,,
team,201811180nor,nor,Sacked-Yards,0-0,,,,,,
team,201811180nor,phi,Net Pass Yards,138,,,,,,
team,201811180nor,nor,Net Pass Yards,373,,,,,,
team,201811180nor,phi,Total Yards,196,,,,,,
team,201811180nor,nor,Total Yards,546,,,,,,
team,201811180nor,phi,Fumbles-Lost,0-0,,,,,,
team,201811180nor,nor,Fumbles-Lost,0-0,,,,,,
team,201811180nor,phi,Turnovers,3,,,,,,
team,201811180nor,nor,Turnovers,0,,,,,,
team,201811180nor,phi,Penalties-Yards,6-49,,,,,,
team,201811180nor,nor,Penalties-Yards,8-69,,,,,,
team,201811180nor,phi,Third Down Conv.,3-10,,,,,,
team,201811180nor,nor,Third Down Conv.,6-11,,,,,,
team,201811180nor,phi,Fourth Down Conv.,0-2,,,,,,
team,201811180nor,nor,Fourth Down Conv.,1-1,,,,,,
team,201811180nor,phi,Time of Possession,22:26,,,,,,
team,201811180nor,nor,Time of Possession,37:34,,,,,,
player,201811180nor,phi,WentCa00,pass_cmp,19,,,,,
player,201811180nor,phi,WentCa00,pass_att,33,,,,,
player,201811180nor,phi,WentCa00,pass_yds,156,,,,,
player,201811180nor,phi,WentCa00,pass_td,0,,,,,
player,201811180nor,phi,WentCa00,pass_int,3,,,,,
player,201811180nor,phi,WentCa00,pass_sacked,3,,,,,
player,201811180nor,phi,WentCa00,pass_sacked_yds,18,,,,,
player,201811180nor,phi,WentCa00,pass_long,19,,,,,
player,201811180nor,phi,WentCa00,pass_rating,31.9,,,,,
player,201811180nor,phi,WentCa00,rush_att,1,,,,,
player,201811180nor,phi,WentCa00,rush_yds,6,,,,,
player,201811180nor,phi,WentCa00,rush_td,0,,,,,
player,201811180nor,phi,WentCa00,rush_long,6,,,,,
player,201811180nor,phi,WentCa00,targets,0,,,,,
player,201811180nor,phi,WentCa00,rec,0,,,,,
player,201811180nor,phi,WentCa00,rec_yds,0,,,,,
player,201811180nor,phi,WentCa00,rec_td,0,,,,,
player,201811180nor,phi,WentCa00,rec_long,0,,,,,
player,201811180nor,phi,WentCa00,fumbles,0,,,,,
player,201811180nor,phi,WentCa00,fumbles_lost,0,,,,,
player,201811180nor,phi,AdamJo03,pass_cmp,0,,,,,
player,201811180nor,phi,AdamJo03,pass_att,0,,,,,
player,201811180nor,phi,AdamJo03,pass_yds,0,,,,,
player,201811180nor,phi,AdamJo03,pass_td,0,,,,,
player,201811180nor,phi,AdamJo03,pass_int,0,,,,,
player,201811180nor,phi,AdamJo03,pass_sacked,0,,,,,
player,201811180nor,phi,AdamJo03,pass_sacked_yds,0,,,,,
